ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
AGAP000002	0.83698303106718	0.83698303106718	1	28	16.4988456956054	6.8532664187477
AGAP000005	0.999999999594096	0.999999999594096	1	20.3385049365303	3.2307635026977	8.03658302610422
AGAP000007	0.00433981589463273	0.00433981589463273	0.0824046524141346	23.7561779242175	18.6311477521038	7.99354180356296
AGAP000008	0.999998603699355	0.999998603699355	1	20.1115760111576	12.3615403423445	6.59939251376213
AGAP000008	0.999999570497246	0.999999570497246	1	20	4.48026510355243e-05	8.13713579966028
AGAP000009	0.146468000865121	0.146468000865121	0.832752607109719	22.9252782193959	19.4384764899846	8.5326630729495
AGAP000009	0.999528769482703	0.999528769482703	1	28	22.7242485698708	6.75058124085373
AGAP000010	0.00558309155167458	0.00558309155167458	0.0952083074929205	24.8192771084337	9.82561062927067	7.75111818948457
AGAP000011	0.316712576212785	0.316712576212785	1	27.3624288425047	0.594852846794602	6.53281199966659
AGAP000012	0.999994166555451	0.999994166555451	1	20	16.1364938977433	7.2157971527404
AGAP000013	0.999756907755601	0.999756907755601	1	25.6127886323268	20.3589974657691	5.57662440507126
AGAP000013	0.999578571893599	0.999578571893599	1	23.2206119162641	20.0129578738827	5.57782768552148
AGAP000014	0.996301217935021	0.996301217935021	1	28	19.8679851130491	5.89563350589234
AGAP000015	0.999999999584472	0.999999999584472	1	28	13.7841006287281	6.41737273052196
AGAP000016	0.999999996130065	0.999999996130065	1	20	19.5259928234752	6.21391641121348
AGAP000016	0.999954957773122	0.999954957773122	1	25.8886894075404	18.4573880232381	6.90574173177059
AGAP000017	0.99999999646299	0.99999999646299	1	20	9.07890154351435	6.90627556240333
AGAP000018	0.999999893825772	0.999999893825772	1	20.4539007092199	8.6874343691968	6.00046657745496
AGAP000019	0.999508611719265	0.999508611719265	1	23.3711507293355	12.663485248578	8.03467185940504
AGAP000020	0.99999985150804	0.99999985150804	1	28	11.918343220408	6.53966283706576
AGAP000021	0.966030021142445	0.966030021142445	1	24.2352941176471	15.0709509106947	8.20594127638855
AGAP000022	0.14290674449892	0.14290674449892	0.816259218481141	24.6495726495726	8.9048880204886	8.71219582764597
AGAP000023	0.0011068934717694	0.0011068934717694	0.0413297885864489	25.0782608695652	10.3508194085498	12.2146443033707
AGAP000025	0.993496202192791	0.993496202192791	1	20	16.0729330311093	5.31370687951658
AGAP000028	0.53609401654109	0.53609401654109	1	20.9288824383164	15.9213004662965	8.84609781208254
AGAP000029	0.809090826523529	0.809090826523529	1	25.4320987654321	20.2103061385285	8.31935147272488
AGAP000029	0.99999977323931	0.99999977323931	1	24.5655877342419	23.434344721675	6.2339965332645
AGAP000032	0.940686245699463	0.940686245699463	1	23.7561779242175	19.1664918632898	6.49864860199112
AGAP000033	0.0366921244776597	0.0366921244776597	0.315353934699886	25.8886894075404	5.0711792452105	7.55128382812507
AGAP000033	0.784645728585646	0.784645728585646	1	23.8347107438017	3.9909742369716	6.49486805070111
AGAP000035	0.99999999997648	0.99999999997648	1	24.7341337907376	14.0202182712026	4.59786749333587
AGAP000035	0.461508986488266	0.461508986488266	1	20.3960396039604	16.1004891183523	6.47146376134767
AGAP000037	0.999615413885806	0.999615413885806	1	28	6.75440830680987e-05	7.83201780809249
AGAP000038	0.999929648806501	0.999929648806501	1	20.2244039270687	11.153930453559	6.8524191247687
AGAP000039	0.999999999802443	0.999999999802443	1	24.6495726495726	5.68168248524553	5.92760293824319
AGAP000040	0.985294035360697	0.985294035360697	1	26.852886405959	19.6755209642369	7.09139843670212
AGAP000041	0.638304968630664	0.638304968630664	1	26.0759493670886	22.6649725120076	6.99998518877643
AGAP000042	0.993752270862469	0.993752270862469	1	26.7532467532468	19.2658327691627	4.81112869387239
AGAP000042	1	1	1	21.4903129657228	10.2312271812496	7.22440656136877
AGAP000043	0.999979223509571	0.999979223509571	1	26.0759493670886	19.7197164582079	6.42339327032342
AGAP000043	0.999999998815265	0.999999998815265	1	22.4960998439938	15.5667136456607	5.17998527178127
AGAP000044	0.0159057043233316	0.0159057043233316	0.180363289024569	24.7341337907376	12.8007473634979	7.8996499703922
AGAP000045	0.999999198320967	0.999999198320967	1	20	7.9999324559169	6.22346848681276
AGAP000046	0.970673794263013	0.970673794263013	1	22.7086614173228	17.1947214829499	6.46860542336293
AGAP000047	0.999997822091708	0.999997822091708	1	20	4.0692098637901	6.4778880813592
AGAP000048	1	1	1	20	0.210291705407499	6.27080102697051
AGAP000049	0.999990841981832	0.999990841981832	1	20	7.9999324559169	6.27688455457393
AGAP000049	0.999999999633149	0.999999999633149	1	28	20.3032867702089	5.66006312044457
AGAP000051	0.996909597505077	0.996909597505077	1	25.3427065026362	13.6032185655162	5.6513788490623
AGAP000053	0.940752392759089	0.940752392759089	1	21.7496229260935	12.4324497721678	7.13055509998299
AGAP000054	0.992608392980242	0.992608392980242	1	21.8816388467375	11.2965488697306	6.31655811136803
AGAP000056	0.999999525119041	0.999999525119041	1	24.4821731748727	15.3356229669469	6.03869547007558
AGAP000057	0.999999999177034	0.999999999177034	1	27.2589792060491	16.6303900990105	6.7823885703133
AGAP000057	0.999995145034758	0.999995145034758	1	25.5221238938053	6.5071463388721	7.10858076126414
AGAP000058	0.999978627590239	0.999978627590239	1	21.1747430249633	0.680569205792001	6.39722196508441
AGAP000058	0.975248516169363	0.975248516169363	1	28	24.136698817045	4.32494782642839
AGAP000061	0.985750393813585	0.985750393813585	1	28	3.9142321920532	8.43653643725869
AGAP000062	0.999999726458313	0.999999726458313	1	28	19.9676978919933	6.53377723646489
AGAP000063	0.904672960509133	0.904672960509133	1	23.2956381260097	16.3733217189619	5.0901738354154
AGAP000064	0.999487360381931	0.999487360381931	1	28	7.0476855819473	7.59833766045338
AGAP000065	0.994310311411171	0.994310311411171	1	28	27.1661534828965	8.51564443473516
AGAP000065	0.999999988586505	0.999999988586505	1	28	23.1036997036422	6.60666064659283
AGAP000067	0.999999996066603	0.999999996066603	1	26.2659380692168	12.4788223418637	7.76458910930286
AGAP000068	0.944082416089616	0.944082416089616	1	28	9.28407436464064	6.35722805462332
AGAP000069	0.999810591502507	0.999810591502507	1	26.6543438077634	1.4957620362384	6.38524780712084
AGAP000070	0.972934967561703	0.972934967561703	1	20.8080808080808	2.7861641924167	6.5920620557254
AGAP000070	0.999850651313547	0.999850651313547	1	20	7.9999389163405	6.27686830563535
AGAP000071	0.999956679153488	0.999956679153488	1	28	19.9999324559169	5.26623781867994
AGAP000072	0.999210168930572	0.999210168930572	1	20.2244039270687	12.8706676702359	5.50434353252645
