ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSPANG00000000437	0.0310502428384373	1	0.0668774461135573	24	20	2.38972571493196
ENSPANG00000000546	0.00875773275078831	0.289005180776014	0.0272462796691192	24	16	9.29248510315606
ENSPANG00000000832	0.310810013995778	1	0.348107215675271	24	20	4.12678087903268
ENSPANG00000000866	0.152590458988028	1	0.213626642583239	20	7	3.56535834135268
ENSPANG00000004699	0.00318164699241088	0.104994350749559	0.0178172231575009	22	2	2.04125662391967
ENSPANG00000005164	0.249579521237507	1	0.291176108110425	20	3	0.225283842364918
ENSPANG00000006538	0.00097448108732831	0.0321578758818342	0.00682136761129817	24	14	10.7495175189016
ENSPANG00000006688	0.0137707681978515	0.454435350529101	0.035052864503622	20	3	1.28460836194986
ENSPANG00000006849	0.459023957331249	1	0.459023957331249	20	7	3.33366962176977
ENSPANG00000006882	0.0447368985823847	1	0.0782895725191732	20	13	0.189343910135389
ENSPANG00000008425	0.00097448108732831	0.0321578758818342	0.00682136761129817	24	4	2.88107569954176
ENSPANG00000008563	0.152590458988028	1	0.213626642583239	22	2	7.88397020907351
ENSPANG00000008968	0.0447368985823847	1	0.0782895725191732	24	2	1.49497224487926
ENSPANG00000009083	0.249579521237507	1	0.291176108110425	22	9	1.14387165397886
ENSPANG00000010205	0.249579521237507	1	0.291176108110425	22	3	3.665681189729
ENSPANG00000012477	0.0863171145983646	1	0.134271067153012	24	4	0.21589962639656
ENSPANG00000013724	0.000498883511036289	0.0164631558641975	0.00682136761129817	24	3	3.04836991847948
ENSPANG00000014909	0.0863171145983646	1	0.134271067153012	24	2	0.926252136393893
ENSPANG00000016434	0.0209803516313933	0.692351603835979	0.0489541538065844	22	6	7.02268767851649
ENSPANG00000016597	0.0053803077066966	0.177550154320988	0.0188310769734381	20	3	2.8303518176334
ENSPANG00000017172	0.249579521237507	1	0.291176108110425	22	2	0.11726419242764
ENSPANG00000018115	0.459023957331249	1	0.459023957331249	24	18	1.6352265672078
ENSPANG00000018853	0.0053803077066966	0.177550154320988	0.0188310769734381	20	3	2.36277673436239
ENSPANG00000020758	0.0053803077066966	0.177550154320988	0.0188310769734381	24	7	0.940713508331506
ENSPANG00000021065	0.0447368985823847	1	0.0782895725191732	22	3	0.976885559392475
ENSPANG00000021704	0.000498883511036289	0.0164631558641975	0.00682136761129817	24	22	44.0644380489009
ENSPANG00000024927	0.459023957331249	1	0.459023957331249	24	8	0.0193265412330566
ENSPANG00000026255	0.0137707681978515	0.454435350529101	0.035052864503622	24	10	8.82401979764057
