ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSPANG00000000040	0.0863171145983646	1	0.227765899590723	22	16	2.44689324840147
ENSPANG00000000041	0.310810013995778	1	0.414439855790226	24	10	5.65073124090106
ENSPANG00000000053	0.249579521237507	1	0.371223720497565	22	5	0.470567776326194
ENSPANG00000000059	0.0447368985823847	1	0.173628911177153	22	4	1.80296951512517
ENSPANG00000000060	0.152590458988028	1	0.296330974564803	20	0	0.878210318998669
ENSPANG00000000062	0.0863171145983646	1	0.227765899590723	22	11	3.45190830367162
ENSPANG00000000063	0.115950877825878	1	0.261634037022115	22	13	0.576125828404413
ENSPANG00000000071	0.380704803491262	1	0.463996961199756	20	19	0.283680214898531
ENSPANG00000000072	0.0310502428384373	1	0.152875518660152	22	8	12.0292332977805
ENSPANG00000000085	0.545204700777617	1	0.56942064560911	22	10	8.81029938291256
ENSPANG00000000090	0.152590458988028	1	0.296330974564803	24	4	0.760871064570693
ENSPANG00000000094	0.223264732309871	1	0.370732783171865	20	0	0.036944613728674
ENSPANG00000000102	0.380704803491262	1	0.463996961199756	22	14	3.38603067273891
ENSPANG00000000103	0.459023957331249	1	0.518586635415703	22	7	2.99800113499307
ENSPANG00000000112	0.0310502428384373	1	0.152875518660152	20	17	2.66191719844573
ENSPANG00000000116	0.280194767616643	1	0.412134849141327	20	9	0.113215206453144
ENSPANG00000000117	0.638361253908129	1	0.645920468963467	22	13	0.196662754469714
ENSPANG00000000122	0.459023957331249	1	0.518586635415703	20	3	1.42504023610532
ENSPANG00000000123	0.380704803491262	1	0.463996961199756	22	14	0.658249574661481
ENSPANG00000000126	0.0863171145983646	1	0.227765899590723	22	6	1.15869027055041
ENSPANG00000000127	0.152590458988028	1	0.296330974564803	22	17	7.73006077237452
ENSPANG00000000131	0.115950877825878	1	0.261634037022115	24	22	72.9841035610165
ENSPANG00000000132	0.0863171145983646	1	0.227765899590723	22	16	3.66624111472302
ENSPANG00000000141	0.249579521237507	1	0.371223720497565	22	16	2.01436967201331
