ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSPANG00000000546	0.00212571839789887	0.124708153165066	0.00382629311621797	24	20	NA
ENSPANG00000000832	0.00435751849722737	0.295368431510984	0.00619226312763889	24	2	NA
ENSPANG00000000866	0.00750037391278537	0.404229167191783	0.00920500434750932	24	16	NA
ENSPANG00000004699	0.000155304119294198	0.0294678658475748	0.000967334198035891	20	4	NA
ENSPANG00000005164	0.000179135962599239	0.044915267603925	0.000967334198035891	20	14	NA
ENSPANG00000006538	0.000142253547407624	0.0187307836179305	0.000967334198035891	24	14	NA
ENSPANG00000006688	0.000802893927310015	0.11566925127211	0.0027097670046713	22	2	NA
ENSPANG00000006849	0.00212571839789887	0.119068435865468	0.00382629311621797	24	6	NA
ENSPANG00000006882	0.00500822417651335	0.573436415497349	0.00676110263829302	20	12	NA
ENSPANG00000008425	5.12120300665107e-05	0.00901607469745768	0.000967334198035891	20	6	NA
ENSPANG00000008563	0.000255160028240721	0.0172305913138469	0.00114822012708324	24	22	NA
ENSPANG00000008968	0.00543423948397474	0.490449615244819	0.00698687933653895	22	2	NA
ENSPANG00000009083	0.0010173660476409	0.056900653314023	0.00274688832863043	22	6	NA
ENSPANG00000010205	0.00212571839789887	0.194397041634484	0.00382629311621797	24	6	NA
ENSPANG00000012477	0.00435751849722737	0.299140090383612	0.00619226312763889	24	6	NA
ENSPANG00000013724	0.00280034921050539	0.426594002341749	0.00472558929272785	22	2	NA
ENSPANG00000014909	0.00423333930542403	0.299015976122441	0.00619226312763889	20	8	NA
ENSPANG00000016434	0.00134531226955921	0.113275940538391	0.00302695260650822	22	6	NA
ENSPANG00000016597	0.0226358173943805	0.747689289453452	0.0244466827859309	24	8	NA
ENSPANG00000017172	0.00134531226955921	0.123914837211107	0.00302695260650822	22	6	NA
ENSPANG00000018115	0.000955518616569285	0.0770891497184503	0.00274688832863043	24	6	NA
ENSPANG00000018853	0.026697738366221	0.976929283958831	0.0277245744572295	22	2	NA
ENSPANG00000020758	0.131114716981322	0.991707741698577	0.131114716981322	24	14	NA
ENSPANG00000021065	0.000700046716614807	0.0341312622630132	0.00270018019265711	24	6	NA
ENSPANG00000021704	8.90817067799649e-05	0.0130716383424915	0.000967334198035891	22	2	NA
ENSPANG00000024927	0.0205390596894878	0.699780672165775	0.0231064421506738	26	4	NA
ENSPANG00000026255	0.00992539609225409	0.610597324885998	0.0116515519343852	22	16	NA
