ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSPANG00000000546	0.152590458988028	1	0.16479769570707	24	10	1.14976849715113
ENSPANG00000000832	0.0137707681978515	0.454435350529101	0.0232381713338744	20	16	10.8719530449643
ENSPANG00000000866	0.00875773275078831	0.289005180776014	0.0197048986892737	24	18	9.31223549412244
ENSPANG00000004699	0.000107423440756774	0.00354497354497354	0.000725108225108225	24	2	4.34041093733335
ENSPANG00000005164	0.0628691469924109	1	0.0771575894906861	20	7	0.290909505522229
ENSPANG00000006538	3.21502057613169e-07	1.06095679012346e-05	8.68055555555556e-06	24	14	10.409199120839
ENSPANG00000006688	0.00318164699241088	0.104994350749559	0.0107380585993867	24	22	3.85095375846461
ENSPANG00000006849	0.0209803516313933	0.692351603835979	0.0333217349439776	24	22	2.26491565322329
ENSPANG00000006882	0.0447368985823847	1	0.0575188696059232	24	18	1.5564513655057
ENSPANG00000008425	4.41292889209556e-05	0.00145626653439153	0.0003971636002886	22	4	1.05296392539815
ENSPANG00000008563	0.0137707681978515	0.454435350529101	0.0232381713338744	22	0	4.22564882725498
ENSPANG00000008968	0.0447368985823847	1	0.0575188696059232	20	5	1.00914967814624
ENSPANG00000009083	0.115950877825878	1	0.130444737554113	22	6	1.36052110512437
ENSPANG00000010205	0.0310502428384373	1	0.046575364257656	20	15	16.2853286210593
ENSPANG00000012477	0.00875773275078831	0.289005180776014	0.0197048986892737	24	18	16.6637265853547
ENSPANG00000013724	0.00097448108732831	0.0321578758818342	0.00438516489297739	24	5	13.7700885637053
ENSPANG00000014909	0.0053803077066966	0.177550154320988	0.0161409231200898	24	18	3.20072301432418
ENSPANG00000016434	0.0137707681978515	0.454435350529101	0.0232381713338744	24	16	4.68746524183458
ENSPANG00000016597	0.00180327581369248	0.0595081018518519	0.00695549242424242	24	6	8.12111273281606
ENSPANG00000017172	0.380704803491262	1	0.395347295933234	24	18	0.298749286888015
ENSPANG00000018115	0.115950877825878	1	0.130444737554113	20	15	3.00423087520464
ENSPANG00000018853	0.00875773275078831	0.289005180776014	0.0197048986892737	24	6	5.97978152153191
ENSPANG00000020758	0.000240024250440917	0.00792080026455026	0.00129613095238095	24	6	9.04354858495153
ENSPANG00000021065	0.0447368985823847	1	0.0575188696059232	24	20	1.90610749635221
ENSPANG00000021704	0.0137707681978515	0.454435350529101	0.0232381713338744	20	0	2.21407596438686
ENSPANG00000024927	0.502114329054433	1	0.502114329054433	0	NA	0
ENSPANG00000026255	1.63423253701031e-05	0.000539296737213404	0.000220621392496392	24	12	3.48228113142673
