ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSPANG00000000546	0.0499085355115	0.771228771229	0.0561471024504375	24	12	5.97879943091
ENSPANG00000000832	0.00458357683864	0.154845154845	0.012375657464328	24	14	37.9251268926
ENSPANG00000000866	0.000303320964553	0.00999000999001	0.002729888680977	24	20	22.3434757474
ENSPANG00000004699	0.00304494423385	0.10989010989	0.0102766867892438	24	22	12.1470317416
ENSPANG00000005164	0.0141061530844	0.370629370629	0.0211592296266	24	10	1.0613074941
ENSPANG00000006538	0.0499085355115	0.771228771229	0.0561471024504375	24	22	26.0501939631
ENSPANG00000006688	0.136285565796	0.992007992008	0.136285565796	24	20	10.8453389171
ENSPANG00000006849	0.00986438530634	0.285714285714	0.0166461502044488	24	22	8.40990371195
ENSPANG00000006882	0.00678191623973	0.202797202797	0.0152593115393925	24	22	7.77843814759
ENSPANG00000008425	0.000181393054767	0.00599400599401	0.0024488062393545	24	2	3.68914729411
ENSPANG00000008563	0.00127564064606	0.0629370629371	0.00574038290727	24	4	32.5294991316
ENSPANG00000008968	0.00458357683864	0.154845154845	0.012375657464328	24	0	4.00608880747
ENSPANG00000009083	0.0274269731762	0.572427572428	0.0352632512265429	24	12	5.42508344441
ENSPANG00000010205	0.00986438530634	0.285714285714	0.0166461502044488	24	10	46.8063148296
ENSPANG00000012477	0.000498304577025	0.023976023976	0.00336355589491875	24	22	45.8353922532
ENSPANG00000013724	0.00986438530634	0.285714285714	0.0166461502044488	24	16	38.963624403
ENSPANG00000014909	0.0274269731762	0.572427572428	0.0352632512265429	24	14	12.4429885565
ENSPANG00000016434	0.00127564064606	0.0629370629371	0.00574038290727	24	22	24.8315539457
ENSPANG00000016597	0.000106567103462	0.003996003996	0.0024488062393545	24	8	24.0926779539
ENSPANG00000017172	0.108544481499	0.969030969031	0.112719269248962	24	22	1.71437176401
ENSPANG00000018115	0.0141061530844	0.370629370629	0.0211592296266	24	18	14.3972615182
ENSPANG00000018853	0.00198807980606	0.0839160839161	0.00766830782337429	24	16	19.2681479209
ENSPANG00000020758	0.0274269731762	0.572427572428	0.0352632512265429	24	12	39.9364009779
ENSPANG00000021065	0.0851172157144	0.92007992008	0.091926592971552	24	6	8.26750827462
ENSPANG00000021704	0.00986438530634	0.285714285714	0.0166461502044488	24	4	23.3992445789
ENSPANG00000024927	0.0323268404993	0.572427572428	0.0396738497036864	24	6	0.208367178747
ENSPANG00000026255	0.00678191623973	0.202797202797	0.0152593115393925	24	18	8.76097359186
