ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSPANG00000000437	0.174770201185132	1	0.204518320535793	0	NA	0
ENSPANG00000000546	0.00318164699241088	0.104994350749559	0.0109369115364124	20	15	4.55733456986008
ENSPANG00000000546	0.000240024250440917	0.00792080026455026	0.00264026675485009	20	13	1.42493660494212
ENSPANG00000000832	0.0628691469924109	1	0.086445077114565	20	15	13.4171027307692
ENSPANG00000000832	0.000498883511036289	0.0164631558641975	0.00342982413837449	24	19	4.43013064672566
ENSPANG00000000866	0.115950877825878	1	0.144938597282348	20	13	3.29789058764038
ENSPANG00000000866	0.00180327581369248	0.0595081018518519	0.00826501414609053	24	16	9.41722602767303
ENSPANG00000004699	0.0053803077066966	0.177550154320988	0.0147958461934156	20	3	0.944839583238515
ENSPANG00000004699	0.0310502428384373	1	0.0474378710031681	24	18	1.2805798855099
ENSPANG00000005164	0.545204700777617	1	0.555301084125351	20	13	0.288290606716619
ENSPANG00000005164	0.0538030227873978	1	0.0799774663055913	20	19	0.302587576297613
ENSPANG00000006538	0.000498883511036289	0.0164631558641975	0.00342982413837449	22	14	6.73093687530613
ENSPANG00000006538	1.63423253701031e-05	0.000539296737213404	0.000449413947677835	20	12	9.29178384299252
ENSPANG00000006688	0.196949943382235	1	0.22106626298006	22	4	1.10171862161877
ENSPANG00000006688	0.00097448108732831	0.0321578758818342	0.00535964598030571	24	21	0.180034292438879
ENSPANG00000006849	0.00875773275078831	0.289005180776014	0.020942404404059	24	14	3.16700561148052
ENSPANG00000006849	0.196949943382235	1	0.22106626298006	20	13	1.89897757377397
ENSPANG00000006882	0.0628691469924109	1	0.086445077114565	22	15	0.929423231436871
ENSPANG00000006882	0.0053803077066966	0.177550154320988	0.0147958461934156	24	14	0.389848884973277
ENSPANG00000008425	0.000240024250440917	0.00792080026455026	0.00264026675485009	24	3	0.808767815349456
ENSPANG00000008425	0.000240024250440917	0.00792080026455026	0.00264026675485009	22	4	1.70251761066659
ENSPANG00000008563	0.0137707681978515	0.454435350529101	0.0270497232457797	20	3	10.8672756359628
ENSPANG00000008563	0.115950877825878	1	0.144938597282348	22	16	12.0202155376291
ENSPANG00000008968	0.152590458988028	1	0.182445114007425	24	16	5.67358502129578
ENSPANG00000008968	0.459023957331249	1	0.476345616098466	22	8	1.66497244732822
ENSPANG00000009083	0.0310502428384373	1	0.0474378710031681	20	13	2.17141859248657
ENSPANG00000009083	0.0628691469924109	1	0.086445077114565	20	15	3.46810673114631
ENSPANG00000010205	0.00875773275078831	0.289005180776014	0.020942404404059	24	19	4.19824901299396
ENSPANG00000010205	0.0053803077066966	0.177550154320988	0.0147958461934156	22	15	7.43970677628004
ENSPANG00000012477	0.0310502428384373	1	0.0474378710031681	22	15	2.12927705870798
ENSPANG00000012477	0.0209803516313933	0.692351603835979	0.0384639779908877	24	18	1.61169044430464
ENSPANG00000013724	0.00318164699241088	0.104994350749559	0.0109369115364124	24	6	4.83167847703641
ENSPANG00000013724	0.00097448108732831	0.0321578758818342	0.00535964598030571	24	4	4.50983084048816
ENSPANG00000014909	0.0310502428384373	1	0.0474378710031681	24	18	5.18496748039543
ENSPANG00000014909	0.0137707681978515	0.454435350529101	0.0270497232457797	24	18	6.39207339357968
ENSPANG00000016434	0.0137707681978515	0.454435350529101	0.0270497232457797	24	18	11.1992921651983
ENSPANG00000016434	0.0863171145983646	1	0.113034316735954	22	15	8.42127669379613
ENSPANG00000016597	0.00318164699241088	0.104994350749559	0.0109369115364124	24	8	4.386742524276
ENSPANG00000016597	0.0137707681978515	0.454435350529101	0.0270497232457797	24	6	1.33355116047609
ENSPANG00000017172	0.310810013995778	1	0.341891015395356	20	9	0.837211465533627
ENSPANG00000017172	0.459023957331249	1	0.476345616098466	22	5	0.280451004600426
ENSPANG00000018115	0.0209803516313933	0.692351603835979	0.0384639779908877	24	16	1.16326078452006
ENSPANG00000018115	0.0310502428384373	1	0.0474378710031681	20	13	1.21328127224496
ENSPANG00000018853	0.0310502428384373	1	0.0474378710031681	22	5	7.37225846159089
ENSPANG00000018853	0.0137707681978515	0.454435350529101	0.0270497232457797	24	10	2.53362720269198
ENSPANG00000020758	1.46554834054834e-06	4.83630952380952e-05	8.06051587301587e-05	24	7	9.46393186062687
ENSPANG00000020758	0.0053803077066966	0.177550154320988	0.0147958461934156	22	11	0.325382110577841
ENSPANG00000021065	0.459023957331249	1	0.476345616098466	24	12	0.712446274329916
ENSPANG00000021065	0.00318164699241088	0.104994350749559	0.0109369115364124	24	16	1.59803342698708
ENSPANG00000021704	0.0863171145983646	1	0.113034316735954	20	5	3.62874132885482
ENSPANG00000021704	0.00875773275078831	0.289005180776014	0.020942404404059	20	0	1.08298838675698
ENSPANG00000024927	0.134270668406953	1	0.164108594719609	24	4	0.142391136167712
ENSPANG00000024927	0.591782977342873	1	0.591782977342873	0	NA	0
ENSPANG00000026255	0.000498883511036289	0.0164631558641975	0.00342982413837449	20	10	5.68815757550916
ENSPANG00000026255	0.00180327581369248	0.0595081018518519	0.00826501414609053	22	14	1.75270074246662
