ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSPANG00000000040	0.000107423440756774	0.00354497354497354	0.0188722917294346	24	18	8.38386368916511
ENSPANG00000000041	0.0310502428384373	1	0.11152555206877	22	18	31.7511671681115
ENSPANG00000000053	0.310810013995778	1	0.413697418512239	0	NA	0
ENSPANG00000000059	0.152590458988028	1	0.269882029853037	22	15	5.90608976439102
ENSPANG00000000060	0.0628691469924109	1	0.162741103135957	24	18	3.1830926174826
ENSPANG00000000062	0.459023957331249	1	0.506866694699177	20	13	29.5636206232006
ENSPANG00000000063	0.00428097734955374	0.141272252535273	0.0512604167502733	24	4	0.245747568821249
ENSPANG00000000071	0.0447368985823847	1	0.135149054731025	20	15	9.98233966976894
ENSPANG00000000072	0.380704803491262	1	0.471479409204029	24	0	2.95138723391895
ENSPANG00000000085	0.0137707681978515	0.454435350529101	0.0768691589312332	24	0	6.77628628306513
ENSPANG00000000090	0.0173755599146224	0.57339347718254	0.0924766698459015	24	4	0.225354133654719
ENSPANG00000000093	0.502114329054433	1	0.532455676478722	0	NA	0
ENSPANG00000000094	0.249579521237507	1	0.360045822597367	20	15	0.0541480936104274
ENSPANG00000000102	0.0209803516313933	0.692351603835979	0.0924766698459015	24	6	1.69160787701806
ENSPANG00000000103	0.00097448108732831	0.0321578758818342	0.0313461350968163	20	4	3.06296399771689
ENSPANG00000000107	0.34575740874352	1	0.455961700369764	0	NA	0
ENSPANG00000000112	0.419864380411255	1	0.484368007622654	0	NA	0
ENSPANG00000000116	0.249579521237507	1	0.360045822597367	20	19	0.250198796279416
ENSPANG00000000117	0.000498883511036289	0.0164631558641975	0.0271280635746162	24	4	1.38148057533359
ENSPANG00000000122	0.502114329054433	1	0.532455676478722	20	5	0.0996956713536666
ENSPANG00000000123	0.0447368985823847	1	0.135149054731025	24	0	0.101289041699965
ENSPANG00000000126	0.310810013995778	1	0.413697418512239	24	2	0.470051980171495
ENSPANG00000000127	0.101133996212121	1	0.224310377003771	20	5	3.74250824443547
ENSPANG00000000131	0.0137707681978515	0.454435350529101	0.0768691589312332	24	5	39.8570258820436
ENSPANG00000000132	0.152590458988028	1	0.269882029853037	20	3	0.177494856060346
ENSPANG00000000141	0.00875773275078831	0.289005180776014	0.0631528522719227	24	17	9.03466252594045
ENSPANG00000000142	0.0053803077066966	0.177550154320988	0.0512604167502733	24	5	1.05849398828704
ENSPANG00000000147	0.196949943382235	1	0.312364954846408	22	18	28.35150745446
ENSPANG00000000148	0.419864380411255	1	0.484368007622654	0	NA	0
ENSPANG00000000171	0.174770201185132	1	0.303075301697224	22	9	0.07010426424857
ENSPANG00000000174	0.280194767616643	1	0.398317068280924	20	5	0.160004143970328
ENSPANG00000000175	0.788946947150072	1	0.788946947150072	0	NA	0
ENSPANG00000000181	0.00318164699241088	0.104994350749559	0.0440008568059453	24	6	1.19819430377421
ENSPANG00000000187	0.419864380411255	1	0.484368007622654	0	NA	0
ENSPANG00000000188	0.223264732309871	1	0.349866033663782	22	12	0.153569445836005
ENSPANG00000000194	0.196949943382235	1	0.312364954846408	20	7	1.46200826623592
ENSPANG00000000195	0.115950877825878	1	0.230531859694355	20	5	8.60848040083441
ENSPANG00000000200	0.0209803516313933	0.692351603835979	0.0924766698459015	24	19	1.12022636277382
ENSPANG00000000205	0.152590458988028	1	0.269882029853037	22	15	3.46143777411382
ENSPANG00000000206	0.380704803491262	1	0.471479409204029	24	4	27.6285198264878
ENSPANG00000000209	0.419864380411255	1	0.484368007622654	0	NA	0
ENSPANG00000000210	0.115950877825878	1	0.230531859694355	24	6	0.448661093889145
ENSPANG00000000217	0.249579521237507	1	0.360045822597367	22	6	6.36033064080649
ENSPANG00000000228	0.310810013995778	1	0.413697418512239	22	14	0.12191344639497
ENSPANG00000000239	0.0863171145983646	1	0.194606079690319	20	15	0.836435448544277
ENSPANG00000000242	0.000107423440756774	0.00354497354497354	0.0188722917294346	24	4	15.4386788815743
ENSPANG00000000243	0.459023957331249	1	0.506866694699177	22	3	1.62173738398889
ENSPANG00000000246	0.00180327581369248	0.0595081018518519	0.0372949164728353	24	4	66.9901180046562
ENSPANG00000000247	0.0209803516313933	0.692351603835979	0.0924766698459015	24	18	2.32440400851979
