ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSPANG00000000546	0.000107423440756774	0.00354497354497354	0.0004143475572047	20	13	1.64976828981991
ENSPANG00000000832	0.00180327581369248	0.0595081018518519	0.0048688446969697	24	20	4.90887973945813
ENSPANG00000000866	0.00875773275078831	0.289005180776014	0.0181891372516373	20	14	5.47590021897376
ENSPANG00000004699	0.0053803077066966	0.177550154320988	0.013206209825528	20	3	1.18632208092167
ENSPANG00000005164	0.380704803491262	1	0.380704803491262	20	10	0.185341932310716
ENSPANG00000006538	1.63423253701031e-05	0.000539296737213404	0.000110310696248196	24	14	12.680526212345
ENSPANG00000006688	0.152590458988028	1	0.179127930116381	24	22	3.6136994928965
ENSPANG00000006849	0.0310502428384373	1	0.0493150915669298	20	13	3.99247825972999
ENSPANG00000006882	0.0310502428384373	1	0.0493150915669298	20	13	1.20375757032153
ENSPANG00000008425	3.21502057613169e-07	1.06095679012346e-05	8.68055555555556e-06	24	4	1.85718202959688
ENSPANG00000008563	0.0863171145983646	1	0.110979147340754	24	2	5.6440051972408
ENSPANG00000008968	0.0447368985823847	1	0.0635734874591783	24	8	3.49889286510315
ENSPANG00000009083	0.0863171145983646	1	0.110979147340754	20	13	3.13110737466202
ENSPANG00000010205	0.000498883511036289	0.0164631558641975	0.00149665053310887	24	18	4.40688043268059
ENSPANG00000012477	0.0137707681978515	0.454435350529101	0.0247873827561327	22	8	0.223363475677016
ENSPANG00000013724	4.41292889209556e-05	0.00145626653439153	0.00023829816017316	24	4	4.47860287005951
ENSPANG00000014909	0.0447368985823847	1	0.0635734874591783	20	13	4.80497398388516
ENSPANG00000016434	0.152590458988028	1	0.179127930116381	20	13	17.3407879892314
ENSPANG00000016597	0.000498883511036289	0.0164631558641975	0.00149665053310887	24	5	8.55371398861631
ENSPANG00000017172	0.196949943382235	1	0.212705938852814	20	13	0.470139592986906
ENSPANG00000018115	0.196949943382235	1	0.212705938852814	22	13	0.920811173077712
ENSPANG00000018853	0.0137707681978515	0.454435350529101	0.0247873827561327	24	6	4.64586882469902
ENSPANG00000020758	0.000107423440756774	0.00354497354497354	0.0004143475572047	22	7	5.15400191092346
ENSPANG00000021065	0.00875773275078831	0.289005180776014	0.0181891372516373	24	17	0.726625840402413
ENSPANG00000021704	5.31939768050879e-06	0.00017554012345679	4.78745791245791e-05	22	21	5.38827593955411
ENSPANG00000024927	0.380704803491262	1	0.380704803491262	0	NA	0
ENSPANG00000026255	5.31939768050879e-06	0.00017554012345679	4.78745791245791e-05	24	9	5.83143284478069
