ID	pvalue	algorithm
ENSPANG00000000546	0.00152809298774481	ARS
ENSPANG00000000832	0.270131784835976	ARS
ENSPANG00000000866	0.055712800084314	ARS
ENSPANG00000004699	0.0293492659622445	ARS
ENSPANG00000005164	0.974653699830403	ARS
ENSPANG00000006538	3.06685036961518e-05	ARS
ENSPANG00000006688	0.355983566831095	ARS
ENSPANG00000006849	0.644656505193041	ARS
ENSPANG00000006882	0.466533710823438	ARS
ENSPANG00000008425	0.0373856991880765	ARS
ENSPANG00000008563	0.306940344726511	ARS
ENSPANG00000008968	0.179414216467283	ARS
ENSPANG00000009083	0.471876682630177	ARS
ENSPANG00000010205	0.440044024819633	ARS
ENSPANG00000012477	0.104589168497194	ARS
ENSPANG00000013724	0.0163353146560881	ARS
ENSPANG00000014909	0.317987995479615	ARS
ENSPANG00000016434	0.335972083701526	ARS
ENSPANG00000016597	0.300076078373863	ARS
ENSPANG00000017172	0.730185229396328	ARS
ENSPANG00000018115	0.930244473248317	ARS
ENSPANG00000018853	0.836252094271513	ARS
ENSPANG00000020758	0.0287519265042386	ARS
ENSPANG00000021065	0.436940778868118	ARS
ENSPANG00000021704	0.000894095175270726	ARS
ENSPANG00000024927	0.199802683823214	ARS
ENSPANG00000026255	0.0110833557817069	ARS
ENSPANG00000000546	0.0274838203532399	GeneCycle
ENSPANG00000000832	0.00335826947152059	GeneCycle
ENSPANG00000000866	0.0528461295401571	GeneCycle
ENSPANG00000004699	0.122633232174658	GeneCycle
ENSPANG00000005164	0.544954861179482	GeneCycle
ENSPANG00000006538	0.008744708158331	GeneCycle
ENSPANG00000006688	0.20331765864551	GeneCycle
ENSPANG00000006849	0.0341491352711733	GeneCycle
ENSPANG00000006882	0.290514798459328	GeneCycle
ENSPANG00000008425	0.00988976365891082	GeneCycle
ENSPANG00000008563	0.373887581948269	GeneCycle
ENSPANG00000008968	0.190660180530394	GeneCycle
ENSPANG00000009083	0.404866545133074	GeneCycle
ENSPANG00000010205	0.00496194521075211	GeneCycle
ENSPANG00000012477	0.0464001767552529	GeneCycle
ENSPANG00000013724	0.0185504365882574	GeneCycle
ENSPANG00000014909	0.0618343768528927	GeneCycle
ENSPANG00000016434	0.179805358301747	GeneCycle
ENSPANG00000016597	0.00617981659577866	GeneCycle
ENSPANG00000017172	0.427295894519789	GeneCycle
ENSPANG00000018115	0.63206761306656	GeneCycle
ENSPANG00000018853	0.049434473355692	GeneCycle
ENSPANG00000020758	0.00938341192474628	GeneCycle
ENSPANG00000021065	0.00626171375201775	GeneCycle
ENSPANG00000021704	0.0270765421512716	GeneCycle
ENSPANG00000024927	0.254009112011851	GeneCycle
ENSPANG00000026255	0.030473613597468	GeneCycle
ENSPANG00000000546	0.00354497354497354	JTK
ENSPANG00000000832	0.0595081018518519	JTK
ENSPANG00000000866	0.289005180776014	JTK
ENSPANG00000004699	0.177550154320988	JTK
ENSPANG00000005164	1	JTK
ENSPANG00000006538	0.000539296737213404	JTK
ENSPANG00000006688	1	JTK
ENSPANG00000006849	1	JTK
ENSPANG00000006882	1	JTK
ENSPANG00000008425	1.06095679012346e-05	JTK
ENSPANG00000008563	1	JTK
ENSPANG00000008968	1	JTK
ENSPANG00000009083	1	JTK
ENSPANG00000010205	0.0164631558641975	JTK
ENSPANG00000012477	0.454435350529101	JTK
ENSPANG00000013724	0.00145626653439153	JTK
ENSPANG00000014909	1	JTK
ENSPANG00000016434	1	JTK
ENSPANG00000016597	0.0164631558641975	JTK
ENSPANG00000017172	1	JTK
ENSPANG00000018115	1	JTK
ENSPANG00000018853	0.454435350529101	JTK
ENSPANG00000020758	0.00354497354497354	JTK
ENSPANG00000021065	0.289005180776014	JTK
ENSPANG00000021704	0.00017554012345679	JTK
ENSPANG00000024927	1	JTK
ENSPANG00000026255	0.00017554012345679	JTK
ENSPANG00000000546	0.112803936867829	LS
ENSPANG00000000832	0.242432686401672	LS
ENSPANG00000000866	0.163400197029984	LS
ENSPANG00000004699	0.536335687262666	LS
ENSPANG00000005164	0.999999977161485	LS
ENSPANG00000006538	0.0384085348253873	LS
ENSPANG00000006688	0.720113654626626	LS
ENSPANG00000006849	0.389357789503906	LS
ENSPANG00000006882	0.827521394520685	LS
ENSPANG00000008425	0.055961905277646	LS
ENSPANG00000008563	0.878626886340995	LS
ENSPANG00000008968	0.700012405690123	LS
ENSPANG00000009083	0.896269573977509	LS
ENSPANG00000010205	0.128678260559038	LS
ENSPANG00000012477	0.307462188382952	LS
ENSPANG00000013724	0.0850022484802831	LS
ENSPANG00000014909	0.381761745147609	LS
ENSPANG00000016434	0.430878776002673	LS
ENSPANG00000016597	0.0938528689319417	LS
ENSPANG00000017172	0.800051256265364	LS
ENSPANG00000018115	0.989761989683508	LS
ENSPANG00000018853	0.332124706282771	LS
ENSPANG00000020758	0.080799276787515	LS
ENSPANG00000021065	0.238874064798916	LS
ENSPANG00000021704	0.104745948950421	LS
ENSPANG00000024927	0.908831175404971	LS
ENSPANG00000026255	0.0997677271865651	LS
ENSPANG00000000546	0.0164160526435521	RAIN
ENSPANG00000000832	0.00699074575831753	RAIN
ENSPANG00000000866	0.0146491074918	RAIN
ENSPANG00000004699	0.0604864523025131	RAIN
ENSPANG00000005164	0.959224386627153	RAIN
ENSPANG00000006538	2.93889556987467e-06	RAIN
ENSPANG00000006688	0.484057188967414	RAIN
ENSPANG00000006849	0.203658574545272	RAIN
ENSPANG00000006882	0.164195216830619	RAIN
ENSPANG00000008425	4.73354886870691e-06	RAIN
ENSPANG00000008563	0.759881293503743	RAIN
ENSPANG00000008968	0.0868005403786496	RAIN
ENSPANG00000009083	0.591235319801704	RAIN
ENSPANG00000010205	0.000252298392570349	RAIN
ENSPANG00000012477	0.186761313384566	RAIN
ENSPANG00000013724	3.61252207575966e-05	RAIN
ENSPANG00000014909	0.105881198847381	RAIN
ENSPANG00000016434	0.797652780427588	RAIN
ENSPANG00000016597	0.00188205003154018	RAIN
ENSPANG00000017172	0.956637677750096	RAIN
ENSPANG00000018115	0.780309002500256	RAIN
ENSPANG00000018853	0.132177373101165	RAIN
ENSPANG00000020758	0.00308266209256376	RAIN
ENSPANG00000021065	0.183277383391185	RAIN
ENSPANG00000021704	1.3913814317988e-05	RAIN
ENSPANG00000024927	0.999998780346788	RAIN
ENSPANG00000026255	5.24620229905585e-05	RAIN
ENSPANG00000000546	0.0509490509491	empJTK
ENSPANG00000000832	0.00599400599401	empJTK
ENSPANG00000000866	0.027972027972	empJTK
ENSPANG00000004699	0.453546453546	empJTK
ENSPANG00000005164	0.363636363636	empJTK
ENSPANG00000006538	0.107892107892	empJTK
ENSPANG00000006688	0.363636363636	empJTK
ENSPANG00000006849	0.363636363636	empJTK
ENSPANG00000006882	0.218781218781	empJTK
ENSPANG00000008425	0.000999000999001	empJTK
ENSPANG00000008563	0.154845154845	empJTK
ENSPANG00000008968	0.0509490509491	empJTK
ENSPANG00000009083	0.962037962038	empJTK
ENSPANG00000010205	0.218781218781	empJTK
ENSPANG00000012477	0.218781218781	empJTK
ENSPANG00000013724	0.027972027972	empJTK
