ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSPANG00000000040	0.0447368985823847	1	0.0899202137951152	24	22	2.42827750211189
ENSPANG00000000041	0.152590458988028	1	0.217943090094747	24	20	15.6246295916037
ENSPANG00000000053	0.380704803491262	1	0.431003257369791	20	0	0.631132821775681
ENSPANG00000000059	0.310810013995778	1	0.366370699238001	24	22	1.97775276445338
ENSPANG00000000060	0.00180327581369248	0.0595081018518519	0.0119013052500884	24	21	2.54150600269605
ENSPANG00000000062	0.249579521237507	1	0.311063264362265	20	13	2.57735747991674
ENSPANG00000000063	0.0209803516313933	0.692351603835979	0.0529751248697073	22	5	0.150330544470535
ENSPANG00000000071	0.00318164699241088	0.104994350749559	0.0162877469042193	24	22	73.2277211869445
ENSPANG00000000072	0.115950877825878	1	0.179052428837324	20	10	0.469300732361071
ENSPANG00000000085	0.0137707681978515	0.454435350529101	0.0398076913824995	24	10	10.0112927876947
ENSPANG00000000090	0.310810013995778	1	0.366370699238001	24	8	0.200580870992972
ENSPANG00000000093	0.0447368985823847	1	0.0899202137951152	20	13	30.0951541422948
ENSPANG00000000094	0.0447368985823847	1	0.0899202137951152	0	NA	0
ENSPANG00000000102	0.00180327581369248	0.0595081018518519	0.0119013052500884	24	10	2.21278426894274
ENSPANG00000000103	0.0863171145983646	1	0.143658989780488	24	8	4.3532487004307
ENSPANG00000000112	0.249579521237507	1	0.311063264362265	20	0	2.51366443621602
ENSPANG00000000116	0.0863171145983646	1	0.143658989780488	20	19	0.0751523926162243
ENSPANG00000000117	0.0628691469924109	1	0.114498397060199	20	7	0.0949764053055511
ENSPANG00000000122	0.000240024250440917	0.00792080026455026	0.00500144324332543	24	11	1.3619929535411
ENSPANG00000000123	0.037893570710411	1	0.0844832014052803	20	10	0.199278181910558
ENSPANG00000000126	0.115950877825878	1	0.179052428837324	20	9	1.02369312022542
ENSPANG00000000127	0.0209803516313933	0.692351603835979	0.0529751248697073	24	0	889.497603053031
ENSPANG00000000131	0.00180327581369248	0.0595081018518519	0.0119013052500884	24	11	35.0419707109419
ENSPANG00000000132	0.638361253908129	1	0.643558455975316	20	0	0.0354604823954709
ENSPANG00000000141	0.196949943382235	1	0.26023990157224	24	20	2.17749113272312
ENSPANG00000000142	0.00180327581369248	0.0595081018518519	0.0119013052500884	24	10	2.40746554946138
ENSPANG00000000147	0.0053803077066966	0.177550154320988	0.0223789395718793	22	1	4.74039892079212
ENSPANG00000000174	0.249579521237507	1	0.311063264362265	0	NA	0
ENSPANG00000000175	0.00875773275078831	0.289005180776014	0.0299735089864429	24	4	18.7981693890621
ENSPANG00000000181	0.000107423440756774	0.00354497354497354	0.00413991305998108	22	12	1.17228822293687
ENSPANG00000000187	0.502114329054433	1	0.521049675025781	0	NA	0
ENSPANG00000000188	0.249579521237507	1	0.311063264362265	0	NA	0
ENSPANG00000000194	0.0863171145983646	1	0.143658989780488	24	16	0.886865240814612
ENSPANG00000000195	0.0447368985823847	1	0.0899202137951152	24	10	37.9524295023771
ENSPANG00000000200	0.196949943382235	1	0.26023990157224	20	15	1.42296824660305
ENSPANG00000000205	0.0628691469924109	1	0.114498397060199	24	2	0.425655661094611
ENSPANG00000000209	0.502114329054433	1	0.521049675025781	0	NA	0
ENSPANG00000000210	0.0310502428384373	1	0.0700636323465679	24	10	0.812217052834513
ENSPANG00000000217	0.0628691469924109	1	0.114498397060199	22	4	4.36432508605516
ENSPANG00000000222	0.502114329054433	1	0.521049675025781	0	NA	0
ENSPANG00000000228	0.380704803491262	1	0.431003257369791	22	10	0.0713309397493607
ENSPANG00000000239	0.0745931307953877	1	0.134536583921433	20	13	0.0460524102082889
