ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000000001	0.044368358957	0.485514485514	0.061433112402	24	14	381.364670837
ENSMUSG00000001175	0.00236743298497	0.047952047952	0.0167844389909063	24	14	2010.98529628
ENSMUSG00000001986	0.00807846704547	0.140859140859	0.0207732009740657	24	22	409.685680588
ENSMUSG00000002771	0.0104167975829	0.187812187812	0.0246713626963421	24	8	24.3290515203
ENSMUSG00000005034	0.0361333719259	0.437562437562	0.05420005788885	24	14	449.348465879
ENSMUSG00000005469	0.0130130391884	0.215784215784	0.0278850839751429	24	20	869.647233257
ENSMUSG00000005580	0.00236743298497	0.047952047952	0.0167844389909063	24	4	305.361356067
ENSMUSG00000015968	0.00642889823753	0.135864135864	0.01928669471259	24	14	249.202993479
ENSMUSG00000019370	0.0361333719259	0.437562437562	0.05420005788885	24	20	1101.86596489
ENSMUSG00000020431	0.019977670514	0.292707292707	0.0366936805359184	24	6	63.6929938524
ENSMUSG00000020524	0.398675737693	1	0.398675737693	24	14	47.2226147673
ENSMUSG00000020654	0.119323255909	0.793206793207	0.134238662897625	24	22	198.190170757
ENSMUSG00000020734	0.00511785720421	0.112887112887	0.0191919645157875	24	22	204.59366686
ENSMUSG00000020866	0.000531557622373	0.00599400599401	0.0167844389909063	24	22	18.9789612431
ENSMUSG00000020893	0.00807846704547	0.140859140859	0.0207732009740657	24	8	3109.94634192
ENSMUSG00000021180	0.0749000325656	0.642357642358	0.094943703252169	24	18	27.1918581892
ENSMUSG00000021250	0.00130020106243	0.031968031968	0.0167844389909063	24	12	145.625897342
ENSMUSG00000021313	0.00376315838082	0.0709290709291	0.0191919645157875	24	12	107.834448933
ENSMUSG00000021536	0.00642889823753	0.135864135864	0.01928669471259	24	20	22.3115676081
ENSMUSG00000021820	0.0907246096688	0.675324675325	0.111852258495781	24	22	122.741948184
ENSMUSG00000021933	0.00511785720421	0.112887112887	0.0191919645157875	24	8	15.9864334672
ENSMUSG00000022220	0.0617000545405	0.594405594406	0.0816618368918382	24	22	72.4639246065
ENSMUSG00000022376	0.119323255909	0.793206793207	0.134238662897625	24	18	10.7774132062
ENSMUSG00000022416	0.0749000325656	0.642357642358	0.094943703252169	24	22	15.4510294586
ENSMUSG00000022840	0.044368358957	0.485514485514	0.061433112402	24	20	224.161070686
ENSMUSG00000022994	0.00807846704547	0.140859140859	0.0207732009740657	24	8	499.5736073
ENSMUSG00000023439	0.00511785720421	0.112887112887	0.0191919645157875	24	8	137.241276103
ENSMUSG00000024112	0.00236743298497	0.047952047952	0.0167844389909063	24	14	5789.38906756
ENSMUSG00000024256	0.124471061712	0.793206793207	0.13830117968	24	22	1.67661471007
ENSMUSG00000024617	0.00511785720421	0.112887112887	0.0191919645157875	24	4	33.8409803524
ENSMUSG00000024639	0.00164173090746	0.033966033966	0.0167844389909063	24	20	212.641299589
ENSMUSG00000024960	0.00511785720421	0.112887112887	0.0191919645157875	24	20	623.413851
ENSMUSG00000025739	0.0247673097479	0.335664335664	0.0437070172021765	24	22	4.18320997411
ENSMUSG00000025892	0.00236743298497	0.047952047952	0.0167844389909063	24	4	54.5190684018
ENSMUSG00000025958	0.0104167975829	0.187812187812	0.0246713626963421	24	20	164.034269572
ENSMUSG00000026567	0.128419635307	0.809190809191	0.140948380215	24	20	7.76123599965
ENSMUSG00000026824	0.188910824895	0.907092907093	0.197697374890116	24	6	17.5829053396
ENSMUSG00000026959	0.000421779445602	0.003996003996	0.0167844389909063	24	8	245.184174524
ENSMUSG00000027523	0.0104167975829	0.187812187812	0.0246713626963421	24	8	8563.59207844
ENSMUSG00000027669	0.00642889823753	0.135864135864	0.01928669471259	24	6	81.1325651442
ENSMUSG00000028957	0.019977670514	0.292707292707	0.0366936805359184	24	0	1366.92604883
ENSMUSG00000029064	0.00642889823753	0.135864135864	0.01928669471259	24	16	694.891218996
ENSMUSG00000029334	0.179698391802	0.891108891109	0.190268885437412	24	20	78.3246682369
ENSMUSG00000029361	0.0507269108534	0.506493506494	0.0691730602546363	24	20	19.8290481447
ENSMUSG00000029663	0.0747706827074	0.594405594406	0.094943703252169	24	6	0.86845295736
ENSMUSG00000029713	0.0130130391884	0.215784215784	0.0278850839751429	24	22	541.480834168
ENSMUSG00000029778	0.019977670514	0.292707292707	0.0366936805359184	24	8	512.191222024
ENSMUSG00000030102	0.00298390026505	0.0679320679321	0.0167844389909063	24	0	401.659278956
ENSMUSG00000030209	0.0206134193664	0.292707292707	0.03710415485952	24	8	2.45467255379
ENSMUSG00000030592	0.00807846704547	0.140859140859	0.0207732009740657	24	8	75.4640710202
ENSMUSG00000031659	0.0361333719259	0.437562437562	0.05420005788885	24	0	140.390412162
ENSMUSG00000031748	0.00103044088479	0.017982017982	0.0167844389909063	24	8	333.32259934
ENSMUSG00000032034	0.044368358957	0.485514485514	0.061433112402	24	16	5.92147894792
ENSMUSG00000032192	0.044368358957	0.485514485514	0.061433112402	24	18	211.749424785
ENSMUSG00000032246	0.044368358957	0.485514485514	0.061433112402	24	16	31.0949718711
ENSMUSG00000032562	0.019977670514	0.292707292707	0.0366936805359184	24	12	574.202734145
ENSMUSG00000032766	0.0306844180204	0.361638361638	0.0511406967006667	24	16	117.827141835
ENSMUSG00000033765	0.0361333719259	0.437562437562	0.05420005788885	24	8	0.817684299948
ENSMUSG00000033981	0.0617000545405	0.594405594406	0.0816618368918382	24	8	92.2064600365
ENSMUSG00000036402	0.0995917205328	0.752247752248	0.11640590711626	24	12	196.837948748
ENSMUSG00000036438	0.119323255909	0.793206793207	0.134238662897625	24	12	870.485633216
ENSMUSG00000038026	0.0907246096688	0.675324675325	0.111852258495781	24	18	7.60885600578
ENSMUSG00000038473	0.303782421184	0.997002997003	0.307195706815281	24	4	51.0280681782
