ID	pvalue	algorithm
ENSMUSG00000000001	0.376260683473561	ARS
ENSMUSG00000001175	0.0182504935479555	ARS
ENSMUSG00000001986	0.00223404426186802	ARS
ENSMUSG00000002771	0.26496225417882	ARS
ENSMUSG00000005034	0.445899985791064	ARS
ENSMUSG00000005469	0.0143993679458503	ARS
ENSMUSG00000005580	0.0146963924016259	ARS
ENSMUSG00000015968	0.522207135655756	ARS
ENSMUSG00000019370	0.262324135449075	ARS
ENSMUSG00000020431	0.817511850281595	ARS
ENSMUSG00000020524	0.0561816494934799	ARS
ENSMUSG00000020654	0.286376755710633	ARS
ENSMUSG00000020734	0.311469306443466	ARS
ENSMUSG00000020866	0.0190481332246678	ARS
ENSMUSG00000020893	0.00932403270046889	ARS
ENSMUSG00000021180	0.864133058877796	ARS
ENSMUSG00000021250	0.334642099195891	ARS
ENSMUSG00000021313	0.00844971138731188	ARS
ENSMUSG00000021536	0.0351257413820826	ARS
ENSMUSG00000021820	0.778795071142605	ARS
ENSMUSG00000021933	0.0694738135533093	ARS
ENSMUSG00000022220	0.139671111945959	ARS
ENSMUSG00000022376	0.763087764893202	ARS
ENSMUSG00000022416	0.781294429680864	ARS
ENSMUSG00000022840	0.464180326512466	ARS
ENSMUSG00000022994	0.0663061425357632	ARS
ENSMUSG00000023439	0.0498457212154427	ARS
ENSMUSG00000024112	0.00091886306987532	ARS
ENSMUSG00000024256	0.694312200924838	ARS
ENSMUSG00000024617	0.0151332965986372	ARS
ENSMUSG00000024639	0.860542914658469	ARS
ENSMUSG00000024960	0.0536024444356692	ARS
ENSMUSG00000025739	0.579090177487434	ARS
ENSMUSG00000025892	0.0153971438846419	ARS
ENSMUSG00000025958	0.0688853777907033	ARS
ENSMUSG00000026567	0.638632989797279	ARS
ENSMUSG00000026824	0.18627912734426	ARS
ENSMUSG00000026959	0.116876849548837	ARS
ENSMUSG00000027523	0.0501067323582887	ARS
ENSMUSG00000027669	0.302951104944294	ARS
ENSMUSG00000028957	0.00263290921295611	ARS
ENSMUSG00000029064	0.0546432058619182	ARS
