ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000000001	0.152185475851	0.872127872128	0.164765948892072	24	4	239.792746256
ENSMUSG00000000028	0.220552418755	0.957042957043	0.226069775082697	24	8	20.6242543884
ENSMUSG00000000037	0.179698391802	0.892107892108	0.192306476898891	24	6	8.09177962932
ENSMUSG00000000049	0.0293908640412	0.363636363636	0.0604076056676579	24	18	68.5475458931
ENSMUSG00000000056	0.0617000545405	0.61038961039	0.0861379670071849	24	14	128.780856945
ENSMUSG00000000058	0.044368358957	0.504495504496	0.0715125162721835	24	22	1798.0533296
ENSMUSG00000000078	0.00298390026505	0.0599400599401	0.0281755843155403	24	10	1081.44583757
ENSMUSG00000000085	0.0617000545405	0.61038961039	0.0861379670071849	24	14	133.893821354
ENSMUSG00000000088	0.0995917205328	0.764235764236	0.118639195334253	24	12	2978.61899265
ENSMUSG00000000093	0.00298390026505	0.0599400599401	0.0281755843155403	24	10	157.794855075
ENSMUSG00000000094	0.0445962135015	0.504495504496	0.0717346903825218	24	14	9.10935763585
ENSMUSG00000000120	0.0161048451306	0.236763236763	0.0464641420179188	24	18	182.12382926
ENSMUSG00000000126	0.019977670514	0.296703296703	0.0485624661160052	24	14	100.348827894
ENSMUSG00000000127	0.00298390026505	0.0599400599401	0.0281755843155403	24	20	147.749070062
ENSMUSG00000000131	0.00833798907797	0.142857142857	0.0369677907965963	24	18	285.325638733
ENSMUSG00000000134	0.188910824895	0.907092907093	0.200202768484136	24	20	235.666454053
ENSMUSG00000000142	0.0247673097479	0.338661338661	0.0532891671263199	24	16	133.829175936
ENSMUSG00000000148	0.211339043256	0.908091908092	0.223407150182875	24	16	150.868083006
ENSMUSG00000000149	0.0247673097479	0.338661338661	0.0532891671263199	24	16	645.454232849
ENSMUSG00000000154	0.00511785720421	0.102897102897	0.0315931549101097	24	2	17.9604422481
ENSMUSG00000000159	0.00383038137613	0.0699300699301	0.0314865645972852	24	0	2.63169335011
ENSMUSG00000000167	0.044368358957	0.504495504496	0.0715125162721835	24	20	19.0637258717
ENSMUSG00000000168	0.0247673097479	0.338661338661	0.0532891671263199	24	16	4650.16673155
ENSMUSG00000000171	0.0130130391884	0.216783216783	0.0406377021206715	24	14	3287.4779487
ENSMUSG00000000184	0.220552418755	0.957042957043	0.226069775082697	24	20	368.816294536
ENSMUSG00000000194	0.0361333719259	0.452547452547	0.0629775631631405	24	14	184.571171852
ENSMUSG00000000197	0.044368358957	0.504495504496	0.0715125162721835	24	22	94.9424220228
ENSMUSG00000000202	0.0737507053369	0.61038961039	0.0992956515897113	24	0	2.10215945443
ENSMUSG00000000204	0.220552418755	0.957042957043	0.226069775082697	24	22	10.6274322447
ENSMUSG00000000214	0.0995917205328	0.764235764236	0.118639195334253	24	22	274.747819019
ENSMUSG00000000216	0.00131870421436	0.015984015984	0.0281755843155403	24	12	12.0944186962
ENSMUSG00000000223	0.119323255909	0.792207792208	0.138551276749002	24	18	97.7116268347
ENSMUSG00000000244	0.0306844180204	0.371628371628	0.0613418962532492	24	8	25.2648314961
ENSMUSG00000000247	0.0957092185258	0.688311688312	0.118639195334253	24	6	2.63169335011
ENSMUSG00000000248	0.0874222225419	0.677322677323	0.113526381383033	24	4	3.72135959883
ENSMUSG00000000253	0.00187938479483	0.024975024975	0.0281755843155403	24	20	1134.09190383
ENSMUSG00000000266	0.019977670514	0.296703296703	0.0485624661160052	24	6	86.4971406414
ENSMUSG00000000275	0.00807846704547	0.135864135864	0.0369677907965963	24	8	383.987625693
ENSMUSG00000000276	0.152185475851	0.872127872128	0.164765948892072	24	6	324.048050421
ENSMUSG00000000278	0.119323255909	0.792207792208	0.138551276749002	24	22	633.590297787
ENSMUSG00000000282	0.0361333719259	0.452547452547	0.0629775631631405	24	8	243.739425013
ENSMUSG00000000290	0.0306844180204	0.371628371628	0.0613418962532492	24	8	155.493812596
ENSMUSG00000000295	0.303782421184	0.995004995005	0.304872686768151	24	6	79.5486259071
ENSMUSG00000000296	0.0247673097479	0.338661338661	0.0532891671263199	24	14	66.5981728144
ENSMUSG00000000301	0.0104167975829	0.181818181818	0.0376066447732374	24	12	49.5499206552
ENSMUSG00000000303	0.0130130391884	0.216783216783	0.0406377021206715	24	20	31.2331577371
ENSMUSG00000000305	0.220552418755	0.957042957043	0.226069775082697	24	4	24.3188269105
ENSMUSG00000000308	0.0361333719259	0.452547452547	0.0629775631631405	24	6	28.0466940511
ENSMUSG00000000317	0.152185475851	0.872127872128	0.164765948892072	24	22	557.097383759
ENSMUSG00000000318	0.0130130391884	0.216783216783	0.0406377021206715	24	6	108.88335025
ENSMUSG00000000320	0.0293908640412	0.363636363636	0.0604076056676579	24	12	116.380595279
ENSMUSG00000000325	0.152185475851	0.872127872128	0.164765948892072	24	14	103.725894584
ENSMUSG00000000326	0.0293908640412	0.363636363636	0.0604076056676579	24	20	1114.317501
ENSMUSG00000000339	0.152185475851	0.872127872128	0.164765948892072	24	12	89.8465754577
ENSMUSG00000000340	0.00187938479483	0.024975024975	0.0281755843155403	24	18	1955.4678969
ENSMUSG00000000346	0.000421779445602	0.002997002997	0.0281755843155403	24	6	438.109280281
ENSMUSG00000000355	0.0995917205328	0.764235764236	0.118639195334253	24	22	239.211349506
ENSMUSG00000000359	0.0130130391884	0.216783216783	0.0406377021206715	24	20	17.7628224193
ENSMUSG00000000365	0.303782421184	0.995004995005	0.304872686768151	24	22	5.34045596847
ENSMUSG00000000374	0.044368358957	0.504495504496	0.0715125162721835	24	20	365.272533356
ENSMUSG00000000378	0.00130020106243	0.015984015984	0.0281755843155403	24	14	200.200000953
ENSMUSG00000000384	0.0361333719259	0.452547452547	0.0629775631631405	24	14	472.953849596
ENSMUSG00000000385	0.019977670514	0.296703296703	0.0485624661160052	24	0	9.66745314711
ENSMUSG00000000386	0.0995917205328	0.764235764236	0.118639195334253	24	6	35.4943261975
ENSMUSG00000000392	0.0907246096688	0.688311688312	0.116758946589504	24	18	72.052141564
ENSMUSG00000000399	0.220552418755	0.957042957043	0.226069775082697	24	6	1518.64025118
ENSMUSG00000000402	0.152185475851	0.872127872128	0.164765948892072	24	20	6.30770555512
ENSMUSG00000000409	0.0617000545405	0.61038961039	0.0861379670071849	24	6	37.3550059969
ENSMUSG00000000416	0.019977670514	0.296703296703	0.0485624661160052	24	0	18.1378124923
ENSMUSG00000000420	0.0995917205328	0.764235764236	0.118639195334253	24	6	229.808965008
ENSMUSG00000000435	0.0191026597131	0.245754245754	0.0485624661160052	24	14	2.80287927257
ENSMUSG00000000439	0.00642889823753	0.11988011988	0.0328114662209384	24	6	170.284530437
ENSMUSG00000000440	0.0247673097479	0.338661338661	0.0532891671263199	24	16	1769.27987113
ENSMUSG00000000441	0.00236743298497	0.042957042957	0.0281755843155403	24	18	207.964854402
ENSMUSG00000000486	0.0306844180204	0.371628371628	0.0613418962532492	24	22	37.448855655
ENSMUSG00000000489	0.0617000545405	0.61038961039	0.0861379670071849	24	22	1028.80247006
ENSMUSG00000000530	0.152185475851	0.872127872128	0.164765948892072	24	12	327.381913627
ENSMUSG00000000531	0.00130020106243	0.015984015984	0.0281755843155403	24	12	127.962656347
ENSMUSG00000000532	0.0293908640412	0.363636363636	0.0604076056676579	24	12	106.271865286
ENSMUSG00000000538	0.0544047197257	0.535464535465	0.0840105432772653	24	16	1038.04735067
ENSMUSG00000000552	0.0161048451306	0.236763236763	0.0464641420179188	24	12	114.009419453
ENSMUSG00000000555	0.00807846704547	0.135864135864	0.0369677907965963	24	10	2164.71864062
ENSMUSG00000000560	0.0995917205328	0.764235764236	0.118639195334253	24	0	6.9778176667
ENSMUSG00000000561	0.0617000545405	0.61038961039	0.0861379670071849	24	8	216.125565588
ENSMUSG00000000562	0.01311972274	0.216783216783	0.0408587848286166	24	6	8.37305909737
ENSMUSG00000000563	0.398675737693	1	0.398675737693	24	22	2794.59989786
ENSMUSG00000000567	0.00298390026505	0.0599400599401	0.0281755843155403	24	20	53.5177680993
ENSMUSG00000000568	0.0361333719259	0.452547452547	0.0629775631631405	24	12	360.699907949
ENSMUSG00000000581	0.0617000545405	0.61038961039	0.0861379670071849	24	22	263.860732106
ENSMUSG00000000594	0.0617000545405	0.61038961039	0.0861379670071849	24	14	551.224077264
ENSMUSG00000000600	0.00376315838082	0.0699300699301	0.0310621343510564	24	22	155.245745798
ENSMUSG00000000605	0.044368358957	0.504495504496	0.0715125162721835	24	16	210.755424671
ENSMUSG00000000627	0.044368358957	0.504495504496	0.0715125162721835	24	22	12.9117102327
ENSMUSG00000000628	0.0162547246309	0.245754245754	0.0464641420179188	24	16	3037.76542964
ENSMUSG00000000631	0.00164173090746	0.020979020979	0.0281755843155403	24	4	369.991112266
ENSMUSG00000000632	0.0161048451306	0.236763236763	0.0464641420179188	24	12	18.5158023028
ENSMUSG00000000673	0.188910824895	0.907092907093	0.200202768484136	24	12	21.1496169711
ENSMUSG00000000682	0.0617000545405	0.61038961039	0.0861379670071849	24	20	123.977917538
ENSMUSG00000000686	0.019977670514	0.296703296703	0.0485624661160052	24	8	130.781365987
ENSMUSG00000000690	0.0361333719259	0.452547452547	0.0629775631631405	24	20	172.53390785
ENSMUSG00000000693	0.0361333719259	0.452547452547	0.0629775631631405	24	20	313.539640905
ENSMUSG00000000708	0.00103044088479	0.010989010989	0.0281755843155403	24	4	322.512563964
ENSMUSG00000000711	0.019977670514	0.296703296703	0.0485624661160052	24	14	920.351939194
ENSMUSG00000000730	0.0298544061321	0.363636363636	0.0612418763628754	24	14	2.80287927257
ENSMUSG00000000731	0.00324265469605	0.0599400599401	0.0305284543416072	24	18	2.52308222205
ENSMUSG00000000732	0.0161048451306	0.236763236763	0.0464641420179188	24	12	108.379708204
ENSMUSG00000000738	0.044368358957	0.504495504496	0.0715125162721835	24	4	374.052914516
ENSMUSG00000000739	0.000421779445602	0.002997002997	0.0281755843155403	24	22	75.7298084043
ENSMUSG00000000740	0.0617000545405	0.61038961039	0.0861379670071849	24	22	99.9460758878
ENSMUSG00000000743	0.0361333719259	0.452547452547	0.0629775631631405	24	12	202.532508171
ENSMUSG00000000751	0.119323255909	0.792207792208	0.138551276749002	24	14	173.437378906
ENSMUSG00000000753	0.0104167975829	0.181818181818	0.0376066447732374	24	14	3124.62918709
ENSMUSG00000000759	0.00511785720421	0.102897102897	0.0315931549101097	24	4	178.830262318
ENSMUSG00000000776	0.0247673097479	0.338661338661	0.0532891671263199	24	20	95.5837796771
ENSMUSG00000000782	0.220552418755	0.957042957043	0.226069775082697	24	14	32.4152494192
ENSMUSG00000000787	0.019977670514	0.296703296703	0.0485624661160052	24	12	816.95514995
ENSMUSG00000000791	0.019977670514	0.296703296703	0.0485624661160052	24	4	4.02617934999
ENSMUSG00000000792	0.0361333719259	0.452547452547	0.0629775631631405	24	2	8.74130661699
ENSMUSG00000000794	0.0995917205328	0.764235764236	0.118639195334253	24	4	5.50357430176
ENSMUSG00000000804	0.0247673097479	0.338661338661	0.0532891671263199	24	12	172.615849144
ENSMUSG00000000805	0.128419635307	0.802197802198	0.146951006329117	24	12	891.273412279
ENSMUSG00000000811	0.019977670514	0.296703296703	0.0485624661160052	24	6	77.4614462437
ENSMUSG00000000817	0.119658276861	0.792207792208	0.138707874537271	24	12	3.72135959883
ENSMUSG00000000823	0.00236743298497	0.042957042957	0.0281755843155403	24	6	487.655680446
ENSMUSG00000000826	0.00298390026505	0.0599400599401	0.0281755843155403	24	8	405.052686451
ENSMUSG00000000827	0.000670320757451	0.00799200799201	0.0281755843155403	24	20	568.290123484
ENSMUSG00000000838	0.019977670514	0.296703296703	0.0485624661160052	24	6	131.314657215
ENSMUSG00000000861	0.0361333719259	0.452547452547	0.0629775631631405	24	0	25.5763147251
