ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000000001	0.0778781038374718	0.90049889135255	0.0945662689455015	18	12	NA
ENSMUSG00000001175	0.0694290465631929	0.930345782869025	0.0880816262368865	24	6	NA
ENSMUSG00000001986	0.00734478935698448	0.27910199556541	0.017837345581248	24	12	NA
ENSMUSG00000002771	0.00225999803478432	0.0858799253218041	0.0139880127494457	30	18	NA
ENSMUSG00000005034	0.0026330376940133	0.100055432372506	0.0139880127494457	24	24	NA
ENSMUSG00000005469	0.0604303822344502	0.986455981941309	0.0815330553956868	30	24	NA
ENSMUSG00000005580	0.0368625277161862	0.992655210643015	0.0569693610159241	24	12	NA
ENSMUSG00000015968	0.000138580931263858	0.00526607538802661	0.00392645971914264	24	18	NA
ENSMUSG00000019370	0.00734478935698448	0.231874800383264	0.017837345581248	24	24	NA
ENSMUSG00000020431	0.10317382332711	0.967672202024172	0.116930333104058	30	6	NA
ENSMUSG00000020524	0.00733634311512415	0.278781038374718	0.017837345581248	18	18	NA
ENSMUSG00000020654	0.0430183356840621	0.982269339738852	0.060942642219088	24	18	NA
ENSMUSG00000020734	0.00126156433978133	0.0454163162321278	0.0139880127494457	30	18	NA
ENSMUSG00000020866	0.0158730158730159	0.603174603174603	0.0321239606953893	18	12	NA
ENSMUSG00000020893	0.0183356840620592	0.514672686230248	0.0329782731376976	24	18	NA
ENSMUSG00000021180	0.00966183574879227	0.224446786090622	0.0216120010170353	30	12	NA
ENSMUSG00000021250	0.0210795273075695	0.750415742793792	0.0365665269621104	30	12	NA
ENSMUSG00000021313	0.118486696230599	0.957688688123471	0.129120117687191	24	12	NA
ENSMUSG00000021536	0.00966183574879227	0.226140103432064	0.0216120010170353	30	18	NA
ENSMUSG00000021820	0.0158730158730159	0.603174603174603	0.0321239606953893	18	12	NA
ENSMUSG00000021933	0.067703952901598	1	0.0880816262368865	30	6	NA
ENSMUSG00000022220	0.000138580931263858	0.00526607538802661	0.00392645971914264	24	18	NA
ENSMUSG00000022376	0.00483599663582843	0.169082125603865	0.017837345581248	30	18	NA
ENSMUSG00000022416	0.00966183574879227	0.259980836793357	0.0216120010170353	30	18	NA
ENSMUSG00000022840	0.0368625277161862	0.992655210643015	0.0569693610159241	24	18	NA
ENSMUSG00000022994	0.00734478935698448	0.27910199556541	0.017837345581248	24	12	NA
ENSMUSG00000023439	0.0406320541760722	0.784365393061045	0.060591659736248	18	18	NA
ENSMUSG00000024112	0.10317382332711	0.957493237560521	0.116930333104058	30	6	NA
ENSMUSG00000024256	0.956981664315938	1	0.956981664315938	24	18	NA
ENSMUSG00000024617	0.0330109335576114	0.995164003364172	0.0561185870479394	30	18	NA
ENSMUSG00000024639	0.00734478935698448	0.27910199556541	0.017837345581248	24	24	NA
ENSMUSG00000024960	0.0155252038911271	0.589957747862828	0.0321239606953893	30	30	NA
ENSMUSG00000025739	0.723946784922395	0.997740001965216	0.741391285763898	24	18	NA
ENSMUSG00000025892	0.00669957686882934	0.241184767277856	0.017837345581248	24	24	NA
ENSMUSG00000025958	0.0177383592017738	0.674057649667406	0.0329782731376976	24	6	NA
ENSMUSG00000026567	0.0694290465631929	0.966272739344045	0.0880816262368865	24	12	NA
