ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000000001	0.0311507936507937	0.373809523809524	0.0707733709151686	24	7	129.127211052516
ENSMUSG00000000028	0.108680555555556	1	0.143359591225947	30	7	22.1899136739958
ENSMUSG00000000037	0.00173611111111111	0.0208333333333333	0.0309960317460317	24	1	3.57513379989227
ENSMUSG00000000049	0.0610119047619048	0.732142857142857	0.0996995790994223	18	4	1.74841792728408
ENSMUSG00000000056	0.0610119047619048	0.732142857142857	0.0996995790994223	30	19	134.191626178882
ENSMUSG00000000058	0.398759920634921	1	0.410451833706183	18	13	156.606051969208
ENSMUSG00000000078	0.00173611111111111	0.0208333333333333	0.0309960317460317	24	13	329.449487187153
ENSMUSG00000000085	0.108680555555556	1	0.143359591225947	24	22	41.3228435472774
ENSMUSG00000000088	0.0141369047619048	0.169642857142857	0.0520006419096955	24	13	1469.81820767295
ENSMUSG00000000093	0.00173611111111111	0.0208333333333333	0.0309960317460317	30	1	72.6902250357458
ENSMUSG00000000094	0.178869047619048	1	0.20655619913548	30	19	17.8095427478521
ENSMUSG00000000120	0.108680555555556	1	0.143359591225947	30	16	23.5902056997671
ENSMUSG00000000126	0.00173611111111111	0.0208333333333333	0.0309960317460317	30	16	28.7740332817776
ENSMUSG00000000127	0.0311507936507937	0.373809523809524	0.0707733709151686	24	22	29.3275862890963
ENSMUSG00000000131	0.0311507936507937	0.373809523809524	0.0707733709151686	24	1	92.2900119789207
ENSMUSG00000000134	0.275099206349206	1	0.29459828637149	18	4	73.859347667466
ENSMUSG00000000142	0.0610119047619048	0.732142857142857	0.0996995790994223	18	10	58.4159456846457
ENSMUSG00000000148	0.0311507936507937	0.373809523809524	0.0707733709151686	30	16	72.9616210968732
ENSMUSG00000000149	0.719543650793651	1	0.719589713379324	30	4	190.972774885042
ENSMUSG00000000154	0.108680555555556	1	0.143359591225947	30	19	5.45195261451184
ENSMUSG00000000159	0.47358630952381	1	0.479323960309748	0	NA	0
ENSMUSG00000000167	0.108680555555556	1	0.143359591225947	30	13	4.81968648245915
ENSMUSG00000000168	0.108680555555556	1	0.143359591225947	30	4	2017.55711069051
ENSMUSG00000000171	0.00550595238095238	0.0660714285714286	0.0394559578418523	30	7	2405.17591163289
ENSMUSG00000000184	0.0311507936507937	0.373809523809524	0.0707733709151686	30	22	128.168824919266
ENSMUSG00000000194	0.398759920634921	1	0.410451833706183	30	25	36.3495520811482
ENSMUSG00000000197	0.0141369047619048	0.169642857142857	0.0520006419096955	18	4	1.82265771678158
ENSMUSG00000000204	0.0610119047619048	0.732142857142857	0.0996995790994223	24	1	3.45431113185884
ENSMUSG00000000214	0.143774801587302	1	0.186828310630247	18	10	1.27211019627515
ENSMUSG00000000216	0.0226438492063492	0.27172619047619	0.0707733709151686	24	4	1.82638399946098
ENSMUSG00000000223	0.0311507936507937	0.373809523809524	0.0707733709151686	30	22	21.9563059375236
ENSMUSG00000000244	0.00550595238095238	0.0660714285714286	0.0394559578418523	24	1	7.51776863369372
ENSMUSG00000000247	0.47358630952381	1	0.479323960309748	0	NA	0
ENSMUSG00000000248	0.47358630952381	1	0.479323960309748	0	NA	0
ENSMUSG00000000253	0.00550595238095238	0.0660714285714286	0.0394559578418523	24	1	489.846396835145
ENSMUSG00000000266	0.0141369047619048	0.169642857142857	0.0520006419096955	24	16	32.7722169421416
ENSMUSG00000000275	0.00550595238095238	0.0660714285714286	0.0394559578418523	30	25	143.738905584224
ENSMUSG00000000276	0.108680555555556	1	0.143359591225947	18	7	91.9218910783041
ENSMUSG00000000278	0.0311507936507937	0.373809523809524	0.0707733709151686	30	1	515.699947876256
ENSMUSG00000000282	0.178869047619048	1	0.20655619913548	18	4	62.2327702816947
ENSMUSG00000000290	0.178869047619048	1	0.20655619913548	18	10	34.5921244209005
ENSMUSG00000000295	0.0610119047619048	0.732142857142857	0.0996995790994223	18	4	16.6603966390799
ENSMUSG00000000296	0.0311507936507937	0.373809523809524	0.0707733709151686	30	19	37.3340967949647
ENSMUSG00000000301	0.0311507936507937	0.373809523809524	0.0707733709151686	18	4	14.8571848855956
ENSMUSG00000000303	0.275099206349206	1	0.29459828637149	18	13	5.0178200305664
ENSMUSG00000000305	0.178869047619048	1	0.20655619913548	18	16	5.16719243965922
ENSMUSG00000000308	0.336929563492063	1	0.358623263669211	18	10	3.05610221563639
ENSMUSG00000000317	0.0141369047619048	0.169642857142857	0.0520006419096955	30	28	303.196109200274
ENSMUSG00000000318	0.0610119047619048	0.732142857142857	0.0996995790994223	30	19	93.3360909007233
ENSMUSG00000000320	0.00550595238095238	0.0660714285714286	0.0394559578418523	24	16	21.2071944301745
ENSMUSG00000000325	0.00173611111111111	0.0208333333333333	0.0309960317460317	30	22	60.4590022481078
ENSMUSG00000000326	0.000396825396825397	0.00476190476190476	0.0283068783068783	24	22	574.02471949774
ENSMUSG00000000339	0.00173611111111111	0.0208333333333333	0.0309960317460317	30	7	60.2713247708468
ENSMUSG00000000340	0.178869047619048	1	0.20655619913548	30	4	342.523297941592
ENSMUSG00000000346	0.00550595238095238	0.0660714285714286	0.0394559578418523	24	10	162.394056354069
ENSMUSG00000000355	0.0141369047619048	0.169642857142857	0.0520006419096955	30	7	95.906040222041
ENSMUSG00000000359	0.108680555555556	1	0.143359591225947	30	16	26.5984877288754
ENSMUSG00000000365	0.178869047619048	1	0.20655619913548	30	1	2.49842472057606
ENSMUSG00000000374	0.00550595238095238	0.0660714285714286	0.0394559578418523	24	4	144.701375083
ENSMUSG00000000378	0.178869047619048	1	0.20655619913548	18	1	38.033624729117
ENSMUSG00000000384	0.0311507936507937	0.373809523809524	0.0707733709151686	24	16	346.064477078947
ENSMUSG00000000385	0.275099206349206	1	0.29459828637149	30	13	1.60620640986139
ENSMUSG00000000386	0.0311507936507937	0.373809523809524	0.0707733709151686	24	1	5.09996124656693
ENSMUSG00000000392	0.178869047619048	1	0.20655619913548	30	19	35.5592250174596
ENSMUSG00000000399	0.0141369047619048	0.169642857142857	0.0520006419096955	24	13	1138.04407469318
ENSMUSG00000000402	0.0311507936507937	0.373809523809524	0.0707733709151686	18	16	1.82638399946098
ENSMUSG00000000409	0.0141369047619048	0.169642857142857	0.0520006419096955	24	7	10.0640237329294
ENSMUSG00000000416	0.275099206349206	1	0.29459828637149	30	4	4.17052218342466
ENSMUSG00000000420	0.0311507936507937	0.373809523809524	0.0707733709151686	18	13	87.1094628992746
ENSMUSG00000000435	0.0460813492063492	0.552976190476191	0.0996995790994223	24	1	2.48728545748066
ENSMUSG00000000439	0.275099206349206	1	0.29459828637149	30	13	45.0269036285085
ENSMUSG00000000440	0.0610119047619048	0.732142857142857	0.0996995790994223	30	7	1548.03693367105
ENSMUSG00000000441	0.0311507936507937	0.373809523809524	0.0707733709151686	24	22	181.848131347941
ENSMUSG00000000486	0.0141369047619048	0.169642857142857	0.0520006419096955	24	16	27.0116087014948
ENSMUSG00000000489	0.0610119047619048	0.732142857142857	0.0996995790994223	24	10	272.083042794192
ENSMUSG00000000530	0.178869047619048	1	0.20655619913548	24	10	61.2571762583157
ENSMUSG00000000531	0.0610119047619048	0.732142857142857	0.0996995790994223	30	28	48.9265942294158
