ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000000001	0.00069290465631929	0.0256374722838137	0.00609756097560975	24	18	NA
ENSMUSG00000001175	0.0323277979758278	0.627207737594617	0.0453900336417157	30	24	NA
ENSMUSG00000001986	0.0634920634920635	0.857787810383747	0.0821661998132587	18	6	NA
ENSMUSG00000002771	0.00733634311512415	0.278781038374718	0.0146917917598211	18	18	NA
ENSMUSG00000005034	0.0498243372724369	0.881462849842296	0.0654409205966335	30	24	NA
ENSMUSG00000005469	0.00734478935698448	0.27910199556541	0.0146917917598211	24	24	NA
ENSMUSG00000005580	0.00126156433978133	0.0299717912552891	0.0100925147182506	30	6	NA
ENSMUSG00000015968	0.0138772077375946	0.404699165568731	0.0249223322634352	30	6	NA
ENSMUSG00000019370	0.0138772077375946	0.213916314057358	0.0249223322634352	30	30	NA
ENSMUSG00000020431	0.0186230248306998	0.707674943566591	0.0282556238810618	18	18	NA
ENSMUSG00000020524	0.0330109335576114	0.513774944567627	0.0453900336417157	30	18	NA
ENSMUSG00000020654	0.00176304654442877	0.0652327221438646	0.0105321507760532	24	18	NA
ENSMUSG00000020734	0.0694290465631929	0.999307095343681	0.0860529027825489	24	18	NA
ENSMUSG00000020866	0.0177383592017738	0.674057649667406	0.0282556238810618	24	6	NA
ENSMUSG00000020893	0.00733634311512415	0.278781038374718	0.0146917917598211	18	18	NA
ENSMUSG00000021180	0.000352609308885755	0.0133991537376587	0.00517160319699107	24	12	NA
ENSMUSG00000021250	0.00734478935698448	0.27910199556541	0.0146917917598211	24	6	NA
ENSMUSG00000021313	0.0778781038374718	0.9813769751693	0.0913769751693003	18	18	NA
ENSMUSG00000021536	0.0019163206643245	0.0689875439156819	0.0105321507760532	30	30	NA
ENSMUSG00000021820	0.0026330376940133	0.0974223946784922	0.0105321507760532	24	6	NA
ENSMUSG00000021933	0.956981664315938	1	0.956981664315938	24	12	NA
ENSMUSG00000022220	0.0177383592017738	0.674057649667406	0.0282556238810618	24	18	NA
ENSMUSG00000022376	0.00669957686882934	0.254583921015515	0.0146917917598211	24	12	NA
ENSMUSG00000022416	0.0330109335576114	0.879434589800443	0.0453900336417157	30	6	NA
ENSMUSG00000022840	0.00734478935698448	0.183574879227053	0.0146917917598211	24	6	NA
ENSMUSG00000022994	0.000352609308885755	0.0119887165021157	0.00517160319699107	24	12	NA
ENSMUSG00000023439	0.100926221654423	1	0.116861940863016	30	30	NA
ENSMUSG00000024112	0.00595238095238095	0.226190476190476	0.0146917917598211	18	6	NA
ENSMUSG00000024256	0.567703952901598	1	0.616764788337539	30	24	NA
ENSMUSG00000024617	0.0177383592017738	0.40051101884382	0.0282556238810618	24	6	NA
ENSMUSG00000024639	0.00734478935698448	0.27910199556541	0.0146917917598211	24	12	NA
ENSMUSG00000024960	0.00734478935698448	0.27910199556541	0.0146917917598211	24	12	NA
ENSMUSG00000025739	0.634696755994358	0.999680613222612	0.672931500331368	24	18	NA
ENSMUSG00000025892	0.00483599663582843	0.174095878889823	0.0146917917598211	30	24	NA
ENSMUSG00000025958	0.00648521175198978	0.246438046575612	0.0146917917598211	30	24	NA
ENSMUSG00000026567	0.067703952901598	0.986122792262405	0.0860529027825489	30	18	NA
ENSMUSG00000026824	0.119072708113804	0.999824376536705	0.136083094987205	30	18	NA
ENSMUSG00000026959	0.00225999803478432	0.0836199272870198	0.0105321507760532	30	30	NA
ENSMUSG00000027523	0.00373298199385156	0.128533813747228	0.0131400966183575	30	24	NA
ENSMUSG00000027669	0.0406320541760722	0.750415742793792	0.0550095502691439	18	6	NA
ENSMUSG00000028957	0.00069290465631929	0.0256374722838137	0.00609756097560975	24	24	NA
ENSMUSG00000029064	0.0026330376940133	0.0974223946784922	0.0105321507760532	24	24	NA
ENSMUSG00000029334	0.0138772077375946	0.527333894028595	0.0249223322634352	30	30	NA
ENSMUSG00000029361	0.00734478935698448	0.27910199556541	0.0146917917598211	24	6	NA
ENSMUSG00000029713	0.00595238095238095	0.226190476190476	0.0146917917598211	18	6	NA
ENSMUSG00000029778	0.00669957686882934	0.173913043478261	0.0146917917598211	24	12	NA
ENSMUSG00000030102	0.0694290465631929	0.982261640798226	0.0860529027825489	24	24	NA
ENSMUSG00000030209	0.153385049365303	1	0.173049799283932	24	6	NA
ENSMUSG00000030592	0.00734478935698448	0.235912531539108	0.0146917917598211	24	6	NA
ENSMUSG00000031659	0.000138580931263858	0.00512749445676275	0.00517160319699107	24	6	NA
