ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000000001	0.178869047619048	1	0.214013186122392	30	22	44.365539231063
ENSMUSG00000000028	0.178869047619048	1	0.214013186122392	18	1	4.12121232449021
ENSMUSG00000000037	0.275099206349206	1	0.302157566347903	18	16	2.19141182536913
ENSMUSG00000000049	0.00550595238095238	0.0660714285714286	0.0715064171991768	30	13	0.845330326859919
ENSMUSG00000000056	0.108680555555556	1	0.154690312976043	18	1	62.7061698184341
ENSMUSG00000000058	0.108680555555556	1	0.154690312976043	24	22	18.1312341536556
ENSMUSG00000000078	0.0311507936507937	0.373809523809524	0.0958184764298969	24	13	84.0985390362465
ENSMUSG00000000085	0.108680555555556	1	0.154690312976043	24	10	175.655380840551
ENSMUSG00000000088	0.108680555555556	1	0.154690312976043	18	7	160.292445268007
ENSMUSG00000000093	0.178869047619048	1	0.214013186122392	24	10	6.7371701313879
ENSMUSG00000000094	0.178869047619048	1	0.214013186122392	30	19	0.788448185500617
ENSMUSG00000000103	0.143774801587302	1	0.200869615136651	30	16	0.670704413838637
ENSMUSG00000000120	0.0610119047619048	0.732142857142857	0.117206900142585	24	10	22.5480452074696
ENSMUSG00000000125	0.108680555555556	1	0.154690312976043	18	16	37.5932281817816
ENSMUSG00000000126	0.275099206349206	1	0.302157566347903	30	22	4.89025282321721
ENSMUSG00000000127	0.0610119047619048	0.732142857142857	0.117206900142585	30	19	45.8670416960945
ENSMUSG00000000131	0.0311507936507937	0.373809523809524	0.0958184764298969	24	10	147.286520204834
ENSMUSG00000000134	0.0610119047619048	0.732142857142857	0.117206900142585	24	10	101.985441120356
ENSMUSG00000000142	0.00550595238095238	0.0660714285714286	0.0715064171991768	24	7	53.3591585263049
ENSMUSG00000000148	0.0311507936507937	0.373809523809524	0.0958184764298969	18	16	38.2681184359582
ENSMUSG00000000149	0.0311507936507937	0.373809523809524	0.0958184764298969	30	13	52.7891109152046
ENSMUSG00000000154	0.0610119047619048	0.732142857142857	0.117206900142585	30	28	1.35325188634068
ENSMUSG00000000157	0.47358630952381	1	0.480230479023434	0	NA	0
ENSMUSG00000000159	0.0610119047619048	0.732142857142857	0.117206900142585	24	7	2.57469808316533
ENSMUSG00000000167	0.275099206349206	1	0.302157566347903	18	10	2.49118360173133
ENSMUSG00000000168	0.178869047619048	1	0.214013186122392	18	7	134.727122652083
ENSMUSG00000000171	0.275099206349206	1	0.302157566347903	30	28	87.0846573342288
ENSMUSG00000000182	0.0610119047619048	0.732142857142857	0.117206900142585	30	28	0.860230162470643
ENSMUSG00000000184	0.0610119047619048	0.732142857142857	0.117206900142585	24	4	9.34006589940217
ENSMUSG00000000194	0.275099206349206	1	0.302157566347903	24	22	69.0154017475974
ENSMUSG00000000197	0.108680555555556	1	0.154690312976043	30	22	70.296956233816
ENSMUSG00000000202	0.0311507936507937	0.373809523809524	0.0958184764298969	30	4	27.1498386510718
