ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000000001	0.0749000325656	0.662337662338	0.0966506634914296	24	22	91.551665682
ENSMUSG00000000028	0.0995917205328	0.772227772228	0.116102230347548	24	0	30.7373374187
ENSMUSG00000000037	0.00642889823753	0.103896103896	0.0361309143073782	24	16	10.8425871434
ENSMUSG00000000049	0.00236743298497	0.038961038961	0.0330622325616471	24	20	3.5659810099
ENSMUSG00000000056	0.044368358957	0.501498501499	0.0690622434287515	24	14	369.36447449
ENSMUSG00000000058	0.0617000545405	0.618381618382	0.0836701974571537	24	0	70.8094386225
ENSMUSG00000000078	0.0104167975829	0.168831168831	0.0409265464667608	24	8	308.996588756
ENSMUSG00000000085	0.0247673097479	0.347652347652	0.0556850001288262	24	16	496.812172814
ENSMUSG00000000088	0.0293908640412	0.372627372627	0.0611142042941022	24	6	408.998428402
ENSMUSG00000000093	0.0247673097479	0.347652347652	0.0556850001288262	24	0	37.008328803
ENSMUSG00000000094	0.044368358957	0.501498501499	0.0690622434287515	24	14	4.15731840325
ENSMUSG00000000103	0.220709169467	0.965034965035	0.225272482450677	24	18	1.854009963
ENSMUSG00000000120	0.0247673097479	0.347652347652	0.0556850001288262	24	20	58.1325159638
ENSMUSG00000000125	0.0617000545405	0.618381618382	0.0836701974571537	24	12	91.7101136261
ENSMUSG00000000126	0.00236743298497	0.038961038961	0.0330622325616471	24	20	12.0521476619
ENSMUSG00000000127	0.0161048451306	0.216783216783	0.0510924896842072	24	20	122.81420973
ENSMUSG00000000131	0.019977670514	0.2997002997	0.0510924896842072	24	2	361.288996161
ENSMUSG00000000134	0.00642889823753	0.103896103896	0.0361309143073782	24	16	283.300428676
ENSMUSG00000000142	0.00298390026505	0.0559440559441	0.0330622325616471	24	10	180.90976622
ENSMUSG00000000148	0.264366668044	0.978021978022	0.267410748366916	24	20	129.630959209
ENSMUSG00000000149	0.00511785720421	0.0819180819181	0.0352083911277579	24	20	191.978254153
ENSMUSG00000000154	0.0104167975829	0.168831168831	0.0409265464667608	24	8	7.42184111197
ENSMUSG00000000157	0.0361333719259	0.455544455544	0.0611142042941022	24	0	0.573578731772
ENSMUSG00000000159	0.152185475851	0.885114885115	0.162740320951847	24	14	9.80059412848
ENSMUSG00000000167	0.044368358957	0.501498501499	0.0690622434287515	24	22	10.2220652502
ENSMUSG00000000168	0.0361333719259	0.455544455544	0.0611142042941022	24	6	357.222363151
ENSMUSG00000000171	0.0507269108534	0.534465534466	0.0773777366802085	24	12	326.611752609
ENSMUSG00000000182	0.019977670514	0.2997002997	0.0510924896842072	24	6	11.3700955763
ENSMUSG00000000184	0.0130130391884	0.201798201798	0.0442463996223287	24	22	58.7300263035
ENSMUSG00000000194	0.0617000545405	0.618381618382	0.0836701974571537	24	8	240.2944595
ENSMUSG00000000197	0.044368358957	0.501498501499	0.0690622434287515	24	22	425.501374054
ENSMUSG00000000202	0.0293908640412	0.372627372627	0.0611142042941022	24	12	88.4566447319
ENSMUSG00000000204	0.00924668229871	0.118881118881	0.0409265464667608	24	22	2.86789365886
ENSMUSG00000000214	0.0104167975829	0.168831168831	0.0409265464667608	24	2	51.2598725209
ENSMUSG00000000215	0.0247673097479	0.347652347652	0.0556850001288262	24	22	3.15551229562
ENSMUSG00000000216	0.0247673097479	0.347652347652	0.0556850001288262	24	0	15.1214962474
ENSMUSG00000000223	0.0749000325656	0.662337662338	0.0966506634914296	24	18	88.5807466615
ENSMUSG00000000244	0.0361333719259	0.455544455544	0.0611142042941022	24	14	1.28043123123
ENSMUSG00000000247	0.0247673097479	0.347652347652	0.0556850001288262	24	14	7.8687851943
ENSMUSG00000000253	0.0995917205328	0.772227772228	0.116102230347548	24	14	81.1846049868
ENSMUSG00000000263	0.0130130391884	0.201798201798	0.0442463996223287	24	14	54.1786549941
ENSMUSG00000000266	0.019977670514	0.2997002997	0.0510924896842072	24	22	210.99669986
ENSMUSG00000000275	0.0361333719259	0.455544455544	0.0611142042941022	24	20	30.069716718
ENSMUSG00000000276	0.128419635307	0.819180819181	0.143601302487689	24	6	351.974296196
ENSMUSG00000000278	0.00642889823753	0.103896103896	0.0361309143073782	24	10	128.868473969
ENSMUSG00000000282	0.00807846704547	0.116883116883	0.0409265464667608	24	8	489.167902244
ENSMUSG00000000290	0.0162547246309	0.230769230769	0.0510924896842072	24	8	24.0878867446
ENSMUSG00000000295	0.019977670514	0.2997002997	0.0510924896842072	24	14	19.6651165642
ENSMUSG00000000296	0.0130130391884	0.201798201798	0.0442463996223287	24	4	18.2388075582
ENSMUSG00000000301	0.128419635307	0.819180819181	0.143601302487689	24	12	11.0012901816
ENSMUSG00000000303	0.0361333719259	0.455544455544	0.0611142042941022	24	6	128.221630373
ENSMUSG00000000305	0.00164173090746	0.021978021978	0.0330622325616471	24	8	190.790421295
ENSMUSG00000000308	0.0104167975829	0.168831168831	0.0409265464667608	24	8	290.608750356
ENSMUSG00000000317	0.0361333719259	0.455544455544	0.0611142042941022	24	20	50.0344511043
ENSMUSG00000000318	0.0995917205328	0.772227772228	0.116102230347548	24	12	7.63796040945
ENSMUSG00000000320	0.0749000325656	0.662337662338	0.0966506634914296	24	18	14.9818691468
ENSMUSG00000000325	0.0828933476211	0.677322677323	0.105024574323797	24	12	129.546706073
ENSMUSG00000000326	0.00807846704547	0.116883116883	0.0409265464667608	24	20	315.325439657
ENSMUSG00000000339	0.152185475851	0.885114885115	0.162740320951847	24	20	117.135695487
ENSMUSG00000000340	0.019977670514	0.2997002997	0.0510924896842072	24	20	110.080741904
ENSMUSG00000000346	0.00236743298497	0.038961038961	0.0330622325616471	24	2	700.760051504
ENSMUSG00000000355	0.0247673097479	0.347652347652	0.0556850001288262	24	16	119.09234599
ENSMUSG00000000359	0.00103044088479	0.00999000999001	0.0330622325616471	24	20	11.0698587014
ENSMUSG00000000365	0.152185475851	0.885114885115	0.162740320951847	24	0	19.6549952223
ENSMUSG00000000374	0.119323255909	0.802197802198	0.135769337344482	24	18	292.513574109
ENSMUSG00000000378	0.119323255909	0.802197802198	0.135769337344482	24	0	61.7784721656
ENSMUSG00000000381	0.0361333719259	0.455544455544	0.0611142042941022	24	8	0.927004981499
ENSMUSG00000000384	0.00807846704547	0.116883116883	0.0409265464667608	24	8	146.657159051
ENSMUSG00000000385	0.0617000545405	0.618381618382	0.0836701974571537	24	0	8.83025882631
ENSMUSG00000000386	0.0617000545405	0.618381618382	0.0836701974571537	24	4	7.13540888485
ENSMUSG00000000392	0.00103044088479	0.00999000999001	0.0330622325616471	24	0	10.7156293922
ENSMUSG00000000394	0.00905511785231	0.118881118881	0.0409265464667608	24	22	1.26220491825
ENSMUSG00000000399	0.152185475851	0.885114885115	0.162740320951847	24	6	311.939473473
ENSMUSG00000000402	0.0104167975829	0.168831168831	0.0409265464667608	24	22	10.1647781791
ENSMUSG00000000409	0.211339043256	0.925074925075	0.221367115749987	24	4	7.02355742874
ENSMUSG00000000411	0.0361333719259	0.455544455544	0.0611142042941022	24	6	2.8094229715
ENSMUSG00000000416	0.0617000545405	0.618381618382	0.0836701974571537	24	20	343.685020434
ENSMUSG00000000420	0.0995917205328	0.772227772228	0.116102230347548	24	0	139.688846485
ENSMUSG00000000439	0.152185475851	0.885114885115	0.162740320951847	24	4	111.071151127
ENSMUSG00000000440	0.0104167975829	0.168831168831	0.0409265464667608	24	22	18.4027015471
ENSMUSG00000000441	0.119323255909	0.802197802198	0.135769337344482	24	16	340.737647047
ENSMUSG00000000486	0.128419635307	0.819180819181	0.143601302487689	24	6	4.87102369723
ENSMUSG00000000489	0.00407548664478	0.0669330669331	0.0352083911277579	24	6	32.2167158351
ENSMUSG00000000530	0.00103044088479	0.00999000999001	0.0330622325616471	24	12	54.8683312185
ENSMUSG00000000531	0.019977670514	0.2997002997	0.0510924896842072	24	8	51.2046932664
ENSMUSG00000000532	0.00103044088479	0.00999000999001	0.0330622325616471	24	20	404.898332165
ENSMUSG00000000538	0.019977670514	0.2997002997	0.0510924896842072	24	2	674.213090243
ENSMUSG00000000544	0.0333990378637	0.384615384615	0.0611142042941022	24	0	0.959281598844
ENSMUSG00000000552	0.0104167975829	0.168831168831	0.0409265464667608	24	2	1533.82883346
ENSMUSG00000000555	0.179698391802	0.903096903097	0.19006133931639	24	18	26.3299521141
ENSMUSG00000000560	0.0104167975829	0.168831168831	0.0409265464667608	24	0	102.369667355
ENSMUSG00000000561	0.00642889823753	0.103896103896	0.0361309143073782	24	8	198.870481009
ENSMUSG00000000562	0.220552418755	0.965034965035	0.22515273738219	24	8	5.34187740695
ENSMUSG00000000563	0.0995917205328	0.772227772228	0.116102230347548	24	6	807.20413834
ENSMUSG00000000567	0.152185475851	0.885114885115	0.162740320951847	24	4	176.341846971
ENSMUSG00000000568	0.119323255909	0.802197802198	0.135769337344482	24	22	421.044087952
ENSMUSG00000000579	0.0149044490294	0.201798201798	0.0502783008809811	24	20	1.42277891759
ENSMUSG00000000581	0.0361333719259	0.455544455544	0.0611142042941022	24	14	174.96357115
ENSMUSG00000000594	0.019977670514	0.2997002997	0.0510924896842072	24	2	369.409428904
ENSMUSG00000000600	0.00103044088479	0.00999000999001	0.0330622325616471	24	20	252.195636232
ENSMUSG00000000605	0.0130130391884	0.201798201798	0.0442463996223287	24	14	1012.46535373
ENSMUSG00000000627	0.00511785720421	0.0819180819181	0.0352083911277579	24	22	224.525133616
ENSMUSG00000000628	0.00511785720421	0.0819180819181	0.0352083911277579	24	4	78.1293088518
