ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000000001	0.0749000325656	0.69030969031	0.0952300414048343	24	22	91.551665682
ENSMUSG00000001175	0.019977670514	0.318681318681	0.0433661628230732	24	8	3113.66660757
ENSMUSG00000001986	0.0995917205328	0.771228771229	0.115112508148301	24	20	376.683322818
ENSMUSG00000002771	0.0247673097479	0.366633366633	0.0489842348347356	24	10	99.3018494737
ENSMUSG00000005034	0.0104167975829	0.198801198801	0.0319687925820034	24	14	1003.74989138
ENSMUSG00000005469	0.0361333719259	0.480519480519	0.0584703654800927	24	8	565.124058644
ENSMUSG00000005580	0.303782421184	0.998001998002	0.303782421184	24	4	75.9606596633
ENSMUSG00000015968	0.00298390026505	0.0569430569431	0.0241424657808591	24	10	428.083475949
ENSMUSG00000019370	0.0162547246309	0.262737262737	0.04133344263286	24	8	3700.08966422
ENSMUSG00000020431	0.0749000325656	0.69030969031	0.0952300414048343	24	20	2758.03166652
ENSMUSG00000020524	0.220552418755	0.961038961039	0.223058696240852	24	8	1948.37642557
ENSMUSG00000020654	0.0995917205328	0.771228771229	0.115112508148301	24	14	40.1765483818
ENSMUSG00000020734	0.00807846704547	0.12987012987	0.0299576486269513	24	4	2231.26196431
ENSMUSG00000020866	0.00511785720421	0.0929070929071	0.0284680806984181	24	2	2257.67096503
ENSMUSG00000020893	0.0104167975829	0.198801198801	0.0319687925820034	24	8	3411.34814027
ENSMUSG00000021180	0.0617000545405	0.632367632368	0.0819597739418582	24	22	144.499203374
ENSMUSG00000021250	0.0361333719259	0.480519480519	0.0584703654800927	24	12	772.972168637
ENSMUSG00000021313	0.00807846704547	0.12987012987	0.0299576486269513	24	22	1171.0409771
ENSMUSG00000021536	0.00298390026505	0.0569430569431	0.0241424657808591	24	20	110.154417516
ENSMUSG00000021820	0.00298390026505	0.0569430569431	0.0241424657808591	24	12	513.144068492
ENSMUSG00000021933	0.220552418755	0.961038961039	0.223058696240852	24	4	5.56781372836
ENSMUSG00000022220	0.152185475851	0.876123876124	0.161244135127845	24	20	27.6921930788
ENSMUSG00000022376	0.0361333719259	0.480519480519	0.0584703654800927	24	14	116.256632607
ENSMUSG00000022416	0.044368358957	0.521478521479	0.0669285414775085	24	18	442.707707789
ENSMUSG00000022840	0.00511785720421	0.0929070929071	0.0284680806984181	24	12	162.136064585
ENSMUSG00000022994	0.0828933476211	0.706293706294	0.103908562510956	24	6	166.954032491
ENSMUSG00000023439	0.0361333719259	0.480519480519	0.0584703654800927	24	8	6.4606268435
ENSMUSG00000024112	0.00298390026505	0.0569430569431	0.0241424657808591	24	4	43.9169272934
ENSMUSG00000024256	0.0361333719259	0.480519480519	0.0584703654800927	24	4	41.7406868786
ENSMUSG00000024617	0.019977670514	0.318681318681	0.0433661628230732	24	2	761.003714243
ENSMUSG00000024639	0.019977670514	0.318681318681	0.0433661628230732	24	8	845.844082718
ENSMUSG00000024960	0.00511785720421	0.0929070929071	0.0284680806984181	24	2	356.383895911
ENSMUSG00000025739	0.152185475851	0.876123876124	0.161244135127845	24	2	702.953663531
ENSMUSG00000025892	0.00103044088479	0.012987012987	0.0229273096865775	24	6	1153.5039601
ENSMUSG00000025958	0.0161048451306	0.254745254745	0.04133344263286	24	20	297.69763613
ENSMUSG00000026567	0.0544047197257	0.554445554446	0.0793773779604475	24	4	3.54018674137
ENSMUSG00000026824	0.0293908640412	0.395604395604	0.0556550404184426	24	12	516.726991491
ENSMUSG00000026959	0.019977670514	0.318681318681	0.0433661628230732	24	2	3075.36744747
ENSMUSG00000027523	0.00642889823753	0.120879120879	0.0286085971570085	24	16	1957.36824138
ENSMUSG00000027669	0.00642889823753	0.120879120879	0.0286085971570085	24	16	113.084720318
ENSMUSG00000028957	0.00376315838082	0.0609390609391	0.0257631612225369	24	14	951.59914838
ENSMUSG00000029064	0.128419635307	0.82017982018	0.141103056078062	24	18	479.786804281
ENSMUSG00000029334	0.220552418755	0.961038961039	0.223058696240852	24	12	8.80656548647
ENSMUSG00000029361	0.0617000545405	0.632367632368	0.0819597739418582	24	2	2590.36419897
ENSMUSG00000029713	0.0361333719259	0.480519480519	0.0584703654800927	24	2	481.897617861
ENSMUSG00000029778	0.0130130391884	0.231768231768	0.0386053495922533	24	16	278.026487316
ENSMUSG00000030102	0.00376315838082	0.0609390609391	0.0257631612225369	24	22	10080.2198066
ENSMUSG00000030209	0.152185475851	0.876123876124	0.161244135127845	24	0	32.7510193842
ENSMUSG00000030592	0.119323255909	0.802197802198	0.132747122198763	24	16	209.296992682
ENSMUSG00000031659	0.000670320757451	0.003996003996	0.0198861824710463	24	4	23.2896875557
ENSMUSG00000031748	0.0995917205328	0.771228771229	0.115112508148301	24	2	3451.16197149
ENSMUSG00000032034	0.0995917205328	0.771228771229	0.115112508148301	24	6	5.79496958682
ENSMUSG00000032192	0.00298390026505	0.0569430569431	0.0241424657808591	24	18	274.458824227
ENSMUSG00000032246	0.00642889823753	0.120879120879	0.0286085971570085	24	20	32.7449661599
ENSMUSG00000032562	0.019977670514	0.318681318681	0.0433661628230732	24	2	884.815301791
