ID	pvalue	algorithm
ENSMUSG00000000001	0.885202450879273	ARS
ENSMUSG00000001175	0.357580195971635	ARS
ENSMUSG00000001986	0.152647613272144	ARS
ENSMUSG00000002771	0.82440543540975	ARS
ENSMUSG00000005034	0.684104562338173	ARS
ENSMUSG00000005469	0.18462106090915	ARS
ENSMUSG00000005580	0.244281903920811	ARS
ENSMUSG00000015968	0.697423833105533	ARS
ENSMUSG00000019370	0.885202450879273	ARS
ENSMUSG00000020431	0.194434282579849	ARS
ENSMUSG00000020524	0.852659760059908	ARS
ENSMUSG00000020654	0.478071688522987	ARS
ENSMUSG00000020734	0.478071688522987	ARS
ENSMUSG00000020866	0.182121235410539	ARS
ENSMUSG00000020893	0.182121235410539	ARS
ENSMUSG00000021180	0.0408745518733082	ARS
ENSMUSG00000021250	0.18462106090915	ARS
ENSMUSG00000021313	0.81207694138312	ARS
ENSMUSG00000021536	0.815280487864885	ARS
ENSMUSG00000021820	0.764845660082463	ARS
ENSMUSG00000021933	0.410701974940581	ARS
ENSMUSG00000022220	0.194584560244218	ARS
ENSMUSG00000022376	0.175521845458116	ARS
ENSMUSG00000022416	0.227282845230357	ARS
ENSMUSG00000022840	0.454786281626407	ARS
ENSMUSG00000022994	0.143063480596169	ARS
ENSMUSG00000023439	0.143063480596169	ARS
ENSMUSG00000024112	0.8914252890918	ARS
ENSMUSG00000024256	0.143063480596169	ARS
ENSMUSG00000024617	0.182121235410539	ARS
ENSMUSG00000024639	0.0408745518733082	ARS
ENSMUSG00000024960	0.591641120975503	ARS
ENSMUSG00000025739	0.194584560244218	ARS
ENSMUSG00000025892	0.81207694138312	ARS
ENSMUSG00000025958	0.0408745518733082	ARS
ENSMUSG00000026567	0.357580195971635	ARS
ENSMUSG00000026824	0.126547882379407	ARS
ENSMUSG00000026959	0.885202450879273	ARS
ENSMUSG00000027523	0.0408745518733082	ARS
ENSMUSG00000027669	0.382518584134264	ARS
ENSMUSG00000028957	0.143063480596169	ARS
ENSMUSG00000029064	0.410701974940581	ARS
ENSMUSG00000029334	0.182121235410539	ARS
ENSMUSG00000029361	0.8914252890918	ARS
ENSMUSG00000029713	0.143063480596169	ARS
ENSMUSG00000029778	0.815280487864885	ARS
ENSMUSG00000030102	0.385490173582718	ARS
ENSMUSG00000030209	0.0408745518733082	ARS
ENSMUSG00000030592	0.852659760059908	ARS
ENSMUSG00000031659	0.815280487864885	ARS
ENSMUSG00000031748	0.815280487864885	ARS
ENSMUSG00000032034	0.900042369254914	ARS
ENSMUSG00000032192	0.58178583861958	ARS
ENSMUSG00000032246	0.211142625298578	ARS
ENSMUSG00000032562	0.143063480596169	ARS
ENSMUSG00000032766	0.815280487864885	ARS
ENSMUSG00000033981	0.402908628111328	ARS
ENSMUSG00000036402	0.143063480596169	ARS
ENSMUSG00000036438	0.357580195971635	ARS
ENSMUSG00000038026	0.143063480596169	ARS
ENSMUSG00000038473	0.33773551331881	ARS
ENSMUSG00000038607	0.815280487864885	ARS
ENSMUSG00000038811	0.876378298354839	ARS
ENSMUSG00000039943	0.182121235410539	ARS
ENSMUSG00000040061	0.526756416303434	ARS
ENSMUSG00000041624	0.885202450879273	ARS
ENSMUSG00000042644	0.821273008945404	ARS
ENSMUSG00000043301	0.182121235410539	ARS
ENSMUSG00000048240	0.33838673028444	ARS
ENSMUSG00000049892	0.186092789761198	ARS
ENSMUSG00000050901	0.461028240975376	ARS
ENSMUSG00000050965	0.132745462841263	ARS
ENSMUSG00000051177	0.182121235410539	ARS
ENSMUSG00000051331	0.228117123621984	ARS
ENSMUSG00000052889	0.837403472481211	ARS
ENSMUSG00000052920	0.911862210512357	ARS
ENSMUSG00000053819	0.182121235410539	ARS
ENSMUSG00000054764	0.496989603900616	ARS
ENSMUSG00000055866	0.33773551331881	ARS
ENSMUSG00000057378	0.18462106090915	ARS
ENSMUSG00000057614	0.988363546690518	ARS
ENSMUSG00000057897	0.984929769771236	ARS
ENSMUSG00000059003	0.900042369254914	ARS
ENSMUSG00000063065	0.189647587621082	ARS
ENSMUSG00000063130	0.461028240975376	ARS
ENSMUSG00000063358	0.885202450879273	ARS
ENSMUSG00000063594	0.182121235410539	ARS
ENSMUSG00000068523	0.993915056153602	ARS
ENSMUSG00000078816	0.228117123621984	ARS
ENSMUSG00000000001	0.799414569479373	GeneCycle
ENSMUSG00000001175	0.751396303900912	GeneCycle
ENSMUSG00000001986	0.751396303900912	GeneCycle
ENSMUSG00000002771	0.799414569479373	GeneCycle
ENSMUSG00000005034	0.799414569479373	GeneCycle
ENSMUSG00000005469	0.751396303900912	GeneCycle
ENSMUSG00000005580	0.775527975397849	GeneCycle
ENSMUSG00000015968	0.799414569479373	GeneCycle
ENSMUSG00000019370	0.799414569479373	GeneCycle
ENSMUSG00000020431	0.799414569479373	GeneCycle
ENSMUSG00000020524	0.857426662892732	GeneCycle
ENSMUSG00000020654	0.799414569479373	GeneCycle
ENSMUSG00000020734	0.799414569479373	GeneCycle
ENSMUSG00000020866	0.751396303900912	GeneCycle
ENSMUSG00000020893	0.799414569479373	GeneCycle
ENSMUSG00000021180	0.799414569479373	GeneCycle
ENSMUSG00000021250	0.799414569479373	GeneCycle
ENSMUSG00000021313	0.857426662892732	GeneCycle
ENSMUSG00000021536	0.799414569479373	GeneCycle
ENSMUSG00000021820	0.799414569479373	GeneCycle
ENSMUSG00000021933	0.751396303900912	GeneCycle
ENSMUSG00000022220	0.751396303900912	GeneCycle
ENSMUSG00000022376	0.751396303900912	GeneCycle
ENSMUSG00000022416	0.751396303900912	GeneCycle
ENSMUSG00000022840	0.799414569479373	GeneCycle
ENSMUSG00000022994	0.751396303900912	GeneCycle
ENSMUSG00000023439	0.751396303900912	GeneCycle
ENSMUSG00000024112	0.799414569479373	GeneCycle
ENSMUSG00000024256	0.751396303900912	GeneCycle
ENSMUSG00000024617	0.751396303900912	GeneCycle
ENSMUSG00000024639	0.751396303900912	GeneCycle
ENSMUSG00000024960	0.799414569479373	GeneCycle
ENSMUSG00000025739	0.799414569479373	GeneCycle
ENSMUSG00000025892	0.850491722467639	GeneCycle
ENSMUSG00000025958	0.751396303900912	GeneCycle
ENSMUSG00000026567	0.751396303900912	GeneCycle
ENSMUSG00000026824	0.751396303900912	GeneCycle
ENSMUSG00000026959	0.845031143586405	GeneCycle
ENSMUSG00000027523	0.751396303900912	GeneCycle
ENSMUSG00000027669	0.799414569479373	GeneCycle
ENSMUSG00000028957	0.751396303900912	GeneCycle
ENSMUSG00000029064	0.799414569479373	GeneCycle
ENSMUSG00000029334	0.751396303900912	GeneCycle
ENSMUSG00000029361	0.845031143586405	GeneCycle
ENSMUSG00000029713	0.751396303900912	GeneCycle
ENSMUSG00000029778	0.799414569479373	GeneCycle
ENSMUSG00000030102	0.751396303900912	GeneCycle
ENSMUSG00000030209	0.751396303900912	GeneCycle
ENSMUSG00000030592	0.857426662892732	GeneCycle
ENSMUSG00000031659	0.799414569479373	GeneCycle
ENSMUSG00000031748	0.799414569479373	GeneCycle
ENSMUSG00000032034	0.857426662892732	GeneCycle
ENSMUSG00000032192	0.775527975397849	GeneCycle
ENSMUSG00000032246	0.799414569479373	GeneCycle
ENSMUSG00000032562	0.751396303900912	GeneCycle
ENSMUSG00000032766	0.751396303900912	GeneCycle
ENSMUSG00000033981	0.799414569479373	GeneCycle
ENSMUSG00000036402	0.751396303900912	GeneCycle
ENSMUSG00000036438	0.799414569479373	GeneCycle
ENSMUSG00000038026	0.751396303900912	GeneCycle
ENSMUSG00000038473	0.751396303900912	GeneCycle
ENSMUSG00000038607	0.799414569479373	GeneCycle
ENSMUSG00000038811	0.869730647617766	GeneCycle
ENSMUSG00000039943	0.770285724152849	GeneCycle
ENSMUSG00000040061	0.799414569479373	GeneCycle
ENSMUSG00000041624	0.359536410250252	GeneCycle
ENSMUSG00000042644	0.857426662892732	GeneCycle
ENSMUSG00000043301	0.751396303900912	GeneCycle
ENSMUSG00000048240	0.799414569479373	GeneCycle
ENSMUSG00000049892	0.775527975397849	GeneCycle
ENSMUSG00000050901	0.799414569479373	GeneCycle
ENSMUSG00000050965	0.799414569479373	GeneCycle
ENSMUSG00000051177	0.799414569479373	GeneCycle
ENSMUSG00000051331	0.751396303900912	GeneCycle
ENSMUSG00000052889	0.88768809903602	GeneCycle
ENSMUSG00000052920	0.751396303900912	GeneCycle
ENSMUSG00000053819	0.751396303900912	GeneCycle
ENSMUSG00000054764	0.751396303900912	GeneCycle
ENSMUSG00000055866	0.751396303900912	GeneCycle
ENSMUSG00000057378	0.751396303900912	GeneCycle
ENSMUSG00000057614	0.850491722467639	GeneCycle
ENSMUSG00000057897	0.799414569479373	GeneCycle
ENSMUSG00000059003	0.850491722467639	GeneCycle
ENSMUSG00000063065	0.799414569479373	GeneCycle
ENSMUSG00000063130	0.799414569479373	GeneCycle
ENSMUSG00000063358	0.799414569479373	GeneCycle
ENSMUSG00000063594	0.850491722467639	GeneCycle
ENSMUSG00000068523	0.799414569479373	GeneCycle
ENSMUSG00000078816	0.751396303900912	GeneCycle
ENSMUSG00000000001	0.291474159108087	JTK
ENSMUSG00000001175	0.0924140211640213	JTK
ENSMUSG00000001986	0.0629092261904764	JTK
ENSMUSG00000002771	0.212257936507937	JTK
ENSMUSG00000005034	0.0924140211640213	JTK
ENSMUSG00000005469	0.151133897569445	JTK
ENSMUSG00000005580	0.151133897569445	JTK
ENSMUSG00000015968	0.0924140211640213	JTK
ENSMUSG00000019370	0.108601190476191	JTK
ENSMUSG00000020431	0.108601190476191	JTK
ENSMUSG00000020524	0.0924140211640213	JTK
ENSMUSG00000020654	0.151133897569445	JTK
ENSMUSG00000020734	0.212257936507937	JTK
ENSMUSG00000020866	0.108601190476191	JTK
ENSMUSG00000020893	0.108601190476191	JTK
ENSMUSG00000021180	0.291474159108087	JTK
ENSMUSG00000021250	0.291474159108087	JTK
ENSMUSG00000021313	0.0257523148148148	JTK
ENSMUSG00000021536	0.108601190476191	JTK
ENSMUSG00000021820	0.212257936507937	JTK
ENSMUSG00000021933	0.0629092261904764	JTK
ENSMUSG00000022220	0.108601190476191	JTK
ENSMUSG00000022376	0.0924140211640213	JTK
ENSMUSG00000022416	0.108601190476191	JTK
ENSMUSG00000022840	0.291474159108087	JTK
ENSMUSG00000022994	0.0257523148148148	JTK
ENSMUSG00000023439	0.0629092261904764	JTK
ENSMUSG00000024112	0.212257936507937	JTK
ENSMUSG00000024256	0.0629092261904764	JTK
ENSMUSG00000024617	0.0924140211640213	JTK
ENSMUSG00000024639	0.0257523148148148	JTK
ENSMUSG00000024960	0.291474159108087	JTK
ENSMUSG00000025739	0.0257523148148148	JTK
ENSMUSG00000025892	0.291474159108087	JTK
ENSMUSG00000025958	0.108601190476191	JTK
ENSMUSG00000026567	0.0924140211640213	JTK
ENSMUSG00000026824	0.0629092261904764	JTK
ENSMUSG00000026959	0.212257936507937	JTK
ENSMUSG00000027523	0.0629092261904764	JTK
ENSMUSG00000027669	0.108601190476191	JTK
ENSMUSG00000028957	0.0544477513227513	JTK
ENSMUSG00000029064	0.108601190476191	JTK
ENSMUSG00000029334	0.0924140211640213	JTK
ENSMUSG00000029361	0.212257936507937	JTK
