ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000000001	0.108680555555556	1	0.153206381534284	30	16	215.097798975024
ENSMUSG00000000028	0.398759920634921	1	0.415270923607768	30	4	10.2648133466161
ENSMUSG00000000037	0.178869047619048	1	0.21046851625187	30	28	4.41652699085883
ENSMUSG00000000049	0.108680555555556	1	0.153206381534284	30	16	12.8653663630143
ENSMUSG00000000056	0.178869047619048	1	0.21046851625187	18	4	11.3336942225106
ENSMUSG00000000058	0.108680555555556	1	0.153206381534284	18	4	1782.69714852764
ENSMUSG00000000078	0.0311507936507937	0.373809523809524	0.0942695581205551	18	1	414.788574562994
ENSMUSG00000000085	0.0610119047619048	0.732142857142857	0.116941736818786	18	13	43.4067442031907
ENSMUSG00000000088	0.275099206349206	1	0.298546043691857	18	10	112.51050507683
ENSMUSG00000000093	0.0141369047619048	0.169642857142857	0.0790643180349065	30	1	678.198112613149
ENSMUSG00000000094	0.0610119047619048	0.732142857142857	0.116941736818786	24	19	150.714618154994
ENSMUSG00000000103	0.226984126984127	1	0.264814814814815	30	1	0.437835743826924
ENSMUSG00000000120	0.0311507936507937	0.373809523809524	0.0942695581205551	18	10	3.10357800349759
ENSMUSG00000000125	0.0141369047619048	0.169642857142857	0.0790643180349065	18	10	0.848700892474503
ENSMUSG00000000126	0.0311507936507937	0.373809523809524	0.0942695581205551	30	1	33.9831299953048
ENSMUSG00000000127	0.0610119047619048	0.732142857142857	0.116941736818786	24	19	28.113111314475
ENSMUSG00000000131	0.178869047619048	1	0.21046851625187	18	13	37.5062803300606
ENSMUSG00000000134	0.0141369047619048	0.169642857142857	0.0790643180349065	18	10	62.4600420026056
ENSMUSG00000000142	0.0311507936507937	0.373809523809524	0.0942695581205551	30	16	145.103342238721
ENSMUSG00000000148	0.0311507936507937	0.373809523809524	0.0942695581205551	18	13	55.5081252132691
ENSMUSG00000000149	0.0141369047619048	0.169642857142857	0.0790643180349065	18	13	159.638388387679
ENSMUSG00000000154	0.0610119047619048	0.732142857142857	0.116941736818786	18	13	25.9213785255882
ENSMUSG00000000157	0.47358630952381	1	0.477616126588181	18	13	0.492664183960905
ENSMUSG00000000159	0.108680555555556	1	0.153206381534284	30	19	20.8733149095817
ENSMUSG00000000167	0.0311507936507937	0.373809523809524	0.0942695581205551	24	7	24.6808995614049
ENSMUSG00000000168	0.398759920634921	1	0.415270923607768	18	4	41.122083195863
ENSMUSG00000000171	0.0311507936507937	0.373809523809524	0.0942695581205551	24	7	114.090791458177
ENSMUSG00000000184	0.275099206349206	1	0.298546043691857	30	13	159.594660270368
ENSMUSG00000000194	0.0141369047619048	0.169642857142857	0.0790643180349065	18	13	94.0002016952932
ENSMUSG00000000197	0.00550595238095238	0.0660714285714286	0.066859649122807	30	4	3.91852051954047
ENSMUSG00000000202	0.00173611111111111	0.0208333333333333	0.0592537804076265	30	28	0.834163455354107
ENSMUSG00000000204	0.0141369047619048	0.169642857142857	0.0790643180349065	30	25	12.5440072310104
ENSMUSG00000000214	0.47358630952381	1	0.477616126588181	0	NA	0
ENSMUSG00000000215	0.47358630952381	1	0.477616126588181	0	NA	0
ENSMUSG00000000216	0.178869047619048	1	0.21046851625187	30	19	203.114564687741
ENSMUSG00000000223	0.0311507936507937	0.373809523809524	0.0942695581205551	30	28	8.29961161599444
ENSMUSG00000000244	0.00550595238095238	0.0660714285714286	0.066859649122807	24	7	13.9245322742089
ENSMUSG00000000247	0.108680555555556	1	0.153206381534284	24	22	0.443717652705303
ENSMUSG00000000248	0.108680555555556	1	0.153206381534284	18	1	0.875671487653851
ENSMUSG00000000253	0.0311507936507937	0.373809523809524	0.0942695581205551	30	1	38.1863435964736
ENSMUSG00000000266	0.0311507936507937	0.373809523809524	0.0942695581205551	18	1	247.146282620836
ENSMUSG00000000275	0.00550595238095238	0.0660714285714286	0.066859649122807	24	1	144.267960790357
ENSMUSG00000000276	0.0141369047619048	0.169642857142857	0.0790643180349065	30	25	71.6696735068804
ENSMUSG00000000278	0.108680555555556	1	0.153206381534284	18	10	65.2110841866315
ENSMUSG00000000282	0.0141369047619048	0.169642857142857	0.0790643180349065	30	4	35.3268966550038
ENSMUSG00000000290	0.0610119047619048	0.732142857142857	0.116941736818786	30	25	69.6096981530736
ENSMUSG00000000295	0.0311507936507937	0.373809523809524	0.0942695581205551	24	7	18.3529938300099
ENSMUSG00000000296	0.0610119047619048	0.732142857142857	0.116941736818786	24	7	6.16174091579135
ENSMUSG00000000301	0.178869047619048	1	0.21046851625187	30	1	4.03101032305767
ENSMUSG00000000303	0.0311507936507937	0.373809523809524	0.0942695581205551	24	1	335.903810669973
ENSMUSG00000000305	0.00550595238095238	0.0660714285714286	0.066859649122807	30	22	10.7684913627429
ENSMUSG00000000308	0.0311507936507937	0.373809523809524	0.0942695581205551	24	7	43.3287497364005
ENSMUSG00000000317	0.0311507936507937	0.373809523809524	0.0942695581205551	24	10	39.4307370972151
ENSMUSG00000000318	0.0311507936507937	0.373809523809524	0.0942695581205551	24	4	6.23310947308438
ENSMUSG00000000320	0.0141369047619048	0.169642857142857	0.0790643180349065	30	1	28.137421917948
ENSMUSG00000000325	0.108680555555556	1	0.153206381534284	30	13	164.849294354495
ENSMUSG00000000326	0.108680555555556	1	0.153206381534284	18	13	115.890265889356
ENSMUSG00000000339	0.108680555555556	1	0.153206381534284	30	28	55.2943506897425
ENSMUSG00000000340	0.0141369047619048	0.169642857142857	0.0790643180349065	24	19	62.1540469393279
ENSMUSG00000000346	0.00173611111111111	0.0208333333333333	0.0592537804076265	24	7	642.970774686535
ENSMUSG00000000355	0.398759920634921	1	0.415270923607768	18	4	41.6568491827149
