ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000000001	0.00550595238095238	0.0660714285714286	0.0521652444163506	24	1	71.9570887653541
ENSMUSG00000000028	0.0311507936507937	0.373809523809524	0.0864737416141912	18	7	18.6339264053013
ENSMUSG00000000037	0.0460813492063492	0.552976190476191	0.117480836759164	30	16	5.70544911964282
ENSMUSG00000000049	0.0311507936507937	0.373809523809524	0.0864737416141912	30	19	4.07193515718565
ENSMUSG00000000056	0.0311507936507937	0.373809523809524	0.0864737416141912	24	10	492.727817148757
ENSMUSG00000000058	0.00550595238095238	0.0660714285714286	0.0521652444163506	30	22	186.594137535157
ENSMUSG00000000078	0.0311507936507937	0.373809523809524	0.0864737416141912	24	10	186.126851745726
ENSMUSG00000000085	0.178869047619048	1	0.221026318537572	30	4	62.4726180710759
ENSMUSG00000000088	0.178869047619048	1	0.221026318537572	18	16	846.022911977883
ENSMUSG00000000093	0.0141369047619048	0.169642857142857	0.0668505752566046	30	28	6.49561048322496
ENSMUSG00000000094	0.0141369047619048	0.169642857142857	0.0668505752566046	30	1	32.2889660868644
ENSMUSG00000000120	0.275099206349206	1	0.30728372781261	30	13	17.9159568930749
ENSMUSG00000000125	0.0848462301587302	1	0.160924248272003	18	4	2.04788962111894
ENSMUSG00000000126	0.108680555555556	1	0.161213840907692	24	22	31.8356348140846
ENSMUSG00000000127	0.178869047619048	1	0.221026318537572	30	16	19.5109738374292
ENSMUSG00000000131	0.108680555555556	1	0.161213840907692	24	10	93.311022936567
ENSMUSG00000000134	0.275099206349206	1	0.30728372781261	18	13	28.6232482292118
ENSMUSG00000000142	0.548412698412698	1	0.550366174466287	30	7	37.8500169590188
ENSMUSG00000000148	0.178869047619048	1	0.221026318537572	24	10	8.24796410696967
ENSMUSG00000000149	0.0610119047619048	0.732142857142857	0.117480836759164	30	7	4.80728450042565
ENSMUSG00000000154	0.0311507936507937	0.373809523809524	0.0864737416141912	24	22	4.17415814118357
ENSMUSG00000000159	0.143774801587302	1	0.207334728689878	18	4	1.64350426503351
ENSMUSG00000000167	0.398759920634921	1	0.420079084589097	18	7	1.51135709317361
ENSMUSG00000000168	0.0610119047619048	0.732142857142857	0.117480836759164	30	1	340.906837139672
ENSMUSG00000000171	0.000396825396825397	0.00476190476190476	0.044254298941799	30	4	824.63455108892
ENSMUSG00000000182	0.108680555555556	1	0.161213840907692	18	4	3.70109578351815
