ID	CT18	CT20	CT22	CT24	CT26	CT28	CT30	CT32	CT34	CT36	CT38	CT40	CT42	CT44	CT46	CT48	CT50	CT52	CT54	CT56	CT58	CT60	CT62	CT64
ENSMUSG00000000001	368	375.6	373.8	406.4	377	371	396.4	374.9	292.8	368.1	345.1	414.9	393.3	419.3	350.6	370.6	367.8	401.6	368	389.1	363.3	476	384.4	381.7
ENSMUSG00000001175	2626.8	2376.8	2849.7	2637.6	2141.5	2517.7	2501.9	2486.8	2393.1	2521.5	2426.4	2633.5	2488	2746.9	2698	2565.4	2696.9	2250.3	2229.9	2618.4	2327.9	2677.2	2456.3	2559.8
ENSMUSG00000001986	84.7	89.5	79.8	107.5	64.6	86.8	99.2	89.9	63.6	85.8	78.9	88.2	94.8	98.3	82.3	87	88.2	94.7	88.8	102.3	87.1	131.5	88.8	111.9
ENSMUSG00000002771	66.4	54.2	65.7	66.4	57.2	59.9	60.3	60.6	71.8	64	68.2	57.2	69.2	58.9	65.5	70.3	68.6	52.3	60.6	67.8	62.6	63.9	58.2	61.6
ENSMUSG00000005034	853.7	891.1	872.6	903	783.4	853.4	819.6	843.2	789.9	877.4	874.8	998.1	883.1	901.7	865.7	850.4	870.7	936.9	926.5	858.7	821.3	968	979.1	986.6
ENSMUSG00000005469	486.7	565.6	484	549.3	541.2	548.4	566.9	608.7	450.6	522.9	491	531.5	517.5	467.1	384.1	556.2	448.4	507.9	531	501.4	529	453.9	424	487.9
ENSMUSG00000005580	319	365.4	316.6	321.9	364.6	402.5	421.8	428.5	387.8	396.6	374.9	341.5	348.7	299.8	294.7	358.4	306.3	396.5	439.6	376	372.7	412.7	378.9	355.5
ENSMUSG00000015968	92	97.6	116	93.8	83.3	136.6	125.4	118.5	98.7	129.5	101.5	115.7	96.9	106.4	102.9	113.4	135.4	124	112.5	140.8	122.6	130	112.5	101.9
ENSMUSG00000019370	863.3	942.5	930.3	945.3	773.4	1123.8	1061.7	982.7	844.4	1018.2	943.9	1009.9	988.4	960.3	982	1019.2	1082.1	1066.4	958.6	916.4	894.6	1001.3	1036.7	999.4
ENSMUSG00000020431	106.9	93.2	95.4	89.4	99.5	106.2	107.1	96.9	110.4	102.8	118.8	104.5	105.4	106.7	129.2	101.6	107.8	91.8	105.7	107.9	97.6	90.1	92.1	93.8
