ID	CT22	CT28	CT34	CT40	CT46	CT52	CT58	CT64
ENSMUSG00000000001	373.8	371	292.8	414.9	350.6	401.6	363.3	381.7
ENSMUSG00000001175	2849.7	2517.7	2393.1	2633.5	2698	2250.3	2327.9	2559.8
ENSMUSG00000001986	79.8	86.8	63.6	88.2	82.3	94.7	87.1	111.9
ENSMUSG00000002771	65.7	59.9	71.8	57.2	65.5	52.3	62.6	61.6
ENSMUSG00000005034	872.6	853.4	789.9	998.1	865.7	936.9	821.3	986.6
ENSMUSG00000005469	484	548.4	450.6	531.5	384.1	507.9	529	487.9
ENSMUSG00000005580	316.6	402.5	387.8	341.5	294.7	396.5	372.7	355.5
ENSMUSG00000015968	116	136.6	98.7	115.7	102.9	124	122.6	101.9
ENSMUSG00000019370	930.3	1123.8	844.4	1009.9	982	1066.4	894.6	999.4
ENSMUSG00000020431	95.4	106.2	110.4	104.5	129.2	91.8	97.6	93.8
ENSMUSG00000020524	46.7	43.5	50.1	54.1	55.7	48.4	48.7	44.6
ENSMUSG00000020654	329.9	530.5	690.5	479.8	338.7	523.6	538.4	389.7
ENSMUSG00000020734	56.5	53	72.3	59.3	70.8	56.5	70.6	58.1
ENSMUSG00000020866	91.2	80.4	82.1	82.4	106.9	82.7	88	77.7
ENSMUSG00000020893	302.1	239	682.3	337.2	263.9	407.6	729.9	227.2
ENSMUSG00000021180	226.6	235.7	196.3	226.2	173.5	262.4	248.6	212.2
ENSMUSG00000021250	90.9	163.9	75.6	83	83.1	76.2	87.9	68.2
ENSMUSG00000021313	885.6	810.1	506.9	607.2	362.2	444.1	326.1	382.9
ENSMUSG00000021536	60.6	54.6	82.3	70.2	61.4	64.2	63.7	93
ENSMUSG00000021820	508.4	510.9	417.4	493.1	496.1	492.9	464.4	558.5
ENSMUSG00000021933	39	36.8	46.7	36.6	45.6	38.9	43.8	39.1
ENSMUSG00000022220	384.5	395.3	367.6	302.9	302.6	347.8	382.6	301.2
ENSMUSG00000022376	40.3	32.8	42.5	36.5	36.9	33.1	37.2	35.4
ENSMUSG00000022416	50.4	50.1	56.7	49.2	54.9	46	52.1	57.3
ENSMUSG00000022840	1128.4	1021.1	1068.2	1149.8	1276.4	938.6	1314.3	1288.1
ENSMUSG00000022994	708.5	897.6	864.3	733.9	669.1	853.1	797.6	658.9
ENSMUSG00000023439	82.6	74.3	91.1	76.9	82.6	72.3	74.1	76.2
ENSMUSG00000024112	105.4	111.9	106.1	87.6	87.2	82.9	91.6	80.4
ENSMUSG00000024256	36.5	39.3	43.1	37.2	41	30.9	39.9	38.4
ENSMUSG00000024617	49.4	49.4	62.5	50.3	49.2	51.6	46.9	55.6
ENSMUSG00000024639	537.6	605	463.8	619.3	517.7	609.7	557.8	624.1
ENSMUSG00000024960	543.2	623.1	547.6	559.4	537.8	599.8	562.1	547.4
ENSMUSG00000025739	54.4	52.6	63.7	55.4	55.6	55.4	60.5	54.3
ENSMUSG00000025892	65.4	59.6	69.1	73.7	76.3	82.6	69.3	85.5
ENSMUSG00000025958	410.9	424.3	344.4	420.4	385.9	399.7	401	434.6
