ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000030751	0.324945058168405	1	0.350863420670532	26	11	1.4142135623731
ENSMUSG00000029446	0.190753585701057	1	0.241224302248354	26	16	1.34350288425444
ENSMUSG00000030967	0.174331021264942	1	0.227673885981511	26	11	44.8305699272271
ENSMUSG00000032112	0.257062944447241	1	0.295381072085449	22	6	7.14177848998415
ENSMUSG00000079477	0.0318681318636626	1	0.0891456750966083	26	11	23.6880771697493
ENSMUSG00000020936	0.0870280251852597	1	0.15130528382549	22	21	45.0427019615831
ENSMUSG00000071415	0.0554752083962169	1	0.117932991011958	28	23	3.04055915910216
ENSMUSG00000028646	0.0339306584366444	1	0.091418596299935	28	1	30.6177236253775
ENSMUSG00000055204	0.158964501948704	1	0.214931540132609	26	6	20.3646752981726
ENSMUSG00000022193	0.049254022236177	1	0.110708494746957	26	7	91.9945922323701
ENSMUSG00000008855	0.08254153760647	1	0.147519291486488	26	16	19.3747258045114
ENSMUSG00000029234	0.0298056052906808	1	0.085473361559231	20	11	4.49012806053458
ENSMUSG00000025261	0.312759419656759	1	0.34018547483665	28	21	36.5574205873445
ENSMUSG00000003346	0.0198678804931436	1	0.0682723547028724	28	4	40.6586399182265
ENSMUSG00000070733	0.0780550500276803	1	0.142200086048391	24	12	9.05096679918781
ENSMUSG00000020794	0.0780550500276803	1	0.142200086048391	22	21	27.1529003975634
ENSMUSG00000021266	0.208260133699717	1	0.255230327736435	28	17	53.0330085889911
ENSMUSG00000025156	0.0139247091107077	0.835482546642462	0.0570554897441383	22	3	28.2135605693432
ENSMUSG00000030751	0.337130696680051	1	0.360904424059284	26	11	59.4676802977886
ENSMUSG00000067851	0.118876590019321	1	0.18064115348444	20	1	3.39411254969543
ENSMUSG00000029446	0.0523646153161969	1	0.115380753994201	26	5	1.34350288425444
ENSMUSG00000026553	6.50360448620455e-05	0.00390216269172273	0.00277530879881943	26	22	27.0821897194448
ENSMUSG00000022100	0.00229039525505206	0.137423715303124	0.0218042253159008	28	21	1.06066017177982
ENSMUSG00000028677	0.0436162558015465	1	0.104188913432269	28	4	59.4676802977886
ENSMUSG00000037373	0.267507197726042	1	0.30293688939546	26	13	53.3158513014657
ENSMUSG00000027828	0.226875031957986	1	0.270530794618893	22	13	9.26309883354378
ENSMUSG00000005442	0.312759419656759	1	0.34018547483665	20	17	4.80832611206853
ENSMUSG00000040688	0.278529582108115	1	0.31276918019837	20	5	8.09637264458598
ENSMUSG00000028759	0.217567582828852	1	0.26367739832468	26	25	13.0814754519511
ENSMUSG00000025261	0.0698335698494508	1	0.133749430452827	26	21	68.6600684532134
