ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000000001	0.00128085271082861	0.192010814890399	0.00240486631420882	28	28	NA
ENSMUSG00000001175	0.0156829201553824	0.895686416402137	0.0182636538518377	24	10	NA
ENSMUSG00000001986	0.00106058472124402	0.296793425911839	0.00212116944248804	24	4	NA
ENSMUSG00000002771	7.9233844038213e-06	0.00271772085051071	5.60731819347353e-05	24	6	NA
ENSMUSG00000005034	7.41770666714754e-08	2.13629952013849e-05	1.70607253344393e-06	24	4	NA
ENSMUSG00000005469	0.0136377783655737	0.918681336838568	0.0165088896004313	28	2	NA
ENSMUSG00000005580	0.00223635515679442	0.899014773031358	0.00360955569166819	20	6	NA
ENSMUSG00000015968	0.017457032098025	0.709755858293862	0.0200755869127287	24	4	NA
ENSMUSG00000019370	0.0414660397237318	0.882194883737402	0.0423875072731481	28	16	NA
ENSMUSG00000020431	0.00582847520559414	0.928893669583634	0.00824953413714863	20	4	NA
ENSMUSG00000020524	0.000165834889000389	0.0645097718211514	0.000492155154452767	26	12	NA
ENSMUSG00000020654	1.61954228353368e-06	0.000331758390276407	2.59047786922016e-05	22	10	NA
ENSMUSG00000020734	0.000113063148476013	0.0367455232547043	0.000371493202135471	20	18	NA
ENSMUSG00000020866	0.00172093431934154	0.332885760619043	0.00310443053685141	28	10	NA
ENSMUSG00000020893	2.433205768087e-09	5.27826578521247e-07	7.46183102213347e-08	26	18	NA
ENSMUSG00000021180	0.00969707431581351	0.87701974311992	0.0120558221223627	26	12	NA
ENSMUSG00000021250	0.0324604268524227	0.928605421490209	0.034725107795615	22	18	NA
ENSMUSG00000021313	0.00015392988601406	0.0303810665380115	0.000472051650443117	24	6	NA
ENSMUSG00000021536	0.00390622718251289	0.537476978718554	0.00570433175859025	22	12	NA
ENSMUSG00000021820	0.00331975509347237	0.505488639437256	0.00492608820321707	28	10	NA
ENSMUSG00000021933	0.0391789076581545	0.928624642601933	0.0409597670971615	22	2	NA
ENSMUSG00000022220	0.000220594237546498	0.032827254546606	0.000581666323243796	26	22	NA
ENSMUSG00000022376	1.14344645667926e-05	0.00359042187397289	7.01313826763279e-05	24	10	NA
ENSMUSG00000022416	3.03628267609179e-06	0.000959465325645005	3.10375562444938e-05	28	6	NA
ENSMUSG00000022840	0.00044029182577489	0.108742240998264	0.001065969683455	22	8	NA
ENSMUSG00000022994	0.000660384900865536	0.202128629453472	0.00151888527199073	20	6	NA
ENSMUSG00000023439	0.000586695409840887	0.119321767204751	0.00138399942834261	22	2	NA
ENSMUSG00000024112	0.019023605761665	0.79605844016782	0.0216070583959652	28	6	NA
ENSMUSG00000024256	0.00321026996330759	0.393097205553375	0.00484171863318522	28	26	NA
ENSMUSG00000024617	0.0254926201359988	0.985167018098563	0.0279204887203796	20	6	NA
ENSMUSG00000024639	6.66517858115666e-05	0.0109548563591822	0.00027872564975746	22	10	NA
ENSMUSG00000024960	0.00102179766143723	0.296943205986959	0.00208900855227167	22	14	NA
ENSMUSG00000025739	7.12679810282996e-06	0.00152652322693658	5.46387854550297e-05	24	18	NA
ENSMUSG00000025892	0.00275402812797095	0.343061582079916	0.00422284312955546	22	6	NA
ENSMUSG00000025958	1.78672923594603e-05	0.00273197865478934	9.13217165039082e-05	26	26	NA
ENSMUSG00000026567	0.0695932515233366	0.97192655361883	0.0695932515233366	20	2	NA
ENSMUSG00000026824	0.0065368995095635	0.99345292591806	0.00911204174060367	24	2	NA
ENSMUSG00000026959	3.42898263411512e-05	0.0119671493930618	0.000166034948599258	24	6	NA
ENSMUSG00000027523	0.000791584783283439	0.229408219994217	0.00169362325725759	24	10	NA
ENSMUSG00000027669	4.77138260319705e-05	0.0168906944153175	0.000219483599747064	24	14	NA
ENSMUSG00000028957	3.05839224074701e-10	8.2882429724244e-08	1.40686043074362e-08	24	20	NA
ENSMUSG00000029064	0.00253234012547201	0.974250373227761	0.00401681537143836	28	20	NA
ENSMUSG00000029334	2.25258945149579e-06	0.000759122645154081	2.59047786922016e-05	22	8	NA
ENSMUSG00000029361	0.000221286101234053	0.0627535424858227	0.000581666323243796	20	18	NA
ENSMUSG00000029663	0.0254836767478591	0.988766561558987	0.0279204887203796	28	28	NA
ENSMUSG00000029713	3.58090160360207e-06	0.00112798400513465	3.2944294753139e-05	20	14	NA
ENSMUSG00000029778	0.00938604203690268	0.940069766515594	0.0118289844848636	20	16	NA
ENSMUSG00000030102	0.000120852292514497	0.0233984486295205	0.000383393479701163	22	18	NA
ENSMUSG00000030209	1.66592668069429e-05	0.00476455030678568	9.0156032131691e-05	24	6	NA
ENSMUSG00000030592	9.62483912198597e-05	0.0167891920392703	0.000340571230470273	22	18	NA
ENSMUSG00000031659	0.0156829201553824	0.780669774831594	0.0182636538518377	24	12	NA
ENSMUSG00000031748	0.000112689847753252	0.0437236609282619	0.000371493202135471	24	6	NA
ENSMUSG00000032034	0.0134336998942757	0.966429479632421	0.0164786718703115	28	2	NA
ENSMUSG00000032192	0.00192911432229745	0.50860421943533	0.0032857465649694	28	20	NA
ENSMUSG00000032246	0.00272712457845425	0.200969246326331	0.00422284312955546	26	24	NA
ENSMUSG00000032562	0.00185585037099089	0.144917879818094	0.00328342757944542	24	14	NA
ENSMUSG00000032766	2.05112150149413e-06	0.000293124906379155	2.59047786922016e-05	20	12	NA
ENSMUSG00000033765	0.0282888271874078	0.956364524984678	0.0306184953087237	24	22	NA
ENSMUSG00000033981	8.45270253118252e-05	0.0335572290487946	0.0003369792708538	20	4	NA
ENSMUSG00000036402	0.0571886981401551	0.917735958468167	0.0578171453724645	20	16	NA
ENSMUSG00000036438	0.00556819025186856	0.320759082721425	0.00800427348706105	28	14	NA
ENSMUSG00000036438	0.00101724754449279	0.279779587978468	0.00208900855227167	22	14	NA
ENSMUSG00000038026	0.00693687543897276	0.980847400982051	0.00928210401712296	28	18	NA
ENSMUSG00000038473	1.5704474531533e-05	0.00442694640552158	9.0156032131691e-05	28	6	NA
ENSMUSG00000038811	0.00117894547345614	0.371540276201885	0.00230772305442478	20	14	NA
ENSMUSG00000039943	5.99597881532034e-05	0.0209147857420025	0.000262680976671177	20	8	NA
ENSMUSG00000040061	0.00120876727367962	0.485924444019207	0.00231680394121927	20	20	NA
ENSMUSG00000041624	9.15704540363586e-05	0.0101447569056868	0.0003369792708538	26	8	NA
ENSMUSG00000042644	0.0400133462525108	0.968792251747335	0.0413621107329325	20	16	NA
ENSMUSG00000043301	1.09670937478029e-05	0.0017198136600559	7.01313826763279e-05	24	6	NA
ENSMUSG00000048240	0.000319334494066118	0.0751000296010789	0.000794020904164401	28	4	NA
ENSMUSG00000049892	0.0015993890382289	0.24238294526762	0.00294287583034118	22	20	NA
ENSMUSG00000050901	0.00838665675176918	0.715332469315368	0.0108672171994756	20	14	NA
ENSMUSG00000050965	0.00223550915130739	0.310465671380596	0.00360955569166819	20	10	NA
ENSMUSG00000051177	5.70398931954513e-06	0.00165719304133456	4.77060924907411e-05	20	8	NA
ENSMUSG00000051331	0.000208158148972347	0.0791000966094918	0.000580319688044119	26	4	NA
ENSMUSG00000052889	0.00192911432229745	0.702041704633407	0.0032857465649694	28	18	NA
ENSMUSG00000052920	0.00822172812572888	0.789646997732049	0.0108056998223865	24	2	NA
ENSMUSG00000053819	0.0382043741496185	0.906586805165368	0.0404000278363782	26	12	NA
ENSMUSG00000054764	0.00196430501166649	0.335135594753513	0.0032857465649694	28	10	NA
ENSMUSG00000055866	3.19710987207513e-12	8.4723411609991e-10	2.94134108230912e-10	24	20	NA
ENSMUSG00000057378	2.03969355536235e-06	0.000258615192140452	2.59047786922016e-05	22	6	NA
