ID	CT22	CT28	CT34	CT40	CT46	CT52	CT58	CT64
ENSMUSG00000000001	266.1	293.1	295.1	333.9	292.5	285.5	318.4	305.9
ENSMUSG00000001175	4885.6	4845.8	4815.4	4882.2	4823.4	4846.8	4829.4	4754.3
ENSMUSG00000001986	1221.9	1249.8	1134.5	1276	1204.6	1186.9	1178.2	1164
ENSMUSG00000002771	182.6	164.2	161.7	153.7	180.5	170	157.2	154.3
ENSMUSG00000005034	2748.3	2692.5	2673.7	2732.7	2784.9	2762.4	2652.7	2726.7
ENSMUSG00000005469	582.1	584.2	552.8	556.9	618.1	590.6	579.3	541.5
ENSMUSG00000005580	342.5	314.6	329.6	298.2	329.1	320.3	323.5	297.8
ENSMUSG00000015968	221.1	217.4	210.8	193.1	199.1	192.4	198.2	189.9
ENSMUSG00000019370	3576.5	3557.7	3523.6	3442.2	3568.8	3446.5	3303.1	3472.4
ENSMUSG00000020431	382.7	493.1	434.3	421.9	368.5	342.9	351.6	373.8
ENSMUSG00000020524	958.4	1142.7	991.5	979.2	1013.1	994.9	1017.6	1019.7
ENSMUSG00000020654	260.3	263.1	255.3	236.5	271.2	263.5	233	242
ENSMUSG00000020734	202.5	282.5	254	217.5	214.4	217.2	178.7	195.7
ENSMUSG00000020866	314.1	343.1	294.3	285.1	299.5	284.4	290.9	278.6
ENSMUSG00000020893	208.5	220.9	314.9	244	216.7	242	299.1	213.9
ENSMUSG00000021180	341.3	411.1	357.5	393.9	375.7	335.5	392.2	343.5
ENSMUSG00000021250	90.4	71.1	95.5	88.1	88.3	79.2	90.8	66.6
ENSMUSG00000021313	745.2	704.3	642.7	654.7	691.7	650.2	631.5	629.9
ENSMUSG00000021536	731.8	772.8	687	657	766.8	697.1	713.8	704.7
ENSMUSG00000021820	1793.7	1706.9	1623.1	1687.9	1721.7	1707.3	1744.5	1654.4
ENSMUSG00000021933	31.4	26.1	31.3	29.4	26.8	30.1	28.2	30.3
ENSMUSG00000022220	121.6	124.2	115.9	120.1	121.4	118.3	104.8	136.4
ENSMUSG00000022376	560.8	557.1	515.7	565.8	558.8	562.1	561.7	577
ENSMUSG00000022416	268.1	235.4	226.4	208.5	232.8	224.7	229.5	208.4
ENSMUSG00000022840	377.8	362.1	349.1	324.9	390.2	353.8	331.1	359.8
ENSMUSG00000022994	194.6	185.5	175.5	189.2	179.3	184.2	180.4	190.1
ENSMUSG00000023439	70.7	72.5	71	81.1	72.4	73	71.6	66.3
ENSMUSG00000024112	126.9	113.3	107.8	89.1	111.6	110.9	96.8	110.9
ENSMUSG00000024256	333.6	361.8	321.3	361.8	410.8	364.8	358.1	362.1
ENSMUSG00000024617	752	697.4	735	712.1	792.9	789.5	856.8	746.5
ENSMUSG00000024639	1213.2	1212.5	1172	1209.5	1199.6	1161	1141.9	1172.8
ENSMUSG00000024960	201.9	243.9	221.3	216	222.8	220.7	214.1	214.7
ENSMUSG00000025739	220.2	371.9	289.9	261.7	218.6	211.5	243.6	209.9
ENSMUSG00000025892	1199.1	1292.4	1131	1218.4	1158.2	1122.2	1209.8	1154.2
ENSMUSG00000025958	504.8	515.5	494.5	543.2	514.9	452.4	473.6	516.1
ENSMUSG00000026567	21.5	20.2	20.7	21.7	20.1	20.1	18.7	18.6
ENSMUSG00000026824	665.1	733.9	625.9	693.1	681.9	687.4	719.7	697
ENSMUSG00000026959	1067.7	1009.3	936.6	887.9	1033	1001.8	969.2	961.2
