ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000030751	0.0523646153161969	1	0.0982607599167978	20	5	1.06066017177982
ENSMUSG00000029446	0.0228083907573296	1	0.0593615425070741	20	15	1.83847763108503
ENSMUSG00000030967	0.00423345436276155	0.254007261765693	0.0205505005457619	26	13	102.035508525219
ENSMUSG00000032112	0.0967948413083854	1	0.143094179017869	26	14	13.4350288425444
ENSMUSG00000079477	0.0149449146201831	0.896694877210988	0.0457755668802316	20	1	53.7931483787666
ENSMUSG00000020936	0.00142887482721597	0.0857324896329582	0.0101936631461846	28	21	184.554869889689
ENSMUSG00000071415	0.0120068344692716	0.720410068156294	0.0404758587116755	20	8	1.66170093578839
ENSMUSG00000028646	0.00298941570374623	0.179364942224774	0.0164400191586725	26	16	85.1356564548602
ENSMUSG00000055204	0.000135696932940944	0.00814181597645661	0.00201012966204302	24	13	72.5491557497398
ENSMUSG00000022193	0.00107169463487614	0.0643016780925683	0.00855039523955897	28	10	208.737921806269
ENSMUSG00000008855	0.0129045036012323	0.774270216073937	0.0419162067393659	20	8	13.5410948597224
ENSMUSG00000029234	0.0698335698494508	1	0.11624100586807	26	20	8.55599205235722
ENSMUSG00000025261	0.0436162558015465	1	0.0873639876992995	26	24	54.5179328294828
ENSMUSG00000003346	0.267507197726042	1	0.292002952103377	26	2	33.0925973595304
ENSMUSG00000070733	0.131272363233779	1	0.174686808475596	28	1	17.1119841047144
ENSMUSG00000020794	0.0339306584366444	1	0.0752479568285533	28	17	157.896944238956
ENSMUSG00000021266	0.00017174773071473	0.0103048638428838	0.00234547091792864	24	19	124.309372132595
ENSMUSG00000025156	0.0149449146201831	0.896694877210988	0.0457755668802316	28	14	18.6676190233249
ENSMUSG00000030751	0.0436162558015465	1	0.0873639876992995	26	12	231.153206769882
ENSMUSG00000067851	0.0103217877061701	0.619307262370208	0.0368406716823815	28	10	3.04055915910216
ENSMUSG00000029446	0.0035635597431468	0.213813584588808	0.0183479541612498	28	3	3.18198051533946
ENSMUSG00000026553	0.000135696932940944	0.00814181597645661	0.00201012966204302	28	20	55.4371716450253
ENSMUSG00000022100	0.10209609857841	1	0.148756356636893	28	15	2.05060966544099
ENSMUSG00000028677	0.0339306584366444	1	0.0752479568285533	28	13	21.0717820793592
ENSMUSG00000037373	0.289551966490189	1	0.311548002991549	26	9	43.6284883992099
ENSMUSG00000027828	0.10209609857841	1	0.148756356636893	26	22	12.4450793488832
ENSMUSG00000005442	0.182542303483	1	0.219877064020309	26	2	4.59619407771256
ENSMUSG00000040688	0.0698335698494508	1	0.11624100586807	24	4	20.5060966544099
ENSMUSG00000028759	0.0059150062317909	0.354900373907454	0.0255175848511892	28	22	19.0918830920368
ENSMUSG00000025261	0.158964501948704	1	0.199172364067504	26	2	103.308300731355
ENSMUSG00000026553	0.158964501948704	1	0.199172364067504	22	7	4.17193000900063
ENSMUSG00000018585	0.158964501948704	1	0.199172364067504	28	13	25.1022907321224
ENSMUSG00000026878	0.182542303483	1	0.219877064020309	26	16	5.58614357137373
ENSMUSG00000020936	0.0554752083962169	1	0.100977296835784	28	15	41.790010768125
ENSMUSG00000067851	0.0339306584366444	1	0.0752479568285533	22	6	31.4662517628014
ENSMUSG00000014355	0.0410689036933171	1	0.0849843841262991	26	19	6.36396103067892
ENSMUSG00000025224	0.337130696680051	1	0.353007456336408	22	13	1.34350288425444
ENSMUSG00000022100	0.118876590019321	1	0.163563441642273	28	13	76.6503750806217
ENSMUSG00000025224	0.0298056052906808	1	0.0696742348221292	24	4	1.76776695296637
