ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000030751	0.286340672975	1	0.286377613803198	24	20	6.9
ENSMUSG00000029446	0.00327829197586	0.0919080919081	0.0129852202866762	24	10	11.7
ENSMUSG00000030967	0.0117419096527	0.262737262737	0.026798539459627	24	4	378.9
ENSMUSG00000032112	0.0231690672997	0.428571428571	0.0395727529727583	24	10	87.6
ENSMUSG00000079477	0.0172388871616	0.342657342657	0.0334716700959789	24	0	260.3
ENSMUSG00000020936	0.000137192918854	0.00905473264438	0.00201226145119899	24	18	664.4
ENSMUSG00000071415	0.04231085806	0.601398601399	0.0579348469644747	24	6	22.2
ENSMUSG00000028646	0.000477110504129	0.022977022977	0.00415541078608658	24	16	334.7
ENSMUSG00000055204	0.000134669155438	0.00888816425893	0.00199986782287748	24	14	246.2
ENSMUSG00000022193	0.0029914176697	0.0879120879121	0.0123135095209256	24	12	914.1
ENSMUSG00000008855	0.00721770430702	0.17982017982	0.0202666940311979	24	6	130.5
ENSMUSG00000029234	0.0745247925817	0.788211788212	0.0856211059841213	24	8	47.6
ENSMUSG00000025261	0.0247994035688	0.446553446553	0.0413974772443245	24	4	244.3
ENSMUSG00000003346	0.0247994035688	0.446553446553	0.0413974772443245	24	10	289.3
ENSMUSG00000070733	0.133129417766	0.953046953047	0.137105267797375	24	6	93.5
ENSMUSG00000020794	0.00575805764379	0.146853146853	0.0178717342818374	24	16	786.1
ENSMUSG00000021266	0.000477110504129	0.022977022977	0.00415541078608658	24	0	606
ENSMUSG00000025156	0.0144121736652	0.297702297702	0.0301872040976951	24	22	208.7
ENSMUSG00000030751	0.017817847894	0.350649350649	0.0341857539403239	24	10	1126.9
ENSMUSG00000067851	0.00247969832937	0.0729270729271	0.011057469328875	24	16	17.2
ENSMUSG00000029446	0.00272636334701	0.0789210789211	0.0116599912396858	24	6	14.3
ENSMUSG00000026553	0.000510590281514	0.022977022977	0.00432202397508351	24	18	326.6
ENSMUSG00000022100	0.0811671337969	0.814185814186	0.0914393798086823	24	18	14.1
ENSMUSG00000028677	0.0991921387737	0.886113886114	0.106740401078872	24	12	210.2
ENSMUSG00000037373	0.0220178098119	0.414585414585	0.0383946474269362	24	4	443.8
ENSMUSG00000027828	0.0181717876221	0.360639360639	0.0343734253539797	24	10	71.4
ENSMUSG00000005442	0.00722036291036	0.17982017982	0.0202666940311979	24	6	35.1
ENSMUSG00000040688	0.00272382294454	0.0789210789211	0.0116599912396858	24	18	106.4
