ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000000001	0.0694290465631929	0.930345782869025	0.0760413367120684	24	12	NA
ENSMUSG00000001175	0.00733634311512415	0.278781038374718	0.0168930155210643	18	12	NA
ENSMUSG00000001986	0.00734478935698448	0.170399648660518	0.0168930155210643	24	24	NA
ENSMUSG00000002771	0.00225733634311512	0.0857787810383747	0.0127494456762749	18	18	NA
ENSMUSG00000005034	0.0368625277161862	0.817348377997179	0.053830992855383	24	12	NA
ENSMUSG00000005469	0.0155252038911271	0.229683972911964	0.0317281163782293	30	30	NA
ENSMUSG00000005580	0.000319386777387416	0.0118173107633344	0.00463429377392707	30	30	NA
ENSMUSG00000015968	0.00733634311512415	0.278781038374718	0.0168930155210643	18	18	NA
ENSMUSG00000019370	0.00483599663582843	0.117242595204513	0.0168930155210643	30	24	NA
ENSMUSG00000020431	0.0323277979758278	0.781679282310064	0.0489839659241976	30	6	NA
ENSMUSG00000020524	0.0210795273075695	0.80102203768764	0.0340230967069543	30	12	NA
ENSMUSG00000020654	0.00733634311512415	0.278781038374718	0.0168930155210643	18	12	NA
ENSMUSG00000020734	0.0330109335576114	0.397919605077574	0.0489839659241976	30	18	NA
ENSMUSG00000020866	0.000352609308885755	0.0126939351198872	0.00463429377392707	24	24	NA
ENSMUSG00000020893	0.0186230248306998	0.659575942350333	0.0317281163782293	18	18	NA
ENSMUSG00000021180	0.00733634311512415	0.278781038374718	0.0168930155210643	18	18	NA
ENSMUSG00000021250	0.00669957686882934	0.139550997782705	0.0168930155210643	24	24	NA
ENSMUSG00000021313	0.0019163206643245	0.0651549025870329	0.0127494456762749	30	30	NA
ENSMUSG00000021536	0.0155252038911271	0.353837471783296	0.0317281163782293	30	6	NA
ENSMUSG00000021820	0.0778781038374718	0.974889943155105	0.0833114599191559	18	18	NA
ENSMUSG00000021933	0.0019163206643245	0.0709038645800064	0.0127494456762749	30	12	NA
ENSMUSG00000022220	0.00733634311512415	0.271444695259594	0.0168930155210643	18	12	NA
ENSMUSG00000022376	0.00421496311907271	0.124861419068736	0.0168930155210643	30	6	NA
ENSMUSG00000022416	0.0498243372724369	0.781679282310064	0.0619437706630297	30	12	NA
ENSMUSG00000022840	0.00733634311512415	0.271444695259594	0.0168930155210643	18	12	NA
ENSMUSG00000022994	0.000352609308885755	0.0123413258110014	0.00463429377392707	24	24	NA
ENSMUSG00000023439	0.00734478935698448	0.27910199556541	0.0168930155210643	24	18	NA
ENSMUSG00000024112	0.00483599663582843	0.124682651622003	0.0168930155210643	30	30	NA
ENSMUSG00000024256	0.0694290465631929	0.896179183135705	0.0760413367120684	24	6	NA
ENSMUSG00000024617	0.0177383592017738	0.348377997179126	0.0317281163782293	24	18	NA
ENSMUSG00000024639	0.0323277979758278	0.85935893841697	0.0489839659241976	30	24	NA
ENSMUSG00000024960	0.0694290465631929	0.636238577183846	0.0760413367120684	24	6	NA
ENSMUSG00000025739	0.0406320541760722	0.784365393061045	0.0542568542568543	18	12	NA
ENSMUSG00000025892	0.0210795273075695	0.522910262040697	0.0340230967069543	30	12	NA
ENSMUSG00000025958	0.00734478935698448	0.231874800383264	0.0168930155210643	24	24	NA
ENSMUSG00000026567	0.0634920634920635	0.994047619047619	0.0760413367120684	18	12	NA
ENSMUSG00000026824	0.00126156433978133	0.0441547518923465	0.0127494456762749	30	24	NA
ENSMUSG00000026959	0.0026330376940133	0.0974223946784922	0.0127494456762749	24	24	NA
ENSMUSG00000027523	0.00421496311907271	0.0822119428090833	0.0168930155210643	30	6	NA
ENSMUSG00000027669	0.00225733634311512	0.0857787810383747	0.0127494456762749	18	12	NA
ENSMUSG00000028957	0.000352609308885755	0.0130465444287729	0.00463429377392707	24	18	NA
ENSMUSG00000029064	0.0186230248306998	0.544898918664786	0.0317281163782293	18	12	NA
ENSMUSG00000029334	0.0186230248306998	0.707674943566591	0.0317281163782293	18	12	NA
ENSMUSG00000029361	0.0158730158730159	0.603174603174603	0.0317281163782293	18	6	NA
ENSMUSG00000029663	0.0641025641025641	0.792251786154225	0.0760413367120684	30	6	NA
ENSMUSG00000029713	0.0694290465631929	0.982261640798226	0.0760413367120684	24	6	NA
ENSMUSG00000029778	0.0186230248306998	0.640873015873016	0.0317281163782293	18	12	NA
ENSMUSG00000030102	0.00176304654442877	0.0652327221438646	0.0127494456762749	24	6	NA
ENSMUSG00000030209	0.163112901640955	0.939027179506728	0.163112901640955	30	6	NA
ENSMUSG00000030592	0.118486696230599	0.949022321586997	0.119788747837529	24	24	NA
ENSMUSG00000031659	0.0412823891084761	0.985856002480043	0.0542568542568543	30	12	NA
ENSMUSG00000031748	0.000352609308885755	0.0130465444287729	0.00463429377392707	24	24	NA
ENSMUSG00000032034	0.0430183356840621	0.436100131752306	0.0549678733740794	24	24	NA
ENSMUSG00000032192	0.00483599663582843	0.18376787216148	0.0168930155210643	30	30	NA
