ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000000001	0.0361333719259	0.483516483516	0.0639282734073615	24	2	82.2
ENSMUSG00000001175	0.119323255909	0.818181818182	0.140740250559333	24	22	282
ENSMUSG00000001986	0.00407548664478	0.0919080919081	0.03124539760998	24	12	24.7
ENSMUSG00000002771	0.152185475851	0.893106893107	0.164718397391671	24	12	10.4
ENSMUSG00000005034	0.019977670514	0.330669330669	0.0483669917707368	24	2	130.6
ENSMUSG00000005469	0.019977670514	0.330669330669	0.0483669917707368	24	20	133.1
ENSMUSG00000005580	0.0507269108534	0.556443556444	0.0717980892078892	24	20	109.2
ENSMUSG00000015968	0.152185475851	0.893106893107	0.164718397391671	24	12	7.9
ENSMUSG00000019370	0.0104167975829	0.211788211788	0.035494273245437	24	20	307.2
ENSMUSG00000020431	0.0247673097479	0.385614385614	0.0546088012553048	24	22	25.7
ENSMUSG00000020524	0.128419635307	0.835164835165	0.14768258060305	24	12	9.4
ENSMUSG00000020654	0.0130130391884	0.243756243756	0.0427571287618857	24	22	22.1
ENSMUSG00000020734	0.0247673097479	0.385614385614	0.0546088012553048	24	10	12.1
ENSMUSG00000020866	0.00164173090746	0.024975024975	0.0249562567622364	24	16	24.5
ENSMUSG00000020893	0.0361333719259	0.483516483516	0.0639282734073615	24	8	498.6
ENSMUSG00000021180	0.0995917205328	0.781218781219	0.118992705052177	24	2	58.5
ENSMUSG00000021250	0.00511785720421	0.11988011988	0.0313895241858213	24	0	15
ENSMUSG00000021313	0.0161048451306	0.263736263736	0.0483669917707368	24	20	1119.7
ENSMUSG00000021536	0.044368358957	0.539460539461	0.0680314837340667	24	14	13.5
ENSMUSG00000021820	0.0995917205328	0.781218781219	0.118992705052177	24	4	97.6
ENSMUSG00000021933	0.0828933476211	0.702297702298	0.103056594339746	24	6	8.7
ENSMUSG00000022220	0.019977670514	0.330669330669	0.0483669917707368	24	20	146.3
ENSMUSG00000022376	0.00238178895926	0.0569430569431	0.0249562567622364	24	6	9.2
ENSMUSG00000022416	0.0507269108534	0.556443556444	0.0717980892078892	24	12	8
