ID	CT22	CT28	CT34	CT40	CT46	CT52	CT58	CT64
ENSMUSG00000000001	268.8	313.6	291.3	340	288.8	351	320.2	318.4
ENSMUSG00000001175	2744.8	2809.1	2586.3	2643.9	2855.2	2573.2	2765.8	2664.2
ENSMUSG00000001986	51	49.2	66.3	73.9	56.4	56.6	62.8	66
ENSMUSG00000002771	58.9	55.2	63.6	58.8	53.2	59.6	55.4	58.3
ENSMUSG00000005034	1094.3	1156.6	1131.2	1148.3	1153.7	1224.9	1158.8	1105.7
ENSMUSG00000005469	874.2	883.2	881.9	949	959.4	831.2	925.5	964.3
ENSMUSG00000005580	381.6	374.4	417.6	432.7	457.7	394.4	348.5	394.7
ENSMUSG00000015968	72.6	71.2	75.9	76.4	68.8	75.2	71.8	68.5
ENSMUSG00000019370	1498.5	1594.7	1615.8	1743.9	1725.1	1562.1	1634	1805.7
ENSMUSG00000020431	112.4	113.7	101.6	100.3	88	104	92.5	101.1
ENSMUSG00000020524	36.5	32.3	31.7	31	27.1	29.5	34.2	33.2
ENSMUSG00000020654	124.4	114.9	111	114.6	132	109.9	119	124.5
ENSMUSG00000020734	71.8	63.4	75.2	65.6	63.1	69	72.3	70.4
ENSMUSG00000020866	165.4	152	167.4	176.5	168.9	156.3	173.5	174.1
ENSMUSG00000020893	269.8	232	693.8	396.9	281.8	471.7	730.6	258.1
ENSMUSG00000021180	262.6	262.1	315	312.3	264	320.6	306.4	263.7
ENSMUSG00000021250	66.4	51.9	54.2	55.9	53.1	51.4	53	56.9
ENSMUSG00000021313	7328.3	7177.5	7445.1	7674.6	8196.9	7312.1	7077.2	7956.8
ENSMUSG00000021536	53	46	54	43.2	40.5	50.8	48.4	45.9
ENSMUSG00000021820	628.6	676.3	669.1	670.3	706.3	726.2	671.9	707.8
ENSMUSG00000021933	43.5	45.5	40.7	39.9	36.8	40.8	42.3	42.2
ENSMUSG00000022220	413.3	422.1	397.8	457.5	536.5	390.2	407.9	452
ENSMUSG00000022376	55	54.2	48.8	48.8	50.1	53.8	49	45.8
ENSMUSG00000022416	53.2	48.1	50.3	46.8	45.2	47.1	48.7	47.6
ENSMUSG00000022840	418.9	426.2	387.6	452.4	505	370.1	384	473.2
ENSMUSG00000022994	1421.2	1203.6	1286.2	1525.2	1496.1	1208.8	1238.1	1582.7
ENSMUSG00000023439	243.9	279.6	312.4	257.2	289.5	300.4	327.2	267.3
ENSMUSG00000024112	144.6	139.3	121.4	145.1	151.7	152	134	138.1
ENSMUSG00000024256	53.4	45.5	46.2	47.3	44.2	43.7	42.1	48.5
ENSMUSG00000024617	227	218	225.8	225	218.1	215.3	228.5	228.8
ENSMUSG00000024639	546.8	579.2	507.9	639.3	638.9	576.8	558.8	564.9
ENSMUSG00000024960	319.5	314.2	309.1	352.5	395.9	325.1	329.7	368.6
ENSMUSG00000025739	53.1	59.5	53.4	55.4	55	54.5	55.2	57
ENSMUSG00000025892	39.4	46.1	42.5	43.6	33.9	39.1	43.2	40.4
ENSMUSG00000025958	565.8	545.5	530.2	594.7	647.8	559.5	556.2	611.7
ENSMUSG00000026567	27	27.6	27.3	26.5	27	25.9	25.4	27.8
ENSMUSG00000026824	1053.2	1106	1170.8	1330.8	1117.4	1063.8	1172.4	1205.7
ENSMUSG00000026959	75.9	73	76.9	77.6	67.7	75.8	77	89.3
ENSMUSG00000027523	1479.8	1339.5	1348	1378.4	1408.8	1401.9	1398.6	1307.5
ENSMUSG00000027669	258.7	296.5	264.8	284.4	290.3	252	269	287.7
ENSMUSG00000028957	162.6	223.4	525.4	408.4	175.3	304.3	529.6	359.1
ENSMUSG00000029064	3822.4	3803.9	3802.1	3894.4	4231.8	3762	3897.3	3898.7
ENSMUSG00000029334	42.7	41.9	40.6	41.4	41.8	40	40.6	43.2
ENSMUSG00000029361	57.3	54.4	51.7	60.7	49.6	55.8	61.3	55.1
ENSMUSG00000029663	38	35.8	37.5	34.9	35.2	35.9	33.7	33.6
ENSMUSG00000029713	1212.2	1201.7	1232.9	1198.3	1331.7	1153.6	1256.9	1279.3
ENSMUSG00000029778	175.7	188.1	160.4	166.6	197.1	179.1	173.9	198.4
ENSMUSG00000030102	487	469.8	423	458.7	532.8	437.7	414.2	498.1
ENSMUSG00000030209	36.1	33.4	33.1	32.2	30.9	31.9	30.3	33.2
ENSMUSG00000030592	64.9	64.2	63.8	65	62.7	90.5	63.1	81.1
ENSMUSG00000031659	222.2	241.5	234.2	234.9	227	211.2	234.4	219.7
ENSMUSG00000031748	528.8	430.6	535.7	644.3	490.3	451.5	485.7	635.6
ENSMUSG00000032034	689.9	726.1	751.3	912.9	832.7	762.6	761.3	918.7
ENSMUSG00000032192	451.8	427.7	391.1	432.2	494.6	415	440.5	408.4
ENSMUSG00000032246	49.6	53.5	50.5	47.9	50.5	54.2	44.3	49.3
ENSMUSG00000032562	2714.5	2585.8	2569.1	2581.8	2840	2588.3	2782.7	2626.4
ENSMUSG00000032766	122.3	124.9	138.1	149.7	143.4	135.4	125.3	155
ENSMUSG00000033765	47	44.1	44.9	44.4	45.7	43.1	43.5	43.7
ENSMUSG00000033981	27.2	31	29.6	28.7	26	25.3	27.4	27.4
ENSMUSG00000036402	1707.2	1768.7	1809.5	1688.1	1591.8	1870.7	1753.2	1653.9
ENSMUSG00000036438	689.3	794.3	702.6	772.3	734.8	836.5	786.4	686.5
ENSMUSG00000036438	1002.8	1254.1	999.1	1190.8	1050.7	1227.2	1132.9	997.7
ENSMUSG00000038026	38.7	35.5	35.4	34.6	29.9	33.6	35.4	34.7
ENSMUSG00000038473	228	202.9	206.6	208.5	220.6	208.8	207.2	200.1
ENSMUSG00000038811	89.2	72.7	67.2	75.8	92.8	67.9	74.4	78.3
ENSMUSG00000039943	1137.5	959.8	1156.6	1199.2	1210.9	1017.3	1140.2	1185.1
ENSMUSG00000040061	64.7	62.6	67.9	63.4	66.3	71.9	53.8	65.5
ENSMUSG00000041624	338	358	363.9	345.5	390.4	327.3	379.7	347.4
ENSMUSG00000042644	187.8	196.1	218.8	210.8	209.4	204.5	206.5	201.1
ENSMUSG00000043301	30.8	29.4	29.3	27.6	27.8	28	28.4	28.6
ENSMUSG00000048240	103.6	105.8	96.7	100.1	89.1	89.7	91	88.9
ENSMUSG00000049892	86.8	84.4	94.7	76.7	76.6	73.9	83.5	73.8
ENSMUSG00000050901	47.7	48.2	44.5	42.3	42.3	43.9	37.4	40.6
ENSMUSG00000050965	415.4	460.3	406.9	393.1	497.3	488.8	401.8	373.1
ENSMUSG00000051177	161	153	141.2	170.9	163.9	173	164.4	164.9
ENSMUSG00000051331	2572.3	2540.1	2584.9	2650.4	2802.3	2650.7	2364.1	2619.1
ENSMUSG00000052889	109.6	108	99.4	111.7	100.8	115.5	114.1	108.5
ENSMUSG00000052920	225.8	258.2	280.2	284	273.6	296.9	307.8	292.4
ENSMUSG00000053819	2089.1	2298.3	2367.4	2350.5	2276.6	2394.9	2320.6	2279
ENSMUSG00000054764	32	30.8	29.9	26.4	27.4	30.1	26.3	30.3
ENSMUSG00000055866	183.4	111.2	410.1	389.9	194.5	185	419.4	313.5
ENSMUSG00000057378	59.5	55.7	54.2	50.2	49	53	52.9	48.6
ENSMUSG00000057614	130.6	127.7	125.4	138.1	135.5	150.6	132.6	116.3
ENSMUSG00000057897	225.2	221.1	274.9	256.7	239.2	276.1	290.3	253.6
ENSMUSG00000059003	29.1	29.9	31.1	31.9	29.2	32.1	30.6	30.6
ENSMUSG00000063065	881.2	945.8	894	899	898.2	879.3	872.3	936.1
ENSMUSG00000063130	44.6	41.1	39	40.7	37.4	50	40.9	39.3
ENSMUSG00000063358	1816.2	2002.6	1920.2	2038.2	1879.5	2166.8	2059.3	1947
ENSMUSG00000063594	43.1	39	42.2	38.8	39.7	41.2	37.6	45.1
ENSMUSG00000068523	1028.1	1081.9	1175.7	1141.4	1093.9	1026.7	1077.9	1163.2
ENSMUSG00000068523	210	210.1	244.5	243.7	231.9	239.8	210.2	236.8
ENSMUSG00000099269	30.4	28.3	30.7	32.4	28.1	26.9	28	31.9
