ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000030751	8.75608477913232e-06	0.00228340446947771	0.000117200422151276	20	16	NA
ENSMUSG00000029446	0.0105000149137406	0.818525340134116	0.0135215308332705	28	24	NA
ENSMUSG00000030967	0.00445250318422171	0.940964933827914	0.00702665851634962	20	2	NA
ENSMUSG00000032112	0.000300196793063753	0.119478323639374	0.00108664230603637	28	12	NA
ENSMUSG00000079477	0.0076302655905545	0.902685210808397	0.0105440930980111	20	16	NA
ENSMUSG00000020936	0.0174343733031045	0.987281494024265	0.0202816736649811	26	8	NA
ENSMUSG00000071415	0.00693687543897276	0.777752453495677	0.00985725539389172	28	18	NA
ENSMUSG00000028646	0.000158589857482352	0.0249538057833894	0.000714631633971399	26	2	NA
ENSMUSG00000055204	0.0180683105223661	0.960884061086525	0.0208595034906264	28	22	NA
ENSMUSG00000022193	7.80064747434912e-05	0.0280050697279792	0.000458670056641622	20	2	NA
ENSMUSG00000008855	6.78446041334159e-05	0.0082755602003471	0.000415445486658993	24	20	NA
ENSMUSG00000029234	0.00366116997550268	0.584423072438456	0.00611562379661465	20	16	NA
ENSMUSG00000025261	0.000899314350062203	0.161971473917987	0.00226258695796156	22	22	NA
ENSMUSG00000003346	0.00314301568297417	0.494130341488625	0.00546071386067012	24	22	NA
ENSMUSG00000070733	5.94827744656267e-05	0.0230198337181975	0.000386314126151098	20	6	NA
ENSMUSG00000020794	0.0661137719410715	0.895014352903423	0.066771234759141	26	16	NA
ENSMUSG00000021266	7.8630843007703e-05	0.0110319746363598	0.000458670056641622	24	22	NA
ENSMUSG00000025156	0.00258095376355776	0.183643511774388	0.00473534566732903	28	12	NA
ENSMUSG00000030751	0.000883236582879247	0.227319378905203	0.00222985597134419	20	14	NA
ENSMUSG00000067851	0.00434451915746238	0.735006182430696	0.00691584408248478	28	22	NA
ENSMUSG00000029446	5.81972787274049e-07	0.000188559183076792	2.51764021373685e-05	28	4	NA
ENSMUSG00000026553	0.00234422347673229	0.410689497867472	0.00442242094405928	28	4	NA
ENSMUSG00000022100	0.0026025725487646	0.46532996856812	0.00475849290618068	28	22	NA
ENSMUSG00000028677	0.00338028667343026	0.449678877658563	0.00574127854845305	28	14	NA
ENSMUSG00000037373	1.86507647697333e-05	0.00609880007970278	0.000188356680142368	20	14	NA
ENSMUSG00000027828	7.00300921791316e-06	0.00252808632766665	0.000104671584435094	26	2	NA
ENSMUSG00000005442	0.00470166531749154	0.541603959435367	0.0073234632836984	24	12	NA
ENSMUSG00000040688	0.000660384900865536	0.262172805643618	0.00183364035809811	20	14	NA
ENSMUSG00000028759	0.0168599627313282	0.786749129234085	0.0196794054324969	20	8	NA
ENSMUSG00000025261	0.00227775157285125	0.201971589612823	0.00433787595129442	26	12	NA
ENSMUSG00000026553	0.0106359874790807	0.9918151834811	0.013674673049974	22	18	NA
ENSMUSG00000018585	0.00133517473041077	0.263181548061791	0.00296851030627403	26	10	NA
ENSMUSG00000026878	9.23043106839628e-06	0.00289835535547643	0.000122042146309092	22	4	NA
ENSMUSG00000020936	0.00075998511329953	0.20661112035191	0.00203043926249364	20	16	NA
ENSMUSG00000067851	0.000344913587322161	0.0299788899992881	0.00118435778832888	28	6	NA
ENSMUSG00000014355	0.000912694336335703	0.196193197812744	0.00228931537749778	22	2	NA
ENSMUSG00000025224	0.0156829201553824	0.892917707068985	0.0186290696003092	24	22	NA
ENSMUSG00000022100	0.0111892320741052	0.988540281233714	0.01417672534035	28	12	NA
ENSMUSG00000025224	0.000251914336070215	0.0401249473251447	0.000957941745255885	24	2	NA
ENSMUSG00000025261	0.028034588452848	0.962639142561319	0.0303778793108086	24	14	NA
ENSMUSG00000025224	0.00222361392708027	0.194940946617371	0.00427569980174501	28	6	NA
ENSMUSG00000008855	0.00348348986889823	0.964455935087938	0.00587324372052821	20	8	NA
ENSMUSG00000022770	0.00227889101659351	0.543479858395077	0.00433787595129442	20	18	NA
ENSMUSG00000034820	0.0148849384619296	0.958437668300222	0.0178562445870479	26	18	NA
ENSMUSG00000022770	0.00287023155189685	0.465933537617562	0.00511300152003342	26	4	NA
ENSMUSG00000028759	0.00163227017278757	0.329688540666695	0.00340280632919689	26	16	NA
ENSMUSG00000025224	2.80440442558589e-05	0.00984345953380648	0.000241983401612266	26	4	NA
ENSMUSG00000005442	0.0107185863035714	0.95569583258576	0.0137626103716756	28	10	NA
ENSMUSG00000071415	0.000586695409840887	0.211396623783207	0.00169122151049449	22	18	NA
ENSMUSG00000008855	0.00854099654668806	0.970169351600826	0.0115493898881519	20	6	NA
ENSMUSG00000030058	0.000759393946624567	0.305276366543076	0.00203043926249364	20	18	NA
ENSMUSG00000026878	0.00188798057643149	0.415453996445651	0.0037754741415363	22	4	NA
ENSMUSG00000008855	0.0103270949063888	0.733030952422534	0.0133624817090177	24	22	NA
ENSMUSG00000001158	3.13240991514822e-05	0.012216398669078	0.000259716425656336	20	2	NA
ENSMUSG00000015341	0.000185283862145244	0.0251692011122632	0.000786174094658675	22	2	NA
ENSMUSG00000001289	5.13176281841199e-06	0.00177045817235214	8.71799911379165e-05	26	14	NA
ENSMUSG00000026965	0.0160241523899865	0.98354766933421	0.0189453363903165	26	14	NA
ENSMUSG00000008855	0.000939704867310212	0.149946412213107	0.00233336535207148	28	16	NA
ENSMUSG00000068328	0.00278377785684219	0.271607830033391	0.0050020105083124	26	16	NA
ENSMUSG00000005442	0.000807306997734925	0.32453741308944	0.00209017947280744	28	16	NA
ENSMUSG00000040688	0.00478152236168736	0.56352752407284	0.00739872645263076	24	18	NA
ENSMUSG00000008855	0.000311851435041988	0.0625493752581392	0.00110897994262561	24	14	NA
ENSMUSG00000022898	0.013645322112636	0.97452479795027	0.0166150881609725	20	4	NA
ENSMUSG00000025224	0.0102673954355504	0.927587870116372	0.0133282437845834	24	2	NA
ENSMUSG00000005442	0.00611925312879394	0.593354821509029	0.00890696395145579	26	14	NA
ENSMUSG00000020459	0.00404236302418232	0.464724768338282	0.00655053211074472	24	8	NA
ENSMUSG00000034820	0.0659578046790955	0.933865624704349	0.0666513431858233	24	14	NA
ENSMUSG00000029405	7.9233844038213e-06	0.00197836408588064	0.000111817600232274	24	12	NA
ENSMUSG00000037373	0.0134049872861373	0.943807382489996	0.0164703410506185	22	2	NA
ENSMUSG00000038160	0.00409157530826094	0.636846752134256	0.00660262417546141	22	6	NA
ENSMUSG00000093575	0.000454204229495019	0.182590100256998	0.00142134388662078	20	2	NA
ENSMUSG00000005442	0.00436164840819183	0.603736248973996	0.00693172454758216	20	4	NA
ENSMUSG00000021266	1.67348064305103e-06	0.000486982867127851	4.5680914689481e-05	22	14	NA
ENSMUSG00000008855	8.15944968674956e-05	0.022264126635987	0.000471391140287479	28	28	NA
ENSMUSG00000026810	0.00140884270991091	0.343032523404013	0.00308613119566714	24	14	NA
ENSMUSG00000021282	1.09670937478029e-05	0.00241901503892853	0.000134953280049022	24	8	NA
ENSMUSG00000027598	0.000791584783283439	0.207874605363827	0.00207991895460179	24	2	NA
ENSMUSG00000015341	0.000123943377713549	0.0189085222415119	0.000612526803120274	20	4	NA
ENSMUSG00000005982	0.017457032098025	0.974570641666089	0.020289764892742	24	16	NA
ENSMUSG00000026553	6.34565080951221e-08	1.2612894234017e-05	7.18980465638811e-06	22	10	NA
ENSMUSG00000041645	0.0253517564500269	0.98405679717428	0.0277870634061307	28	24	NA
ENSMUSG00000067851	0.0139091248329109	0.992804990918514	0.016892893877829	20	2	NA
ENSMUSG00000029405	0.000660384900865536	0.0638773588816351	0.00183364035809811	20	14	NA
ENSMUSG00000024309	0.00179420569159936	0.285361217750206	0.00365126595146394	26	10	NA
ENSMUSG00000025224	0.0410398016838292	0.975015669961887	0.0427473426979943	20	18	NA
ENSMUSG00000078552	0.0351503418286163	0.963232400377784	0.0371418218949627	28	2	NA
ENSMUSG00000008855	0.0108734027191613	0.981549156628135	0.0139064051976632	20	6	NA
ENSMUSG00000024414	0.000791584783283439	0.11465547967635	0.00207991895460179	24	16	NA
ENSMUSG00000001016	0.0189279250727655	0.789235346037741	0.0217182275108445	22	20	NA
ENSMUSG00000007036	0.00192911432229745	0.498489472860512	0.00383629002083555	28	14	NA
ENSMUSG00000029234	5.15959567587974e-05	0.0117478527532135	0.000351690259771205	28	8	NA
ENSMUSG00000030058	0.000251002096074649	0.096384804892665	0.000957941745255885	22	8	NA
ENSMUSG00000026965	0.0085758063297933	0.921226486132967	0.0115807626728167	20	18	NA
ENSMUSG00000024740	0.00569696843634227	0.984349024233406	0.00845475048969512	20	2	NA
ENSMUSG00000008855	0.0113441010520466	0.952869014438075	0.0143604266365909	26	20	NA
ENSMUSG00000032112	0.0030071327472184	0.400306846506083	0.0052802481164257	28	12	NA
ENSMUSG00000040688	0.0337984986564103	0.974319134569814	0.0358682036619728	24	12	NA
ENSMUSG00000026878	0.000264205064377274	0.105153615622155	0.000991867180342577	20	2	NA
ENSMUSG00000014355	0.000319334494066118	0.0525168727294902	0.00112118996505068	28	18	NA
ENSMUSG00000001158	0.00801714246605108	0.937217758511416	0.0109795478938258	20	6	NA
ENSMUSG00000025224	0.00698413966103797	0.99626298668869	0.00988138070913494	20	4	NA
ENSMUSG00000040688	9.80132416227916e-05	0.0210241249060093	0.000525834823626589	28	18	NA
ENSMUSG00000040688	0.0103270949063888	0.839372014968498	0.0133624817090177	24	20	NA
ENSMUSG00000014355	0.0579219679382054	0.914425392313895	0.0588403602838666	24	20	NA
ENSMUSG00000035505	0.00523627564066605	0.669991602205447	0.00792065447642083	28	12	NA
ENSMUSG00000022100	0.00125933099854049	0.206286612263196	0.00284988430797472	22	22	NA
ENSMUSG00000026965	0.0101454542999704	0.991515973971849	0.013207980840325	26	4	NA
ENSMUSG00000020794	0.00465868873295274	0.582844870083728	0.00729128542715063	20	2	NA
ENSMUSG00000022770	0.000609182158456096	0.138330504662861	0.00172861755236865	24	22	NA
ENSMUSG00000010406	0.0191874578257949	0.940054474491359	0.0219413269079807	24	16	NA
ENSMUSG00000028677	0.0154079724585909	0.927487171651514	0.0183611645336445	28	22	NA
ENSMUSG00000022770	1.89777408229266e-06	0.000652834284308676	4.86908926995952e-05	28	20	NA
ENSMUSG00000021327	0.00344746253068557	0.545273271292465	0.00583407087798547	20	12	NA
ENSMUSG00000038160	0.00061471926060043	0.246502423500773	0.00173018586999688	26	8	NA
ENSMUSG00000040688	0.0153689335046862	0.972223248226018	0.0183356564336969	20	20	NA
ENSMUSG00000019868	0.0102827585838114	0.95631927459117	0.0133319601231166	22	6	NA
ENSMUSG00000078923	0.0154100516202523	0.956405287940744	0.0183611645336445	22	2	NA
