ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000000001	0.0177383592017738	0.460875119770041	0.0251066007163568	24	6	NA
ENSMUSG00000001175	0.0026330376940133	0.100055432372506	0.00968957871396894	24	24	NA
ENSMUSG00000001986	0.00734478935698448	0.27910199556541	0.0137922943051382	24	12	NA
ENSMUSG00000002771	0.0186230248306998	0.640873015873016	0.025195857123888	18	12	NA
ENSMUSG00000005034	0.00176304654442877	0.0669957686882934	0.00968957871396894	24	24	NA
ENSMUSG00000005469	0.00734589587991057	0.186302446693525	0.0137922943051382	30	24	NA
ENSMUSG00000005580	0.00069290465631929	0.0147182506307822	0.00637472283813747	24	24	NA
ENSMUSG00000015968	0.00105374077976818	0.0389884088514225	0.00841750841750845	30	6	NA
ENSMUSG00000019370	0.00734478935698448	0.27910199556541	0.0137922943051382	24	12	NA
ENSMUSG00000020431	0.00373298199385156	0.134387351778656	0.0132090132090132	30	6	NA
ENSMUSG00000020524	0.0158730158730159	0.603174603174603	0.0251066007163568	18	12	NA
ENSMUSG00000020654	0.067703952901598	0.964963391218672	0.0732795725523178	30	24	NA
ENSMUSG00000020734	0.00966183574879227	0.367149758454106	0.0170940170940171	30	12	NA
ENSMUSG00000020866	0.0177383592017738	0.674057649667406	0.0251066007163568	24	18	NA
ENSMUSG00000020893	0.00733634311512415	0.278781038374718	0.0137922943051382	18	18	NA
ENSMUSG00000021180	0.0406320541760722	0.915963702632123	0.0463168268046317	18	18	NA
ENSMUSG00000021250	0.000564334085778781	0.0214446952595937	0.00637472283813747	18	12	NA
ENSMUSG00000021313	0.00734478935698448	0.27910199556541	0.0137922943051382	24	18	NA
ENSMUSG00000021536	0.00669957686882934	0.229683972911964	0.0137922943051382	24	12	NA
ENSMUSG00000021820	0.0177383592017738	0.544898918664786	0.0251066007163568	24	12	NA
ENSMUSG00000021933	0.0177383592017738	0.674057649667406	0.0251066007163568	24	18	NA
ENSMUSG00000022220	0.000352609308885755	0.0133991537376587	0.00463429377392707	24	24	NA
ENSMUSG00000022376	0.00733634311512415	0.278781038374718	0.0137922943051382	18	6	NA
ENSMUSG00000022416	0.187638580931264	0.963137472283814	0.18970054335908	24	18	NA
ENSMUSG00000022840	0.0177383592017738	0.674057649667406	0.0251066007163568	24	18	NA
ENSMUSG00000022994	0.00734589587991057	0.279144043436602	0.0137922943051382	30	24	NA
ENSMUSG00000023439	0.00966183574879227	0.236916051984545	0.0170940170940171	30	12	NA
ENSMUSG00000024112	0.00483599663582843	0.119162640901771	0.0137922943051382	30	6	NA
ENSMUSG00000024256	0.00966183574879227	0.367149758454106	0.0170940170940171	30	12	NA
ENSMUSG00000024617	0.0019163206643245	0.0728201852443309	0.00968957871396894	30	12	NA
ENSMUSG00000024639	0.00669957686882934	0.128553177898435	0.0137922943051382	24	6	NA
ENSMUSG00000024960	0.0323277979758278	0.974889943155105	0.0407418823804953	30	24	NA
ENSMUSG00000025739	0.0412823891084761	0.946662408176301	0.0463168268046317	30	12	NA
ENSMUSG00000025892	0.0856840620592384	0.930486265089924	0.0895787921528401	24	6	NA
ENSMUSG00000025958	0.000352609308885755	0.0126939351198872	0.00463429377392707	24	24	NA
ENSMUSG00000026567	0.00734478935698448	0.27910199556541	0.0137922943051382	24	24	NA
ENSMUSG00000026824	0.0323277979758278	0.997740001965216	0.0407418823804953	30	30	NA
ENSMUSG00000026959	0.00648521175198978	0.239952834823622	0.0137922943051382	30	18	NA
ENSMUSG00000027523	0.00669957686882934	0.139550997782705	0.0137922943051382	24	24	NA
ENSMUSG00000027669	0.0177383592017738	0.297098402018503	0.0251066007163568	24	12	NA
ENSMUSG00000028957	0.000352609308885755	0.0133991537376587	0.00463429377392707	24	18	NA
ENSMUSG00000029064	0.0026330376940133	0.0895232815964523	0.00968957871396894	24	6	NA
ENSMUSG00000029334	0.0177383592017738	0.674057649667406	0.0251066007163568	24	24	NA
ENSMUSG00000029361	0.0368625277161862	0.781679282310064	0.0434788788447324	24	24	NA
ENSMUSG00000029663	0.215011286681716	0.967672202024172	0.215011286681716	18	18	NA
ENSMUSG00000029713	0.0026330376940133	0.0974223946784922	0.00968957871396894	24	18	NA
ENSMUSG00000029778	0.000138580931263858	0.00512749445676275	0.00463429377392707	24	18	NA
ENSMUSG00000030102	0.0138772077375946	0.189715745768125	0.0232127838519764	30	30	NA
ENSMUSG00000030209	0.000319386777387416	0.0108591504311721	0.00463429377392707	30	12	NA
ENSMUSG00000030592	0.0604303822344502	0.984474796108873	0.0661856567329693	30	30	NA
ENSMUSG00000031659	0.0694290465631929	0.964963391218672	0.074272933532718	24	18	NA
ENSMUSG00000031748	0.00734478935698448	0.173906100287448	0.0137922943051382	24	24	NA
ENSMUSG00000032034	0.00225733634311512	0.0857787810383747	0.00968957871396894	18	18	NA
ENSMUSG00000032192	0.0138772077375946	0.226140103432064	0.0232127838519764	30	30	NA
ENSMUSG00000032246	0.000352609308885755	0.0112834978843441	0.00463429377392707	24	18	NA
ENSMUSG00000032562	0.0368625277161862	0.857154263813478	0.0434788788447324	24	24	NA
ENSMUSG00000032766	0.0177383592017738	0.674057649667406	0.0251066007163568	24	24	NA
ENSMUSG00000033765	0.0212999560825648	0.646394701189222	0.0275999430929009	30	12	NA
ENSMUSG00000033981	0.0368625277161862	0.982846033621774	0.0434788788447324	24	6	NA
ENSMUSG00000036402	0.00733634311512415	0.278781038374718	0.0137922943051382	18	12	NA
ENSMUSG00000036438	0.00176304654442877	0.0669957686882934	0.00968957871396894	24	6	NA
ENSMUSG00000036438	0.00069290465631929	0.0256374722838137	0.00637472283813747	24	6	NA
ENSMUSG00000038026	0.00733634311512415	0.278781038374718	0.0137922943051382	18	12	NA
ENSMUSG00000038473	0.0368625277161862	0.992655210643015	0.0434788788447324	24	12	NA
ENSMUSG00000038811	0.0406320541760722	0.975434538828147	0.0463168268046317	18	12	NA
ENSMUSG00000039943	0.0019163206643245	0.0473946784922395	0.00968957871396894	30	24	NA
ENSMUSG00000040061	0.118486696230599	0.963688173867991	0.122480629811406	24	12	NA
ENSMUSG00000041624	0.000352609308885755	0.0130465444287729	0.00463429377392707	24	6	NA
ENSMUSG00000042644	0.00225733634311512	0.0857787810383747	0.00968957871396894	18	18	NA
ENSMUSG00000043301	0.0368625277161862	0.501009251471825	0.0434788788447324	24	18	NA
ENSMUSG00000048240	0.0210795273075695	0.404699165568731	0.0275999430929009	30	12	NA
ENSMUSG00000049892	0.0186230248306998	0.700388026607539	0.025195857123888	18	18	NA
ENSMUSG00000050901	0.0026330376940133	0.100055432372506	0.00968957871396894	24	18	NA
ENSMUSG00000050965	0.0726833552920509	0.975856086044524	0.0768605596191803	30	18	NA
ENSMUSG00000051177	0.0210795273075695	0.397919605077574	0.0275999430929009	30	24	NA
ENSMUSG00000051331	0.00669957686882934	0.139550997782705	0.0137922943051382	24	24	NA
ENSMUSG00000052889	0.00669957686882934	0.135878603104213	0.0137922943051382	24	12	NA
ENSMUSG00000052920	0.00176304654442877	0.0548079618727222	0.00968957871396894	24	12	NA
ENSMUSG00000053819	0.00176304654442877	0.0599435825105783	0.00968957871396894	24	6	NA
ENSMUSG00000054764	0.0177383592017738	0.674057649667406	0.0251066007163568	24	24	NA
ENSMUSG00000055866	0.0026330376940133	0.100055432372506	0.00968957871396894	24	18	NA
ENSMUSG00000057378	0.00669957686882934	0.254583921015515	0.0137922943051382	24	18	NA
ENSMUSG00000057614	0.00734478935698448	0.249722838137472	0.0137922943051382	24	6	NA
ENSMUSG00000057897	0.0138772077375946	0.294978873931414	0.0232127838519764	30	30	NA
ENSMUSG00000059003	0.135440180586907	0.959367945823928	0.138449962377727	18	18	NA
ENSMUSG00000063065	0.00734478935698448	0.171152228763667	0.0137922943051382	24	24	NA
ENSMUSG00000063130	0.0498243372724369	0.998083679335675	0.0552269762537855	30	12	NA
ENSMUSG00000063358	0.0183356840620592	0.522910262040697	0.025195857123888	24	24	NA
ENSMUSG00000063594	0.00733634311512415	0.278781038374718	0.0137922943051382	18	18	NA
ENSMUSG00000068523	0.00734478935698448	0.27910199556541	0.0137922943051382	24	12	NA
ENSMUSG00000068523	0.0412823891084761	0.946662408176301	0.0463168268046317	30	6	NA
ENSMUSG00000099269	0.00109793588054458	0.0406236275801493	0.00841750841750845	30	12	NA
