ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000030751	4.77138260319705e-05	0.0109446159703463	0.000162542910799112	24	12	NA
ENSMUSG00000029446	0.000582812808814428	0.120760562589037	0.00121013346177651	24	4	NA
ENSMUSG00000030967	0.00125065725194824	0.067223009421526	0.00222017675815283	26	18	NA
ENSMUSG00000032112	0.000473149098118284	0.19020593744355	0.00101616294901994	28	16	NA
ENSMUSG00000079477	0.000311851435041988	0.0772071151637622	0.000728917469826283	24	4	NA
ENSMUSG00000020936	0.000202184727273511	0.0339494316547642	0.000523689742978065	28	28	NA
ENSMUSG00000071415	0.00227889101659351	0.745154400101112	0.00356351565742723	20	8	NA
ENSMUSG00000028646	0.000739729075184222	0.11475341460627	0.00147192668562281	26	16	NA
ENSMUSG00000055204	1.27080522249757e-05	0.00169376777602686	5.46911862687379e-05	20	16	NA
ENSMUSG00000022193	0.00298755741663935	0.700068308588698	0.00443660193083337	28	20	NA
ENSMUSG00000008855	0.00376904165394002	0.642551602203486	0.005359293332458	20	2	NA
ENSMUSG00000029234	0.00140419447528539	0.130849180102306	0.00241918597935603	28	26	NA
ENSMUSG00000025261	0.0270465267117144	0.956326515403162	0.0287263584844655	22	6	NA
ENSMUSG00000003346	6.78446041334159e-05	0.0116030946209	0.000217216679285635	24	20	NA
ENSMUSG00000070733	0.00315142855156491	0.458416163982459	0.00462094280459902	24	22	NA
ENSMUSG00000020794	0.000874426649174691	0.351519512968226	0.00166488256896077	20	16	NA
ENSMUSG00000021266	9.80079426678775e-06	0.000827410251411499	4.46410247282966e-05	24	24	NA
ENSMUSG00000025156	0.000246171940322246	0.0302124421180364	0.000608806977464321	28	24	NA
ENSMUSG00000030751	0.0003230022306927	0.0926944538434668	0.000749781702686907	22	10	NA
ENSMUSG00000067851	0.00380501909801992	0.38918544934338	0.00540285299240792	26	4	NA
ENSMUSG00000029446	0.00653949004222588	0.99525080119482	0.00840874218566082	28	20	NA
ENSMUSG00000026553	0.000179465704546867	0.035966865508176	0.000472473838651402	26	24	NA
ENSMUSG00000022100	0.000546397462528404	0.0651194101802949	0.00115292739847787	26	12	NA
ENSMUSG00000028677	0.00315142855156491	0.471150214980155	0.00462094280459902	24	4	NA
ENSMUSG00000037373	0.00720950313836443	0.988095505014092	0.00912298898138863	26	14	NA
ENSMUSG00000027828	5.26282042950662e-05	0.0180514740732077	0.000176721649911977	26	26	NA
ENSMUSG00000005442	0.0102673954355504	0.742063245272006	0.0123290383955285	24	20	NA
ENSMUSG00000040688	0.00101160965315692	0.406667080569083	0.00187182796590584	20	12	NA
ENSMUSG00000028759	0.00042406109521609	0.136891206034555	0.000943047321805374	24	6	NA
ENSMUSG00000025261	0.00801714246605108	0.95117441561712	0.0100147535896955	20	18	NA
ENSMUSG00000026553	0.0210436462190087	0.922113081136271	0.0228772065682927	28	8	NA
ENSMUSG00000018585	0.000403886909112498	0.0599021812519782	0.000906329394560919	20	10	NA
ENSMUSG00000026878	3.86852319163505e-05	0.0131529788515592	0.000136318551314934	22	6	NA
ENSMUSG00000020936	0.00203082803220984	0.49558541913734	0.00323499777706193	24	16	NA
ENSMUSG00000067851	0.00436164840819183	0.90896225230105	0.00604378318811472	20	4	NA
ENSMUSG00000014355	0.00858461316934087	0.981438250778666	0.0105776078664562	24	18	NA
ENSMUSG00000025224	2.05829742490022e-06	0.00065453858111827	1.25543727277483e-05	26	2	NA
ENSMUSG00000022100	1.5071744790832e-05	0.00262414388865629	6.38709126458418e-05	24	24	NA
ENSMUSG00000025224	5.81123491294431e-05	0.0102622974863546	0.000191514652643256	28	6	NA
ENSMUSG00000025261	0.00097354584830787	0.242810615090609	0.00182830715391603	20	16	NA
ENSMUSG00000025224	1.64186357399139e-06	0.000490917208623426	1.05053119164907e-05	24	4	NA
ENSMUSG00000008855	6.98584540642112e-06	0.00129337066518932	3.40205138500649e-05	24	2	NA
ENSMUSG00000022770	7.49933755044268e-05	0.0258727145490273	0.000237295365184552	20	10	NA
ENSMUSG00000034820	0.00403759664245103	0.845419276404196	0.00566344800321736	20	20	NA
ENSMUSG00000022770	1.16848732519968e-09	3.22502501755111e-07	4.0560462271894e-08	26	12	NA
ENSMUSG00000028759	1.09670937478029e-05	0.00176972672831321	4.8435567659068e-05	24	16	NA
ENSMUSG00000025224	0.00123465595075915	0.146827618619049	0.00219680157958883	26	4	NA
ENSMUSG00000005442	0.000820983635425869	0.124563251841439	0.00157265599284239	28	10	NA
ENSMUSG00000071415	0.00275402812797095	0.405083024274004	0.00415345516971794	22	8	NA
ENSMUSG00000008855	8.74053070049811e-06	0.00106746379145282	4.03811129323569e-05	26	2	NA
ENSMUSG00000030058	3.08774977908872e-08	8.46043439470311e-06	4.72135414939292e-07	24	2	NA
ENSMUSG00000026878	0.00329688540666695	0.961355795059095	0.00479582586332582	28	8	NA
ENSMUSG00000008855	0.0157101090532592	0.911300699266861	0.0176859397033089	20	14	NA
ENSMUSG00000001158	0.010865746101464	0.929301379243258	0.0128818866741146	28	8	NA
ENSMUSG00000015341	0.00815063564784721	0.581746641904421	0.0101723926517196	26	18	NA
ENSMUSG00000001289	0.00465868873295274	0.754837538961081	0.00639703463817471	20	8	NA
ENSMUSG00000026965	0.0154100516202523	0.959538859557689	0.0173976490549615	22	12	NA
ENSMUSG00000008855	0.00159618682672643	0.14706077464374	0.00268304428871819	26	4	NA
ENSMUSG00000068328	0.000147958396504967	0.0355846828602498	0.000409358604272664	26	20	NA
ENSMUSG00000005442	0.000133189742968781	0.0247159766345634	0.000373924897661147	24	2	NA
ENSMUSG00000040688	0.000390966099029366	0.157168371809805	0.000880563486841562	20	4	NA
ENSMUSG00000008855	0.00624593070948797	0.517543332457186	0.00810928434715356	26	14	NA
ENSMUSG00000022898	0.000120852292514497	0.0232206426227963	0.000344064361244908	22	6	NA
ENSMUSG00000025224	5.90850647598411e-09	1.63074778737161e-06	1.32639126555948e-07	24	8	NA
ENSMUSG00000005442	0.00185585037099089	0.195524121817894	0.00301028819069153	24	8	NA
ENSMUSG00000020459	0.0171695765846679	0.935578921889384	0.0191333417647159	28	10	NA
ENSMUSG00000034820	0.00396994142893821	0.319092958679857	0.00560656593471071	28	10	NA
ENSMUSG00000029405	1.45165764393106e-06	0.000133793072801633	9.58036374145989e-06	26	6	NA
ENSMUSG00000037373	0.00102179766143723	0.409740862236328	0.00188932645985416	22	6	NA
ENSMUSG00000038160	0.00115639906591085	0.464872424496161	0.0020702311658755	28	18	NA
ENSMUSG00000093575	0.00478152236168736	0.87192482048945	0.00650252566869689	24	16	NA
ENSMUSG00000005442	0.000154672973847098	0.0584663841142031	0.000422160468579035	24	24	NA
ENSMUSG00000021266	2.84386801164208e-07	8.13346251329636e-05	2.62251539836478e-06	20	8	NA
ENSMUSG00000008855	0.00515963831672148	0.875944534281509	0.00692130496117188	24	18	NA
ENSMUSG00000026810	0.000341816454404516	0.0599591284914134	0.000788107037952455	22	8	NA
ENSMUSG00000021282	8.19102318159583e-06	0.00288324015992173	3.8114971215361e-05	28	8	NA
ENSMUSG00000027598	1.61041351311238e-08	4.75923810713416e-06	2.89886896861104e-07	20	20	NA
ENSMUSG00000015341	0.00111021871199482	0.100913129527854	0.00199987271201793	26	24	NA
ENSMUSG00000005982	4.07869784901453e-08	6.72538737821377e-06	5.77449103442874e-07	24	24	NA
ENSMUSG00000026553	0.000649782791146111	0.180440754702578	0.00131055401731724	22	6	NA
ENSMUSG00000041645	0.0120606978171432	0.972994513922721	0.0140888868920237	28	12	NA
ENSMUSG00000067851	2.25564367953967e-05	0.00451062020198266	8.93749584138366e-05	28	28	NA
ENSMUSG00000029405	0.000460056002161857	0.0760432274283019	0.000999208296813439	24	2	NA
ENSMUSG00000024309	0.0022456218662817	0.270549330487381	0.00353167620666172	26	24	NA
ENSMUSG00000025224	4.47261628542329e-05	0.00661423973065032	0.000155197835348475	20	4	NA
ENSMUSG00000078552	0.000439021075788782	0.102582882590222	0.000960789795767357	28	18	NA
ENSMUSG00000008855	7.11927816231215e-09	1.27822560631391e-06	1.54885923499433e-07	24	24	NA
ENSMUSG00000024414	0.0129563967074398	0.966455449046183	0.0149534473835009	28	22	NA
ENSMUSG00000001016	0.00611925312879394	0.94055741830584	0.00795769794320961	26	16	NA
ENSMUSG00000007036	0.0233214894964676	0.98156190305605	0.0250989301813673	24	8	NA
ENSMUSG00000029234	0.0337984986564103	0.928003571447049	0.0351260918425299	24	8	NA
ENSMUSG00000030058	2.64856624792079e-08	2.82671230509786e-06	4.22770797720616e-07	22	2	NA
ENSMUSG00000026965	0.00978890930776585	0.48538817600133	0.0118449877091941	22	22	NA
ENSMUSG00000024740	7.24430001621241e-05	0.0213722601614769	0.000230227774633851	26	20	NA
ENSMUSG00000008855	0.000795190380175311	0.147432096521353	0.00153943642624438	20	6	NA
ENSMUSG00000032112	0.000971778700355844	0.182917847134065	0.00182661094594487	28	16	NA
ENSMUSG00000040688	0.00759430360149616	0.925743196479384	0.00952338611344744	20	8	NA
ENSMUSG00000026878	0.00341289344515628	0.993809787396271	0.00493985952539206	28	8	NA
ENSMUSG00000014355	0.0206807992411211	0.982649140504658	0.0225132628698162	26	12	NA
ENSMUSG00000001158	0.000180618853179179	0.0420965461161991	0.000475186953437575	28	2	NA
ENSMUSG00000025224	0.00324830019903351	0.744768261816979	0.00474324842901503	24	12	NA
ENSMUSG00000040688	3.70437783700249e-05	0.0123355781972183	0.000131530863137659	24	4	NA
ENSMUSG00000040688	0.000408384785352495	0.0323069673789721	0.000916157514511718	26	24	NA
ENSMUSG00000014355	0.00360925617653783	0.391378271906141	0.00519305066182506	22	16	NA
ENSMUSG00000035505	0.00470166531749154	0.391865039281306	0.00643556178499798	24	18	NA
ENSMUSG00000022100	0.0133804111089701	0.991019977223736	0.0154091716346283	28	26	NA
ENSMUSG00000026965	0.000926041426335793	0.219649967128996	0.00175082883117564	26	8	NA
ENSMUSG00000020794	0.0222307969279342	0.968502222079019	0.024024701578418	28	8	NA
ENSMUSG00000022770	1.07625406484654e-06	0.000174270805692936	7.5302168430012e-06	24	16	NA
ENSMUSG00000010406	5.45534696939308e-07	9.46226429219087e-05	4.38543283600413e-06	24	6	NA
ENSMUSG00000028677	6.28729395829004e-06	0.000998975893118221	3.10519421507648e-05	24	18	NA
ENSMUSG00000022770	4.92105475256057e-09	7.36485187746949e-07	1.17867116766531e-07	26	12	NA
ENSMUSG00000021327	5.58149192816379e-11	8.20717952311535e-09	4.48886857309386e-09	24	2	NA
ENSMUSG00000038160	0.0350369063214479	0.927725187017564	0.0363163231523232	20	4	NA
ENSMUSG00000040688	0.0175768536559307	0.928332002235926	0.0195030956811059	20	2	NA
ENSMUSG00000019868	0.000396185435366929	0.150550465439433	0.000891196892381146	28	2	NA
