ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000000001	0.119323255909	0.816183816184	0.127648134228233	24	18	154.9
ENSMUSG00000001175	0.00130020106243	0.023976023976	0.0199364162905933	24	20	938.1
ENSMUSG00000001986	0.00511785720421	0.0949050949051	0.02715371633474	24	0	9.9
ENSMUSG00000002771	0.0361333719259	0.48951048951	0.0519417221434813	24	4	5.7
ENSMUSG00000005034	0.019977670514	0.318681318681	0.0459486421822	24	2	224.7
ENSMUSG00000005469	0.000531557622373	0.00799200799201	0.018795144515797	24	20	236.2
ENSMUSG00000005580	0.00511785720421	0.0949050949051	0.02715371633474	24	6	272.9
ENSMUSG00000015968	0.0130130391884	0.220779220779	0.0352117530980235	24	6	14.9
ENSMUSG00000019370	0.119323255909	0.816183816184	0.127648134228233	24	18	292.6
ENSMUSG00000020431	0.00649327999309	0.123876123876	0.02715371633474	24	6	11.6
ENSMUSG00000020524	0.188910824895	0.923076923077	0.190986768025714	24	12	3.8
ENSMUSG00000020654	0.152351432712	0.895104895105	0.15748687426409	24	6	16
ENSMUSG00000020734	0.0361333719259	0.48951048951	0.0519417221434813	24	14	12.3
ENSMUSG00000020866	0.0361333719259	0.48951048951	0.0519417221434813	24	4	6.4
ENSMUSG00000020893	0.00511785720421	0.0949050949051	0.02715371633474	24	8	469.8
ENSMUSG00000021180	0.0361333719259	0.48951048951	0.0519417221434813	24	0	11.5
ENSMUSG00000021250	0.019977670514	0.318681318681	0.0459486421822	24	6	32.1
ENSMUSG00000021313	0.00807846704547	0.135864135864	0.028410925747157	24	12	20.1
ENSMUSG00000021536	0.0293908640412	0.405594405594	0.0519417221434813	24	12	19.7
ENSMUSG00000021820	0.00130020106243	0.023976023976	0.0199364162905933	24	6	167.9
ENSMUSG00000021933	0.00642889823753	0.123876123876	0.02715371633474	24	8	4.1
ENSMUSG00000022220	0.044368358957	0.532467532468	0.0603360535608529	24	16	54.4
ENSMUSG00000022376	0.0247673097479	0.376623376623	0.0487993543132511	24	10	9.3
ENSMUSG00000022416	0.0617000545405	0.638361638362	0.0727744233041795	24	6	5
ENSMUSG00000022840	0.0617000545405	0.638361638362	0.0727744233041795	24	4	7.6
ENSMUSG00000022994	0.00642889823753	0.123876123876	0.02715371633474	24	8	136.8
ENSMUSG00000023439	0.119323255909	0.816183816184	0.127648134228233	24	14	16.6
ENSMUSG00000024112	0.019977670514	0.318681318681	0.0459486421822	24	14	3.9
ENSMUSG00000024256	0.0247673097479	0.376623376623	0.0487993543132511	24	16	5.8
ENSMUSG00000024617	0.0445962135015	0.532467532468	0.0603360535608529	24	6	5.7
ENSMUSG00000024639	0.0247673097479	0.376623376623	0.0487993543132511	24	4	111.7
ENSMUSG00000024960	0.0247673097479	0.376623376623	0.0487993543132511	24	22	140.3
ENSMUSG00000025739	0.0749000325656	0.692307692308	0.08613503745044	24	10	5.5
ENSMUSG00000025892	0.00376315838082	0.0699300699301	0.02715371633474	24	12	30.7
ENSMUSG00000025958	0.0361333719259	0.48951048951	0.0519417221434813	24	22	171.2
ENSMUSG00000026567	0.110691447231	0.791208791209	0.122694134280145	24	6	1.9
ENSMUSG00000026824	0.0247673097479	0.376623376623	0.0487993543132511	24	12	12
ENSMUSG00000026959	0.0293908640412	0.405594405594	0.0519417221434813	24	20	7.6
ENSMUSG00000027523	0.000817180196339	0.00899100899101	0.018795144515797	24	20	154.4
ENSMUSG00000027669	0.0306844180204	0.413586413586	0.0519417221434813	24	4	30.3
ENSMUSG00000028957	0.000670320757451	0.00799200799201	0.018795144515797	24	14	484.7
ENSMUSG00000029064	0.00236743298497	0.048951048951	0.0242004260685822	24	22	438.6
ENSMUSG00000029334	0.0293908640412	0.405594405594	0.0519417221434813	24	12	5.4
ENSMUSG00000029361	0.00301978019665	0.0659340659341	0.0252563434628909	24	4	8.3
ENSMUSG00000029663	0.0130130391884	0.220779220779	0.0352117530980235	24	20	8
ENSMUSG00000029713	0.00807846704547	0.135864135864	0.028410925747157	24	8	225.7
ENSMUSG00000029778	0.0104167975829	0.184815184815	0.0319448459208933	24	14	20.4
ENSMUSG00000030102	0.00642889823753	0.123876123876	0.02715371633474	24	20	380.6
ENSMUSG00000030209	0.0361333719259	0.48951048951	0.0519417221434813	24	22	16
ENSMUSG00000030592	0.0182234901079	0.254745254745	0.0459486421822	24	4	6.3
ENSMUSG00000031659	0.0293908640412	0.405594405594	0.0519417221434813	24	6	37.9
ENSMUSG00000031748	0.0361333719259	0.48951048951	0.0519417221434813	24	6	8.2
ENSMUSG00000032034	0.152185475851	0.895104895105	0.15748687426409	24	4	8.3
ENSMUSG00000032192	0.352728496791	0.995004995005	0.352728496791	24	18	14.5
ENSMUSG00000032246	0.0617000545405	0.638361638362	0.0727744233041795	24	14	10
ENSMUSG00000032562	0.0161048451306	0.242757242757	0.0423327357718629	24	20	151.1
ENSMUSG00000032766	0.00715294051217	0.123876123876	0.028410925747157	24	18	15.6
ENSMUSG00000033765	0.0617000545405	0.638361638362	0.0727744233041795	24	8	9.6
ENSMUSG00000033981	0.00298390026505	0.0659340659341	0.0252563434628909	24	10	23
ENSMUSG00000036402	0.00164173090746	0.026973026973	0.02157703478376	24	8	448.3
ENSMUSG00000036438	0.0617000545405	0.638361638362	0.0727744233041795	24	4	307.4
ENSMUSG00000036438	0.0617000545405	0.638361638362	0.0727744233041795	24	12	357.7
ENSMUSG00000038026	0.0361333719259	0.48951048951	0.0519417221434813	24	4	4.6
ENSMUSG00000038473	0.0306844180204	0.413586413586	0.0519417221434813	24	20	56.5
ENSMUSG00000038811	0.00236743298497	0.048951048951	0.0242004260685822	24	22	6.4
ENSMUSG00000039943	0.0361333719259	0.48951048951	0.0519417221434813	24	20	22.9
ENSMUSG00000040061	0.0247673097479	0.376623376623	0.0487993543132511	24	22	20.5
ENSMUSG00000041624	0.0507269108534	0.553446553447	0.0666696542644686	24	12	40.6
ENSMUSG00000042644	0.0995917205328	0.791208791209	0.111737052305093	24	14	30.9
ENSMUSG00000043301	0.0104167975829	0.184815184815	0.0319448459208933	24	8	3.8
ENSMUSG00000048240	0.044368358957	0.532467532468	0.0603360535608529	24	14	10.7
ENSMUSG00000049892	0.152185475851	0.895104895105	0.15748687426409	24	4	10
ENSMUSG00000050901	0.179698391802	0.91008991009	0.1836916893976	24	14	8.6
ENSMUSG00000050965	0.00642889823753	0.123876123876	0.02715371633474	24	6	133
ENSMUSG00000051177	0.019977670514	0.318681318681	0.0459486421822	24	20	136.4
ENSMUSG00000051331	0.0617000545405	0.638361638362	0.0727744233041795	24	6	5.1
ENSMUSG00000052889	0.0361333719259	0.48951048951	0.0519417221434813	24	6	38.5
ENSMUSG00000052920	0.0361333719259	0.48951048951	0.0519417221434813	24	0	11.1
ENSMUSG00000053819	0.0130130391884	0.220779220779	0.0352117530980235	24	4	75.8
ENSMUSG00000054764	0.0749000325656	0.692307692308	0.08613503745044	24	18	92.3
ENSMUSG00000055866	0.0617000545405	0.638361638362	0.0727744233041795	24	8	969.5
ENSMUSG00000057378	0.00642889823753	0.123876123876	0.02715371633474	24	10	15
ENSMUSG00000057614	0.0104167975829	0.184815184815	0.0319448459208933	24	14	22.3
ENSMUSG00000057897	0.044368358957	0.532467532468	0.0603360535608529	24	4	76.4
ENSMUSG00000059003	0.0507269108534	0.553446553447	0.0666696542644686	24	6	5
ENSMUSG00000063065	0.000531557622373	0.00799200799201	0.018795144515797	24	6	210.9
ENSMUSG00000063130	0.0249301049209	0.376623376623	0.0487993543132511	24	22	10.1
ENSMUSG00000063358	0.00642889823753	0.123876123876	0.02715371633474	24	4	530.2
ENSMUSG00000063594	0.00833798907797	0.144855144855	0.028410925747157	24	6	8
ENSMUSG00000068523	0.0130130391884	0.220779220779	0.0352117530980235	24	20	382
ENSMUSG00000068523	0.0995917205328	0.791208791209	0.111737052305093	24	18	134.9
