ID	CT22	CT28	CT34	CT40	CT46	CT52	CT58	CT64
ENSMUSG00000030751	30.1	33.6	27.2	30.8	27.4	30.5	27.6	28.3
ENSMUSG00000029446	27.3	28.8	27	22.7	29.7	30.3	26.7	25.8
ENSMUSG00000030967	1606.7	2048.3	2057.1	1746.7	1668.9	1884.3	2021.5	1546.9
ENSMUSG00000032112	202.3	276	130.8	226.1	218.3	209.9	212.1	239.6
ENSMUSG00000079477	491.5	453.3	311.5	485	403.2	556.7	383.7	424.4
ENSMUSG00000020936	2287.4	2288	1937.6	2441.9	2531.9	2325	2300.1	2300.3
ENSMUSG00000071415	111.7	148.4	102.5	133.1	122.4	125.5	125.6	135.6
ENSMUSG00000028646	1055.5	1081.9	858	1152.6	1122.3	1182.9	1304.1	1133.3
ENSMUSG00000055204	513.3	539	675.3	427.2	486	623.7	565	426.1
ENSMUSG00000022193	5079.9	5241.6	4747.3	4922.2	5060.6	5039.6	4728.6	5460.8
ENSMUSG00000008855	160.8	142.9	163.4	165.8	171.8	153.4	219.2	176.9
ENSMUSG00000029234	32.2	27.5	34.5	34.6	30	39.6	31.6	38.5
ENSMUSG00000025261	533.1	491.2	335.4	515.7	392.9	398.7	447.3	439.7
ENSMUSG00000003346	679	603.6	622.4	754.5	627.5	552.6	681.6	708.3
ENSMUSG00000070733	114.7	127.7	148.6	102	120.1	132.5	173.7	148.5
ENSMUSG00000020794	1534.4	1580.4	1526.8	1525.8	1514.1	1936.2	1431.3	1429.4
ENSMUSG00000021266	438.3	355.3	361.4	571.9	408	394.7	361.2	499.3
ENSMUSG00000025156	828.3	842.7	803.7	961.5	918.8	672.8	786.7	952.6
ENSMUSG00000030751	3663.4	3740.9	3144	3033.3	3432.8	3161.9	3444.5	3485.3
ENSMUSG00000067851	36.4	34	33.1	51.1	45.1	43	29.2	36.5
ENSMUSG00000029446	28.9	35.2	32.1	30.8	31.4	29.5	28.5	37.8
ENSMUSG00000026553	754.5	900.3	496.1	1157.1	1007.2	948.8	766.2	819.4
ENSMUSG00000022100	36.7	47.1	36.3	39	42.1	40.1	30.9	31.8
ENSMUSG00000028677	329.5	342.9	303.3	375.1	311	329.8	210.8	265.1
ENSMUSG00000037373	593	684.2	482.6	703.2	652.7	633.1	614.1	594.1
ENSMUSG00000027828	102.9	119.3	111.7	131.2	112.8	111.6	112	131.1
ENSMUSG00000005442	54.2	83.6	72.6	62.7	64.6	74.7	70	80.8
ENSMUSG00000040688	309.6	327	143.5	282.8	292.8	216.4	261.1	299.2
ENSMUSG00000028759	242.4	153.1	109.2	148.2	221.4	231.4	128.3	157.4
ENSMUSG00000025261	3246.8	3045.5	3338.5	3251.5	3410.8	3312.5	2977.5	3224.3
ENSMUSG00000026553	36.9	44.4	35.6	32.9	40.7	54.7	44.3	41.5
ENSMUSG00000018585	1121.1	1027.3	992.9	1213.3	1276.4	901.4	952.2	1298.5
ENSMUSG00000026878	68.6	54.4	32.5	62.3	47.2	52.3	33.1	51.1
ENSMUSG00000020936	187.9	183.5	57.2	180.4	243.1	265.2	132.2	280.7
ENSMUSG00000067851	775.1	883.3	579.7	995.9	985.3	1159.7	1041.8	940.3
ENSMUSG00000014355	51.9	32.8	55	41.7	40.8	32.7	43.5	41.9
ENSMUSG00000025224	52.1	34.3	30	40.8	44.6	28	34.9	39.5
ENSMUSG00000022100	1778.6	1676.3	1713.6	1978.9	1769.1	1596.6	1786.7	1900.4
