ID	CT18	CT20	CT22	CT24	CT26	CT28	CT30	CT32	CT34	CT36	CT38	CT40
ENSMUSG00000030751	28.9	29.3	30.1	28.4	31.2	33.6	32.8	28.2	27.2	25.8	28.8	30.8
ENSMUSG00000029446	28.2	31.9	27.3	26.8	25.6	28.8	25.6	24.1	27	27	26.3	22.7
ENSMUSG00000030967	1673	1944.1	1606.7	1786.8	1563	2048.3	1729.2	2057.2	2057.1	2175.9	1459.3	1746.7
ENSMUSG00000032112	211	226.3	202.3	247.9	211.5	276	212.4	264	130.8	279.9	189.8	226.1
ENSMUSG00000079477	436.5	508.3	491.5	515.6	415.7	453.3	403.8	432.6	311.5	431.4	291.3	485
ENSMUSG00000020936	2344.9	2303.3	2287.4	2349.3	2369.4	2288	2289.1	2343.7	1937.6	2312.3	2564	2441.9
ENSMUSG00000071415	122.6	122	111.7	135.5	120.5	148.4	133.4	124.5	102.5	149.8	124.4	133.1
ENSMUSG00000028646	1035.4	1230.7	1055.5	1296.8	962.4	1081.9	1105	1378.1	858	1261.4	1104.7	1152.6
ENSMUSG00000055204	442.7	500.2	513.3	463.2	402	539	575.1	785.2	675.3	801.1	521.3	427.2
ENSMUSG00000022193	4850.7	4954	5079.9	5130.9	4995.1	5241.6	5411.4	5128	4747.3	5656.1	5032.2	4922.2
ENSMUSG00000008855	177.7	159.3	160.8	135.5	200.2	142.9	167.6	156.1	163.4	120.3	194.4	165.8
ENSMUSG00000029234	32.4	27.8	32.2	32.5	33.6	27.5	33.5	33.5	34.5	34.5	36.2	34.6
ENSMUSG00000025261	474.3	393.1	533.1	427.9	539.7	491.2	499.1	555.7	335.4	419.6	437.9	515.7
ENSMUSG00000003346	715.7	753.5	679	760.8	665.1	603.6	706.5	645.1	622.4	790.2	666.4	754.5
ENSMUSG00000070733	127.2	118	114.7	126.2	150.2	127.7	140.7	113.1	148.6	124.6	179.4	102
ENSMUSG00000020794	1560.9	1589	1534.4	1409.9	1360.9	1580.4	1423.2	1615.7	1526.8	1608.5	1542.6	1525.8
ENSMUSG00000021266	434.6	425.1	438.3	493.5	357	355.3	374.3	439.2	361.4	457.6	422	571.9
ENSMUSG00000025156	822.1	842	828.3	969.4	840.5	842.7	925.8	928.3	803.7	957	901.3	961.5
ENSMUSG00000030751	3169.2	3257.6	3663.4	3407.2	3645.7	3740.9	3454.3	3502.1	3144	3578.1	3215.6	3033.3
ENSMUSG00000067851	35.5	42.4	36.4	40.7	29.1	34	35	39.1	33.1	34.6	32.6	51.1
ENSMUSG00000029446	29.2	32.8	28.9	31.3	30.2	35.2	29.8	33.3	32.1	32.5	30.6	30.8
ENSMUSG00000026553	836	918.6	754.5	911.8	818.3	900.3	737.6	874	496.1	819	816.3	1157.1
ENSMUSG00000022100	39.8	45.8	36.7	40.3	34.6	47.1	43.1	38.7	36.3	39.3	28.9	39
ENSMUSG00000028677	310	370.4	329.5	301.7	286.8	342.9	346.6	303.8	303.3	310.2	181.9	375.1
ENSMUSG00000037373	610.9	638.9	593	707.4	632.4	684.2	716.7	633.8	482.6	580.4	560	703.2
ENSMUSG00000027828	120.1	139.4	102.9	85.8	130.9	119.3	120.3	118.5	111.7	118.8	122.4	131.2
ENSMUSG00000005442	73.1	64.3	54.2	67.6	60.1	83.6	92.8	61.8	72.6	82.2	83.8	62.7
ENSMUSG00000040688	260.2	274.2	309.6	264.6	291.3	327	242.3	277.9	143.5	301.2	219.3	282.8
ENSMUSG00000028759	124.4	193.8	242.4	171.8	131	153.1	103.9	132.2	109.2	161.2	114.7	148.2
ENSMUSG00000025261	3168.1	3115.6	3246.8	3223.7	3270.7	3045.5	3474	3272.5	3338.5	3278.7	3480.8	3251.5
ENSMUSG00000026553	48.5	43.7	36.9	52.7	36.9	44.4	35.6	53.3	35.6	40.5	35.9	32.9
ENSMUSG00000018585	1111	1114.9	1121.1	1143.1	1261.3	1027.3	1092	1096.2	992.9	1245.2	1133.3	1213.3
ENSMUSG00000026878	34.7	53.7	68.6	67.1	46.6	54.4	32	35.1	32.5	38.8	31.2	62.3
ENSMUSG00000020936	169.7	160.4	187.9	187.5	170.2	183.5	210.1	337.6	57.2	233.6	121.3	180.4
ENSMUSG00000067851	872.9	1111.8	775.1	973.1	1003.8	883.3	759.3	903	579.7	833.7	874	995.9
ENSMUSG00000014355	40.7	50.3	51.9	42.2	44.9	32.8	62.4	38.2	55	47	43.3	41.7
ENSMUSG00000025224	45.3	41.6	52.1	41	31.2	34.3	36.5	34.7	30	29	28.7	40.8
ENSMUSG00000022100	1802	1783.7	1778.6	1883.9	1484.2	1676.3	1640.8	1794.2	1713.6	1810.3	1752.2	1978.9
ENSMUSG00000025224	33.4	35.2	38.5	39.6	35.8	36.3	30.1	37	33.3	33.4	38.8	47.4
ENSMUSG00000025261	800.4	888.6	849.1	901.4	826.6	944.7	1107.1	1068.5	798.9	1076.7	845.7	969.5
ENSMUSG00000025224	756.7	807.9	744.4	813.4	891.9	747	500	590.9	272.1	507.1	458.1	640.2
ENSMUSG00000008855	94.4	40.6	50.6	67.4	59.4	53.9	34.3	42.3	41.4	34.1	50.9	67.8
ENSMUSG00000022770	31	33.3	29.7	29.1	39.7	36.6	29.9	30.4	29.6	27	27.9	33.5
ENSMUSG00000034820	781.2	763.6	780.1	723	681.7	912.2	795.8	832.3	617.5	908.4	752.4	661.6
ENSMUSG00000022770	2500.6	2941	2722.3	2978.9	2911.8	3432.6	3214.7	3004	2637.9	2863.7	2325.3	2501.5
ENSMUSG00000028759	2092.8	2436	2318.4	2709.3	2299.5	2874.5	2826.5	2864.1	2245.9	2884.5	2099.3	2385.4
