ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000000001	0.0134605501210327	0.935866125510065	0.0140723933083524	24	4	NA
ENSMUSG00000001175	0.00164631950236012	0.405885657806865	0.00199291308180436	28	26	NA
ENSMUSG00000001986	7.80404312086741e-11	2.03685525454639e-08	1.02567423874257e-09	24	20	NA
ENSMUSG00000002771	2.55381026762459e-06	0.000937248368218225	8.70187202301712e-06	20	20	NA
ENSMUSG00000005034	0.000776723770480456	0.0851198631835337	0.00118016397592469	22	20	NA
ENSMUSG00000005469	0.000912694336335703	0.294457339542432	0.00125325192452067	22	2	NA
ENSMUSG00000005580	5.58149192816379e-11	7.54974152602885e-09	1.0239862292356e-09	24	16	NA
ENSMUSG00000015968	2.44577617479067e-10	6.45684910144736e-08	2.50012675645268e-09	26	10	NA
ENSMUSG00000019370	0.00261654820261648	0.305171495345856	0.002935639446838	28	10	NA
ENSMUSG00000020431	0.0176361175678608	0.990991759533104	0.018028031291591	22	22	NA
ENSMUSG00000020524	2.06201227259744e-07	5.34306792885653e-05	1.05391738377202e-06	22	22	NA
ENSMUSG00000020654	0.000649782791146111	0.261212682040736	0.00103415293386419	22	20	NA
ENSMUSG00000020734	0.000625181412354767	0.20311008953952	0.00102708374886855	28	2	NA
ENSMUSG00000020866	1.03149232257961e-07	3.07384712128724e-05	5.58219374572495e-07	26	2	NA
ENSMUSG00000020893	3.05839224074701e-10	8.37999473964681e-08	2.5579280558975e-09	24	18	NA
ENSMUSG00000021180	2.88852555784315e-06	0.000860780616237258	9.49086969005606e-06	24	18	NA
ENSMUSG00000021250	0.00135851804520743	0.254756915424768	0.00171210493368608	22	12	NA
ENSMUSG00000021313	5.40492440525737e-08	1.82686444897699e-05	3.10783153302299e-07	20	12	NA
ENSMUSG00000021536	0.012503035197033	0.861952911618678	0.0132216004382418	26	16	NA
ENSMUSG00000021820	0.000787309449871281	0.0775882723655704	0.00118016397592469	26	12	NA
ENSMUSG00000021933	0.000939704867310212	0.276392162217373	0.00127136540871382	28	6	NA
ENSMUSG00000022220	0.00012348481880425	0.0269107600655752	0.000284015083249775	22	2	NA
ENSMUSG00000022376	0.00133369273809489	0.287816699111411	0.00171210493368608	22	14	NA
ENSMUSG00000022416	0.00042406109521609	0.163687582753411	0.000764972956076084	24	12	NA
ENSMUSG00000022840	1.84265545913376e-09	5.14100873098319e-07	1.3040330941562e-08	26	20	NA
ENSMUSG00000022994	1.89777408229266e-06	0.000611083254498238	6.71520059888172e-06	28	16	NA
ENSMUSG00000023439	0.000976320093143907	0.156500822243512	0.00128316355098913	28	26	NA
ENSMUSG00000024112	0.00135851804520743	0.209043754491332	0.00171210493368608	22	12	NA
ENSMUSG00000024256	0.000297938393246151	0.112322774253799	0.000583198556992466	28	2	NA
ENSMUSG00000024617	0.0246656274414033	0.96835855202899	0.0249366782924077	20	20	NA
ENSMUSG00000024639	0.00013684292106723	0.0526845246108837	0.00030706216434598	20	8	NA
ENSMUSG00000024960	0.002941643790573	0.490113430129594	0.00326061721364718	20	8	NA
ENSMUSG00000025739	0.00515326180999558	0.521291685466528	0.0055776480767011	28	22	NA
ENSMUSG00000025892	0.000820983635425869	0.327039553993674	0.00118016397592469	28	22	NA
ENSMUSG00000025958	0.000676546467286255	0.137361529417929	0.00105495381339552	20	4	NA
ENSMUSG00000026567	0.00200952768237723	0.807830128315646	0.00236501492358614	28	2	NA
ENSMUSG00000026824	1.04055360207135e-10	3.88126493572614e-08	1.19663664238205e-09	20	12	NA
ENSMUSG00000026959	0.000553534278517969	0.194466196154982	0.000943058400438021	28	22	NA
ENSMUSG00000027523	0.00200952768237723	0.250087616416907	0.00236501492358614	28	8	NA
ENSMUSG00000027669	4.89175180655372e-05	0.0132681908382282	0.000125011435056373	28	8	NA
ENSMUSG00000028957	2.29124661463381e-16	6.00306613034057e-14	1.05397344273155e-14	24	18	NA
ENSMUSG00000029064	0.000812816045695085	0.0989762418739681	0.00118016397592469	24	2	NA
ENSMUSG00000029334	9.27935351634172e-10	2.0019651313794e-07	7.11417102919532e-09	24	2	NA
ENSMUSG00000029361	0.000602499623516261	0.124643531891372	0.00100781755206356	28	22	NA
ENSMUSG00000029663	0.0786083937548279	0.92816039869278	0.0786083937548279	20	6	NA
ENSMUSG00000029713	1.06309854876822e-05	0.00322102803993158	3.15500214473149e-05	20	18	NA
ENSMUSG00000029778	0.000866140822204591	0.110642684315294	0.00122592239450496	28	2	NA
ENSMUSG00000030102	2.28230296704727e-11	6.25351012970951e-09	5.24929682420872e-10	24	10	NA
ENSMUSG00000030209	0.0144251454320521	0.994548147230499	0.0149113862893123	20	2	NA
ENSMUSG00000030592	2.37775870050575e-05	0.00841726579979034	6.43393530725085e-05	28	2	NA
ENSMUSG00000031659	3.05839224074701e-10	8.13532336038705e-08	2.5579280558975e-09	24	16	NA
ENSMUSG00000031748	2.21975619105514e-08	4.18390095066522e-06	1.36145046384715e-07	24	22	NA
ENSMUSG00000032034	0.00143702718598477	0.577684928765876	0.00178657433933242	20	12	NA
ENSMUSG00000032192	0.000311851435041988	0.0702409275272314	0.000597715250497144	24	8	NA
ENSMUSG00000032246	3.9568471528944e-07	0.000111583089711622	1.73347589555374e-06	24	14	NA
ENSMUSG00000032562	0.000217949975133292	0.0413286868185676	0.000445586615828064	26	20	NA
ENSMUSG00000032766	9.62483912198597e-05	0.0143390844076056	0.000227047486980182	22	12	NA
ENSMUSG00000033765	4.06944274401674e-05	0.00809301235589938	0.000106968209271297	28	2	NA
ENSMUSG00000033981	0.000510740565834604	0.175052544490571	0.000886568529373275	22	22	NA
ENSMUSG00000036402	1.54555518801024e-05	0.00564127643623739	4.30882052414976e-05	20	6	NA
ENSMUSG00000036438	0.000795632534009437	0.319048646137784	0.00118016397592469	22	16	NA
ENSMUSG00000036438	5.45534696939308e-07	5.68842422273368e-05	2.18213878775723e-06	24	14	NA
ENSMUSG00000038026	0.000188269916307822	0.0409086958053945	0.000402810053495805	28	2	NA
ENSMUSG00000038473	0.000974868472602282	0.391897125986117	0.00128316355098913	22	2	NA
ENSMUSG00000038811	3.78808310828661e-06	0.000493923910561454	1.20173671021506e-05	28	8	NA
ENSMUSG00000039943	6.67817106023216e-11	1.77639350202175e-08	1.0239862292356e-09	22	22	NA
ENSMUSG00000040061	1.5071744790832e-05	0.00486817356743873	4.30882052414976e-05	24	10	NA
ENSMUSG00000041624	2.26152638067137e-07	6.49058071252684e-05	1.09505487906193e-06	22	4	NA
ENSMUSG00000042644	2.10272288219585e-09	5.55118840899704e-07	1.38178932258584e-08	24	20	NA
ENSMUSG00000043301	0.000411523449051638	0.04700170522377	0.000757203146255014	28	26	NA
