ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000000001	0.000643224072928816	0.038593444375729	0.00412022644364741	22	5	26.0215295476649
ENSMUSG00000001175	6.50360448620455e-05	0.00390216269172273	0.000664812903034243	26	22	163.836641200922
ENSMUSG00000001986	0.376001390470192	1	0.388675594643345	20	1	5.26794551983979
ENSMUSG00000002771	0.00695748569387103	0.417449141632262	0.0220720235805564	28	8	1.69705627484772
ENSMUSG00000005034	0.0120068344692716	0.720410068156294	0.030684132532583	22	6	14.9906637611548
ENSMUSG00000005469	0.0385215515850877	1	0.0694898577613347	28	4	49.4974746830583
ENSMUSG00000005580	0.107397355848434	1	0.14970540512206	26	5	26.1629509039023
ENSMUSG00000015968	0.151793707345398	1	0.188716501024008	24	14	2.9698484809835
ENSMUSG00000019370	0.0298056052906808	1	0.0571274101404715	28	7	123.248711960815
ENSMUSG00000020431	0.0660773235947463	1	0.106651118784503	24	14	4.06586399182265
ENSMUSG00000020524	0.190753585701057	1	0.227913375123341	28	7	4.87903679018718
ENSMUSG00000020654	0.00107169463487614	0.0643016780925683	0.00518925823203184	28	24	3.95979797464466
ENSMUSG00000020734	0.118876590019321	1	0.160833033555552	22	14	2.68700576850889
ENSMUSG00000020866	0.00815751496613857	0.489450897968314	0.0234528555276484	20	11	3.39411254969542
ENSMUSG00000020893	5.40621351624135e-07	3.24372810974481e-05	1.65790547831401e-05	24	10	201.384011281929
ENSMUSG00000021180	0.0698335698494508	1	0.110770490106025	28	17	27.647875144394
ENSMUSG00000021250	0.0588981428681293	1	0.0967612347119267	26	3	8.9095454429505
ENSMUSG00000021313	0.158964501948704	1	0.194996455723744	28	3	3.1112698372208
ENSMUSG00000021536	4.46181791068345e-05	0.00267709074641007	0.000586410353975539	20	11	76.5443090634438
ENSMUSG00000021820	0.0059150062317909	0.354900373907454	0.0201548360490653	20	11	28.4787256122882
ENSMUSG00000021933	0.0780550500276803	1	0.119684410042443	26	12	1.90918830920368
ENSMUSG00000022220	0.0228083907573296	1	0.0476902715835073	20	15	14.8492424049175
ENSMUSG00000022376	0.289551966490189	1	0.313397422554087	28	27	1.97989898732234
ENSMUSG00000022416	0.00815751496613857	0.489450897968314	0.0234528555276484	20	3	1.76776695296637
ENSMUSG00000022840	0.190753585701057	1	0.227913375123341	26	25	5.86898628384834
ENSMUSG00000022994	0.000471507091846672	0.0282904255108003	0.00394351385908126	28	4	25.809397513309
ENSMUSG00000023439	0.00298941570374623	0.179364942224774	0.0114594268643606	24	12	5.25026785031013
ENSMUSG00000024112	0.301155693073474	1	0.318463491525973	26	5	4.80832611206852
ENSMUSG00000024256	0.131272363233779	1	0.172529391678681	28	3	3.95979797464467
ENSMUSG00000024617	0.0870280251852597	1	0.129138359952321	24	4	22.9986480580924
ENSMUSG00000024639	0.0059150062317909	0.354900373907454	0.0201548360490653	24	23	15.821514229049
ENSMUSG00000024960	0.00298941570374623	0.179364942224774	0.0114594268643606	26	3	9.40452018978109
ENSMUSG00000025739	0.0554752083962169	1	0.092794894044581	26	12	2.33345237791561
ENSMUSG00000025892	0.257062944447241	1	0.284937239628267	28	25	2.68700576850888
ENSMUSG00000025958	7.25216996304551e-06	0.000435130197782731	0.000133439927320037	20	6	30.6530789644369
ENSMUSG00000026567	0.0103217877061701	0.619307262370208	0.0271315562562186	20	1	0.42426406871193
ENSMUSG00000026824	0.08254153760647	1	0.124488876390086	28	7	5.65685424949238
ENSMUSG00000026959	0.226875031957986	1	0.257685221483145	28	25	8.34386001800126
ENSMUSG00000027523	0.131272363233779	1	0.172529391678681	24	0	26.4811489554363
ENSMUSG00000027669	0.00298941570374623	0.179364942224774	0.0114594268643606	22	5	13.0814754519511
ENSMUSG00000028957	8.8958096931736e-10	5.33748581590416e-08	6.8150556349533e-08	24	10	145.186699847128
ENSMUSG00000029064	0.0198678804931436	1	0.0425080233806793	28	27	155.775623895397
ENSMUSG00000029334	0.226875031957986	1	0.257685221483145	26	5	1.20208152801714
ENSMUSG00000029361	0.0103217877061701	0.619307262370208	0.0271315562562186	28	21	30.8298556597335
ENSMUSG00000029663	0.0739443099385655	1	0.115302991768611	22	19	1.20208152801713
ENSMUSG00000029713	0.049254022236177	1	0.0854975480326091	28	1	20.7889393668846
