ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000000001	1.86507647697333e-05	0.0043132072701485	0.00012836342612462	20	14	NA
ENSMUSG00000001175	1.10397631608571e-06	0.000193974829413747	1.45094030114122e-05	24	6	NA
ENSMUSG00000001986	0.0689429161797676	0.910339942008782	0.0712668347026811	22	6	NA
ENSMUSG00000002771	0.000223862587359434	0.0349191728813633	0.000624101758699028	28	18	NA
ENSMUSG00000005034	0.000784924324698286	0.115527477252838	0.00167937297377308	24	12	NA
ENSMUSG00000005469	0.0038925310630455	0.276449034199983	0.00606970945424044	24	10	NA
ENSMUSG00000005580	0.0144841672892073	0.925614516305668	0.0184221134534908	22	12	NA
ENSMUSG00000015968	0.00872808099685127	0.953011183846046	0.0121664159350048	28	16	NA
ENSMUSG00000019370	0.00223635515679442	0.899014773031358	0.00411489348850173	20	16	NA
ENSMUSG00000020431	0.00908699233895967	0.81203764171687	0.0124776611221536	28	20	NA
ENSMUSG00000020524	0.0511753054925205	0.930790493062752	0.0541164150035849	28	24	NA
ENSMUSG00000020654	4.66015358541284e-05	0.00758072769821804	0.000214367064928991	28	8	NA
ENSMUSG00000020734	0.0238154095421008	0.962519193775668	0.0273877209734159	22	2	NA
ENSMUSG00000020866	0.000132719786861328	0.0481772826306621	0.000422532977694064	20	14	NA
ENSMUSG00000020893	2.79786372335074e-10	7.77806115091507e-08	8.5801154182756e-09	24	16	NA
ENSMUSG00000021180	0.0051606978256732	0.608428266073945	0.00778334754035958	20	10	NA
ENSMUSG00000021250	0.00404236302418232	0.611638741766419	0.00619828997041289	24	8	NA
ENSMUSG00000021313	0.0146175465446177	0.721751251819055	0.0184221134534908	22	20	NA
ENSMUSG00000021536	2.40726565777637e-06	0.000710674537915256	2.4607604501714e-05	20	16	NA
ENSMUSG00000021820	4.50705671386506e-05	0.0160451219013596	0.000214367064928991	24	14	NA
ENSMUSG00000021933	0.00587637160603702	0.612529917470479	0.00858136805960962	24	20	NA
ENSMUSG00000022220	0.00132666421851597	0.31270512561191	0.00259687464049935	20	16	NA
ENSMUSG00000022376	0.0351865115174729	0.91946641125899	0.0394775495074086	20	4	NA
ENSMUSG00000022416	0.000332290356725675	0.110760916478646	0.000899138612316532	20	6	NA
ENSMUSG00000022840	0.019023605761665	0.991255515125609	0.0227295029879634	28	6	NA
ENSMUSG00000022994	5.60529050727513e-05	0.0114454604636245	0.000230387090483513	28	16	NA
ENSMUSG00000023439	6.10787877729598e-05	0.0200338423895308	0.000230387090483513	22	22	NA
ENSMUSG00000024112	0.01978533170272	0.962914579933178	0.0233365450852595	28	20	NA
ENSMUSG00000024256	0.0122512402687626	0.990285089435241	0.0163349870250168	26	20	NA
ENSMUSG00000024617	0.00553910815041429	0.698384052956132	0.00821932177158249	20	14	NA
ENSMUSG00000024639	0.000133189742968781	0.0323642993273354	0.000422532977694064	24	4	NA
ENSMUSG00000024960	6.5109395136645e-05	0.0107531377602231	0.000230387090483513	26	12	NA
ENSMUSG00000025739	0.002941643790573	0.522265864419143	0.00510624959873049	20	2	NA
ENSMUSG00000025892	0.0718675343946618	0.866326505530996	0.0734645907145432	20	4	NA
ENSMUSG00000025958	6.63873902923026e-08	2.17750640158753e-05	1.22152798137837e-06	20	8	NA
ENSMUSG00000026567	0.000173838277887525	0.0368159947640851	0.000499785048926634	20	4	NA
ENSMUSG00000026824	0.023765472540949	0.922048947639027	0.0273877209734159	20	14	NA
ENSMUSG00000026959	0.0458605991705063	0.943127186826364	0.0490601758568207	24	8	NA
ENSMUSG00000027523	0.00720950313836443	0.816633267236198	0.0102042198266081	26	10	NA
ENSMUSG00000027669	5.55243788453344e-05	0.0199332520054751	0.000230387090483513	20	12	NA
ENSMUSG00000028957	2.60301376064541e-15	6.74180564007161e-13	2.39477265979378e-13	22	16	NA
ENSMUSG00000029064	0.000776723770480456	0.168978154872628	0.00167937297377308	22	12	NA
ENSMUSG00000029334	0.0319878450894914	0.967966877967038	0.0363318734349779	22	14	NA
ENSMUSG00000029361	0.000461085227430397	0.0920246131755155	0.00113705644246462	26	10	NA
ENSMUSG00000029663	0.013645322112636	0.926973961931014	0.01768126245581	20	6	NA
ENSMUSG00000029713	0.00324830019903351	0.449949685700303	0.00543352033292878	24	16	NA
ENSMUSG00000029778	0.0418101589587799	0.93333576550733	0.0457920788596161	28	16	NA
ENSMUSG00000030102	6.43023334277304e-08	1.01993466673279e-05	1.22152798137837e-06	24	12	NA
ENSMUSG00000030209	0.00247191417492711	0.327506824192842	0.00445913929594694	28	22	NA
ENSMUSG00000030592	0.017457032098025	0.942049052347203	0.0214139593735773	24	12	NA
ENSMUSG00000031659	1.70400571291291e-05	0.00538237135903247	0.00012836342612462	22	8	NA
ENSMUSG00000031748	0.0785058409356496	0.918792340089811	0.079368542484393	22	12	NA
ENSMUSG00000032034	0.0376394788772483	0.977321012245084	0.0417208681530945	22	20	NA
ENSMUSG00000032192	0.0010676597160768	0.339338193141739	0.0021353194321536	24	10	NA
ENSMUSG00000032246	6.25435096161554e-05	0.00952962548442759	0.000230387090483513	26	18	NA
ENSMUSG00000032562	3.18143074816219e-05	0.0101623896404513	0.000187066789189041	20	10	NA
ENSMUSG00000032766	1.95335648450508e-05	0.00592202331822921	0.00012836342612462	20	12	NA
ENSMUSG00000033765	0.000469653747974518	0.188331152937782	0.00113705644246462	24	8	NA
ENSMUSG00000033981	0.083559431289169	0.834804447628437	0.083559431289169	28	14	NA
ENSMUSG00000036402	0.000454204229495019	0.169356596819929	0.00113705644246462	20	16	NA
ENSMUSG00000036438	0.0071000762872271	0.624738150914831	0.0102042198266081	24	8	NA
ENSMUSG00000036438	0.0433011676004291	0.89768979682032	0.0468671461086997	26	24	NA
ENSMUSG00000038026	0.000697034953530341	0.127048297612894	0.00156407843231198	26	20	NA
ENSMUSG00000038473	0.00315142855156491	0.329027295126269	0.00536910049525874	24	20	NA
ENSMUSG00000038811	0.000159814211991454	0.0452186233246036	0.000474287338813347	24	8	NA
ENSMUSG00000039943	0.00219444869904717	0.492769240915589	0.00411489348850173	26	20	NA
ENSMUSG00000040061	3.42898263411512e-05	0.00471982626115888	0.000187066789189041	24	6	NA
ENSMUSG00000041624	3.45666893066706e-05	0.00950345815953074	0.000187066789189041	20	12	NA
ENSMUSG00000042644	0.0017924545219494	0.254786908291821	0.00343553783373635	26	4	NA
ENSMUSG00000043301	0.000133189742968781	0.0385209936448836	0.000422532977694064	24	20	NA
ENSMUSG00000048240	0.000585624786325778	0.0951157581618396	0.00138147385492235	24	20	NA
ENSMUSG00000049892	0.0134049872861373	0.959860400247112	0.0176179832903519	22	18	NA
ENSMUSG00000050901	0.00370800105161804	0.961602877112261	0.00606970945424044	26	20	NA
ENSMUSG00000050965	9.29981129239566e-08	2.66904584091755e-05	1.425971064834e-06	22	12	NA
ENSMUSG00000051177	0.000613972697173935	0.238221406503487	0.00141213720350005	24	12	NA
ENSMUSG00000051331	0.0038925310630455	0.605001983589517	0.00606970945424044	24	12	NA
ENSMUSG00000052889	3.61029871592314e-06	0.000909511413197265	3.32147481864929e-05	22	8	NA
ENSMUSG00000052920	4.25313000149561e-05	0.00753304091488703	0.000214367064928991	26	14	NA
ENSMUSG00000053819	0.000812816045695085	0.18594460972853	0.00168707210234717	24	6	NA
ENSMUSG00000054764	0.0620270992979784	0.960319597235303	0.064846512902432	24	24	NA
ENSMUSG00000055866	4.55916403992059e-13	1.23097429077856e-10	2.09721545836347e-11	24	16	NA
ENSMUSG00000057378	1.90936467050913e-06	0.000444832935907845	2.1957693710855e-05	24	20	NA
ENSMUSG00000057614	1.18415526861702e-05	0.00193252207237434	9.90384406479689e-05	22	6	NA
ENSMUSG00000057897	0.000825198310930679	0.0867230809762304	0.00168707210234717	26	10	NA
ENSMUSG00000059003	0.0038925310630455	0.79984318916099	0.00606970945424044	24	20	NA
ENSMUSG00000063065	0.0173037603911244	0.97885401117817	0.0214139593735773	22	14	NA
ENSMUSG00000063130	0.000359619154646548	0.138812993693568	0.000945284635070926	24	20	NA
ENSMUSG00000063358	0.0180683105223661	0.947241233588158	0.02187216536918	28	28	NA
ENSMUSG00000063594	0.0111892320741052	0.978676917235286	0.0151383728061423	28	12	NA
ENSMUSG00000068523	0.000154672973847098	0.0542902138203315	0.000474287338813347	24	14	NA
ENSMUSG00000068523	0.00283520077320535	0.398263467352563	0.00501612444490177	22	14	NA
ENSMUSG00000099269	6.33763188331632e-05	0.0124352528061564	0.000230387090483513	22	22	NA
