ID	CT22	CT28	CT34	CT40	CT46	CT52	CT58	CT64
ENSMUSG00000030751	20.4	20.7	18.9	18.5	19.6	22.4	23	20.1
ENSMUSG00000029446	22.5	18.9	25.4	25.5	21.8	20.1	19.1	27
ENSMUSG00000030967	2128.7	2408.9	2481.6	2280.5	2551	2674.3	2384.8	2068.9
ENSMUSG00000032112	121.4	84.4	66.9	103.2	100.2	121.4	93.4	116.1
ENSMUSG00000079477	662.5	761.5	630.3	808.3	826	707.6	654.7	630
ENSMUSG00000020936	1177.7	1168	1278	1276.8	1254.9	1217.3	1265.5	1344.1
ENSMUSG00000071415	49.9	46.2	55.5	48.8	41.2	45.9	55.4	48
ENSMUSG00000028646	553.3	552.3	396.9	523.4	576.5	504.5	440.6	380.4
ENSMUSG00000055204	548.9	521.1	497.3	692.1	465.4	681.9	435	533.7
ENSMUSG00000022193	3652.4	4078.8	3982.5	4116.3	3711.7	3991	3765.6	4068.4
ENSMUSG00000008855	173.5	184.1	286.3	161.2	268.3	201.3	331.1	209
ENSMUSG00000029234	48.5	42.6	55.8	47.7	54.1	36.7	54.2	43.6
ENSMUSG00000025261	532.5	582.9	479.9	579.2	478	553.6	587.5	572.8
ENSMUSG00000003346	427.6	435.6	449.3	437.5	437.4	452	376	433.5
ENSMUSG00000070733	149.7	156.2	154.2	176.5	165.2	179	192.4	172.1
ENSMUSG00000020794	2627.1	2780.9	3017.7	2788.3	2716.1	2971.6	2838.4	2791.3
ENSMUSG00000021266	814.3	924.1	962.2	843.7	855.9	827	743.5	969.3
ENSMUSG00000025156	548.9	607.9	504.7	458.2	568.4	532.2	485.7	540.4
ENSMUSG00000030751	2372.1	2094.7	2170.9	2068.3	2324.4	2137.1	2448.4	1984.3
ENSMUSG00000067851	23.5	21.9	22.2	21.7	25.1	22.8	21.1	18.8
ENSMUSG00000029446	30.8	31.9	25.9	23.1	22.6	22	24.5	23.4
ENSMUSG00000026553	353.6	339.1	377.6	412.6	423.8	391.2	372.6	364.1
ENSMUSG00000022100	22.7	25.8	31.6	24.2	26.3	24.5	21.4	20.2
ENSMUSG00000028677	549.1	664.4	622.5	507	508.6	644.3	461.9	491.7
ENSMUSG00000037373	1078.9	1226.6	1152.7	1225.6	1231.3	1244.4	1209.4	1210.6
ENSMUSG00000027828	114.4	88.4	143.4	110.1	126.1	84	94	112.2
ENSMUSG00000005442	43.9	35.7	40.8	36.1	33.6	32.4	42	38.5
ENSMUSG00000040688	152.7	118.6	140.7	127.1	152.6	146.9	183	129.4
ENSMUSG00000028759	71.6	77.2	93.8	64.2	92.6	57.7	78.6	88
ENSMUSG00000025261	2516.2	2410.5	2248.2	2313.3	2167.7	2308	2180.5	2069.9
ENSMUSG00000026553	28	24.8	23.2	26.4	30.8	26.7	26.5	35.1
ENSMUSG00000018585	281.2	267.5	283.1	259.1	315	248.1	304.6	252.3
ENSMUSG00000026878	45.5	31.8	26.7	34.4	25.4	90.8	21.5	35.5
ENSMUSG00000020936	150.3	200.1	126.5	224.9	141.7	201.5	168.7	179.6
ENSMUSG00000067851	972.3	1065.4	966.3	1054.8	1370.6	1101.8	1135.7	980.7
ENSMUSG00000014355	62.6	61.2	62.8	52.8	60.4	52.1	63.9	35.2
ENSMUSG00000025224	15.9	19.2	16.1	19.3	17.1	20.3	19.6	17.5
ENSMUSG00000022100	1203.5	1170.4	1257.7	1224.4	1325.1	1230.3	1087	1117.9
ENSMUSG00000025224	27.5	31.4	27.7	28.6	28	24.6	21.9	28.1
ENSMUSG00000025261	531.6	599.3	531.8	617.6	591.7	630.7	497.4	518.8
ENSMUSG00000025224	300.2	327	296.4	381.3	366.9	406.9	283.9	304.7
ENSMUSG00000008855	46.9	69.3	43.8	34.5	36	42.5	34	36.1
ENSMUSG00000022770	17.2	16.9	15.4	15.7	15.4	16.5	15.8	18.7
ENSMUSG00000034820	454.5	468.2	383.6	420	427.5	537.4	405.7	478.1
ENSMUSG00000022770	2955	3158.3	3186	3093.1	3571.6	3188.5	3175.2	3191.8
ENSMUSG00000028759	1356.9	1423.3	1089.9	1210.5	1227.7	1518	1093.6	1355.1
ENSMUSG00000025224	55	100.2	75.2	86.3	45.7	39.4	72.8	53.2
ENSMUSG00000005442	304.7	190.2	284.1	227.4	265.6	248	328.2	218.8
ENSMUSG00000071415	72.4	103.5	104.4	84.8	114.1	105.4	122.6	103.7
ENSMUSG00000008855	406.7	500.1	494.1	474.8	454.4	586.9	435.5	379.2
ENSMUSG00000030058	811	771.6	691.2	687.4	734.2	704.2	697.8	670.4
ENSMUSG00000026878	51.3	69.9	42.5	46.1	76.7	89.9	47.6	46.1
ENSMUSG00000008855	240	269.2	273.4	212.1	224	260.3	236.4	265.7
ENSMUSG00000001158	799.4	813.1	625.5	778.2	1015.2	813.9	770.3	679.7
ENSMUSG00000015341	22.3	24	23.6	23.1	25.8	29.4	25.6	21.1
ENSMUSG00000001289	579.1	540.9	481.8	577.6	554.6	567.8	500.2	451.6
ENSMUSG00000026965	29.4	33.6	33.9	37.8	31.2	29	28.3	29.6
ENSMUSG00000008855	120.2	123.7	104.6	99.9	116.5	104.3	112.9	107.7
ENSMUSG00000068328	2575.7	2395.1	2502.8	2346.7	2649.9	2459.8	2388.8	2488
ENSMUSG00000005442	475.5	445.8	430.2	369.7	387	375.3	335.4	370
ENSMUSG00000040688	217	319.3	175.9	319.3	222.5	375.6	209.1	272.6
ENSMUSG00000008855	157.8	175	178.4	193.1	155.1	186.7	164.8	205.3
ENSMUSG00000022898	58.8	46	32.4	44	49.9	66	43.4	58.2
ENSMUSG00000025224	1620.1	1685.6	1544.1	1670.7	1708.8	1625.3	1559.7	1633.5
ENSMUSG00000005442	127.5	115.1	116.8	87.3	83.3	96.9	107.3	102.3
ENSMUSG00000020459	956.9	794.9	947.7	869.2	925.1	978.8	1074.3	593
ENSMUSG00000034820	320.6	306.5	303.8	253.6	254.7	345.3	344.5	348.7
ENSMUSG00000029405	66.7	106.4	71.1	60.3	77	106.1	52.9	62.6
ENSMUSG00000037373	49.7	38.3	36.5	33.9	41.6	35	34.6	30.9
ENSMUSG00000038160	72.7	39.6	50.2	56.4	37.3	61.8	49.7	52.6
ENSMUSG00000093575	71.2	102.3	121.8	98.4	80.5	103.6	117.2	89.2
ENSMUSG00000005442	66.3	70.8	104.1	74.2	83.9	37.1	75.2	88.5
ENSMUSG00000021266	823.3	881.3	817.6	731.2	862	863.6	717.5	701.3
ENSMUSG00000008855	718.4	736.6	778	742.5	667.5	710.6	827.2	791
ENSMUSG00000026810	705.6	724.1	687.5	671.3	652	680.2	710.6	542.7
ENSMUSG00000021282	392.4	669.3	524	467.1	509.5	433.4	464.3	408.7
ENSMUSG00000027598	782	891.3	886.4	897.5	915.4	890.9	683.3	763.9
ENSMUSG00000015341	28.8	35.4	29.2	34.3	30.8	38.5	34.4	30.5
ENSMUSG00000005982	485	361.3	489	544.5	535.5	465.3	530.4	443
ENSMUSG00000026553	2716.1	3132.6	3112.3	3112.7	3086.3	3187.8	2987.1	2904.4
ENSMUSG00000041645	45.9	49.9	43.8	81.4	63.8	52.7	44.7	41.5
ENSMUSG00000067851	20.1	27.9	19.1	23.2	24.5	25.4	20.4	30.5
ENSMUSG00000029405	28.8	27.1	25.9	24	22.7	22.3	20.9	24.5
ENSMUSG00000024309	838.8	916.7	852.7	830.1	812	979.1	746.6	757.5
ENSMUSG00000025224	16.6	19	16.3	15.6	15.8	17.3	16.4	15.7
ENSMUSG00000078552	39.2	37	54	36.9	40.9	31.6	36.1	55.4
ENSMUSG00000008855	246.2	267.2	253.7	289.3	219.7	258.3	188.8	220.7
