ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000030751	0.0202609673356247	0.981958414392626	0.0239886635098826	20	2	NA
ENSMUSG00000029446	0.0065368995095635	0.711416236606187	0.0104295629485519	24	2	NA
ENSMUSG00000030967	0.00185585037099089	0.336002554612938	0.00450631781980947	24	18	NA
ENSMUSG00000032112	9.56558700090605e-05	0.0288098131751925	0.000648865067582454	26	2	NA
ENSMUSG00000079477	0.0526339828968761	0.898884135097921	0.0540731752024316	28	8	NA
ENSMUSG00000020936	0.00109126638806107	0.285254289795887	0.0031598085641355	28	2	NA
ENSMUSG00000071415	0.00358293211216766	0.679847462114221	0.00698242434495419	20	6	NA
ENSMUSG00000028646	5.13176281841199e-06	0.00154466060834201	9.23757026840616e-05	26	2	NA
ENSMUSG00000055204	0.000154672973847098	0.0561462895064967	0.000898857909235872	24	16	NA
ENSMUSG00000022193	0.0108518503152032	0.655038118408077	0.015011162038937	24	10	NA
ENSMUSG00000008855	0.00149666473025058	0.458057094335295	0.00390792990136272	20	2	NA
ENSMUSG00000029234	0.010579967701964	0.944048200529616	0.0147137660015892	22	16	NA
ENSMUSG00000025261	0.00863763831155399	0.987686370363462	0.0127392703539737	22	12	NA
ENSMUSG00000003346	0.00465868873295274	0.700923060334441	0.00833089607029932	20	16	NA
ENSMUSG00000070733	0.00469902124604028	0.558672190082267	0.00834006790396619	22	18	NA
ENSMUSG00000020794	3.70437783700249e-05	0.0112983524028576	0.000345578481167938	24	18	NA
ENSMUSG00000021266	0.00720950313836443	0.965377116390438	0.0111699030370356	26	22	NA
ENSMUSG00000025156	4.50705671386506e-05	0.00823063499051491	0.000398103372557386	24	24	NA
ENSMUSG00000030751	0.00284303706756201	0.447589757603043	0.0060219046521211	22	8	NA
ENSMUSG00000067851	0.013228936224898	0.958328269945031	0.0173492419554501	20	14	NA
ENSMUSG00000029446	0.00148199836352819	0.523117082301686	0.0038713732382989	28	22	NA
ENSMUSG00000026553	0.00132666421851597	0.37334069548749	0.00364147642275769	20	14	NA
ENSMUSG00000022100	0.000602499623516261	0.107558394958847	0.00216646853216915	28	14	NA
ENSMUSG00000028677	0.00653239640580026	0.532193557319333	0.0104295629485519	26	18	NA
ENSMUSG00000037373	0.0316926654494838	0.907876223087381	0.0346289086379443	22	2	NA
ENSMUSG00000027828	0.0309103849396998	0.968914623216784	0.0338377417059354	28	26	NA
