ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSPANG00000000040	0.380704803491262	1	0.460700707861439	22	2	1.92261172910047
ENSPANG00000000041	0.459023957331249	1	0.518073831224534	22	12	28.125500366897
ENSPANG00000000053	0.638361253908129	1	0.64578927949545	22	13	0.0733099387959564
ENSPANG00000000059	0.545204700777617	1	0.565987008293153	20	13	3.28917656608417
ENSPANG00000000060	0.310810013995778	1	0.413846665667118	24	16	1.49830716425091
ENSPANG00000000062	0.0447368985823847	1	0.212319120056711	22	5	15.1161999581143
ENSPANG00000000063	0.0310502428384373	1	0.194231268010513	24	18	0.187571282721318
ENSPANG00000000071	0.115950877825878	1	0.279614530189571	20	7	0.820358650630273
ENSPANG00000000072	0.249579521237507	1	0.373702083230762	22	0	2.61678243888739
ENSPANG00000000085	0.380704803491262	1	0.460700707861439	22	0	14.8310954818162
ENSPANG00000000090	0.037893570710411	1	0.212319120056711	22	5	0.294043512462673
ENSPANG00000000093	0.380704803491262	1	0.460700707861439	24	12	0.0100424290791294
ENSPANG00000000094	0.0538030227873978	1	0.234589909883485	20	19	0.0752993980193348
ENSPANG00000000102	0.0628691469924109	1	0.234589909883485	22	0	1.48724011132413
ENSPANG00000000103	0.0053803077066966	0.177550154320988	0.13599458281639	22	16	3.33431757199448
ENSPANG00000000107	0.502114329054433	1	0.543189076582114	0	NA	0
ENSPANG00000000112	0.502114329054433	1	0.543189076582114	20	19	0.0996465318869021
ENSPANG00000000116	0.0863171145983646	1	0.257745934004515	22	14	0.142019219142093
ENSPANG00000000117	0.115950877825878	1	0.279614530189571	20	17	0.443940085023436
ENSPANG00000000122	0.115950877825878	1	0.279614530189571	22	2	0.333354225229051
ENSPANG00000000123	0.0447368985823847	1	0.212319120056711	0	NA	0
ENSPANG00000000126	0.545204700777617	1	0.565987008293153	24	14	0.407410307928917
ENSPANG00000000127	0.0863171145983646	1	0.257745934004515	20	3	216.049390673453
ENSPANG00000000131	0.249579521237507	1	0.373702083230762	22	17	86.9268203870438
ENSPANG00000000132	0.196949943382235	1	0.339193355552338	24	8	0.171608320222779
ENSPANG00000000141	0.459023957331249	1	0.518073831224534	24	14	4.42858345558679
ENSPANG00000000142	0.0628691469924109	1	0.234589909883485	22	3	1.25079721463916
ENSPANG00000000147	0.152590458988028	1	0.309127307159281	20	13	56.0229507407688
ENSPANG00000000171	0.00706902022874245	0.233277667548501	0.14804872362791	24	5	0.0779722354475418
ENSPANG00000000174	0.545204700777617	1	0.565987008293153	22	19	0.0958001836701743
ENSPANG00000000175	0.037893570710411	1	0.212319120056711	20	17	0.0261870387477745
ENSPANG00000000180	0.419864380411255	1	0.501681260430228	0	NA	0
ENSPANG00000000181	0.0628691469924109	1	0.234589909883485	20	7	1.44979775506501
ENSPANG00000000187	0.788946947150072	1	0.789121498451632	0	NA	0
ENSPANG00000000188	0.419864380411255	1	0.501681260430228	22	3	0.0378703838579905
ENSPANG00000000194	0.0447368985823847	1	0.212319120056711	22	16	0.147437007024922
ENSPANG00000000195	0.115950877825878	1	0.279614530189571	24	4	2.29816290430529
ENSPANG00000000200	0.00097448108732831	0.0321578758818342	0.0940195990536332	22	20	3.19470276642554
ENSPANG00000000205	0.0628691469924109	1	0.234589909883485	24	18	3.12984523232432
ENSPANG00000000209	0.502114329054433	1	0.543189076582114	0	NA	0
ENSPANG00000000210	0.0137707681978515	0.454435350529101	0.161583140670823	22	19	1.04810652540167
ENSPANG00000000217	0.115950877825878	1	0.279614530189571	22	18	5.00825079458795
ENSPANG00000000228	0.115950877825878	1	0.279614530189571	22	14	0.078230268089922
ENSPANG00000000239	0.310810013995778	1	0.413846665667118	24	8	0.0428571692603353
ENSPANG00000000242	0.115950877825878	1	0.279614530189571	22	0	9.80826231140477
ENSPANG00000000243	0.310810013995778	1	0.413846665667118	20	7	0.51873634651851
ENSPANG00000000246	0.0863171145983646	1	0.257745934004515	22	18	22.6266061266428
ENSPANG00000000247	0.0628691469924109	1	0.234589909883485	24	10	2.19884667859787
ENSPANG00000000253	0.115950877825878	1	0.279614530189571	24	8	0.597829852321999
ENSPANG00000000257	0.249579521237507	1	0.373702083230762	22	19	0.136335552565252
ENSPANG00000000258	0.0310502428384373	1	0.194231268010513	24	22	1.14585962929614
ENSPANG00000000263	0.101133996212121	1	0.279614530189571	22	8	0.0193922850018276
ENSPANG00000000264	0.0863171145983646	1	0.257745934004515	24	4	0.151189568191084
ENSPANG00000000267	0.196949943382235	1	0.339193355552338	22	0	51.8984422332992
ENSPANG00000000270	0.249579521237507	1	0.373702083230762	22	18	2.14530789813638
ENSPANG00000000271	0.310810013995778	1	0.413846665667118	22	16	0.586537624487867
ENSPANG00000000274	0.280194767616643	1	0.412133098582212	20	13	0.316728016026745
ENSPANG00000000275	0.152590458988028	1	0.309127307159281	20	17	1.01969007535403
ENSPANG00000000276	0.280194767616643	1	0.412133098582212	22	2	0.144377257254206
ENSPANG00000000277	0.310810013995778	1	0.413846665667118	0	NA	0
ENSPANG00000000279	0.249579521237507	1	0.373702083230762	20	0	0.306272687580424
ENSPANG00000000281	0.545204700777617	1	0.565987008293153	22	17	1.92713038320945
ENSPANG00000000282	0.249579521237507	1	0.373702083230762	24	0	16.53039785516
ENSPANG00000000283	0.310810013995778	1	0.413846665667118	22	3	3.29621159736566
ENSPANG00000000284	0.249579521237507	1	0.373702083230762	22	18	0.883948443245029
ENSPANG00000000290	0.380704803491262	1	0.460700707861439	20	10	0.176242977882477
ENSPANG00000000291	0.037893570710411	1	0.212319120056711	20	13	0.171183661217273
ENSPANG00000000294	0.115950877825878	1	0.279614530189571	22	16	0.119075510642944
ENSPANG00000000295	0.545204700777617	1	0.565987008293153	24	8	0.342171265097391
ENSPANG00000000300	0.196949943382235	1	0.339193355552338	22	14	0.450680539629621
ENSPANG00000000301	0.115950877825878	1	0.279614530189571	24	20	0.0856925185943897
ENSPANG00000000304	0.545204700777617	1	0.565987008293153	22	2	0.777087457318584
ENSPANG00000000305	0.380704803491262	1	0.460700707861439	20	17	0.176043148699069
ENSPANG00000000312	0.000498883511036289	0.0164631558641975	0.0844260298944086	24	10	0.523928173137319
ENSPANG00000000313	0.0310502428384373	1	0.194231268010513	20	19	0.476786373511579
ENSPANG00000000314	0.310810013995778	1	0.413846665667118	24	6	0.357265868779451
ENSPANG00000000315	0.0447368985823847	1	0.212319120056711	24	0	31.3028058552157
ENSPANG00000000320	0.310810013995778	1	0.413846665667118	22	13	1.00484867320357
ENSPANG00000000321	0.502114329054433	1	0.543189076582114	0	NA	0
ENSPANG00000000325	0.152590458988028	1	0.309127307159281	22	11	17.7071692796605
ENSPANG00000000336	0.502114329054433	1	0.543189076582114	0	NA	0
ENSPANG00000000337	0.101133996212121	1	0.279614530189571	20	10	0.0311212337473033
ENSPANG00000000339	0.0628691469924109	1	0.234589909883485	20	19	0.613669200689417
ENSPANG00000000341	0.196949943382235	1	0.339193355552338	24	22	0.906628033080853
ENSPANG00000000344	0.00875773275078831	0.289005180776014	0.14804872362791	20	1	2.59397674577844
ENSPANG00000000345	0.249579521237507	1	0.373702083230762	24	22	0.025037018449132
ENSPANG00000000346	0.0628691469924109	1	0.234589909883485	22	0	23.9746540220214
ENSPANG00000000347	0.249579521237507	1	0.373702083230762	0	NA	0
ENSPANG00000000351	0.0209803516313933	0.692351603835979	0.175879260325052	24	12	45.4298004083411
ENSPANG00000000352	0.310810013995778	1	0.413846665667118	22	21	0.868657749411806
ENSPANG00000000354	0.502114329054433	1	0.543189076582114	0	NA	0
ENSPANG00000000355	0.00318164699241088	0.104994350749559	0.123541595977711	22	9	2.06240806328163
ENSPANG00000000357	0.310810013995778	1	0.413846665667118	20	10	0.192240785229049
ENSPANG00000000360	0.00318164699241088	0.104994350749559	0.123541595977711	20	15	1.79127489544418
ENSPANG00000000361	0.223264732309871	1	0.373702083230762	22	13	0.0342005831062803
ENSPANG00000000363	0.00249246140305168	0.0822512263007055	0.123541595977711	24	11	0.119667391463005
ENSPANG00000000364	0.196949943382235	1	0.339193355552338	20	19	0.575984535135729
ENSPANG00000000367	0.0260152972349153	0.858504808752205	0.194231268010513	22	8	0.0758968582130768
ENSPANG00000000368	0.152590458988028	1	0.309127307159281	20	5	2.26761372699986
