rat_ID	baboon_ID	orthotype	OMAgroup
ENSRNOG00000061316	ENSPANG00000024446	n:m	
ENSRNOG00000061316	ENSPANG00000023242	n:m	
ENSRNOG00000061316	ENSPANG00000022187	n:m	
ENSRNOG00000050129	ENSPANG00000013265	n:m	
ENSRNOG00000050129	ENSPANG00000019224	n:m	
ENSRNOG00000023659	ENSPANG00000024446	n:m	
ENSRNOG00000023659	ENSPANG00000023242	n:m	
ENSRNOG00000023659	ENSPANG00000022187	n:m	
ENSRNOG00000042852	ENSPANG00000013265	n:m	
ENSRNOG00000042852	ENSPANG00000019224	n:m	
ENSRNOG00000014330	ENSPANG00000009443	1:1	803623
ENSRNOG00000049505	ENSPANG00000016954	1:1	817225
ENSRNOG00000014916	ENSPANG00000020490	1:1	550502
ENSRNOG00000014996	ENSPANG00000022186	1:1	848784
ENSRNOG00000015239	ENSPANG00000024074	1:1	794540
ENSRNOG00000015552	ENSPANG00000017996	1:1	547377
ENSRNOG00000016041	ENSPANG00000024104	1:1	751509
ENSRNOG00000016054	ENSPANG00000009982	1:1	838621
ENSRNOG00000013160	ENSPANG00000019109	1:1	810027
ENSRNOG00000023549	ENSPANG00000025694	1:1	834173
ENSRNOG00000013351	ENSPANG00000016094	1:1	789818
ENSRNOG00000014258	ENSPANG00000025378	1:1	522153
ENSRNOG00000014290	ENSPANG00000025380	1:1	
ENSRNOG00000014450	ENSPANG00000005684	1:1	852040
ENSRNOG00000014852	ENSPANG00000024766	1:1	824523
ENSRNOG00000040242	ENSPANG00000019146	1:1	730387
ENSRNOG00000011058	ENSPANG00000025376	1:1	549506
ENSRNOG00000014902	ENSPANG00000003353	1:1	795554
ENSRNOG00000014908	ENSPANG00000018533	1:1	793617
ENSRNOG00000025587	ENSPANG00000019615	1:1	554056
ENSRNOG00000015217	ENSPANG00000011063	1:1	843096
ENSRNOG00000015473	ENSPANG00000008001	1:1	843634
ENSRNOG00000015551	ENSPANG00000024444	1:1	
ENSRNOG00000015660	ENSPANG00000026233	1:1	495780
ENSRNOG00000046983	ENSPANG00000023970	1:1	722333
ENSRNOG00000010753	ENSPANG00000014550	1:1	739631
ENSRNOG00000011015	ENSPANG00000026003	1:1	841924
ENSRNOG00000011411	ENSPANG00000011062	1:1	266303
ENSRNOG00000011540	ENSPANG00000004286	1:1	547797
ENSRNOG00000056940	ENSPANG00000022013	1:1	774897
ENSRNOG00000060021	ENSPANG00000000622	1:1	553920
ENSRNOG00000060610	ENSPANG00000026203	n:1	
ENSRNOG00000060972	ENSPANG00000006924	1:1	847374
ENSRNOG00000051450	ENSPANG00000017771	1:1	744771
ENSRNOG00000059224	ENSPANG00000011061	1:1	548445
ENSRNOG00000055142	ENSPANG00000015852	1:1	764291
ENSRNOG00000053347	ENSPANG00000006096	1:1	810773
ENSRNOG00000060603	ENSPANG00000014547	1:1	548853
ENSRNOG00000053735	ENSPANG00000023967	1:1	818330
ENSRNOG00000011460	ENSPANG00000013002	1:1	837023
ENSRNOG00000011994	ENSPANG00000006095	1:1	260686
ENSRNOG00000049517	ENSPANG00000007076	1:1	811362
ENSRNOG00000012057	ENSPANG00000006465	1:1	802364
ENSRNOG00000012074	ENSPANG00000018173	1:1	797949
ENSRNOG00000012259	ENSPANG00000000356	1:1	838513
ENSRNOG00000012286	ENSPANG00000017634	1:1	752285
ENSRNOG00000012311	ENSPANG00000005133	1:1	778652
ENSRNOG00000012322	ENSPANG00000023965	1:1	817342
ENSRNOG00000031700	ENSPANG00000015068	1:1	856170
ENSRNOG00000012701	ENSPANG00000016952	1:1	549951
ENSRNOG00000058050	ENSPANG00000022182	1:1	266691
ENSRNOG00000013436	ENSPANG00000015851	1:1	792113
ENSRNOG00000013969	ENSPANG00000008061	1:1	843019
ENSRNOG00000055858	ENSPANG00000018932	1:1	823501
ENSRNOG00000014531	ENSPANG00000007075	1:1	863720
ENSRNOG00000014907	ENSPANG00000022180	1:1	661723
ENSRNOG00000014979	ENSPANG00000024073	1:1	790940
ENSRNOG00000047605	ENSPANG00000025131	1:1	762139
ENSRNOG00000011134	ENSPANG00000005014	1:1	550598
ENSRNOG00000011245	ENSPANG00000024027	1:1	734476
ENSRNOG00000011720	ENSPANG00000010327	1:1	746001
ENSRNOG00000039955	ENSPANG00000016911	1:1	
ENSRNOG00000047783	ENSPANG00000024983	1:1	268722
ENSRNOG00000026462	ENSPANG00000006585	n:1	
ENSRNOG00000047821	ENSPANG00000025918	1:1	723493
ENSRNOG00000012346	ENSPANG00000025916	1:1	765398
ENSRNOG00000013202	ENSPANG00000023385	1:1	670924
ENSRNOG00000013304	ENSPANG00000007451	1:1	856719
ENSRNOG00000013422	ENSPANG00000010451	1:1	776724
ENSRNOG00000013791	ENSPANG00000006092	1:1	814039
ENSRNOG00000013994	ENSPANG00000021190	1:1	814040
ENSRNOG00000015036	ENSPANG00000024028	1:1	270470
ENSRNOG00000015321	ENSPANG00000018075	1:1	738336
ENSRNOG00000015670	ENSPANG00000019776	n:1	795546
ENSRNOG00000016089	ENSPANG00000017069	1:1	743553
ENSRNOG00000039869	ENSPANG00000011072	1:1	533699
ENSRNOG00000025951	ENSPANG00000023669	1:1	270861
ENSRNOG00000016073	ENSPANG00000010828	1:1	657325
ENSRNOG00000016219	ENSPANG00000007996	1:1	780157
ENSRNOG00000016371	ENSPANG00000011087	1:1	549373
ENSRNOG00000016411	ENSPANG00000016805	n:m	
ENSRNOG00000016411	ENSPANG00000019394	n:m	766653
ENSRNOG00000048248	ENSPANG00000019776	n:1	
ENSRNOG00000016700	ENSPANG00000022301	1:1	843075
ENSRNOG00000011114	ENSPANG00000020089	1:1	830528
ENSRNOG00000011161	ENSPANG00000022519	1:1	547338
ENSRNOG00000011815	ENSPANG00000010260	1:1	548204
ENSRNOG00000012122	ENSPANG00000003404	1:1	530536
ENSRNOG00000012609	ENSPANG00000012638	1:1	
ENSRNOG00000029608	ENSPANG00000020087	1:1	787425
ENSRNOG00000013323	ENSPANG00000018473	1:1	
ENSRNOG00000021478	ENSPANG00000022517	1:1	813946
ENSRNOG00000021442	ENSPANG00000016874	1:1	837035
ENSRNOG00000013364	ENSPANG00000018035	1:1	549420
ENSRNOG00000014004	ENSPANG00000026299	1:1	770993
ENSRNOG00000014190	ENSPANG00000016564	1:1	714499
ENSRNOG00000014240	ENSPANG00000022840	1:1	772080
ENSRNOG00000042944	ENSPANG00000025130	1:1	744880
ENSRNOG00000011568	ENSPANG00000007448	1:1	844716
ENSRNOG00000011588	ENSPANG00000003352	1:1	811611
ENSRNOG00000011622	ENSPANG00000020687	1:1	549107
ENSRNOG00000042309	ENSPANG00000011914	1:1	773349
ENSRNOG00000012324	ENSPANG00000016026	1:1	
ENSRNOG00000012581	ENSPANG00000025497	1:1	809878
ENSRNOG00000039783	ENSPANG00000014312	n:1	
ENSRNOG00000028357	ENSPANG00000014912	1:1	263445
ENSRNOG00000012775	ENSPANG00000022717	1:1	306642
ENSRNOG00000014485	ENSPANG00000004218	1:1	547854
ENSRNOG00000014721	ENSPANG00000023865	1:1	804589
ENSRNOG00000039776	ENSPANG00000011690	1:1	742359
ENSRNOG00000015159	ENSPANG00000012026	1:1	550922
ENSRNOG00000015465	ENSPANG00000023645	1:1	797925
ENSRNOG00000028261	ENSPANG00000010428	1:1	720780
ENSRNOG00000039743	ENSPANG00000008308	1:1	514643
ENSRNOG00000015676	ENSPANG00000004217	1:1	847014
ENSRNOG00000015810	ENSPANG00000020838	1:1	848769
ENSRNOG00000016103	ENSPANG00000012309	1:1	764755
ENSRNOG00000016372	ENSPANG00000025613	1:1	756835
ENSRNOG00000026501	ENSPANG00000012179	1:1	788735
ENSRNOG00000016253	ENSPANG00000014913	1:1	788741
ENSRNOG00000025327	ENSPANG00000026074	1:1	727236
ENSRNOG00000016923	ENSPANG00000007000	1:1	832833
ENSRNOG00000017302	ENSPANG00000014160	1:1	788724
ENSRNOG00000017930	ENSPANG00000014387	1:1	681066
ENSRNOG00000047971	ENSPANG00000004169	1:1	693760
ENSRNOG00000049394	ENSPANG00000021407	1:1	516259
ENSRNOG00000012720	ENSPANG00000014386	1:1	793972
ENSRNOG00000012742	ENSPANG00000003730	1:1	774025
ENSRNOG00000033609	ENSPANG00000019076	1:1	818290
ENSRNOG00000016812	ENSPANG00000014911	1:1	550798
ENSRNOG00000023053	ENSPANG00000010601	1:1	753855
ENSRNOG00000017150	ENSPANG00000016714	1:1	671305
ENSRNOG00000017254	ENSPANG00000004215	1:1	684103
ENSRNOG00000017601	ENSPANG00000010793	1:1	776163
ENSRNOG00000017613	ENSPANG00000004005	1:1	529168
ENSRNOG00000032150	ENSPANG00000014159	1:1	501069
ENSRNOG00000047406	ENSPANG00000003028	1:1	763534
ENSRNOG00000027422	ENSPANG00000004214	1:1	776906
ENSRNOG00000017826	ENSPANG00000014385	1:1	800902
ENSRNOG00000017963	ENSPANG00000024294	1:1	
ENSRNOG00000049259	ENSPANG00000017248	n:m	
ENSRNOG00000049259	ENSPANG00000012517	n:m	
