Transcript.ID	Gene.ID	Gene.Type
ENSDART00000000004	ENSDARG00000000001	protein_coding
ENSDART00000000005	ENSDARG00000000002	protein_coding
ENSDART00000000042	ENSDARG00000033231	protein_coding
ENSDART00000000069	ENSDARG00000000068	protein_coding
ENSDART00000000070	ENSDARG00000000069	protein_coding
ENSDART00000000087	ENSDARG00000000086	protein_coding
ENSDART00000000160	ENSDARG00000000151	protein_coding
ENSDART00000000192	ENSDARG00000000183	protein_coding
ENSDART00000000198	ENSDARG00000000189	protein_coding
ENSDART00000000221	ENSDARG00000036830	protein_coding
ENSDART00000000250	ENSDARG00000000241	protein_coding
ENSDART00000000280	ENSDARG00000076182	protein_coding
ENSDART00000000382	ENSDARG00000000370	protein_coding
ENSDART00000000392	ENSDARG00000000380	protein_coding
ENSDART00000000486	ENSDARG00000000472	protein_coding
ENSDART00000000488	ENSDARG00000000474	protein_coding
ENSDART00000000552	ENSDARG00000000529	protein_coding
ENSDART00000000564	ENSDARG00000000540	protein_coding
ENSDART00000000566	ENSDARG00000000542	protein_coding
ENSDART00000000670	ENSDARG00000000631	protein_coding
ENSDART00000000678	ENSDARG00000000638	protein_coding
ENSDART00000000693	ENSDARG00000000651	protein_coding
ENSDART00000000698	ENSDARG00000000656	protein_coding
ENSDART00000000744	ENSDARG00000000690	protein_coding
ENSDART00000000804	ENSDARG00000043406	protein_coding
ENSDART00000000831	ENSDARG00000000760	protein_coding
ENSDART00000000876	ENSDARG00000000796	protein_coding
ENSDART00000000877	ENSDARG00000044279	protein_coding
ENSDART00000000887	ENSDARG00000000804	protein_coding
ENSDART00000000948	ENSDARG00000024032	protein_coding
ENSDART00000000992	ENSDARG00000000887	protein_coding
ENSDART00000001053	ENSDARG00000000935	protein_coding
ENSDART00000001092	ENSDARG00000000966	protein_coding
ENSDART00000001102	ENSDARG00000001414	protein_coding
ENSDART00000001148	ENSDARG00000001015	protein_coding
ENSDART00000001159	ENSDARG00000004115	protein_coding
ENSDART00000001201	ENSDARG00000001057	protein_coding
