mouse_ID	baboon_ID	orthotype	OMAgroup
ENSMUSG00000019762	ENSPANG00000026300	1:1	538990
ENSMUSG00000040624	ENSPANG00000009444	1:1	817668
ENSMUSG00000040675	ENSPANG00000024767	1:1	850734
ENSMUSG00000038587	ENSPANG00000018393	1:1	552092
ENSMUSG00000019763	ENSPANG00000018391	1:1	
ENSMUSG00000061759	ENSPANG00000006927	1:1	
ENSMUSG00000019767	ENSPANG00000001110	1:1	792965
ENSMUSG00000019768	ENSPANG00000020729	1:1	730613
ENSMUSG00000046916	ENSPANG00000026234	1:1	773353
ENSMUSG00000019772	ENSPANG00000004077	1:1	796737
ENSMUSG00000019773	ENSPANG00000007349	1:1	831160
ENSMUSG00000019775	ENSPANG00000022190	1:1	699382
ENSMUSG00000000766	ENSPANG00000005833	1:1	657334
ENSMUSG00000064065	ENSPANG00000023119	1:1	784728
ENSMUSG00000015202	ENSPANG00000005834	1:1	666196
ENSMUSG00000079685	ENSPANG00000006926	1:m	
ENSMUSG00000079685	ENSPANG00000023242	1:m	
ENSMUSG00000019796	ENSPANG00000019276	1:1	816022
ENSMUSG00000019795	ENSPANG00000009443	1:1	803623
ENSMUSG00000040034	ENSPANG00000016954	1:1	817225
ENSMUSG00000040021	ENSPANG00000020490	1:1	550502
ENSMUSG00000019794	ENSPANG00000022186	1:1	848784
ENSMUSG00000040006	ENSPANG00000024074	1:1	794540
ENSMUSG00000015757	ENSPANG00000017996	1:1	547377
ENSMUSG00000039981	ENSPANG00000024104	1:1	751509
ENSMUSG00000015755	ENSPANG00000009982	1:1	838621
ENSMUSG00000015305	ENSPANG00000019109	1:1	810027
ENSMUSG00000060487	ENSPANG00000025694	1:1	834173
ENSMUSG00000019790	ENSPANG00000016094	1:1	789818
ENSMUSG00000050994	ENSPANG00000016096	1:1	773350
ENSMUSG00000019832	ENSPANG00000025378	1:1	522153
ENSMUSG00000019828	ENSPANG00000025380	1:1	
ENSMUSG00000090112	ENSPANG00000005684	1:1	852040
ENSMUSG00000047648	ENSPANG00000024766	1:1	824523
ENSMUSG00000055493	ENSPANG00000019146	1:1	730387
ENSMUSG00000019820	ENSPANG00000025376	1:1	549506
ENSMUSG00000039232	ENSPANG00000003353	1:1	795554
ENSMUSG00000078348	ENSPANG00000018533	1:1	793617
ENSMUSG00000019815	ENSPANG00000021829	1:1	
ENSMUSG00000019814	ENSPANG00000011063	1:1	843096
ENSMUSG00000062866	ENSPANG00000008001	1:1	843634
ENSMUSG00000019810	ENSPANG00000024444	1:1	
ENSMUSG00000019809	ENSPANG00000026233	1:1	495780
ENSMUSG00000019808	ENSPANG00000023970	1:1	722333
ENSMUSG00000019806	ENSPANG00000014550	1:1	739631
ENSMUSG00000015501	ENSPANG00000026003	1:1	841924
ENSMUSG00000039116	ENSPANG00000011062	1:1	266303
ENSMUSG00000019868	ENSPANG00000004286	1:1	547797
ENSMUSG00000039910	ENSPANG00000022013	1:1	774897
ENSMUSG00000039891	ENSPANG00000000622	1:1	553920
ENSMUSG00000039879	ENSPANG00000006924	1:1	847374
ENSMUSG00000078453	ENSPANG00000017771	1:1	744771
ENSMUSG00000019854	ENSPANG00000011061	1:1	548445
ENSMUSG00000071392	ENSPANG00000015852	1:1	764291
