ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000030751	0.03037765923	0.497502497502	0.0600205705457052	24	22	6.3
ENSMUSG00000029446	0.0710480369791	0.796203796204	0.0904066040871794	24	8	24.9
ENSMUSG00000030967	0.0654816988615	0.781218781219	0.085809567103459	24	2	396.4
ENSMUSG00000032112	0.0239600168324	0.410589410589	0.0545981369028131	24	0	85.1
ENSMUSG00000079477	0.0529341399064	0.678321678322	0.0763494759350271	24	16	128.3
ENSMUSG00000020936	0.0952775852441	0.885114885115	0.108362171939582	24	2	477.2
ENSMUSG00000071415	0.000262390591069	0.00799200799201	0.0243605938091079	24	16	23.4
ENSMUSG00000028646	0.00168992695018	0.0579420579421	0.0307466280135041	24	14	263.5
ENSMUSG00000055204	0.0403477868211	0.593406593407	0.0675279207977209	24	12	333.5
ENSMUSG00000022193	0.156997231441	0.972027972028	0.160573666899307	24	2	792.2
ENSMUSG00000008855	0.0133756825989	0.292707292707	0.0449071856844486	24	12	191.8
ENSMUSG00000029234	0.0409281202911	0.598401598402	0.0675663528863736	24	12	39.7
ENSMUSG00000025261	0.0898562532293	0.866133866134	0.104590070633239	24	22	296.8
ENSMUSG00000003346	0.0654908120603	0.781218781219	0.085809567103459	24	2	219.3
ENSMUSG00000070733	0.00218770919462	0.0769230769231	0.0316569022378553	24	16	207.2
ENSMUSG00000020794	0.01411583319	0.300699300699	0.0455128386682182	24	10	491.9
ENSMUSG00000021266	0.000809744421251	0.032967032967	0.0272421199924164	24	8	360.3
ENSMUSG00000025156	0.0227607087988	0.401598401598	0.0533799706130957	24	22	123
ENSMUSG00000030751	0.00456244091614	0.141858141858	0.0355991355074187	24	12	753.9
ENSMUSG00000067851	0.133155466472	0.947052947053	0.139539345006953	24	6	24.4
ENSMUSG00000029446	0.0414731561262	0.598401598402	0.0683266910293465	24	10	10.5
ENSMUSG00000026553	0.024374796196	0.413586413586	0.0547514638992456	24	18	542.5
ENSMUSG00000022100	0.181534472181	0.983016983017	0.183391095831717	24	0	11.9
ENSMUSG00000028677	0.0529341399064	0.678321678322	0.0763494759350271	24	18	255.3
ENSMUSG00000037373	0.0078352218124	0.214785214785	0.038865882878796	24	4	493.1
ENSMUSG00000027828	0.02928387041	0.492507492507	0.0585489087539514	24	6	68.3
ENSMUSG00000005442	0.00704121968246	0.1998001998	0.0381317503134093	24	14	28.9
ENSMUSG00000040688	0.0785593454713	0.829170829171	0.0957345149909184	24	22	65.4
ENSMUSG00000028759	0.0647738344076	0.768231768232	0.0853909866432445	24	14	167.7
ENSMUSG00000025261	0.0535897217898	0.696303696304	0.0766811861354691	24	10	1042.8
ENSMUSG00000026553	0.00272636334701	0.0879120879121	0.0328119512499192	24	2	48.8
ENSMUSG00000018585	0.0434770113807	0.621378621379	0.0695303205596023	24	10	339.9
ENSMUSG00000026878	0.0026454364166	0.0879120879121	0.0328119512499192	24	22	158.7
ENSMUSG00000020936	0.134025213067	0.951048951049	0.140140608189375	24	4	142
ENSMUSG00000067851	0.156091040275	0.968031968032	0.159941077815933	24	6	204
ENSMUSG00000014355	0.0862367052617	0.853146853147	0.101623516114438	24	10	47.8
ENSMUSG00000025224	0.0165814679718	0.330669330669	0.0483758281619882	24	16	12.9
ENSMUSG00000022100	0.070662099321	0.796203796204	0.090258303107749	24	20	898.7
ENSMUSG00000025224	0.0516737961308	0.674325674326	0.0757454605202329	24	12	11.4
ENSMUSG00000025261	0.0157109680847	0.316683316683	0.0473170615984396	24	22	278
ENSMUSG00000025224	0.108279382559	0.913086913087	0.118725482445421	24	22	281.8
ENSMUSG00000008855	0.0111159958701	0.270729270729	0.0427256841746461	24	18	58.4
ENSMUSG00000022770	0.00354355665752	0.10989010989	0.0342523897749583	24	4	6.9
ENSMUSG00000034820	0.00703530443556	0.1998001998	0.0381317503134093	24	4	289.1
ENSMUSG00000022770	0.0029914176697	0.0929070929071	0.0332831895991616	24	14	775.5
ENSMUSG00000028759	0.000900226730687	0.037962037962	0.0277077726239151	24	4	1133.3
ENSMUSG00000025224	0.0231690672997	0.408591408591	0.0533799706130957	24	8	72.9
ENSMUSG00000005442	0.0361446118862	0.561438561439	0.0643383305750564	24	22	127
ENSMUSG00000071415	0.0535897217898	0.696303696304	0.0766811861354691	24	20	64.2
ENSMUSG00000008855	0.0013452089332	0.048951048951	0.0294470965838996	24	20	146.4
ENSMUSG00000030058	0.00681545387493	0.196803196803	0.0377159559517874	24	4	619.6
ENSMUSG00000026878	0.058614209437	0.723276723277	0.0808187627399379	24	20	168.6
ENSMUSG00000008855	0.0205446750375	0.387612387612	0.0512826799698484	24	12	184.2
ENSMUSG00000001158	0.0333173765242	0.533466533467	0.0621480771433525	24	4	448.5
ENSMUSG00000015341	0.0100530598949	0.245754245754	0.0412759137573915	24	0	14.5
ENSMUSG00000001289	0.0567245228282	0.715284715285	0.0793720129604385	24	18	542.3
ENSMUSG00000026965	0.0991921387737	0.896103896104	0.111361850765898	24	22	47.3
ENSMUSG00000008855	0.0323069381808	0.523476523477	0.061314220778584	24	0	90.6
ENSMUSG00000068328	0.0455453342438	0.643356643357	0.070786632428698	24	14	863.9
ENSMUSG00000005442	0.0854312257294	0.851148851149	0.101397344224734	24	22	239
ENSMUSG00000040688	0.0661993836632	0.783216783217	0.0866731182435063	24	4	143.2
ENSMUSG00000008855	0.0148936959956	0.306693306693	0.0464622389234246	24	18	125.6
ENSMUSG00000022898	0.00829492011724	0.222777222777	0.0392118036484814	24	4	164.5
ENSMUSG00000025224	0.01690320071	0.336663336663	0.0484850608041198	24	16	500.2
ENSMUSG00000005442	0.00528599356111	0.153846153846	0.0364979918980576	24	2	94.3
ENSMUSG00000020459	0.0191401538052	0.366633366633	0.0502101029641358	24	20	683.6
ENSMUSG00000034820	0.0390318906542	0.587412587413	0.0663641897989875	24	4	205.4
ENSMUSG00000029405	0.00429821088255	0.132867132867	0.0353650207762932	24	18	115.1
ENSMUSG00000037373	0.0535980290587	0.696303696304	0.0766811861354691	24	22	22.2
ENSMUSG00000038160	0.0112329736429	0.270729270729	0.0429327047033253	24	10	44.5
ENSMUSG00000093575	0.0178291950626	0.352647352647	0.0492037826435186	24	6	101.1
ENSMUSG00000005442	0.00143605453833	0.0519480519481	0.0295920200106526	24	10	53.9
ENSMUSG00000021266	0.00809004483826	0.218781218781	0.0392118036484814	24	20	464.9
ENSMUSG00000008855	0.0944483192289	0.876123876124	0.108063391874656	24	14	417
ENSMUSG00000026810	0.0449394914485	0.63036963037	0.070786632428698	24	10	216.3
ENSMUSG00000021282	0.0247994035688	0.431568431568	0.0550176657330638	24	2	593.9
ENSMUSG00000027598	0.034964025382	0.556443556444	0.0631306622454738	24	10	640.1
ENSMUSG00000015341	0.0288273222391	0.481518481518	0.0585489087539514	24	14	44.8
ENSMUSG00000005982	0.00129611123819	0.047952047952	0.0294276476998129	24	8	376.5
ENSMUSG00000026553	0.00113851393696	0.045954045954	0.0289225219590264	24	0	1083.6
ENSMUSG00000041645	0.0952775852441	0.885114885115	0.108362171939582	24	12	71.3
ENSMUSG00000067851	0.12172029261	0.932067932068	0.130534712062575	24	10	30.4
ENSMUSG00000029405	0.0102842039854	0.253746253746	0.0415219263464106	24	4	63.2
ENSMUSG00000024309	0.0483220815908	0.664335664336	0.0728882782001087	24	2	232.9
ENSMUSG00000025224	0.0291221825643	0.481518481518	0.0585489087539514	24	6	4.2
ENSMUSG00000078552	0.18154590873	0.983016983017	0.183391095831717	24	6	29.5
ENSMUSG00000008855	0.0505914976461	0.672327672328	0.0744460054880552	24	2	136.3
ENSMUSG00000024414	0.00381270555834	0.118881118881	0.0345454143206518	24	0	209.6
ENSMUSG00000001016	0.0752904863792	0.824175824176	0.0930151088168447	24	22	70.3
ENSMUSG00000007036	0.0654816988615	0.781218781219	0.085809567103459	24	2	66.9
ENSMUSG00000029234	0.00906931088052	0.235764235764	0.0403000499439515	24	10	18.8
