mouse_ID	zebrafish_ID	orthotype	OMAgroup
ENSMUSG00000019762	ENSDARG00000076056	1:1	538990
ENSMUSG00000040675	ENSDARG00000042221	1:1	
ENSMUSG00000075327	ENSDARG00000028086	1:1	823475
ENSMUSG00000019763	ENSDARG00000027465	1:1	803230
ENSMUSG00000061759	ENSDARG00000055676	1:1	
ENSMUSG00000019767	ENSDARG00000016161	1:1	792965
ENSMUSG00000019768	ENSDARG00000004111	1:1	
ENSMUSG00000046916	ENSDARG00000088546	1:m	
ENSMUSG00000046916	ENSDARG00000056125	1:m	773353
ENSMUSG00000019773	ENSDARG00000039020	1:1	831160
ENSMUSG00000019774	ENSDARG00000060005	1:1	847660
ENSMUSG00000000766	ENSDARG00000039434	1:1	657334
ENSMUSG00000015202	ENSDARG00000105277	1:1	666196
ENSMUSG00000019796	ENSDARG00000034076	1:1	816022
ENSMUSG00000019795	ENSDARG00000015201	1:1	803623
ENSMUSG00000040034	ENSDARG00000043884	1:1	817225
ENSMUSG00000019794	ENSDARG00000021827	1:1	
ENSMUSG00000040006	ENSDARG00000021975	1:1	794540
ENSMUSG00000015757	ENSDARG00000043854	1:1	
ENSMUSG00000015755	ENSDARG00000021509	1:1	838621
ENSMUSG00000047712	ENSDARG00000102715	1:m	
ENSMUSG00000047712	ENSDARG00000006044	1:m	782518
ENSMUSG00000015305	ENSDARG00000007179	1:1	810027
ENSMUSG00000019790	ENSDARG00000002656	1:1	789818
ENSMUSG00000050994	ENSDARG00000005595	1:1	773350
ENSMUSG00000019832	ENSDARG00000029036	1:1	
ENSMUSG00000019828	ENSDARG00000098320	1:m	
ENSMUSG00000019828	ENSDARG00000026796	1:m	641438
ENSMUSG00000090112	ENSDARG00000075884	1:1	852040
ENSMUSG00000047648	ENSDARG00000058561	1:1	824523
ENSMUSG00000055493	ENSDARG00000059044	1:1	730387
ENSMUSG00000039232	ENSDARG00000044039	1:1	795554
ENSMUSG00000078348	ENSDARG00000016855	1:1	793617
ENSMUSG00000019817	ENSDARG00000105983	1:1	
ENSMUSG00000019814	ENSDARG00000008490	1:1	843096
