ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSPANG00000000040	0.0209803516313933	0.692351603835979	0.175305585342313	20	11	2.58048464158774
ENSPANG00000000041	0.0863171145983646	1	0.255816673907525	24	2	2.94612251952744
ENSPANG00000000053	0.115950877825878	1	0.280190902300781	22	14	0.464076306762861
ENSPANG00000000059	0.196949943382235	1	0.337786256137844	20	19	3.65544403527858
ENSPANG00000000060	0.0053803077066966	0.177550154320988	0.129575743936276	20	17	3.67162821301947
ENSPANG00000000062	0.0628691469924109	1	0.232364308272666	24	10	9.32571858615163
ENSPANG00000000063	0.0260152972349153	0.858504808752205	0.191786999932081	20	9	0.143537157971339
ENSPANG00000000071	0.00180327581369248	0.0595081018518519	0.100362175630966	22	11	81.6687423350131
ENSPANG00000000072	0.545204700777617	1	0.565396802712527	20	19	2.15463709205816
ENSPANG00000000085	0.00097448108732831	0.0321578758818342	0.0874562072134732	20	5	15.321897451145
ENSPANG00000000090	0.0628691469924109	1	0.232364308272666	24	6	1.24518107334129
ENSPANG00000000093	0.037893570710411	1	0.212653846724566	22	12	0.0601094326830019
ENSPANG00000000094	0.737305524657955	1	0.739983475077269	24	12	0.0661891312649541
ENSPANG00000000102	0.380704803491262	1	0.462730332012897	20	0	2.78621331905612
ENSPANG00000000103	0.310810013995778	1	0.414408966853509	22	0	5.86103725488911
ENSPANG00000000112	0.0628691469924109	1	0.232364308272666	20	5	1.27247443632827
ENSPANG00000000116	0.502114329054433	1	0.541922893053198	0	NA	0
ENSPANG00000000117	0.0863171145983646	1	0.255816673907525	20	19	0.0866852673136161
ENSPANG00000000122	0.196949943382235	1	0.337786256137844	20	17	2.23945850364767
ENSPANG00000000123	0.419864380411255	1	0.504525952597175	20	7	0.0733358589270026
ENSPANG00000000126	0.115950877825878	1	0.280190902300781	22	14	1.04030739578831
ENSPANG00000000127	0.0863171145983646	1	0.255816673907525	20	10	7.18456993169356
ENSPANG00000000131	0.0310502428384373	1	0.191786999932081	20	0	162.368880495896
ENSPANG00000000132	0.152590458988028	1	0.308619714194663	22	16	5.22671033806239
ENSPANG00000000141	0.0209803516313933	0.692351603835979	0.175305585342313	24	14	0.994935215720724
ENSPANG00000000142	0.310810013995778	1	0.414408966853509	24	20	0.912274125315444
ENSPANG00000000147	0.310810013995778	1	0.414408966853509	20	17	7.82112109742325
ENSPANG00000000148	0.280194767616643	1	0.412989676899302	20	19	0.0872560069134093
ENSPANG00000000165	0.459023957331249	1	0.519404924023552	0	NA	0
ENSPANG00000000171	0.280194767616643	1	0.412989676899302	0	NA	0
ENSPANG00000000174	0.502114329054433	1	0.541922893053198	0	NA	0
ENSPANG00000000175	0.249579521237507	1	0.374292049440738	24	18	0.130228293477939
ENSPANG00000000180	0.0628691469924109	1	0.232364308272666	22	20	0.494177245739063
ENSPANG00000000181	0.545204700777617	1	0.565396802712527	22	17	1.86550470116994
ENSPANG00000000188	0.223264732309871	1	0.374292049440738	22	13	0.019761928291133
ENSPANG00000000194	0.380704803491262	1	0.462730332012897	20	5	0.327154144298201
ENSPANG00000000195	0.380704803491262	1	0.462730332012897	22	11	1.62278196970465
ENSPANG00000000200	0.310810013995778	1	0.414408966853509	20	8	2.22867253396888
ENSPANG00000000205	0.545204700777617	1	0.565396802712527	20	13	0.515829727759396
ENSPANG00000000206	0.502114329054433	1	0.541922893053198	0	NA	0
ENSPANG00000000209	0.0112642504743199	0.371720265652557	0.157456613067339	24	18	0.0257213056442511
ENSPANG00000000210	0.196949943382235	1	0.337786256137844	20	9	3.02250838800313
ENSPANG00000000217	0.310810013995778	1	0.414408966853509	20	15	5.42543584491038
ENSPANG00000000222	0.502114329054433	1	0.541922893053198	0	NA	0
ENSPANG00000000228	0.115950877825878	1	0.280190902300781	24	22	0.0606304375901084
ENSPANG00000000239	0.591782977342873	1	0.609646005928375	20	5	0.0508126106486208
ENSPANG00000000242	0.152590458988028	1	0.308619714194663	20	10	3.10850883484622
ENSPANG00000000243	0.0628691469924109	1	0.232364308272666	20	0	0.116196009770466
ENSPANG00000000246	0.115950877825878	1	0.280190902300781	22	15	42.6713220147073
ENSPANG00000000247	0.0137707681978515	0.454435350529101	0.157456613067339	20	9	1.16529848323424
ENSPANG00000000253	0.0310502428384373	1	0.191786999932081	20	19	0.241538337883313
ENSPANG00000000257	0.115950877825878	1	0.280190902300781	20	5	0.315293425426887
ENSPANG00000000258	0.0863171145983646	1	0.255816673907525	22	0	3.20282459165383
ENSPANG00000000263	0.115950877825878	1	0.280190902300781	22	20	0.222925939316283
ENSPANG00000000264	0.280194767616643	1	0.412989676899302	20	17	0.233186695127342
ENSPANG00000000267	0.0628691469924109	1	0.232364308272666	22	0	8.85163007481175
ENSPANG00000000268	0.0538030227873978	1	0.232364308272666	22	7	0.109982536195565
ENSPANG00000000270	0.459023957331249	1	0.519404924023552	20	15	5.95335740968678
ENSPANG00000000271	0.115950877825878	1	0.280190902300781	24	22	1.21332441903434
ENSPANG00000000274	0.0112642504743199	0.371720265652557	0.157456613067339	20	12	0.562903980222104
ENSPANG00000000275	0.115950877825878	1	0.280190902300781	20	17	2.0528699139855
ENSPANG00000000276	0.223264732309871	1	0.374292049440738	0	NA	0
ENSPANG00000000277	0.34575740874352	1	0.456598647305677	22	8	0.173458923550091
ENSPANG00000000279	0.459023957331249	1	0.519404924023552	22	2	0.465899792193513
ENSPANG00000000280	0.152590458988028	1	0.308619714194663	22	2	0.168560998791795
ENSPANG00000000281	0.196949943382235	1	0.337786256137844	20	7	1.79276839878442
ENSPANG00000000282	0.0310502428384373	1	0.191786999932081	22	11	11.9677252536812
ENSPANG00000000283	0.0628691469924109	1	0.232364308272666	22	4	2.17558689666964
ENSPANG00000000284	0.0863171145983646	1	0.255816673907525	22	6	4.51286802517502
ENSPANG00000000290	0.152590458988028	1	0.308619714194663	22	15	0.722398635178266
ENSPANG00000000291	0.0209803516313933	0.692351603835979	0.175305585342313	20	3	1.71666764433589
ENSPANG00000000294	0.0628691469924109	1	0.232364308272666	20	17	1.02360774697486
ENSPANG00000000295	0.249579521237507	1	0.374292049440738	22	3	0.674580720966744
ENSPANG00000000300	0.115950877825878	1	0.280190902300781	24	22	1.80361275416872
ENSPANG00000000301	0.196949943382235	1	0.337786256137844	20	7	0.120437535898189
ENSPANG00000000304	0.310810013995778	1	0.414408966853509	22	16	0.592430661152974
ENSPANG00000000305	0.249579521237507	1	0.374292049440738	24	22	1.61594288195491
ENSPANG00000000312	0.459023957331249	1	0.519404924023552	22	20	1.95556341426976
ENSPANG00000000313	0.196949943382235	1	0.337786256137844	22	8	1.12961927833421
ENSPANG00000000314	0.152590458988028	1	0.308619714194663	22	1	0.485044838666132
ENSPANG00000000315	0.545204700777617	1	0.565396802712527	24	18	0.515931002267834
ENSPANG00000000318	0.788946947150072	1	0.78902208972552	0	NA	0
ENSPANG00000000320	0.0209803516313933	0.692351603835979	0.175305585342313	22	14	0.992495014559472
ENSPANG00000000321	0.0447368985823847	1	0.212653846724566	24	2	0.734240848138665
ENSPANG00000000325	0.459023957331249	1	0.519404924023552	20	9	5.35346362455585
ENSPANG00000000336	0.0628691469924109	1	0.232364308272666	0	NA	0
ENSPANG00000000337	0.152590458988028	1	0.308619714194663	20	17	0.0384240669175605
ENSPANG00000000339	0.0209803516313933	0.692351603835979	0.175305585342313	24	6	0.346961261514171
ENSPANG00000000341	0.310810013995778	1	0.414408966853509	22	14	1.42897193567082
ENSPANG00000000344	0.0863171145983646	1	0.255816673907525	20	9	2.53412392511756
ENSPANG00000000345	0.00318164699241088	0.104994350749559	0.113248657523091	20	12	0.131085228551014
ENSPANG00000000346	0.459023957331249	1	0.519404924023552	24	20	2.85720427790099
ENSPANG00000000347	0.502114329054433	1	0.541922893053198	22	0	0.00877267322690259
ENSPANG00000000351	0.459023957331249	1	0.519404924023552	22	7	11.6991659295435
ENSPANG00000000352	0.249579521237507	1	0.374292049440738	24	20	1.17094679831744
ENSPANG00000000354	0.591782977342873	1	0.609646005928375	0	NA	0
ENSPANG00000000355	0.380704803491262	1	0.462730332012897	20	9	1.28586469091135
ENSPANG00000000356	0.196949943382235	1	0.337786256137844	0	NA	0
ENSPANG00000000357	0.115950877825878	1	0.280190902300781	20	19	1.1500624151365
ENSPANG00000000360	0.545204700777617	1	0.565396802712527	20	7	6.13029530055031
ENSPANG00000000361	0.0310502428384373	1	0.191786999932081	22	20	4.74609733259023
ENSPANG00000000363	0.0137707681978515	0.454435350529101	0.157456613067339	22	20	2.59487498258011
ENSPANG00000000364	0.459023957331249	1	0.519404924023552	22	14	0.626803745722867
