ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
AAEL000001	0.0450052542006698	0.972061410263427	0.0533738220228785	28	12	NA
AAEL000004	0.00736095583680872	0.310861590064526	0.01827623861008	20	16	NA
AAEL000005	0.00767165788579621	0.444194733689203	0.0186145557111593	20	8	NA
AAEL000005	0.00860355551342584	0.230078479488547	0.0204605044129494	28	28	NA
AAEL000006	0.000935461461563225	0.0671535352426458	0.00803967955995446	24	24	NA
AAEL000008	0.020283132128631	0.98012618647826	0.0317391679666563	28	24	NA
AAEL000010	0.113063729264856	0.92241372156455	0.114494331553513	24	16	NA
AAEL000011	0.00681381676834041	0.471333436535433	0.0176246179080672	24	20	NA
AAEL000012	0.0088817792833413	0.429241813440019	0.0206593210104135	20	4	NA
AAEL000013	0.000422406343719819	0.025766786966909	0.00595682117134124	24	12	NA
AAEL000016	0.0149798343357354	0.602087097972137	0.027331077743393	20	8	NA
AAEL000017	3.7900470749985e-05	0.00265303295249895	0.0032360537222954	20	16	NA
AAEL000018	0.000121868488945287	0.00779958329249837	0.00441395213245631	24	16	NA
AAEL000020	0.0822920080816639	0.966021770826581	0.0858112733216804	28	24	NA
AAEL000021	0.0192353309951033	0.801724625696253	0.0305035833805377	24	12	NA
AAEL000021	0.000935461461563225	0.0645468408478625	0.00803967955995446	24	4	NA
AAEL000022	0.00736095583680872	0.57415455527108	0.01827623861008	20	20	NA
AAEL000024	0.00689607619958387	0.416162704665729	0.0176246179080672	24	20	NA
AAEL000025	0.00252114874545451	0.167636329461737	0.0115599598221685	24	4	NA
AAEL000026	0.00860355551342584	0.349921933559089	0.0204605044129494	28	16	NA
AAEL000027	0.00736095583680872	0.57415455527108	0.01827623861008	20	8	NA
AAEL000028	0.0095354288446961	0.458360951904178	0.0213225768036873	28	8	NA
AAEL000028	0.015221820286214	0.541980708717574	0.027331077743393	28	24	NA
AAEL000029	0.0677673291651841	0.969591656924041	0.0722288663554169	24	24	NA
AAEL000032	0.0192353309951033	0.98916443857063	0.0305035833805377	24	16	NA
AAEL000033	0.0271349876922604	0.989565007256027	0.0378210390183572	20	20	NA
AAEL000035	0.0116586184110202	0.478563237336177	0.0226784431250696	24	8	NA
AAEL000036	0.000174350632847049	0.01063538860367	0.00473795491231666	24	16	NA
AAEL000037	0.00174402398931885	0.116849607284363	0.0102291336111113	24	24	NA
