ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000000001	0.0141369047619048	0.169642857142857	0.106200109334862	18	1	39.7645313031113
ENSMUSG00000000028	0.548412698412698	1	0.550044879062736	30	1	8.94363463535861
ENSMUSG00000000037	0.0311507936507937	0.373809523809524	0.121418198708275	24	10	2.96014602383359
ENSMUSG00000000049	0.0311507936507937	0.373809523809524	0.121418198708275	24	13	16.4842269991933
ENSMUSG00000000056	0.0311507936507937	0.373809523809524	0.121418198708275	30	10	86.5607881954555
ENSMUSG00000000058	0.0141369047619048	0.169642857142857	0.106200109334862	24	19	81.8802165222567
ENSMUSG00000000078	0.275099206349206	1	0.312887048733319	30	28	132.457131774972
ENSMUSG00000000085	0.0141369047619048	0.169642857142857	0.106200109334862	30	16	23.3421759647382
ENSMUSG00000000088	0.108680555555556	1	0.177913860012739	30	10	843.87857800869
ENSMUSG00000000093	0.275099206349206	1	0.312887048733319	30	4	81.4917403351388
ENSMUSG00000000094	0.178869047619048	1	0.231877477487379	30	1	1.57204128884552
ENSMUSG00000000103	0.108680555555556	1	0.177913860012739	30	22	0.58477298332427
ENSMUSG00000000120	0.0311507936507937	0.373809523809524	0.121418198708275	18	1	6.6789800241017
ENSMUSG00000000125	0.47358630952381	1	0.483837344053611	0	NA	0
ENSMUSG00000000126	0.0311507936507937	0.373809523809524	0.121418198708275	18	4	3.84390157831902
ENSMUSG00000000127	0.178869047619048	1	0.231877477487379	30	28	13.5519979061266
ENSMUSG00000000131	0.108680555555556	1	0.177913860012739	30	1	49.7361214900963
ENSMUSG00000000134	0.108680555555556	1	0.177913860012739	30	16	18.9446337327324
ENSMUSG00000000142	0.0141369047619048	0.169642857142857	0.106200109334862	18	10	12.7031948758237
ENSMUSG00000000148	0.108680555555556	1	0.177913860012739	30	28	20.7962561790671
ENSMUSG00000000149	0.00173611111111111	0.0208333333333333	0.097511574074074	18	13	122.416045265543
ENSMUSG00000000154	0.00550595238095238	0.0660714285714286	0.0998657670818596	18	16	313.424328213261
ENSMUSG00000000157	0.275099206349206	1	0.312887048733319	24	16	0.634641459350263
ENSMUSG00000000159	0.0610119047619048	0.732142857142857	0.141878359817568	30	28	49.0525720503864
ENSMUSG00000000167	0.108680555555556	1	0.177913860012739	30	7	11.8462604305573
ENSMUSG00000000168	0.0311507936507937	0.373809523809524	0.121418198708275	30	16	86.7597733789236
ENSMUSG00000000171	0.0610119047619048	0.732142857142857	0.141878359817568	24	19	216.905624324425
ENSMUSG00000000184	0.00550595238095238	0.0660714285714286	0.0998657670818596	30	7	16.4677691435843
ENSMUSG00000000194	0.548412698412698	1	0.550044879062736	30	19	49.2224015836495
ENSMUSG00000000197	0.108680555555556	1	0.177913860012739	30	28	3.95842410428958
ENSMUSG00000000202	0.47358630952381	1	0.483837344053611	18	4	0.383335827883308
ENSMUSG00000000204	0.178869047619048	1	0.231877477487379	18	1	3.34606316454821
ENSMUSG00000000214	0.47358630952381	1	0.483837344053611	0	NA	0
ENSMUSG00000000216	0.0141369047619048	0.169642857142857	0.106200109334862	18	7	52.2550817789124
ENSMUSG00000000223	0.0226438492063492	0.27172619047619	0.121418198708275	30	28	1.53334331153322
ENSMUSG00000000244	0.275099206349206	1	0.312887048733319	30	25	1.28930271666258
ENSMUSG00000000247	0.0610119047619048	0.732142857142857	0.141878359817568	30	13	0.74213304055979
ENSMUSG00000000248	0.47358630952381	1	0.483837344053611	0	NA	0
ENSMUSG00000000253	0.0610119047619048	0.732142857142857	0.141878359817568	18	16	81.6951373737074
ENSMUSG00000000263	0.47358630952381	1	0.483837344053611	0	NA	0
ENSMUSG00000000266	0.00550595238095238	0.0660714285714286	0.0998657670818596	24	16	79.1825002000359
ENSMUSG00000000275	0.108680555555556	1	0.177913860012739	30	7	97.1827432588726
ENSMUSG00000000276	0.0141369047619048	0.169642857142857	0.106200109334862	30	19	10.3717616248474
ENSMUSG00000000278	0.00550595238095238	0.0660714285714286	0.0998657670818596	18	1	168.229402908536
ENSMUSG00000000282	0.178869047619048	1	0.231877477487379	18	13	64.4499170786435
ENSMUSG00000000290	0.0141369047619048	0.169642857142857	0.106200109334862	30	13	13.9829751583467
ENSMUSG00000000295	0.0610119047619048	0.732142857142857	0.141878359817568	24	4	18.6368553347697
ENSMUSG00000000296	0.275099206349206	1	0.312887048733319	30	10	49.2266411811406
ENSMUSG00000000301	0.0311507936507937	0.373809523809524	0.121418198708275	24	1	4.0119669276278
ENSMUSG00000000303	0.108680555555556	1	0.177913860012739	18	1	257.741688684999
ENSMUSG00000000305	0.0610119047619048	0.732142857142857	0.141878359817568	18	13	20.4634833420702
ENSMUSG00000000308	0.00550595238095238	0.0660714285714286	0.0998657670818596	18	16	60.4651413127877
ENSMUSG00000000317	0.178869047619048	1	0.231877477487379	18	4	40.9105072341044
ENSMUSG00000000318	0.178869047619048	1	0.231877477487379	18	1	5.24040572490658
ENSMUSG00000000320	0.108680555555556	1	0.177913860012739	30	25	26.697563652293
ENSMUSG00000000325	0.108680555555556	1	0.177913860012739	18	7	168.74570574084
ENSMUSG00000000326	0.275099206349206	1	0.312887048733319	30	10	707.293388665376
ENSMUSG00000000339	0.275099206349206	1	0.312887048733319	18	16	55.130343010293
ENSMUSG00000000340	0.00550595238095238	0.0660714285714286	0.0998657670818596	18	7	145.297074152787
ENSMUSG00000000346	0.275099206349206	1	0.312887048733319	30	7	504.400107841916
ENSMUSG00000000355	0.398759920634921	1	0.422957614421404	24	16	12.6059968421317
ENSMUSG00000000359	0.0141369047619048	0.169642857142857	0.106200109334862	30	28	1.87979334347428
ENSMUSG00000000365	0.226984126984127	1	0.290695640319415	18	4	1.04743823434618
ENSMUSG00000000374	0.178869047619048	1	0.231877477487379	30	4	62.5423381001248
ENSMUSG00000000378	0.0141369047619048	0.169642857142857	0.106200109334862	30	10	32.7077648764592
ENSMUSG00000000384	0.108680555555556	1	0.177913860012739	30	16	53.1039551514138
ENSMUSG00000000385	0.0610119047619048	0.732142857142857	0.141878359817568	24	1	62.4105221752498
ENSMUSG00000000386	0.0311507936507937	0.373809523809524	0.121418198708275	18	1	4.51866080082155
ENSMUSG00000000392	0.275099206349206	1	0.312887048733319	30	19	2.55674187348303
ENSMUSG00000000399	0.0610119047619048	0.732142857142857	0.141878359817568	24	13	207.746679053812
ENSMUSG00000000402	0.108680555555556	1	0.177913860012739	30	1	43.1165927571584
ENSMUSG00000000409	0.0141369047619048	0.169642857142857	0.106200109334862	30	22	6.36618353876471
ENSMUSG00000000416	0.178869047619048	1	0.231877477487379	18	13	39.5749152711758
ENSMUSG00000000420	0.0141369047619048	0.169642857142857	0.106200109334862	18	4	217.714254737285
ENSMUSG00000000439	0.0610119047619048	0.732142857142857	0.141878359817568	18	1	12.4579390289527
ENSMUSG00000000440	0.0311507936507937	0.373809523809524	0.121418198708275	24	10	44.1851368897874
ENSMUSG00000000441	0.0610119047619048	0.732142857142857	0.141878359817568	30	1	21.7631538115461
ENSMUSG00000000486	0.275099206349206	1	0.312887048733319	18	10	8.45653085114405
