ID	ZT00	ZT04	ZT08	ZT12	ZT16	ZT20	ZT24	ZT28	ZT32	ZT36	ZT40	ZT44
AAEL000001	1371.481433	1607.548567	1383.6109	1214.1883	1386.995633	1382.395367	1506.313767	1290.772833	1286.536433	1345.1111	1299.054667	1485.9386
AAEL000004	6513.0755	6356.869733	5965.140733	5406.760667	6714.1352	5866.730167	5269.027233	5937.2551	5995.19	5064.511133	6109.6202	6274.7238
AAEL000005	591.5324	446.8021667	437.7691333	523.1831333	531.9138	852.0295667	494.4099	466.9998	477.9658667	609.8056333	435.2503	521.6335
AAEL000005	443.5991	672.0819667	459.6892333	475.8948333	500.2739667	358.9119	427.5585333	404.8432333	434.4978333	450.1370333	446.0070667	465.3169667
AAEL000006	1741.215	1135.352533	1374.722833	1278.794833	1411.384267	1317.092133	1523.229567	1482.530467	1865.9626	1109.454067	1161.076133	1561.242567
AAEL000008	2903.588333	2973.638133	2881.948133	3105.715467	2848.7532	2626.995667	2722.7666	3572.817967	3111.4973	2914.235	2769.902933	2929.684167
AAEL000010	29167.3527	28194.18357	28875.50023	27968.61857	28648.5018	28191.04873	29935.5182	27093.69423	28146.5075	27212.08117	27361.6217	26761.8636
AAEL000011	15.75813333	27.73253333	27.17006667	26.26966667	17.9802	15.35263333	18.32513333	20.38236667	13.81286667	19.27736667	11.2755	13.6724
AAEL000012	27.24526667	23.5152	32.959	42.76593333	71.76546667	32.3728	22.823	39.36656667	43.83736667	52.31106667	27.64743333	17.52503333
AAEL000013	3087.474633	2975.320367	2834.594733	3010.186633	4594.6082	2909.616067	3167.6794	3018.5427	3040.3189	3191.812567	3410.3589	2783.039833
AAEL000016	7589.509233	5807.253867	8391.564767	8019.4141	7238.991867	7651.035167	7568.1919	7320.4518	7839.5418	8782.208333	7189.2315	7759.7574
AAEL000017	144.7841333	111.6758	156.0860333	275.6988333	166.8745333	116.59	152.2482333	158.4755667	143.0368667	161.948	132.5230667	181.3754333
AAEL000018	18.34183333	12.07526667	15.28246667	19.43436667	21.09683333	22.8774	28.11643333	29.08536667	21.02783333	52.80273333	36.56363333	20.36716667
AAEL000020	4792.6868	4687.515133	4531.154667	5100.5067	4564.265667	4835.904933	4753.7464	4491.577033	5087.810867	4587.297433	4759.251367	4443.463433
AAEL000021	161.9160333	234.2419333	196.3278	242.0925	122.6772333	230.6724667	130.1706	298.0119	167.4532	224.0964333	172.7949	196.6290333
AAEL000021	128.3711	111.5906	158.7192333	206.9484667	160.1346667	150.7491	170.5947667	117.6339667	132.4654333	111.7470667	82.51126667	153.6052667
AAEL000022	1761.945667	1658.568967	1529.3015	1373.327567	1816.073867	2616.6227	1693.657333	1464.5059	1507.865133	1497.484	1754.310233	1613.399367
AAEL000024	1033.657933	699.0937667	1177.9393	1329.0041	1493.961767	1266.1041	1312.196333	868.2078	1340.479	1492.185967	1002.527767	804.0502
AAEL000025	23.52756667	22.6096	20.72896667	19.25353333	16.22243333	14.6175	18.67243333	20.02256667	12.226	17.39993333	17.06333333	20.218
AAEL000026	962.8737667	835.7096667	633.7896333	743.8251667	714.5785333	818.4540667	712.8675667	740.5157	611.1677	872.0263667	879.2597	758.1149333
AAEL000027	17.2295	11.34443333	44.58133333	18.3034	33.5246	27.92513333	27.42513333	26.34113333	15.10016667	24.14143333	21.714	16.42943333
AAEL000028	11232.86297	9182.590833	9272.585433	11301.04267	10287.62617	10959.24567	12065.57937	10734.40297	12456.0135	11581.35653	10194.34647	10016.53407
AAEL000028	16038.97917	15686.84083	15625.13553	16207.41643	16924.73317	19427.4434	14140.08213	17950.84947	17155.13903	17365.7157	14380.5523	17321.83387
AAEL000029	16.89393333	32.28	21.77613333	23.63963333	19.55376667	32.9161	18.80423333	15.46543333	17.94233333	18.02716667	21.36896667	22.8229
AAEL000032	25787.01727	25075.83273	26091.93263	25112.20087	26414.81373	25899.64297	25184.00497	25546.11667	26479.2906	25892.2763	25359.99653	24825.47133
AAEL000033	629.4950333	701.0876667	628.0637	661.6261	652.2525333	727.1247333	597.6781667	649.2887333	676.1978	675.4617	635.7346667	613.1215667
AAEL000035	790.9954667	1113.4382	1060.908267	852.6059333	830.954	1394.292933	1495.210133	935.5978	714.7861667	788.3761333	545.9436667	1187.441633
AAEL000036	137.1462	103.1436333	130.8205667	58.37833333	105.5818333	76.89143333	132.6125	48.19253333	87.2093	39.0228	42.262	68.2902
AAEL000037	3430.598833	4689.520967	3606.771633	2739.828967	4163.5365	3642.132767	3121.4175	3375.252867	2998.2582	3080.620367	5080.813033	4107.987933
AAEL000038	5343.517	3806.200867	3632.232067	4446.9332	4191.286767	3990.900767	4290.501133	4471.377533	4369.927267	3111.771	4658.260633	4233.5285
AAEL000039	36.4138	32.87793333	26.42173333	34.37696667	56.05713333	25.0981	47.44923333	17.26353333	64.46693333	69.82823333	22.27886667	20.26923333
AAEL000041	352.9846	129.7166667	217.1342	226.0110333	167.4039	198.0395	202.0024	122.0914	249.2907333	223.7628333	373.5263667	227.6939667
AAEL000042	459.2033667	344.8983667	337.0907333	353.4255333	303.8076667	391.4359	363.7518	347.6207	354.7495333	814.8829	285.2047333	418.3553
AAEL000043	34.19343333	51.65596667	39.58656667	25.73783333	30.02616667	15.87826667	57.4563	38.96346667	40.35366667	13.75216667	25.85033333	10.06316667
AAEL000044	1442.136067	1305.220667	1708.549133	1539.184067	1191.197967	1674.348033	1238.2631	2028.6832	1827.348333	1648.459033	1363.579	1806.5373
AAEL000044	1149.793133	1545.864333	1344.114667	1387.649533	1399.597567	1065.019133	1142.744633	1460.8767	1497.376167	1860.601933	1129.7355	1518.364767
AAEL000046	1089.633867	1037.610767	1083.108833	1134.397067	1139.1324	1224.939867	1138.4482	1635.1895	1144.091933	1090.576	1149.831633	1086.540267
AAEL000047	55.485	50.09893333	111.9445333	49.64146667	31.8795	81.187	47.1691	150.8673	51.77206667	76.04493333	114.1734	72.9326
AAEL000048	44.85316667	30.4993	38.5316	32.57413333	24.4935	34.10326667	28.93773333	36.40393333	37.18686667	29.90823333	73.989	52.90936667
AAEL000049	1766.093733	1673.7053	1611.543433	1765.1206	1691.589467	1671.480867	1739.4857	1828.062	1894.787567	1406.370333	1667.710867	1736.2852
AAEL000050	2112.689367	1734.959333	1897.325167	1709.488167	1826.423467	1784.563967	1950.0723	1816.952167	1319.116667	1705.506833	1740.709533	1865.6606
AAEL000051	7862.585133	4282.311767	7397.197567	3151.61	3419.492667	5606.438467	4536.662767	5126.974	3645.0869	4269.754133	5744.2436	3298.3746
AAEL000053	769.4243	725.6206333	681.9388333	1080.424367	708.5787333	791.0209667	767.2115667	610.2654667	883.7036667	668.1606667	633.1357333	849.3225667
AAEL000055	6261.636467	4205.160067	5075.0023	5985.6902	6355.957967	5882.749267	7552.6949	5376.459267	5716.934667	5437.383033	4636.223	6054.722633
AAEL000057	101.4626333	172.6427	126.4775667	153.0572667	148.9560333	187.1787	167.9934667	144.1069	124.1556333	153.8192667	98.8206	178.2106333
AAEL000058	7.826766667	10.927	9.743066667	7.499733333	8.6794	8.1261	7.838566667	6.992033333	9.717633333	8.5442	9.501733333	9.655333333
AAEL000063	32.81756667	35.96183333	42.91363333	30.604	32.2239	14.46583333	31.8788	22.90083333	20.98153333	37.57373333	9.7543	22.7347
AAEL000064	2258.323433	2355.043733	2194.623933	2544.2795	2141.752833	2164.201133	2607.137433	2447.5085	2470.360233	2526.490033	2507.507833	2001.1589
AAEL000065	785.8710333	625.5668	687.9910667	816.1400667	819.9411667	874.8650667	754.9435333	711.6972667	744.1361333	731.4917667	820.3442333	743.2117333
AAEL000066	112.1657	161.2851667	107.4793667	259.6803333	92.92583333	150.4246667	134.4816333	83.69453333	148.7807333	199.3065	105.6	176.789
AAEL000069	21.68273333	52.898	79.27796667	63.3187	22.04643333	9.4738	79.64626667	29.9317	94.25186667	60.09186667	38.0476	69.21073333
AAEL000071	262.9114333	566.9732	226.1629	740.7035	436.6934	226.9541333	464.2430667	1031.128933	246.6359667	480.7959	538.2061	433.5643333
AAEL000073	9260.849733	3604.364933	5336.028133	8849.838167	8108.5478	6349.067367	3421.560733	2863.038667	12212.91617	5356.923367	3823.540067	8059.985733
AAEL000074	1850.352533	3164.489633	2369.720333	3253.474867	2386.142967	1994.552367	2314.487567	2090.016167	2016.6418	2321.929467	1947.371833	1813.444767
AAEL000075	99.703	158.4582667	111.8062667	76.65596667	32.40043333	58.85873333	50.24496667	43.4109	57.05306667	85.49796667	69.6539	88.7622
AAEL000076	2496.6255	1918.0903	1943.185967	2300.323467	2614.375033	2285.356033	2252.1168	2846.6539	2399.778767	2160.700067	2235.33	2210.322967
AAEL000077	6441.6512	4659.1264	5153.006733	4109.501333	4580.0921	5253.455033	5138.3845	4881.0035	5312.641567	4918.880233	4763.6262	4964.143
AAEL000079	1582.2727	1575.139767	1500.0971	1599.7634	1017.743933	1414.561033	1440.536433	1531.205933	1348.1547	1597.250367	1699.684767	1588.913633
AAEL000080	1234.6066	2303.287267	1419.639	1550.513533	1538.421267	1756.035533	1270.042233	2219.534967	1340.911733	1599.988333	1661.5446	1961.3439
AAEL000081	4401.247	4162.481767	4617.255167	4330.3299	4476.1371	4358.2181	4438.214433	4225.7297	3978.1561	4099.106533	4278.302167	4241.4242
AAEL000084	2489.01	2683.2076	2641.341033	2936.508667	2749.595	2697.364567	2350.516333	2452.296467	2509.612	2905.0449	2469.550633	2576.978367
AAEL000085	118.1636333	93.83063333	204.495	88.16486667	163.1773	135.5872667	99.868	133.1876333	166.1309667	146.1742333	274.9988667	146.0507
AAEL000087	775.9257333	587.9457667	1501.586867	1378.5533	1284.3127	1906.3657	1330.288033	1986.1741	757.7127667	1606.198633	1023.479	927.1569333
AAEL000088	1832.204533	1706.4643	1778.0306	1943.414733	1762.124133	1843.2764	1964.281833	1921.3914	1694.926467	1850.5235	1691.738667	2000.8371
AAEL000089	398.5710667	297.3603333	306.3881667	101.9529333	176.4421667	303.1759667	150.737	175.8903667	174.4334667	132.5921667	274.0210667	173.7391333
AAEL000090	9842.3721	10051.49433	9555.359	9079.5538	8565.723567	8696.411833	9891.516867	9582.810467	9254.297333	8728.835533	8439.0312	8966.276433
AAEL000091	6679.748933	4738.0155	5578.991033	4069.1435	4226.1441	4816.6447	6128.2692	5273.288567	6331.1773	4856.6561	4351.581333	5359.055333
AAEL000092	13.636	16.47086667	12.30263333	20.4949	12.77696667	16.2264	18.52716667	14.26216667	14.97446667	22.12806667	12.35436667	13.6911
AAEL000094	110.9467333	118.2666667	154.873	116.8813	71.42063333	211.2685333	155.9843	67.70016667	152.8080333	146.6846333	76.4398	112.4055667
AAEL000095	38.82926667	35.15483333	127.1654667	99.7741	44.04606667	141.6742	86.6451	57.06413333	77.35543333	123.6272667	65.2754	41.35233333
AAEL000097	498.6327667	559.5816	580.4597333	540.5656	547.5242	530.0709	507.3889333	448.7955667	512.5835667	401.0134667	655.9428667	812.8608
AAEL000098	25.95143333	24.1964	19.36036667	17.74043333	23.56026667	21.3159	16.001	17.3009	20.6893	25.64776667	24.29403333	15.22973333
AAEL000099	506.6341667	583.3529667	561.0462333	415.7722667	554.3678	454.0973333	420.4400667	384.9194333	477.067	482.8081333	561.5408333	400.1750333
AAEL000101	49.02023333	19.67453333	20.8826	30.65203333	16.86516667	24.78126667	26.02593333	40.1153	33.18856667	37.41383333	37.91306667	40.37663333
AAEL000102	7199.7935	7417.9314	6716.3957	7900.607433	7619.7589	7875.9739	7674.6994	8015.5519	6246.4196	8176.646133	7288.7659	7890.591533
AAEL000106	1658.729733	1856.283667	1783.200533	2030.960333	1688.215733	1932.1308	1604.601467	1633.2542	1864.050567	1778.571767	1840.760833	1722.6078
AAEL000107	491.2106333	575.6551333	556.5915333	600.1840333	663.0191	604.1407333	586.0443667	554.2460333	639.4729333	500.0979	500.7947333	574.4724
AAEL000108	39.593	25.51313333	39.2834	37.7966	36.43873333	52.17303333	27.3997	44.88496667	33.0831	50.85146667	38.95816667	40.59826667
AAEL000109	5891.488533	5868.587733	6098.3892	5818.0639	6512.549567	5101.466167	5733.9011	6055.522067	7087.746233	5185.757433	4483.527567	2793.1158
AAEL000111	1595.921867	2235.033267	1314.101167	1860.8432	2034.202233	2304.3356	1800.292533	1666.122	2197.3276	1363.7234	2918.274533	1811.033133
AAEL000113	151.5219	138.6159667	126.5354667	141.2227667	111.1292333	99.99626667	108.8238333	138.8483667	157.0544	124.5095667	110.6437667	80.56596667
AAEL000115	233.8382	208.4304667	253.4668333	233.794	250.6482333	201.7751667	257.8296	251.2564333	226.6723	222.5001	224.8629667	277.6153333
AAEL000115	231.6854333	154.7648333	163.5248	162.5493333	156.1363667	131.3072333	149.5134333	120.5009667	140.8817333	126.0342667	128.8929	141.9554
AAEL000116	560.1560333	507.3841667	519.4860333	548.7548667	610.4066667	628.2577	523.912	635.8492333	591.9075667	596.4093	702.2754333	558.0681667
AAEL000117	33.10706667	20.13556667	33.6419	22.4071	29.48213333	14.8323	39.17733333	140.5304667	28.3593	34.64376667	11.7875	41.557
AAEL000118	992.1666	880.0947333	910.6014	896.3630333	971.1212667	907.7746333	1067.857533	887.4937	1211.057567	877.5830333	1022.539733	915.1865333
AAEL000119	172.0179333	206.2367667	194.2796667	198.9360333	191.0724333	185.3213333	212.9867667	139.5958333	250.3043667	187.7598667	148.3303333	192.5909333
AAEL000122	529.9619333	725.2494333	577.9487	613.4680667	570.1831	626.3307667	583.7328667	661.0208667	669.0529667	572.4407667	661.0869	630.6177333
AAEL000123	5670.390033	5149.823933	6777.279033	5292.244233	5640.067133	5377.907033	4865.7605	4906.8036	5888.0482	5604.212033	6476.818767	5355.001867
AAEL000124	1029.871	2598.057933	1241.5902	966.7774333	1410.702333	834.4471667	1638.989	2008.211767	2074.665567	1184.896433	1177.146333	1341.176133
AAEL000126	1929.1913	2236.985733	2056.568267	1827.089367	2266.322967	2436.014533	2154.064633	1984.669	2227.895267	1879.4226	1931.242433	2075.7865
AAEL000127	72.8734	70.2225	85.43563333	87.24423333	107.2901333	60.95193333	44.94686667	111.0818	77.3786	82.91426667	28.51096667	51.64776667
AAEL000128	2430.580333	2309.049067	2030.641067	2882.6497	2366.160933	2405.6095	2235.9773	2618.910233	2389.893967	2562.250333	2422.987367	2339.115667
AAEL000134	1957.9356	2045.367567	1841.412367	2051.654267	2028.3366	2274.584367	1944.2373	1789.089933	2011.2157	1955.315967	1777.453233	2018.6058
AAEL000137	1030.385233	936.6895667	826.6666333	831.8115667	865.3495667	894.0915667	956.0897667	921.0171	1156.803667	1082.375467	832.7926	904.8516333
AAEL000138	11125.14083	10351.1612	9912.3609	10945.68967	10294.02317	10953.88597	9969.206033	10662.12167	11527.5544	11216.2563	10312.64247	9716.3914
AAEL000139	79.6523	98.4894	208.1353333	56.65763333	63.355	64.4893	46.40306667	40.45043333	67.7105	42.4369	30.47353333	99.7373
AAEL000140	1335.2364	1602.399167	1380.8724	1536.758533	1419.103467	1366.6194	1363.356233	1459.462833	1185.8294	1603.043633	1387.2865	1508.3388
AAEL000143	704.1064333	708.6575667	614.0302	666.2694667	585.7349333	680.9157333	658.6491667	608.7035333	650.6653333	621.6781	683.4034333	592.3192333
AAEL000146	16.99973333	14.4602	19.62993333	14.28286667	12.5812	16.91283333	16.34163333	18.3966	15.22763333	16.18526667	14.93893333	13.9201
AAEL000147	2545.632667	2253.012367	2352.653367	2437.216867	2288.7288	2269.679867	2230.4451	2286.9159	2428.729867	2298.855133	2266.8866	2094.150833
AAEL000148	1046.272067	925.3313	919.3188333	864.7461667	987.3675667	972.8586	799.0146333	1169.888633	880.1706	906.7607333	538.7137	950.0081
AAEL000149	10996.9034	10442.65987	9571.262233	11299.99137	10249.34427	9398.1439	9381.205433	10141.54367	11209.56907	11739.5228	10644.63167	10298.94093
AAEL000151	32.28513333	36.49156667	46.7345	30.6367	29.91156667	30.34396667	30.26023333	28.65883333	54.36396667	46.65093333	39.63883333	29.9651
AAEL000152	2136.821333	2393.140633	2503.837567	2709.301333	2328.201533	2081.6411	2135.879367	2376.628633	2212.332767	2644.510833	1998.760133	1939.836167
AAEL000154	42.8696	55.31646667	47.36473333	49.01506667	47.04886667	36.5283	37.7485	35.32663333	45.2333	26.7415	45.1351	46.9116
AAEL000157	513.6987667	563.8614667	615.5632333	526.482	523.095	574.8250333	564.6622667	589.9159	392.9909333	557.9249333	525.0532667	584.6742333
AAEL000159	5146.3543	5046.6895	5052.512	4871.081567	4847.396133	4488.471733	5025.8905	5302.537767	5422.950867	4980.635367	5613.696533	5198.996433
AAEL000162	164.9508333	226.2962333	113.4175667	217.6834	205.5877333	189.0466	200.1898667	174.1871667	223.9669333	209.2648333	220.8991	272.8867667
AAEL000163	1628.050667	1691.8491	1862.3116	1780.0047	1942.141567	1799.4119	1715.4827	1970.062433	1758.3889	1942.559533	1877.8435	1828.319633
AAEL000164	798.4406333	557.9324	322.3671667	450.73	430.9520667	493.3971667	816.0202	287.9399	707.1956	269.4551	484.8928667	363.6189
AAEL000165	2006.7687	1991.2703	1687.894133	2366.995867	1824.5996	2198.0218	1408.586067	1683.802767	1411.556733	1521.202	1447.069367	2565.400667
AAEL000165	736.5896333	557.4544667	560.8927	966.2345333	610.6935	605.3065333	565.4738667	707.6457333	732.2015333	795.5982333	1027.153233	622.7351333
AAEL000166	10536.90893	4002.7132	7233.7234	3206.9606	10435.45947	5471.592967	3574.8036	6211.823633	1731.699467	3318.785567	7448.896833	2957.9802
AAEL000170	3854.7985	4205.568133	4123.7449	4375.632067	4168.584333	4522.679133	4307.902133	4148.3494	4182.2668	4374.791233	3815.3027	3801.478
AAEL000170	1839.792133	1240.8741	2092.067567	1867.283133	1848.696967	1635.990367	1713.021467	1741.0439	1594.895867	1732.9038	1870.899667	1800.412367
AAEL000172	5009.910133	4251.401467	4805.0707	4921.7073	4211.633867	4028.909	4192.9608	4448.025833	3009.526833	4002.692567	4560.4525	4632.441233
AAEL000173	1928.511133	1895.652667	2058.1595	1426.547167	2874.1755	1820.597567	1617.778833	1691.920367	1913.044933	1745.557967	1737.651533	1381.043633
AAEL000174	1700.735467	1535.179667	1659.482167	1561.5629	1372.6001	1389.013433	1407.1188	1488.3733	1729.2412	1322.634833	1748.2545	1660.1311
AAEL000175	9379.212867	9823.6621	9837.410267	10210.43707	9432.008067	10318.1282	9482.1787	10187.63783	9888.108433	9657.5874	9383.719633	9273.181
AAEL000176	4717.807667	4655.170967	4634.9481	5249.4869	4531.049367	4778.7488	4173.499467	5171.1594	5192.107367	5353.6148	4937.444033	4648.926067
AAEL000178	2531.734467	2824.418267	2205.925267	2552.975333	2564.588433	2138.063467	2493.718733	2291.011967	2741.610433	2293.227567	2524.354133	2402.1281
AAEL000179	9332.0657	10327.06727	10799.93197	9375.235667	9294.438133	10081.0683	9366.238867	9441.2034	8583.702567	6452.312867	8728.905667	10023.51583
AAEL000180	3820.4219	4092.6684	3802.8953	3049.241567	3989.447867	3953.2492	3623.4394	3724.617733	3836.3244	3583.381	3725.8382	3879.512
AAEL000181	2016.840933	2152.442933	2250.455167	2345.7151	2460.6648	2454.298067	2059.670833	2479.137767	2181.203767	2297.937767	2222.735533	2265.548
AAEL000182	10740.48953	11364.78703	12365.1502	11913.11357	12428.98243	11671.1783	13021.81753	10460.82447	10574.88193	12545.34237	10802.32313	12575.85023
AAEL000184	2138.527533	1991.874933	2104.3707	2202.282267	2016.091567	2141.946367	1745.186533	2176.7281	2073.614433	2057.3667	1668.9629	2038.808733
AAEL000185	7883.656267	8902.600967	8481.020867	8355.293	8923.197533	8544.9526	8244.297067	8427.821167	8678.4332	8608.1184	8774.726	8167.709467
AAEL000186	2734.550433	3341.8373	3132.7456	3069.218067	2971.2691	3119.120367	3303.7152	2975.197433	3215.788833	3023.9236	3021.6572	3261.8245
AAEL000187	1248.513833	1623.8227	1476.575067	1505.2737	1528.038433	1416.316867	1454.790833	1428.290767	1276.3237	1632.262133	1670.6369	1474.347567
AAEL000188	15.31653333	16.73216667	20.77273333	20.81523333	14.388	24.6851	14.12166667	25.85096667	10.91523333	10.0583	10.9835	14.9423
AAEL000191	4001.202067	4176.784667	3682.2145	3240.099833	4429.512433	4449.462867	3592.676833	3978.902333	3382.044933	3985.258967	3616.511567	3753.4303
AAEL000193	4644.297667	4835.544833	4380.3256	5289.300167	4754.307667	4838.499	5218.341467	4956.746067	4152.438533	4609.727967	3487.601967	5220.4686
AAEL000194	8564.1685	8329.686433	7439.652967	8191.1498	8573.964233	8664.131167	8575.4495	8506.8794	8244.6321	8739.8653	9067.2085	9218.9804
AAEL000195	380.5154333	439.3644	368.4265667	325.9598333	375.6924667	387.4145	281.5633667	341.2072333	510.7387667	279.0551333	253.3194667	290.1845667
AAEL000196	60.65203333	61.09953333	59.3592	57.671	57.26443333	62.48266667	68.15653333	97.76826667	58.6521	81.50666667	58.5494	113.2518
AAEL000199	1075.880533	1009.390567	858.9809	846.2668667	1078.147967	959.0966333	1016.3809	1006.509233	876.1028333	1284.688867	1091.738967	1130.208133
AAEL000200	4877.656667	3692.955167	3760.638067	4010.861133	4155.741567	4129.795333	3147.7301	3744.673867	3238.555733	4560.073367	3771.531	4147.224933
AAEL000201	363.2291	398.3754667	389.5676333	395.5697333	427.5598333	391.9295667	365.6234667	451.7166	376.9562	395.8952333	335.5951333	377.6035667
AAEL000203	15.21323333	16.10613333	13.37846667	18.03326667	13.53463333	12.97153333	13.15416667	10.56486667	13.55333333	11.23173333	13.99953333	13.08613333
AAEL000204	154.52	179.0231667	195.7872333	182.4101667	185.2978333	209.175	237.5980667	238.5648	222.3733667	229.5752	234.8423	247.2794
AAEL000204	63.15026667	36.39676667	43.17506667	52.8255	49.45243333	47.36586667	24.74076667	32.65063333	34.98086667	41.53113333	38.6107	58.24063333
AAEL000206	22.45973333	19.65883333	22.0695	34.4756	20.64286667	30.8429	29.81023333	24.6092	19.46103333	19.3518	40.63883333	17.44486667
AAEL000208	4748.751667	4593.7155	4494.165933	4733.7686	4893.341233	3855.0607	4547.083	5381.648933	5121.950767	4587.9449	4623.294133	3980.258433
AAEL000210	3561.154067	2981.962167	3770.158133	3567.850067	3903.2094	3790.625333	3803.136067	3491.768267	3965.3365	4010.262667	3454.764433	3461.728633
AAEL000211	19861.75	19805.89713	17643.22457	17236.297	19954.54243	20715.53017	20496.99557	17306.2275	19578.94327	17733.77077	18143.23287	21818.75793
AAEL000213	791.2702	1046.2888	617.9614333	467.0223667	947.4866	653.7141	955.4557333	647.5601667	843.2032333	615.0018	702.4475667	990.9753667
AAEL000214	1789.028667	1702.700233	1604.931767	1741.427	1675.618533	1673.713867	1936.381633	1839.987033	1770.2714	1955.0552	1721.100367	1969.0266
AAEL000215	634.2779	618.0371667	633.8885667	1285.533567	504.8022333	578.4472	643.0278	477.8526667	565.0775	561.7585667	667.7997333	674.6891667
AAEL000216	81.82953333	33.12026667	47.39933333	31.43183333	57.20976667	60.34223333	38.16563333	46.83883333	39.74113333	47.92406667	64.06613333	42.19433333
