ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000030751	0.00927328693176	0.211788211788	0.0412444935003044	24	8	6.3
ENSMUSG00000029446	0.126490835898	0.928071928072	0.134163240319231	24	4	9.7
ENSMUSG00000030967	0.00543298808951	0.135864135864	0.0369676940459121	24	2	259.4
ENSMUSG00000032112	0.034964025382	0.517482517483	0.0627410569859167	24	20	193.1
ENSMUSG00000079477	0.10913747635	0.896103896104	0.119372162322906	24	20	230.4
ENSMUSG00000020936	0.0152021548243	0.320679320679	0.0469277839768511	24	12	658.2
ENSMUSG00000071415	0.0449394914485	0.601398601399	0.0707148501973674	24	20	19.8
ENSMUSG00000028646	0.0535897217898	0.656343656344	0.0765117457536328	24	6	644.8
ENSMUSG00000055204	0.058614209437	0.683316683317	0.0805276357453037	24	16	454
ENSMUSG00000022193	0.0560531913986	0.675324675325	0.078249349286384	24	12	593.7
ENSMUSG00000008855	0.00370239984532	0.0999000999001	0.0345206784878492	24	18	105.1
ENSMUSG00000029234	0.00058504027399	0.020979020979	0.0268809617907462	24	10	37.8
ENSMUSG00000025261	0.0626836614271	0.71028971029	0.0835818090706378	24	22	220.4
ENSMUSG00000003346	0.0307620623285	0.476523476523	0.0596518435184494	24	20	184.9
ENSMUSG00000070733	0.0292907174735	0.470529470529	0.0583683415719809	24	6	74.1
ENSMUSG00000020794	0.0593022932511	0.695304695305	0.0808603173244105	24	16	339.5
ENSMUSG00000021266	0.0862235522694	0.813186813187	0.10110452530548	24	16	2352.5
ENSMUSG00000025156	0.0593022932511	0.695304695305	0.0808603173244105	24	4	170.9
ENSMUSG00000030751	0.0220178098119	0.398601398601	0.0525964876438005	24	0	543.3
ENSMUSG00000067851	0.0560629294766	0.675324675325	0.078249349286384	24	2	25.2
ENSMUSG00000029446	0.133144070779	0.942057942058	0.139344703192013	24	22	20.8
ENSMUSG00000026553	0.117950909329	0.916083916084	0.126509268091503	24	0	568.3
ENSMUSG00000022100	0.00430024604683	0.114885114885	0.0355250085257134	24	8	13.3
ENSMUSG00000028677	0.0366829096051	0.536463536464	0.0638907078250347	24	6	177.9
ENSMUSG00000037373	0.0328117890404	0.4995004995	0.0611210402432727	24	12	226.2
ENSMUSG00000027828	0.0952775852441	0.855144855145	0.107934676521351	24	2	63.1
ENSMUSG00000005442	0.247152624593	0.999000999001	0.247461192963639	24	22	36.4
ENSMUSG00000040688	0.0216239500599	0.390609390609	0.0523731217402211	24	12	81.7
ENSMUSG00000028759	0.000987669926593	0.032967032967	0.0283927795276128	24	14	106.5
ENSMUSG00000025261	0.00829492011724	0.190809190809	0.0397786599658191	24	4	568.4
ENSMUSG00000026553	0.0936453323283	0.838161838162	0.107312265886585	24	16	30.4
ENSMUSG00000018585	0.0181717876221	0.358641358641	0.0493877435086422	24	2	157.1
ENSMUSG00000026878	0.103675857428	0.877122877123	0.115246602437769	24	2	106.4
ENSMUSG00000020936	0.0148987093748	0.30969030969	0.0468325810061701	24	6	137.7
ENSMUSG00000067851	0.0278699286275	0.455544455544	0.0573417365056957	24	4	367.1
ENSMUSG00000014355	0.0181667181139	0.358641358641	0.0493877435086422	24	12	42.7
ENSMUSG00000025224	0.00328264158326	0.0929070929071	0.0337248371523806	24	22	8.6
ENSMUSG00000022100	0.00764532500484	0.176823176823	0.0390226848775869	24	6	276.6
ENSMUSG00000025224	0.0256562842013	0.433566433566	0.0559146679784554	24	2	22.4
ENSMUSG00000025261	0.000309240356197	0.00799200799201	0.0249175554284354	24	14	202.5
ENSMUSG00000025224	3.52941187505e-05	0.000999000999001	0.0245425719810932	24	14	180.6
ENSMUSG00000008855	0.00256061460622	0.0759240759241	0.0318553023427462	24	14	105.9
ENSMUSG00000022770	0.0376019529804	0.538461538462	0.0651888647383647	24	8	4.2
ENSMUSG00000034820	0.107416541852	0.889110889111	0.118253977160091	24	22	297.1
ENSMUSG00000022770	0.0455453342438	0.606393606394	0.0707440980655081	24	22	405.3
ENSMUSG00000028759	0.0593022932511	0.695304695305	0.0808603173244105	24	12	695.2
ENSMUSG00000025224	0.00143538830689	0.041958041958	0.0300041859856761	24	22	58.2
ENSMUSG00000005442	0.0278699286275	0.455544455544	0.0573417365056957	24	0	112.4
ENSMUSG00000071415	0.000227927033187	0.00599400599401	0.0245425719810932	24	20	78.8
ENSMUSG00000008855	0.0148936959956	0.30969030969	0.0468325810061701	24	16	245
ENSMUSG00000030058	0.0753015637788	0.773226773227	0.0928183190538007	24	2	438
