ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSPANG00000000040	0.152590458988028	1	0.303297787285766	20	9	1.10725859500871
ENSPANG00000000041	0.00180327581369248	0.0595081018518519	0.106588701913774	24	8	13.2946269454672
ENSPANG00000000053	0.545204700777617	1	0.565481249454835	22	13	0.362207491363489
ENSPANG00000000059	0.152590458988028	1	0.303297787285766	20	17	2.7600853380122
ENSPANG00000000060	0.0137707681978515	0.454435350529101	0.160034331821811	20	13	0.684514905169175
ENSPANG00000000062	0.115950877825878	1	0.275544800323357	22	16	4.5717755274225
ENSPANG00000000063	0.459023957331249	1	0.512976479837725	22	6	0.149712003740169
ENSPANG00000000071	0.115950877825878	1	0.275544800323357	24	20	0.998012518625175
ENSPANG00000000072	0.380704803491262	1	0.456670692501415	22	17	1.39955385476248
ENSPANG00000000085	0.115950877825878	1	0.275544800323357	20	0	28.0362665525964
ENSPANG00000000090	0.419864380411255	1	0.497919816224021	22	10	0.220113971259289
ENSPANG00000000093	0.380704803491262	1	0.456670692501415	20	0	0.742077932131009
ENSPANG00000000094	0.638361253908129	1	0.644809890196451	20	0	0.16190201224923
ENSPANG00000000102	0.115950877825878	1	0.275544800323357	24	14	2.44361808354696
ENSPANG00000000103	0.249579521237507	1	0.368862777561675	20	9	2.77099818440686
ENSPANG00000000112	0.00318164699241088	0.104994350749559	0.119863680571234	20	19	0.494603782544536
ENSPANG00000000116	0.419864380411255	1	0.497919816224021	24	22	0.0803843654979
ENSPANG00000000117	0.380704803491262	1	0.456670692501415	24	18	1.20987116649946
ENSPANG00000000122	0.0863171145983646	1	0.249932205131703	24	16	2.26945743915077
ENSPANG00000000123	0.459023957331249	1	0.512976479837725	22	20	0.527714301461322
ENSPANG00000000126	0.0628691469924109	1	0.228043196723682	20	10	0.996911501602795
ENSPANG00000000127	0.196949943382235	1	0.332167035019107	22	21	12.8264645462145
ENSPANG00000000131	0.0310502428384373	1	0.191086992598235	22	14	70.3674549871591
ENSPANG00000000132	0.196949943382235	1	0.332167035019107	22	5	17.2775299797159
ENSPANG00000000141	0.0447368985823847	1	0.208041099153196	20	15	3.75213945104197
ENSPANG00000000142	0.115950877825878	1	0.275544800323357	22	15	0.573281348218698
ENSPANG00000000147	0.0628691469924109	1	0.228043196723682	22	1	15.187502367852
ENSPANG00000000148	0.0447368985823847	1	0.208041099153196	20	9	0.134609823142426
ENSPANG00000000171	0.419864380411255	1	0.497919816224021	0	NA	0
ENSPANG00000000174	0.249579521237507	1	0.368862777561675	24	18	0.152911821085049
ENSPANG00000000175	0.0137707681978515	0.454435350529101	0.160034331821811	20	7	0.0777939964861825
ENSPANG00000000181	0.0863171145983646	1	0.249932205131703	20	5	1.22472971325141
ENSPANG00000000187	0.502114329054433	1	0.541756122140468	0	NA	0
ENSPANG00000000194	0.196949943382235	1	0.332167035019107	24	4	1.21009690491362
ENSPANG00000000195	0.152590458988028	1	0.303297787285766	22	17	20.4824100678895
ENSPANG00000000200	0.459023957331249	1	0.512976479837725	22	3	0.785960641946822
ENSPANG00000000205	0.0447368985823847	1	0.208041099153196	22	13	0.912949543309107
ENSPANG00000000206	0.502114329054433	1	0.541756122140468	0	NA	0
ENSPANG00000000209	0.310810013995778	1	0.409218122338875	20	17	0.265629395552417
ENSPANG00000000210	0.545204700777617	1	0.565481249454835	24	0	0.174291827748386
ENSPANG00000000217	0.152590458988028	1	0.303297787285766	22	2	4.1435404247695
ENSPANG00000000228	0.502114329054433	1	0.541756122140468	0	NA	0
ENSPANG00000000239	0.249579521237507	1	0.368862777561675	24	0	0.0170599736780275
ENSPANG00000000242	0.0863171145983646	1	0.249932205131703	22	15	8.89107338525366
ENSPANG00000000243	0.0628691469924109	1	0.228043196723682	24	18	0.969243336281253
ENSPANG00000000246	0.545204700777617	1	0.565481249454835	20	10	21.9487119573427
ENSPANG00000000247	0.249579521237507	1	0.368862777561675	24	14	0.359809858680367
ENSPANG00000000253	0.00318164699241088	0.104994350749559	0.119863680571234	24	2	0.586257945140424
ENSPANG00000000257	0.380704803491262	1	0.456670692501415	24	2	0.0873511306393013
ENSPANG00000000258	0.0209803516313933	0.692351603835979	0.174126397527296	22	17	3.34039348330296
ENSPANG00000000263	0.152590458988028	1	0.303297787285766	22	19	2.16194107340709
ENSPANG00000000264	0.459023957331249	1	0.512976479837725	22	9	0.200960358635289
ENSPANG00000000267	0.0628691469924109	1	0.228043196723682	22	2	4.1103685741912
ENSPANG00000000268	0.0137707681978515	0.454435350529101	0.160034331821811	20	2	1.89324937180116
ENSPANG00000000270	0.152590458988028	1	0.303297787285766	20	7	1.48726473243492
ENSPANG00000000271	0.152590458988028	1	0.303297787285766	24	22	0.710741851227404
ENSPANG00000000274	0.00318164699241088	0.104994350749559	0.119863680571234	24	20	0.980124044819035
ENSPANG00000000275	0.0209803516313933	0.692351603835979	0.174126397527296	24	0	1.31202937128099
ENSPANG00000000277	0.840588369642189	1	0.840588369642189	0	NA	0
ENSPANG00000000279	0.310810013995778	1	0.409218122338875	24	14	0.356968807805629
ENSPANG00000000280	0.249579521237507	1	0.368862777561675	20	0	3.69180556023123
ENSPANG00000000281	0.380704803491262	1	0.456670692501415	20	19	2.51323771977603
ENSPANG00000000282	0.115950877825878	1	0.275544800323357	24	2	5.02301010262465
ENSPANG00000000283	0.0628691469924109	1	0.228043196723682	20	5	4.0612863675916
ENSPANG00000000284	0.00318164699241088	0.104994350749559	0.119863680571234	20	10	3.04719567057815
ENSPANG00000000290	0.249579521237507	1	0.368862777561675	20	7	0.233258615763956
ENSPANG00000000291	0.310810013995778	1	0.409218122338875	24	18	17.8674774371802
ENSPANG00000000294	0.00428097734955374	0.141272252535273	0.130751011995246	24	2	0.236582689787735
ENSPANG00000000295	0.249579521237507	1	0.368862777561675	22	11	0.423290163919347
ENSPANG00000000300	0.249579521237507	1	0.368862777561675	24	22	0.653365263599696
ENSPANG00000000301	0.00097448108732831	0.0321578758818342	0.0906418493554449	20	13	0.344689682824545
ENSPANG00000000304	0.0628691469924109	1	0.228043196723682	24	22	0.549835985502877
ENSPANG00000000305	0.0863171145983646	1	0.249932205131703	20	17	0.61307980393714
ENSPANG00000000309	0.101133996212121	1	0.275544800323357	20	5	0.166638590275855
ENSPANG00000000312	0.310810013995778	1	0.409218122338875	22	13	4.41160650706955
ENSPANG00000000313	0.0628691469924109	1	0.228043196723682	20	13	1.3537815109411
ENSPANG00000000314	0.502114329054433	1	0.541756122140468	24	18	0.298403955576296
ENSPANG00000000315	0.0863171145983646	1	0.249932205131703	24	12	0.813525126823369
ENSPANG00000000318	0.591782977342873	1	0.610047805591798	0	NA	0
ENSPANG00000000320	0.0628691469924109	1	0.228043196723682	24	16	0.566919621823161
ENSPANG00000000321	0.545204700777617	1	0.565481249454835	0	NA	0
ENSPANG00000000325	0.0137707681978515	0.454435350529101	0.160034331821811	20	5	7.42579249609379
ENSPANG00000000337	0.0628691469924109	1	0.228043196723682	20	10	0.0862666191864884
ENSPANG00000000339	0.00428097734955374	0.141272252535273	0.130751011995246	24	20	0.415381141555215
ENSPANG00000000341	0.00318164699241088	0.104994350749559	0.119863680571234	24	7	0.474668197662178
ENSPANG00000000344	0.0447368985823847	1	0.208041099153196	24	18	2.43290052639606
ENSPANG00000000345	0.152590458988028	1	0.303297787285766	22	16	1.83691001272099
ENSPANG00000000346	0.152590458988028	1	0.303297787285766	20	7	6.60544948115215
ENSPANG00000000347	0.0538030227873978	1	0.228043196723682	24	14	0.35631163575598
ENSPANG00000000348	0.134270668406953	1	0.303297787285766	22	17	0.0752285234625611
ENSPANG00000000351	0.310810013995778	1	0.409218122338875	22	18	27.7032373064674
ENSPANG00000000352	0.249579521237507	1	0.368862777561675	22	18	0.895683666900396
ENSPANG00000000354	0.502114329054433	1	0.541756122140468	0	NA	0
ENSPANG00000000355	0.310810013995778	1	0.409218122338875	24	2	0.711820666192755
ENSPANG00000000357	0.115950877825878	1	0.275544800323357	22	0	0.76097313882055
ENSPANG00000000360	0.00318164699241088	0.104994350749559	0.119863680571234	24	11	8.04997992101742
ENSPANG00000000361	0.152590458988028	1	0.303297787285766	24	2	0.64935093703081
ENSPANG00000000363	0.115950877825878	1	0.275544800323357	22	7	0.505753552666276
