mouse_ID	rat_ID	orthotype	OMAgroup
ENSMUSG00000040653	ENSRNOG00000016368	1:1	308507
ENSMUSG00000019762	ENSRNOG00000016286	1:1	538990
ENSMUSG00000040624	ENSRNOG00000016011	1:1	817668
ENSMUSG00000040675	ENSRNOG00000019582	1:1	850734
ENSMUSG00000038587	ENSRNOG00000019549	1:1	552092
ENSMUSG00000075327	ENSRNOG00000019544	1:1	823475
ENSMUSG00000019763	ENSRNOG00000019501	1:1	803230
ENSMUSG00000061759	ENSRNOG00000019489	1:1	
ENSMUSG00000019767	ENSRNOG00000024280	1:1	792965
ENSMUSG00000019768	ENSRNOG00000019358	1:1	730613
ENSMUSG00000046916	ENSRNOG00000018858	1:1	773353
ENSMUSG00000019772	ENSRNOG00000018808	1:1	796737
ENSMUSG00000019773	ENSRNOG00000024077	1:1	831160
ENSMUSG00000019774	ENSRNOG00000018773	1:1	847660
ENSMUSG00000019775	ENSRNOG00000018690	1:1	699382
ENSMUSG00000000766	ENSRNOG00000018191	1:1	657334
ENSMUSG00000064065	ENSRNOG00000018163	1:1	784728
ENSMUSG00000015202	ENSRNOG00000018052	1:1	666196
ENSMUSG00000019795	ENSRNOG00000014330	1:1	803623
ENSMUSG00000040034	ENSRNOG00000049505	1:1	817225
ENSMUSG00000040021	ENSRNOG00000014916	1:1	550502
ENSMUSG00000019794	ENSRNOG00000014996	1:1	848784
ENSMUSG00000040006	ENSRNOG00000015239	1:1	794540
ENSMUSG00000015757	ENSRNOG00000015552	1:1	547377
ENSMUSG00000039981	ENSRNOG00000016041	1:1	751509
ENSMUSG00000015755	ENSRNOG00000016054	1:1	838621
ENSMUSG00000047712	ENSRNOG00000016381	1:1	782518
ENSMUSG00000015305	ENSRNOG00000013160	1:1	810027
ENSMUSG00000060487	ENSRNOG00000023549	1:1	834173
ENSMUSG00000019790	ENSRNOG00000013351	1:1	789818
ENSMUSG00000019832	ENSRNOG00000014258	1:1	522153
ENSMUSG00000019828	ENSRNOG00000014290	1:1	641438
ENSMUSG00000090112	ENSRNOG00000014450	1:1	852040
ENSMUSG00000047648	ENSRNOG00000014852	1:1	824523
ENSMUSG00000055493	ENSRNOG00000040242	1:1	730387
ENSMUSG00000019820	ENSRNOG00000011058	1:1	549506
ENSMUSG00000039232	ENSRNOG00000014902	1:1	795554
ENSMUSG00000078348	ENSRNOG00000014908	1:1	793617
ENSMUSG00000019815	ENSRNOG00000042705	1:1	741313
ENSMUSG00000019814	ENSRNOG00000015217	1:1	843096
ENSMUSG00000062866	ENSRNOG00000015473	1:1	843634
ENSMUSG00000019810	ENSRNOG00000015551	1:1	755963
ENSMUSG00000019809	ENSRNOG00000015660	1:1	495780
ENSMUSG00000019808	ENSRNOG00000046983	1:1	722333
ENSMUSG00000019806	ENSRNOG00000010753	1:1	739631
ENSMUSG00000015501	ENSRNOG00000011015	1:1	841924
ENSMUSG00000039116	ENSRNOG00000011411	1:1	266303
ENSMUSG00000019868	ENSRNOG00000011540	1:1	547797
ENSMUSG00000019865	ENSRNOG00000012103	1:1	657293
ENSMUSG00000019867	ENSRNOG00000012092	1:1	259783
ENSMUSG00000039910	ENSRNOG00000056940	1:1	774897
ENSMUSG00000039891	ENSRNOG00000060021	1:1	553920
