drosophila_ID	anopheles_ID	orthotype	OMAgroup
FBgn0002121	AGAP004483	1:1	839243
FBgn0031213	AGAP008844	1:1	
FBgn0002931	AGAP009983	1:1	743570
FBgn0031216	AGAP010192	1:1	685646
FBgn0031217	AGAP007968	1:1	850412
FBgn0026787	AGAP009446	1:1	547220
FBgn0005278	AGAP009447	1:1	859297
FBgn0031228	AGAP009824	1:1	700170
FBgn0025683	AGAP009850	1:1	548805
FBgn0001142	AGAP008988	1:1	791568
FBgn0051975	AGAP008987	n:1	
FBgn0051974	AGAP008987	n:1	723261
FBgn0031227	AGAP012003	1:1	850196
FBgn0031229	AGAP009506	1:1	547093
FBgn0053635	AGAP009524	1:1	842632
FBgn0016977	AGAP009990	1:1	556191
FBgn0031231	AGAP009988	1:1	852200
FBgn0031233	AGAP007911	1:1	
FBgn0022246	AGAP008481	1:1	817283
FBgn0031238	AGAP008484	1:1	
FBgn0031239	AGAP008486	1:1	738466
FBgn0003444	AGAP008625	1:1	775650
FBgn0031245	AGAP008626	1:1	739631
FBgn0025686	AGAP012405	1:1	773013
FBgn0017457	AGAP002956	1:1	547209
FBgn0024352	AGAP010188	1:1	
FBgn0004611	AGAP009115	1:1	767390
FBgn0053127	AGAP001251	1:1	
FBgn0031250	AGAP009114	1:1	712028
FBgn0000061	AGAP007985	1:1	557799
FBgn0031251	AGAP007857	1:1	714556
FBgn0003278	AGAP009539	1:1	864215
FBgn0264855	AGAP009538	1:1	515687
FBgn0263933	AGAP007739	1:1	547612
FBgn0031252	AGAP007741	1:1	854768
FBgn0002593	AGAP007740	1:1	852398
FBgn0031254	AGAP002471	1:1	775036
FBgn0031255	AGAP009125	1:1	547527
FBgn0004583	AGAP009126	1:1	554131
FBgn0015924	AAA93303.1	1:1	749613
FBgn0031256	AGAP008327	1:1	547239
FBgn0027592	AGAP009886	1:1	845607
FBgn0003963	AGAP009066	1:1	802327
FBgn0010602	AGAP011076	1:1	546980
FBgn0031260	AGAP008838	1:1	696131
FBgn0031261	AAU12513.1	1:1	
FBgn0260933	AGAP000686	1:1	657213
FBgn0031263	AGAP000426	1:1	852152
FBgn0021874	AGAP002221	1:1	546983
FBgn0031266	AGAP000178	1:1	530088
FBgn0031267	AGAP012099	1:1	
FBgn0031268	AGAP000021	1:1	766820
FBgn0000497	AGAP007905	1:1	551282
FBgn0026438	AGAP007903	1:1	507676
FBgn0031275	AGAP009514	1:1	641449
FBgn0041250	ABK97612.1	1:1	269036
FBgn0000442	AGAP009798	1:1	
FBgn0086130	AGAP012856	1:1	
FBgn0031281	AGAP008266	1:1	728970
FBgn0031282	AGAP010497	1:1	736694
FBgn0031284	AGAP007869	1:1	714255
FBgn0031285	AGAP009156	1:1	709730
FBgn0031286	AGAP007506	1:1	548156
FBgn0010583	AGAP010135	1:1	833508
FBgn0020304	AGAP010189	1:1	556399
FBgn0031287	AGAP010339	1:1	742344
FBgn0020545	AGAP010246	1:1	547558
FBgn0020305	AGAP007912	1:1	811006
FBgn0053526	AGAP008794	1:1	693254
FBgn0002936	AGAP009991	1:1	552062
FBgn0002563	AGAP001345	n:m	773922
FBgn0002563	AGAP001657	n:m	
FBgn0002563	AGAP001659	n:m	
FBgn0028481	AGAP009112	1:1	549747
FBgn0031294	AGAP008127	1:1	728859
FBgn0015905	AGAP009607	1:1	498456
FBgn0031298	AGAP008497	1:1	833911
FBgn0031299	AGAP007863	1:1	563816
FBgn0016926	AGAP007751	1:1	743616
FBgn0031304	AGAP007749	1:1	803154
FBgn0031307	AGAP009649	1:1	548898
FBgn0031308	AGAP008523	1:1	684121
FBgn0031309	AGAP008522	1:1	844937
FBgn0031310	AGAP002338	1:1	831636
FBgn0031312	AGAP000402	1:1	
FBgn0031313	AGAP007777	1:1	773327
FBgn0031314	AGAP007540	1:1	783092
FBgn0031315	AGAP007862	1:1	
FBgn0024314	AGAP008620	1:1	
FBgn0051922	AGAP010248	1:1	794899
FBgn0031318	AGAP008577	n:1	844459
FBgn0031319	AGAP008577	n:1	
FBgn0031320	AGAP002008	1:m	723265
FBgn0031320	AGAP003236	1:m	
FBgn0031321	AGAP003622	1:1	859725
FBgn0031322	AGAP010239	1:1	
FBgn0259229	AGAP003499	n:m	
FBgn0259229	AGAP000535	n:m	
FBgn0041097	AGAP010242	1:1	553619
FBgn0026141	AGAP001335	n:1	
FBgn0031344	AGAP008272	1:1	547637
FBgn0026398	AGAP004355	1:1	
FBgn0261509	AGAP007846	1:1	831903
