ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSPANG00000000040	0.00375346929819107	0.484470449065017	0.0197448525156987	20	2	NA
ENSPANG00000000041	0.0226358173943805	0.993333888577876	0.0436939964037825	24	22	NA
ENSPANG00000000053	0.0845070178017905	0.993593264805619	0.102743648822172	20	18	NA
ENSPANG00000000059	0.00380406720568909	0.230859011771589	0.0197448525156987	24	6	NA
ENSPANG00000000060	0.134832679633058	0.90388149296683	0.151334561641646	24	10	NA
ENSPANG00000000062	0.0082922583014229	0.685679597191908	0.0260319529643581	20	16	NA
ENSPANG00000000063	0.00414556015670872	0.492630020057413	0.0197448525156987	24	20	NA
ENSPANG00000000071	0.0220323530196705	0.993232632136334	0.0436939964037825	20	20	NA
ENSPANG00000000072	0.0018511583976225	0.0796335511117405	0.0152571433559547	20	2	NA
ENSPANG00000000085	0.0381125005581066	0.972957893519522	0.0587437078144989	24	14	NA
ENSPANG00000000090	0.00666611142212438	0.32417724196952	0.0254407989921104	24	16	NA
ENSPANG00000000093	0.0214410354269432	0.992073500358948	0.0436939964037825	26	26	NA
ENSPANG00000000094	0.0149135150185756	0.997874281602101	0.0344938902574047	24	20	NA
ENSPANG00000000102	0.0926400761772615	0.94403211830678	0.108726749759211	24	16	NA
ENSPANG00000000103	0.124840178876609	0.910451570281941	0.141788242915261	22	2	NA
ENSPANG00000000107	0.98632829609722	1	0.99222547214641	20	20	NA
ENSPANG00000000112	0.00776426868159459	0.999936441959086	0.0260319529643581	20	8	NA
ENSPANG00000000116	0.0210240120665089	0.899361214123835	0.0436939964037825	24	24	NA
ENSPANG00000000117	0.103484200173891	0.921479687350178	0.119298913744144	20	4	NA
ENSPANG00000000122	0.063400049582063	0.956202110351779	0.0812506958495014	20	6	NA
ENSPANG00000000123	0.063400049582063	0.969119736279802	0.0812506958495014	20	6	NA
ENSPANG00000000126	0.0333487215842898	0.987543059756939	0.0554405092065375	22	22	NA
ENSPANG00000000127	0.00414556015670872	0.398058821163604	0.0197448525156987	24	10	NA
ENSPANG00000000131	0.0381125005581066	0.984518659383467	0.0587437078144989	24	18	NA
ENSPANG00000000132	0.0126861500259305	0.766324459313825	0.0331279486067536	24	12	NA
ENSPANG00000000141	0.0381125005581066	0.971353126988662	0.0587437078144989	24	20	NA
ENSPANG00000000142	0.0495096706303203	0.976008579505844	0.0691770137761317	24	14	NA
ENSPANG00000000147	0.0381125005581066	0.987313849974069	0.0587437078144989	24	22	NA
