ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSMUSG00000000001	0.0610119047619048	0.732142857142857	0.142754158292563	24	22	112.217531374973
ENSMUSG00000000028	0.178869047619048	1	0.235625159536573	24	16	20.8207728089616
ENSMUSG00000000037	0.178869047619048	1	0.235625159536573	18	13	3.47975813707469
ENSMUSG00000000049	0.0610119047619048	0.732142857142857	0.142754158292563	24	13	2.14631915991719
ENSMUSG00000000056	0.000396825396825397	0.00476190476190476	0.0946525478292862	30	19	105.45390793982
ENSMUSG00000000058	0.00173611111111111	0.0208333333333333	0.0946525478292862	24	19	439.937359507488
ENSMUSG00000000078	0.275099206349206	1	0.315337540555533	30	13	401.545306696752
ENSMUSG00000000085	0.108680555555556	1	0.180969391911633	30	7	25.8787984439218
ENSMUSG00000000088	0.275099206349206	1	0.315337540555533	24	4	909.176525017726
ENSMUSG00000000093	0.0610119047619048	0.732142857142857	0.142754158292563	18	16	32.2334116037567
ENSMUSG00000000094	0.108680555555556	1	0.180969391911633	18	13	5.93344924514065
ENSMUSG00000000103	0.47358630952381	1	0.482823441876751	0	NA	0
ENSMUSG00000000120	0.398759920634921	1	0.428926771624353	18	7	20.8616409989737
ENSMUSG00000000125	0.47358630952381	1	0.482823441876751	0	NA	0
ENSMUSG00000000126	0.178869047619048	1	0.235625159536573	30	10	22.7003858796624
ENSMUSG00000000127	0.178869047619048	1	0.235625159536573	30	10	45.0905420936572
ENSMUSG00000000131	0.0610119047619048	0.732142857142857	0.142754158292563	18	1	70.1869600752092
ENSMUSG00000000134	0.00550595238095238	0.0660714285714286	0.0998408655863226	30	13	73.859347667466
ENSMUSG00000000142	0.108680555555556	1	0.180969391911633	30	10	58.4159456846457
ENSMUSG00000000148	0.108680555555556	1	0.180969391911633	30	4	48.9842940834315
ENSMUSG00000000149	0.0610119047619048	0.732142857142857	0.142754158292563	30	16	170.620471957369
ENSMUSG00000000154	0.548412698412698	1	0.549882167917001	18	4	5.17053012114899
