ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSPANG00000000040	0.0274269731762	0.551448551449	0.0511501439833921	24	2	9.18394038672
ENSPANG00000000041	0.0657010261041	0.845154845155	0.0765487303807839	24	22	17.7269474836
ENSPANG00000000053	0.0274269731762	0.551448551449	0.0511501439833921	24	18	2.11105917363
ENSPANG00000000059	0.00986438530634	0.283716283716	0.0365531115792279	24	8	20.818015896
ENSPANG00000000060	0.0274269731762	0.551448551449	0.0511501439833921	24	2	12.0544888709
ENSPANG00000000062	0.037302414642	0.648351648352	0.055125884952038	24	22	64.4752460911
ENSPANG00000000063	0.022543472149	0.446553446553	0.0498065588557756	24	6	0.475576716845
ENSPANG00000000071	0.136285565796	0.99000999001	0.137666557900907	24	12	253.273153611
ENSPANG00000000072	0.0851172157144	0.913086913087	0.0922383780735256	24	2	55.6999847483
ENSPANG00000000085	0.00678191623973	0.208791208791	0.0339160411918931	24	14	61.1428565585
ENSPANG00000000090	0.0141061530844	0.361638361638	0.0400394601109826	24	10	3.54669968369
ENSPANG00000000093	0.0047035908141	0.157842157842	0.0327298021283331	24	14	0.23047363814
ENSPANG00000000094	0.0657010261041	0.845154845155	0.0765487303807839	24	8	24.1469013495
ENSPANG00000000102	0.108544481499	0.965034965035	0.112361069688804	24	8	13.9262526993
ENSPANG00000000103	0.0141061530844	0.361638361638	0.0400394601109826	24	4	17.6624905708
ENSPANG00000000112	0.00678191623973	0.208791208791	0.0339160411918931	24	8	3.1958667206
ENSPANG00000000116	0.0323268404993	0.551448551449	0.055125884952038	24	22	0.195552734879
ENSPANG00000000117	0.0185607653388	0.361638361638	0.044834293083558	24	2	0.251120690236
ENSPANG00000000122	0.0274269731762	0.551448551449	0.0511501439833921	24	16	12.240545928
ENSPANG00000000123	0.0147861042441	0.361638361638	0.0417475190278206	24	18	0.390202918674
ENSPANG00000000126	0.0198346309137	0.446553446553	0.044834293083558	24	14	3.87765490897
ENSPANG00000000127	0.00198807980606	0.0769230769231	0.0291069766914358	24	16	174.538417884
ENSPANG00000000131	0.0141061530844	0.361638361638	0.0400394601109826	24	0	547.04860884
ENSPANG00000000132	0.0851172157144	0.913086913087	0.0922383780735256	24	2	24.2048587828
ENSPANG00000000141	0.0141061530844	0.361638361638	0.0400394601109826	24	14	10.6332136793
ENSPANG00000000142	0.0274269731762	0.551448551449	0.0511501439833921	24	14	3.85577227605
ENSPANG00000000147	0.0499085355115	0.751248751249	0.0652758470893818	24	18	37.2933577583
ENSPANG00000000148	0.0572984198428	0.751248751249	0.0728275308048758	24	14	0.328135386425
ENSPANG00000000165	0.0772328876976	0.845154845155	0.0887762523394307	24	2	0.282837161703
ENSPANG00000000171	0.0104508194419	0.283716283716	0.03791009479955	24	6	0.146017517689
ENSPANG00000000174	0.0323268404993	0.551448551449	0.055125884952038	24	16	0.104442162923
ENSPANG00000000175	0.037302414642	0.648351648352	0.055125884952038	24	22	0.345614810194
ENSPANG00000000180	0.0150447290245	0.361638361638	0.0421828223409679	24	0	1.94317674148
ENSPANG00000000181	0.0851172157144	0.913086913087	0.0922383780735256	24	0	15.2137146375
