zebrafish_ID	baboon_ID	orthotype	OMAgroup
ENSDARG00000032353	ENSPANG00000026389	1:1	849999
ENSDARG00000036359	ENSPANG00000009187	1:1	760828
ENSDARG00000039934	ENSPANG00000011262	1:1	
ENSDARG00000063570	ENSPANG00000009693	n:1	
ENSDARG00000086075	ENSPANG00000024566	1:m	753203
ENSDARG00000086075	ENSPANG00000016115	1:m	
ENSDARG00000038805	ENSPANG00000019363	1:1	807863
ENSDARG00000058985	ENSPANG00000004683	n:m	
ENSDARG00000058985	ENSPANG00000009021	n:m	824421
ENSDARG00000058988	ENSPANG00000021162	1:1	824405
ENSDARG00000077304	ENSPANG00000019227	1:1	693586
ENSDARG00000103980	ENSPANG00000024567	1:1	693587
ENSDARG00000040620	ENSPANG00000021503	1:1	836642
ENSDARG00000059048	ENSPANG00000018323	1:1	
ENSDARG00000040621	ENSPANG00000015382	1:1	552301
ENSDARG00000059059	ENSPANG00000007638	1:1	549617
ENSDARG00000087910	ENSPANG00000021672	1:1	555581
ENSDARG00000042872	ENSPANG00000005862	1:1	
ENSDARG00000075226	ENSPANG00000024703	n:1	850921
ENSDARG00000014550	ENSPANG00000025143	1:1	782552
ENSDARG00000102742	ENSPANG00000008235	1:1	548614
ENSDARG00000027600	ENSPANG00000004585	n:1	
ENSDARG00000039959	ENSPANG00000010790	1:1	831251
ENSDARG00000001777	ENSPANG00000004003	1:1	792887
ENSDARG00000014963	ENSPANG00000026352	1:1	783967
ENSDARG00000008097	ENSPANG00000016072	1:1	549246
ENSDARG00000040087	ENSPANG00000007935	1:1	809655
ENSDARG00000058868	ENSPANG00000003997	1:1	797207
ENSDARG00000031749	ENSPANG00000004021	1:1	
ENSDARG00000067824	ENSPANG00000024642	1:m	
ENSDARG00000067824	ENSPANG00000006309	1:m	
ENSDARG00000058949	ENSPANG00000024896	1:1	792428
ENSDARG00000003934	ENSPANG00000024876	1:1	494805
ENSDARG00000038315	ENSPANG00000017416	1:1	713119
ENSDARG00000074456	ENSPANG00000019518	1:1	776340
ENSDARG00000006253	ENSPANG00000009304	n:1	838779
ENSDARG00000060392	ENSPANG00000001037	1:1	811792
ENSDARG00000038308	ENSPANG00000023969	1:1	778467
ENSDARG00000020913	ENSPANG00000002446	1:1	547019
ENSDARG00000038302	ENSPANG00000018828	1:1	
ENSDARG00000005108	ENSPANG00000025612	n:1	808238
ENSDARG00000025076	ENSPANG00000003863	n:1	784715
ENSDARG00000077086	ENSPANG00000021025	n:1	
ENSDARG00000019188	ENSPANG00000019237	n:1	
ENSDARG00000100497	ENSPANG00000024301	1:1	
ENSDARG00000076724	ENSPANG00000026010	1:1	806027
ENSDARG00000076381	ENSPANG00000003896	n:1	497999
ENSDARG00000021564	ENSPANG00000023234	n:1	
ENSDARG00000008560	ENSPANG00000010016	1:1	840773
ENSDARG00000075446	ENSPANG00000010015	1:1	496695
ENSDARG00000009864	ENSPANG00000007905	1:1	547029
ENSDARG00000026908	ENSPANG00000004344	1:1	498652
ENSDARG00000020334	ENSPANG00000017824	1:1	
ENSDARG00000008948	ENSPANG00000024406	1:1	832010
ENSDARG00000036005	ENSPANG00000011267	1:1	807163
ENSDARG00000075802	ENSPANG00000025672	1:1	770502
ENSDARG00000090752	ENSPANG00000018861	1:1	552683
ENSDARG00000100642	ENSPANG00000025678	1:1	495342
ENSDARG00000075229	ENSPANG00000025766	1:1	553153
ENSDARG00000069601	ENSPANG00000025767	1:1	808962
ENSDARG00000079815	ENSPANG00000012368	1:1	850247
ENSDARG00000086996	ENSPANG00000015780	1:1	
ENSDARG00000059246	ENSPANG00000011785	1:1	549239
ENSDARG00000003429	ENSPANG00000004761	1:1	
ENSDARG00000026198	ENSPANG00000024164	1:1	813240
ENSDARG00000069590	ENSPANG00000012556	1:m	265625
ENSDARG00000069590	ENSPANG00000003018	1:m	
ENSDARG00000021082	ENSPANG00000017184	1:1	809150
ENSDARG00000094577	ENSPANG00000006469	1:1	
ENSDARG00000042995	ENSPANG00000024808	1:1	805414
ENSDARG00000076227	ENSPANG00000024806	1:1	552584
ENSDARG00000042977	ENSPANG00000006675	1:1	816537
ENSDARG00000042975	ENSPANG00000024805	1:1	
ENSDARG00000008186	ENSPANG00000024803	1:1	552299
ENSDARG00000086902	ENSPANG00000003753	1:1	522182
ENSDARG00000103600	ENSPANG00000013345	1:1	824207
ENSDARG00000100170	ENSPANG00000010566	1:1	852085
ENSDARG00000104693	ENSPANG00000004115	1:1	775956
ENSDARG00000099182	ENSPANG00000011630	1:1	811029
ENSDARG00000098405	ENSPANG00000018805	1:1	762655
ENSDARG00000103025	ENSPANG00000017935	1:1	783620
ENSDARG00000100729	ENSPANG00000025430	1:1	551730
ENSDARG00000100633	ENSPANG00000008739	1:1	840753
ENSDARG00000104242	ENSPANG00000007042	1:1	829165
ENSDARG00000100742	ENSPANG00000003025	1:1	775449
ENSDARG00000103787	ENSPANG00000006387	1:1	547319
ENSDARG00000093498	ENSPANG00000019388	1:1	795718
ENSDARG00000014373	ENSPANG00000010945	1:1	551587
ENSDARG00000032769	ENSPANG00000004000	1:1	548359
ENSDARG00000041378	ENSPANG00000018168	1:1	501768
ENSDARG00000100322	ENSPANG00000016988	1:1	832925
ENSDARG00000104314	ENSPANG00000016903	1:1	828205
ENSDARG00000099187	ENSPANG00000010197	1:1	755677
ENSDARG00000099241	ENSPANG00000021949	1:1	547983
ENSDARG00000098902	ENSPANG00000011717	1:1	
ENSDARG00000103824	ENSPANG00000012466	1:1	851448
ENSDARG00000103052	ENSPANG00000018472	1:1	689225
ENSDARG00000020948	ENSPANG00000007995	1:m	831247
ENSDARG00000020948	ENSPANG00000009340	1:m	
ENSDARG00000067805	ENSPANG00000020859	1:1	807371
ENSDARG00000053527	ENSPANG00000007041	1:1	831579
ENSDARG00000003259	ENSPANG00000025086	1:1	550691
ENSDARG00000019521	ENSPANG00000022271	1:m	551154
ENSDARG00000019521	ENSPANG00000022275	1:m	
ENSDARG00000040334	ENSPANG00000024065	n:1	
ENSDARG00000009459	ENSPANG00000021969	1:1	
ENSDARG00000020258	ENSPANG00000026055	1:1	558831
ENSDARG00000035538	ENSPANG00000011005	n:1	
ENSDARG00000003157	ENSPANG00000010761	1:1	826582
ENSDARG00000053446	ENSPANG00000000672	1:m	
ENSDARG00000053446	ENSPANG00000002644	1:m	530102
ENSDARG00000089569	ENSPANG00000019094	1:1	552911
ENSDARG00000040326	ENSPANG00000013603	1:1	846769
ENSDARG00000013457	ENSPANG00000009697	1:1	845982
ENSDARG00000053381	ENSPANG00000021430	1:1	495339
ENSDARG00000040535	ENSPANG00000008981	1:1	262931
ENSDARG00000040338	ENSPANG00000019803	1:1	792231
ENSDARG00000078447	ENSPANG00000004796	1:1	764690
ENSDARG00000074732	ENSPANG00000017403	n:1	
ENSDARG00000088503	ENSPANG00000017403	n:1	
ENSDARG00000060096	ENSPANG00000016350	1:1	548327
ENSDARG00000036670	ENSPANG00000014067	1:1	788586
ENSDARG00000098967	ENSPANG00000025838	1:1	849908
ENSDARG00000044225	ENSPANG00000014158	n:1	
ENSDARG00000074316	ENSPANG00000009352	1:1	266346
ENSDARG00000086838	ENSPANG00000004376	n:1	
ENSDARG00000062974	ENSPANG00000004376	n:1	266350
ENSDARG00000077202	ENSPANG00000016768	1:m	
ENSDARG00000077202	ENSPANG00000024798	1:m	810156
ENSDARG00000057995	ENSPANG00000001779	1:1	775055
ENSDARG00000063011	ENSPANG00000005128	n:1	
ENSDARG00000044254	ENSPANG00000015227	n:1	547928
ENSDARG00000034174	ENSPANG00000025844	1:1	863291
ENSDARG00000044255	ENSPANG00000025845	1:1	548148
ENSDARG00000006896	ENSPANG00000025837	1:1	552912
ENSDARG00000033610	ENSPANG00000025836	1:1	752856
ENSDARG00000058041	ENSPANG00000025826	1:1	803884
ENSDARG00000063050	ENSPANG00000025840	1:1	799061
ENSDARG00000021455	ENSPANG00000025850	1:1	267465
ENSDARG00000028099	ENSPANG00000024834	1:1	852290
ENSDARG00000079049	ENSPANG00000025881	1:1	852068
ENSDARG00000058102	ENSPANG00000026043	1:1	852571
ENSDARG00000069446	ENSPANG00000026044	1:1	738337
ENSDARG00000073914	ENSPANG00000026045	1:1	
ENSDARG00000017047	ENSPANG00000025877	1:1	
ENSDARG00000069439	ENSPANG00000026267	n:1	
ENSDARG00000004296	ENSPANG00000025788	1:1	764773
ENSDARG00000091419	ENSPANG00000004502	n:1	558213
