mouse_ID	human_ID
ENSMUSG00000064372	
ENSMUSG00000064371	
ENSMUSG00000064370	MT-CYB
ENSMUSG00000064369	
ENSMUSG00000064368	MT-ND6
ENSMUSG00000064367	MT-ND5
ENSMUSG00000064366	
ENSMUSG00000064365	
ENSMUSG00000064364	
ENSMUSG00000064363	MT-ND4
ENSMUSG00000065947	MT-ND4L
ENSMUSG00000064361	
ENSMUSG00000064360	MT-ND3
ENSMUSG00000064359	
ENSMUSG00000064358	MT-CO3
ENSMUSG00000064357	MT-ATP6
ENSMUSG00000064356	MT-ATP8
ENSMUSG00000064355	
ENSMUSG00000064354	MT-CO2
ENSMUSG00000064353	
ENSMUSG00000064352	
ENSMUSG00000064351	MT-CO1
ENSMUSG00000064350	
ENSMUSG00000064349	
ENSMUSG00000064348	
ENSMUSG00000064347	
ENSMUSG00000064346	
ENSMUSG00000064345	MT-ND2
ENSMUSG00000064344	
ENSMUSG00000064343	
ENSMUSG00000064342	
ENSMUSG00000064341	MT-ND1
ENSMUSG00000064340	
ENSMUSG00000064339	
ENSMUSG00000064338	
ENSMUSG00000064337	
ENSMUSG00000064336	
ENSMUSG00000099292	
ENSMUSG00000087913	
ENSMUSG00000099202	
ENSMUSG00000092776	
ENSMUSG00000098535	RF02130
ENSMUSG00000087887	SNORA48B
ENSMUSG00000087887	RF00554
ENSMUSG00000087887	RF00554
ENSMUSG00000087887	RF00554
ENSMUSG00000087887	RF00554
ENSMUSG00000087887	RF00554
ENSMUSG00000087887	SNORA48
ENSMUSG00000087887	RF00554
ENSMUSG00000087887	RF00554
ENSMUSG00000087887	RF00554
ENSMUSG00000087887	RF00554
ENSMUSG00000087887	RF00554
ENSMUSG00000087887	RF00554
ENSMUSG00000089534	
ENSMUSG00000070138	
ENSMUSG00000096237	FAM205A
ENSMUSG00000065346	RF00394
ENSMUSG00000065346	RF00394
ENSMUSG00000065346	RF00394
ENSMUSG00000065815	RNU6-898P
ENSMUSG00000065815	RNU6-1156P
ENSMUSG00000077181	
ENSMUSG00000090455	
ENSMUSG00000094824	RF00560
ENSMUSG00000094824	RF00560
ENSMUSG00000094824	RF00560
ENSMUSG00000065824	
ENSMUSG00000089520	
ENSMUSG00000084609	RF00019
ENSMUSG00000089552	
ENSMUSG00000084453	
ENSMUSG00000054589	
ENSMUSG00000065371	RNU1-148P
ENSMUSG00000064956	
ENSMUSG00000096248	SNORD116-8
ENSMUSG00000096248	SNORD116-7
ENSMUSG00000096248	SNORD116-6
ENSMUSG00000096248	SNORD116-3
ENSMUSG00000096248	SNORD116-4
ENSMUSG00000096248	SNORD116-9
ENSMUSG00000096248	SNORD116-1
ENSMUSG00000096248	SNORD116-2
ENSMUSG00000096248	SNORD116-5
ENSMUSG00000065657	RNU6-242P
ENSMUSG00000089529	
ENSMUSG00000087716	SCARNA4
ENSMUSG00000087716	RF00423
ENSMUSG00000098513	
ENSMUSG00000024803	ANKRD1
ENSMUSG00000077535	
ENSMUSG00000098494	
ENSMUSG00000077243	
ENSMUSG00000098907	
ENSMUSG00000095119	
ENSMUSG00000088875	
ENSMUSG00000065484	
ENSMUSG00000007480	MC5R
ENSMUSG00000057417	
ENSMUSG00000089306	RNU6-1198P
ENSMUSG00000098614	RF02174
ENSMUSG00000065619	MIR183
ENSMUSG00000064558	
ENSMUSG00000088105	
ENSMUSG00000089504	RNU7-126P
ENSMUSG00000065395	
ENSMUSG00000093952	
ENSMUSG00000092932	RF00017
ENSMUSG00000092932	RF00017
ENSMUSG00000092932	RN7SL73P
ENSMUSG00000092932	RF00017
ENSMUSG00000092932	RF00017
ENSMUSG00000092932	RF00017
ENSMUSG00000092932	RF00017
ENSMUSG00000092932	RF00017
ENSMUSG00000092932	RF00017
ENSMUSG00000092932	RF00017
ENSMUSG00000092932	RF00017
ENSMUSG00000092932	RF00017
ENSMUSG00000092932	RF00017
ENSMUSG00000092932	RF00017
ENSMUSG00000092932	RF00017
ENSMUSG00000092932	RF00017
ENSMUSG00000092932	RF00017
ENSMUSG00000092932	RF00017
ENSMUSG00000092932	RF00017
ENSMUSG00000077280	
ENSMUSG00000094657	RNA5S7
ENSMUSG00000094657	RNA5S14
ENSMUSG00000087799	
ENSMUSG00000064563	SNORA7A
ENSMUSG00000064563	SNORA7B
ENSMUSG00000024778	FAS
ENSMUSG00000098349	
ENSMUSG00000105098	
ENSMUSG00000065373	
ENSMUSG00000065423	
ENSMUSG00000076284	
ENSMUSG00000088512	
ENSMUSG00000098774	
ENSMUSG00000093128	
ENSMUSG00000065492	MIR34B
