mouse_ID	drosophila_ID	orthotype	OMAgroup
ENSMUSG00000019762.4	FBgn0036125	1:1	538990
ENSMUSG00000061759.15	FBgn0028892	1:m	
ENSMUSG00000061759.15	FBgn0034688	1:m	718287
ENSMUSG00000019767.12	FBgn0263079	1:1	792965
ENSMUSG00000019774.8	FBgn0032486	1:1	847660
ENSMUSG00000019795.17	FBgn0086768	1:1	803623
ENSMUSG00000040034.15	FBgn0038609	1:1	817225
ENSMUSG00000019794.13	FBgn0040208	n:1	
ENSMUSG00000019790.17	FBgn0030412	n:1	789818
ENSMUSG00000019820.11	FBgn0260003	n:1	549506
ENSMUSG00000078348.4	FBgn0040534	1:1	793617
ENSMUSG00000019817.18	FBgn0030009	1:1	
ENSMUSG00000019815.7	FBgn0261561	1:1	
ENSMUSG00000019814.5	FBgn0027525	1:1	843096
ENSMUSG00000019810.15	FBgn0036169	1:1	
ENSMUSG00000019809.16	FBgn0036484	1:1	495780
ENSMUSG00000019808.8	FBgn0038491	1:1	722333
ENSMUSG00000019806.13	FBgn0031244	1:m	
ENSMUSG00000019806.13	FBgn0031245	1:m	739631
ENSMUSG00000019806.13	FBgn0036158	1:m	
ENSMUSG00000019868.16	FBgn0035251	1:1	547797
ENSMUSG00000019865.9	FBgn0033058	n:1	
ENSMUSG00000039891.6	FBgn0003721	1:1	
ENSMUSG00000039879.9	FBgn0010113	1:1	847374
ENSMUSG00000019854.17	FBgn0032341	1:1	
ENSMUSG00000059554.12	FBgn0031395	1:1	
ENSMUSG00000019852.7	FBgn0029834	1:1	837023
ENSMUSG00000020003.16	FBgn0035922	1:1	817342
ENSMUSG00000071369.11	FBgn0014006	n:1	856170
ENSMUSG00000019977.16	FBgn0042712	1:1	863720
ENSMUSG00000061983.7	FBgn0260441	n:1	
ENSMUSG00000019998.6	FBgn0086377	n:1	795546
ENSMUSG00000020000.7	FBgn0036565	1:1	738336
ENSMUSG00000019984.16	FBgn0034795	1:1	776724
